|character|text|type|character_clean|gender
0||"ALI
Written by
Stephen J Rivele, Christopher Wilkinson,
Eric Roth & Michael Mann
Story by
Gregory Allen Howard
FADE IN:"|unknown||
1||EXT. MIAMI STREET - MOVEMENT - NIGHT (1964)|location||
2||"in the dark. Coming toward us. Up and down in sync to an
INSTRUMENTAL LEAD-IN from somewhere. A slip of light. A
glimpse of somebody in shadow under a sweatshirt hood,
staring at us, in and out of the dark as..."|stage direction||
3||INT. THE STAGE, HAMPTON HOUSE CLUB - EMPTY FRAME - NIGHT|location||
4||"A man walks into the shot, grabs a microphone, slips out of
his jacket and looks at us. He wants to tell us something.
He's in a lavender light. This is SAM COOKE. What he calls
out...a throaty mixture of gospel, soul and sex...is ""Let me
hear it!"" And WOMEN SHRIEK. He says, ""Yeah!"" They answer,
shrieking, ""Oh, yeah!""..."|stage direction||
5||EXT. MIAMI STREET - HOODED MAN'S FACE - NIGHT|location||
6||"up and down, running along a dark road in the dead of night,
passing vacant lots with debris amid trees and faded
buildings. He is CASSIUS CLAY. He runs in construction
boots. His eyes stare from under the hood. He passes the
husk of an abandoned car, a pastel storefront. We're in
Overtown, Miami's inner-city black neighborhood."|stage direction||
7||INT. THE STAGE, HAMPTON HOUSE CLUB (MIAMI) - SAM COOKE|location||
8||"shouts, ""Don't fight it! We gonna feel it!""     The women in
the audience answer: ""Gotta feel it!"""|stage direction||
9||EXT. MIAMI STREET - CASSIUS - NIGHT|location||
10||"now runs diagonally across NW 7th INTERCUT with Cooke
shouting, ""Yeah!"""|stage direction||
11||EXT. MACARTHUR CAUSEWAY - CASSIUS - NIGHT|location||
12||SAM COOKE'S AUDIENCE (O.S.)|unknown||
13|unknown|Oh, yeah!|speech|unknown|?
14||"Cassius runs toward us. Off to the side in the black-
mirrored water of Biscayne Bay, leaden clouds in a black sky.
And now Sam Cooke SINGS ""...because you make me wanna
mooove...!"" and breaks into the first verse of ""Feel It.""
But we see Cassius' eyes are FOCUSED, CONCENTRATED,
ELSEWHERE. To where is this man running? Why is his
expression so distant? A WHITE LIGHT suddenly hits him from
behind. He looks over at..."|stage direction||
15||2.|unknown||
16||"WIDE FROM THE FRONT:      CASSIUS + A METRO-DADE POLICE CAR
that's slowed, clocking the suspicious, running black man.
The driver starts to pull over, to hassle Cassius. Then,
the cop riding shotgun gets a radio call. He taps the
driver's shoulder. They take off, the driver laughing.
Cassius looks after the white cops. He is neither relieved
nor angry. He's dismissive. And, instead, he sees
something else..."|stage direction||
17||INT. A BOARD ROOM - GORDON DAVIDSON - DAY|location||
18||"and six other patrician, white business-people of Louisville
in their green baize and wood-paneled Luxo boardroom. They
speak soundlessly and patronizingly to Cassius Clay, Sr.,
seated at the foot of the table. It relates to the stack of
contracts in front of him. He is in a suit and tie, his
hair and moustache are dapper. His tie's a little loud. He
has his hands folded deferentially in front of him."|stage direction||
