|character|text|type|character_clean|gender
0||"INVICTUS
(aka ""The Human Factor"")
Written by
Anthony Peckham"|unknown||
1||Based on material by JOHN CARLIN|location||
2||"Second Draft
5/22/07"|unknown||
3||"""Sport has the power to change the world. It has the power to
inspire, the power to unite people that little else has ... It is
more powerful than governments in breaking down racial barriers."""|stage direction||
4||NELSON MANDELA|unknown||
5||EXT. ALL-WHITE HIGH SCHOOL, WESTERN CAPE - DAY|location||
6||"A big, rich, powerhouse all-white high school located near
the freeway into Cape Town. The RUGBY FIELDS are immaculate.
FIFTEEN YEAR OLD BOYS in striped rugby jerseys train with
total intensity under the critical eye of the COACH.
Right ACROSS THE BOUNDARY FENCE from the rugby fields is an
area of WASTE LAND leading up to the freeway. There, BLACK
AND ""COLORED"" (MIXED-RACE) BOYS of the same age play a loose
game of soccer with a tennis ball. Most of them have bare
feet and threadbare, dirty clothes, most of them are
noticeably smaller and skinnier than the white boys.
Two cultures, separated by more than the high boundary fence.
SUPER TITLE: SOUTH AFRICA, FEBRUARY 11, 1990
A COMMOTION ON THE FREEWAY intrudes on the soccer game.
Horns honking, cars pull over onto the shoulder, people jump
out."|stage direction||
7||EXT. FREEWAY - DAY|location||
8||"Lead by police motorbikes, then patrol cars, a white Mercedes
approaches, heading towards Cape Town. Whoever is in the
Mercedes has stopped traffic."|stage direction||
9||EXT. ALL-WHITE HIGH SCHOOL, WESTERN CAPE - DAY|location||
10||"The soccer players abandon their game and run for the
freeway, whistling and shouting.
The rugby players are more disciplined -- or obedient -- and
do not acknowledge the commotion until the convoy passes
right by them. The coach shakes his head in disgust."|stage direction||
11|unknown|"HIGH SCHOOL BOY
Who is it, sir?"|speech|unknown|?
12|COACH|"It's that terrorist, Mandela. They
let him out."|speech|COACH|M
13|(BEAT)|"Remember this day, boys. It's the
day our country went to the dogs."|speech||
14|CUT TO:|2.|speech|CUT TO:|?
15||"A short, STOCK-FOOTAGE MONTAGE which spans the tumultuous
four years between NELSON MANDELA'S release from prison and
his inauguration as President of South Africa.
Footage would include:
- Mandela's release from prison
- negotiations with the apartheid regime
- scenes of white fear and emigration
- the horrifying sectarian violence leading up to the"|stage direction||
16||ELECTIONS|location||
17||"- the khaki-clad AWB (Afrikaner right wing) attack on the
World Trade Center (where negotiations were taking place)
- the lifting of economic sanctions and cultural boycotts
- the lifting of the international ban on the Springbok rugby
team and immediate Test match losses to New Zealand and
Australia.
- popular black leader Chris Hani's assassination by white"|stage direction||
18||RIGHT WINGERS|location||
19||"- black retaliation
- Mandela's frantic intervention to keep the country from
going up in flames
- the election itself, with those incredible images of
thousands and thousands of people, black and white, lining up
patiently, some to vote for the first time in their lives
- the African National Congress victory
- Mandela's inauguration as President, where he delivers the"|stage direction||
20||FAMOUS WORDS:|location||
21|CUT TO:|"""Never, never and never again shall it be
that this beautiful land will again
experience the oppression of one by another,
and suffer the indignity of being the skunk
of the world."""|speech|CUT TO:|?
22||As APPLAUSE FADES ...|stage direction||
