|character|text|type
0||CHANGELING|location
1||Written by|location
2||J. Michael Straczynski|unknown
3||"FADE IN:
BLACK SCREEN
On which appears:"|stage direction
4|A True Story|EVERYTHING YOU ARE ABOUT TO SEE, HAPPENED|speech
5||The words slowly FADE OUT, taking us hard into|stage direction
6||EXT. COLLINS HOME - PRE-DAWN|location
7||"A small, pleasant house on a tree-lined street in Los Angeles
circa 1928. 210 North Avenue 23. Not far from Dodger Stadium.
SUPERIMPOSE: LOS ANGELES, MARCH 9, 1928."|stage direction
8||INT. COLLINS HOME - CHRISTINE'S BEDROOM - PRE-DAWN|location
9||"A Bakelite alarm clock hits 6:30 A.M. and RINGS. CHRISTINE
COLLINS, thirties, attractive, rumpled, reaches INTO FRAME to
shut it off. She sits up, rubs tiredly at her face, and moves
OS, switching on a radio as she goes. Music fills the air."|stage direction
10||INT. BATHROOM - MOMENTS LATER|location
11||"She throws water on her face as the music continues. She
looks at herself in the mirror as the light flickers overhead.
She hits the wall offhandedly, something she does every day.
The flickering stops. With a last look at the mirror, she
smoothes back her hair and exits, switching off the light."|stage direction
12||INT. WALTER'S BEDROOM - LATER|location
13||"Dressed now, she flicks on the overhead light. WALTER COLLINS
is nine years old, with light brown hair, though we don't see
much of it or him, he's entangled in the sheets. It's
important that we don't see him too clearly in most of the
following scenes, but without drawing attention to that aspect."|stage direction
14||CHRISTINE|location
15||Walter...time for school, honey.|unknown
16||She sits on the edge of the bed, runs a hand through his hair.|stage direction
17||WALTER|location
18||Just ten more minutes --|unknown
19||CHRISTINE|location
20||Sorry, champ.|unknown
21||(more)|location
22||CHANGELING A True Story                                       2.|stage direction
23|CHRISTINE (Cont'd)|"You can sleep in all you want
tomorrow, that's what Saturdays are
for. Now hurry up or your breakfast
will get cold."|speech
24|WALTER|"It's cereal, it's supposed to be
cold."|speech
25||"She smiles, kisses him on the forehead, and exits. He sits
on the edge of the bed, wavers, then falls back into bed again."|stage direction
26||EXT. PASADENA AVENUE - MORNING|location
27||"A street-car (known then as the Big Red) rumbles down the
street in the gray light of morning, passing Ford Model A's
and Hudsons and Nash four-door sedans."|stage direction
28||INT. STREET-CAR - CONTINUOUS|location
29||"Christine sits on one of the benches, Walter's face buried in
her lap, still half-asleep. She nudges him as they come to
an intersection by a grade school. It's early enough that
only a few other kids have arrived."|stage direction
30|CHRISTINE|We're here, sweetie.   Come on.|speech
31||"She hands him a sack lunch and follows as he slouches toward
the door. She watches from the curb as he heads toward the
school. Some of the teachers lounging outside nod to her as
Walter approaches, so she knows they're aware that he's there.
She waves, then hurriedly gets back on the street-car as it
rumbles away."|stage direction
32||INT. PACIFIC TELEPHONE COMPANY - SWITCHBOARD ROOM - DAY|location
33||"Located on Grand Avenue downtown, the huge switchboard room
is a maze of switching stations, tangles of wires and heavy
wooden headsets...a roar of buzzers, bells, circuits opening
and closing, and a hundred female operators speaking at once.
Supervisors on skates roll up and down the narrow lanes created
by the banks of switching stations, going from one operator
to another as needed. Christine is one of them. She turns
at the SOUND of a bell struck twice, then rolls down the lane
toward an OPERATOR frantically waving a pink sheet of paper."|stage direction
34|CHRISTINE|Okay Sandy, what's the prob--|speech
35||"The mortified operator hands her the headset and stalks off.
CHANGELING A True Story                                       3."|stage direction
36|OPERATOR|"You deal with this one, I'm not
going near it."|speech
37||Christine struggles on the headset.|stage direction
38||CHRISTINE|location
39|OPERATOR|"Hello? Yes, this is the supervisor,
ma'am, what can I --"|speech
40||(checks board)|unknown
41|OPERATOR|"Yes, I can see that you're on a
party line, ma'am, what can I --"|speech
42||(beat)|unknown
43|OPERATOR|"I know, it's unfortunate, but people
sometimes do listen in on party
lines. We hope to have private
lines installed by --"|speech
44||(beat)|unknown
45|OPERATOR|"Well, what's he doing when you're
on the phone?"|speech
46||(beat)|unknown
47|OPERATOR|"Are you sure? Maybe there's a
problem with the phone line. He
could be asthmatic, or --"|speech
48||(beat)|unknown
49|OPERATOR|"Oh. No, I...I've never heard of
anything like that before either.
Guess there's a first time for
everything, right? No, I'm afraid
there's nothing we can do about
people abusing the equipment or...
themselves. I'm sorry. I --"|speech
50||"She reacts to the phone being hung up hard at the other end
as the floor manager, BEN HARRIS, 30s, approaches."|stage direction
51|MR. HARRIS|Everything all right?|speech
52|CHRISTINE|"Fine, Mr. Harris...fine...just
someone having a problem with a...
with the connection."|speech
53|MR. HARRIS|"Tell them to take the plug and shove
it in and out a few times, that'll
usually do it."|speech
54|CHRISTINE|"Unfortunately that was part of the
problem. If you'll excuse me...."|speech
55||"She roller-skates off toward another operator waving another
pink sheet of paper.
CHANGELING A True Story                                       4."|stage direction
56||EXT. PACIFIC TELEPHONE COMPANY - LUNCH AREA - DAY|location
57||"Christine sits alone, eating a bag lunch and reading a thick
telephone company manual. Working hard to advance herself.
Then a bell rings: time to return to work. Other employees
gather up their belongings and start inside. As Christine
closes the book, her bookmark falls out. As she picks it up,
we see that it's a child's drawing: her and Walter (with arrows
indicating who is who) on a green hill, under an orange sun.
She touches the drawing and smiles as the bell rings again.
She grabs her belongs and heads back inside."|stage direction
58||EXT. SCHOOL - AFTERNOON|location
59||"Christine waits outside the school as another bell rings,
announcing the end of classes. Kids run outside, Walter among
them. He folds in alongside as they start down the sidewalk."|stage direction
60|CHRISTINE|Hey, sport.|speech
61||WALTER|unknown
62|CHRISTINE|Hey, mom.|speech
63|CHRISTINE|So how was school?|speech
64||WALTER|location
65|CHRISTINE|"Okay. We learned about dinosaurs,
and I got in a fight with Billy
Mankowski."|speech
66|CHRISTINE|What happened?|speech
67||WALTER|unknown
68|CHRISTINE|He hit me.|speech
69|CHRISTINE|Did you hit him back?|speech
70||(he nods)|unknown
71|CHRISTINE|"Good. Rule number one: Never start
a fight, but always finish it. So
why did he hit you?"|speech
72|WALTER|Because I hit him.|speech
73||She stops, looks at him.|stage direction
74||CHRISTINE|location
75|WALTER|Wait...you hit him first?|speech
76||(he nods)|unknown
77|WALTER|Why?|speech
78||CHANGELING A True Story                                    5.|stage direction
79|WALTER|"He said my dad ran off because he
didn't like me."|speech
80|CHRISTINE|"Your dad never even had a chance to
meet you...so how could he not like
you?"|speech
81|WALTER|Then why did he leave?|speech
82||Christine takes his hand, and they continue down the sidewalk.|stage direction
83|CHRISTINE|"Well, the same day you were born,
something else arrived. It came in
the mail, in a box just slightly
bigger than you. You know what was
in that box?"|speech
84||(he shakes head)|unknown
85|CHRISTINE|"Something called responsibility.
Now, to some people, responsibility
is fun, it's what you live your
whole life for. Other people think
it's the scariest thing in the world."|speech
86|WALTER|"So he ran away because he was scared
of what was in the box?"|speech
87|CHRISTINE|Yup.|speech
88|WALTER|That's dumb.|speech
89|CHRISTINE|That's what I thought.|speech
90||She turns and crouches down in front of him.|stage direction
91||CHRISTINE|location
92|CHRISTINE|"Walter, I decided a long time ago
that I would always tell you the
truth, that I would treat you like
a grown-up. I can't expect you to
respect me unless I respect you."|speech
93||(beat)|unknown
94|CHRISTINE|"I've never lied to you. Your father
leaving had nothing to do with you,
and everything to do with what was
in the responsibility box."|speech
95|WALTER|Pinky-swear?|speech
96||CHANGELING A True Story                                       6.|stage direction
97|CHRISTINE|Pinky-swear.|speech
98||She takes his pinky in hers, gives a tug.    He smiles.|stage direction
99||CHRISTINE|location
100|CHRISTINE|"First one to the corner store gets
ice cream!"|speech
101||"He laughs and tears off. She runs after him, letting him
stay ahead of her the whole way."|stage direction
102||EXT. COLLINS HOME - LIVING ROOM - NIGHT|location
103||"Walter is asleep on the floor, in front of the radio, which
is playing the closing moments of Amos and Andy. Christine
enters and turns off the radio. He stirs, looks up at her."|stage direction
104|WALTER|Did I miss Amos and Andy?|speech
105|CHRISTINE|"I'm afraid so, sport.   Come on now,
time for bed."|speech
106||She picks him up and carries him up the stairs.|stage direction
107|WALTER|"Are we still going to the movies
tomorrow?"|speech
