|character|text|type
0||Steven Zaillian & Aaron Sorkin|unknown
1|IN BLACK:|"There will always be people who are ahead of
the curve, and people who are behind the curve.
But knowledge moves the curve.
- Bill James"|speech
2||1 INT. OAKLAND COLISEUM - NIGHT 1|stage direction
3|IN BLACK:|"Static shots: A deserted locker room. Empty showers.
Cinder-block tunnels lit with wire-encased lamps like in
a coal mine. THREE SECURITY GUARDS watch a game on a TV.
LEGEND: October 15, 2001
We begin to hear disembodied cheering crowds and the
faint voice of an announcer -
BRENNAMAN V/O
... nobody on, two and two to Saenz - who
has just three at bats in the series, and
none of them hits - as he settles back in"|speech
4||2 EXT. OAKLAND COLISEUM -NIGHT 2|stage direction
5|IN BLACK:|"At the end of a tunnel, the A's empty dugout. The empty
diamond. Just a couple of the floodlights are on.
BRENNAMAN V/O
- Rivera looks in for the sign, he has
it, the pitch, Saenz swings and -
The announcer's voice and excited crowd abruptly cut
off. In silence, we regard the 60,000 empty seats that
wrap around the playing field ... but then see that, in
fact, it's 59,999 empty seats. There's a lone figure
seated in one of them. The sound snaps back on:
STEVE LYONS V/O
- a ground out to second, Thom, is not
what the A's were looking for from Saenz -
down by two in the ninth -
The lone man in the stadium has a radio and a bag of
peanuts. He seems at peace as he looks down on the empty
diamond - a peace only slightly belied, perhaps, by the
baseball he absently turns in a hand. He switches the
radio back on -
BRENNAMAN V/O
Eric Byrnes has emerged from the dugout
to bat for Menechino -
2.
2.
He turns it off again. Calmly eats a peanut. Waits.
Switches the radio back on -
BRENNAMAN V/O
- the A's are down to their last strike
and this Yankee crowd is on its feet -
Rivera squints for the sign, he has it,
delivers and -
Again, at the crucial moment, he cuts the radio. Waits
just a few moments. Turns the radio back on -
BRENNAMAN V/O
It is bedlam in New York. The Yankees -
down two games to none - have come back
to win three, and the Division Series.
The outcome of the series seems to have no effect on
Billy. He simply gets up, switches off the radio, and
climbs the steps to leave. But somehow we still faintly
hear, as he comes past shuttered concession stands toward
an exit, the voice of one of the announcers -
STEVE LYONS V/O
This is an exceptional feat not only for
New York, Thom, but for Oakland - though
not the kind you can be proud of: Only
once before has a team lost a Division
Series after winning the first two games -"|speech
6||3 INT. OAKLAND COLISEUM - NIGHT 3|stage direction
7|IN BLACK:|"It's coming from a small television a night security
guard is watching. But when he sees Billy approaching,
he quickly shuts it off."|speech
8|BILLY|"It's okay, Joe, you can leave it on.
It's no big deal."|speech
9|SECURITY GUARD|"No, it's okay, I don't need to watch it.
The guard's eyes consider the baseball Billy absently
turns in his hands -"|speech
10|BILLY|How's Meg?|speech
