|character|text|type|character_clean|gender
0||"TEN THINGS I HATE ABOUT YOU
written by Karen McCullah Lutz & Kirsten Smith
based on 'Taming of the Shrew"" by William Shakespeare"|unknown||
1||"Revision November 12, 1997
PADUA HIGH SCHOOL - DAY
Welcome to Padua High School,, your typical urban-suburban
high school in Portland, Oregon.  Smarties, Skids, Preppies,
Granolas. Loners, Lovers, the In and the Out Crowd rub sleep
out of their eyes and head for the main building.
PADUA HIGH PARKING LOT - DAY
KAT STRATFORD, eighteen, pretty -- but trying hard not to be
-- in a baggy granny dress and glasses, balances a cup of
coffee and a backpack as she climbs out of her battered,
baby blue '75 Dodge Dart.
A stray SKATEBOARD clips her, causing her to stumble and
spill her coffee, as well as the contents of her backpack.
The young RIDER dashes over to help, trembling when he sees
who his board has hit."|stage direction||
2|RIDER|Hey -- sorry.|speech|RIDER|?
3||"Cowering in fear, he attempts to scoop up her scattered
belongings."|stage direction||
4|KAT|Leave it|speech|KAT|F
5||He persists.|stage direction||
6|KAT (continuing)|I said, leave it!|speech|KAT|F
7||"She grabs his skateboard and uses it to SHOVE him against a
car, skateboard tip to his throat.  He whimpers pitifully
and she lets him go.  A path clears for her as she marches
through a pack of fearful students and SLAMS open the door,
entering school."|stage direction||
8||INT. GIRLS' ROOM - DAY|location||
9||"BIANCA STRATFORD, a beautiful sophomore, stands facing the
mirror, applying lipstick.  Her less extraordinary, but
still cute friend, CHASTITY stands next to her."|stage direction||
10|BIANCA|Did you change your hair?|speech|BIANCA|F
11|CHASTITY|No.|speech|CHASTITY|F
12|BIANCA|You might wanna think about it|speech|BIANCA|F
13||"Leave the girls' room and enter the hallway.
HALLWAY - DAY- CONTINUOUS
Bianca is immediately greeted by an admiring crowd, both
boys
and girls alike."|stage direction||
14||(adoring)|location||
15|BOY|Hey, Bianca.|speech|BOY|M
16|GIRL|Awesome shoes.|speech|GIRL|F
17||"The greetings continue as Chastity remains wordless and
unaddressed by her side.  Bianca smiles proudly,
acknowledging her fans.
GUIDANCE COUNSELOR'S OFFICE - DAY
CAMERON JAMES, a clean-cut, easy-going senior with an open,
farm-boy face, sits facing Miss Perky, an impossibly cheery
guidance counselor."|stage direction||
18|MISS PERKY|"I'm sure you won't find Padua any
different than your old school.  Same
little asswipe mother-fuckers
everywhere."|speech|MISS PERKY|F
19||"Her plastic smile never leaves her face.  Cameron fidgets in
his chair uncomfortably."|stage direction||
20||(continuing)|location||
21|MISS PERKY|Any questions?|speech|MISS PERKY|F
22|CAMERON|I don't think so, ma'am|speech|CAMERON|F
23|MISS PERKY|"Then go forth.  Scoot   I've got
deviants to see."|speech|MISS PERKY|F
24||"Cameron rises to leave and makes eye contact with PATRICK
VERONA, a sullen-looking bad ass senior who waits outside Ms
Perky's door.  His slouch and smirk let us know how cool he
is.
Miss Perky looks down at her file and up at Patrick"|stage direction||
25||(continuing)|location||
26|MISS PERKY|"Patrick Verona.  I see we're making our
visits a weekly ritual."|speech|MISS PERKY|F
27||"She gives him a withering glance. He answers with a charming
smile."|stage direction||
28|PATRICK|I missed you.|speech|PATRICK|F
29|MISS PERKY|"It says here you exposed yourself to a
group of freshmen girls."|speech|MISS PERKY|F
30|PATRICK|"It was a bratwurst.  I was eating
lunch."|speech|PATRICK|F
31|MISS PERKY|With the teeth of your zipper?|speech|MISS PERKY|F
32||"She motions for Patrick to enter her office and Cameron
shuffles out the door, bumping into MICHAEL ECKMAN, a lanky,
brainy senior who will either end up a politician or game
show host."|stage direction||
33|MICHAEL|You the new guy?|speech|MICHAEL|M
34|CAMERON|So they tell me...|speech|CAMERON|F
35|MICHAEL|"C'mon.  I'm supposed to give you the
tour."|speech|MICHAEL|M
36||They head out of the office|stage direction||
37||(continuing)|location||
38|MICHAEL|So -- which Dakota you from?|speech|MICHAEL|M
39|CAMERON|North, actually.  How'd you   ?|speech|CAMERON|F
40|MICHAEL|"I was kidding. People actually live
there?"|speech|MICHAEL|M
41|CAMERON|"Yeah.  A couple.  We're outnumbered by
the cows, though."|speech|CAMERON|F
42|MICHAEL|"How many people were in your old
school?"|speech|MICHAEL|M
43|CAMERON|Thirty-two.|speech|CAMERON|F
44|MICHAEL|Get out!|speech|MICHAEL|M
45|CAMERON|How many people go here?|speech|CAMERON|F
46|MICHAEL|Couple thousand. Most of them evil|speech|MICHAEL|M
47||INT. HALLWAY - DAY- CONTINUOUS|location||
48||"Prom posters adorn the wall. Michael steers Cameron through
the crowd as he points to various cliques."|stage direction||
49|MICHAEL|"We've got your basic beautiful people.
Unless they talk to you first, don't
bother."|speech|MICHAEL|M
50||"The beautiful people pass, in full jock/cheerleader
splendor."|stage direction||
51||(continuing)|location||
52|MICHAEL|Those 're your cowboys.|speech|MICHAEL|M
53||"Several Stetson-wearing, big belt buckle. Wrangler guys
walk by."|stage direction||
54|CAMERON|That I'm used to.|speech|CAMERON|F
55|MICHAEL|"Yeah, but these guys have never seen a
horse.  They just jack off to Clint
Eastwood."|speech|MICHAEL|M
56||"They pass an espresso cart with a group of teens huddled
around it."|stage direction||
57||(continuing)|location||
58|MICHAEL|"To the right, we have the Coffee Kids.
Very edgy.  Don't make any sudden
movements around them."|speech|MICHAEL|M
59||EXT. SCHOOL COURTYARD - DAY|location||
60||Michael continues the tour|stage direction||
61|MICHAEL|"And these delusionals are the White
Rastae."|speech|MICHAEL|M
62||"Several white boys in dreadlocks and Jamaican knit berets
lounge on the grass.  A cloud of pot smoke hovers above them"|stage direction||
63||(continuing)|location||
64|MICHAEL|"Big Marley fans.  Think they're black.
Semi-political, but mostly, they watch a
lot of Wild Kingdom, if you know what I
mean."|speech|MICHAEL|M
65||Michael waves to DEREK, the one with the longest dreads.|stage direction||
66||(continuing)|location||
67|MICHAEL|Derek - save some for after lunch, bub?|speech|MICHAEL|M
68||(very stoned)|location||
69|DEREK|Michael, my brother, peace|speech|DEREK|M
70||"Cameron turns to follow Michael as they walk into the
cafeteria."|stage direction||
71|CAMERON|So where do you fit in all this?|speech|CAMERON|F
72||INT.  CAFETERIA - DAY - CONTINUOUS|location||
73||"Loud music and loud students.  Michael sits with a group of
studious-looking teens."|stage direction||
74|MICHAEL|"Future MBAs-  We're all Ivy League,
already accepted.  Someday I'll be
sipping Merlot while those guys --"|speech|MICHAEL|M
75||"He points to the table of jocks, as they torture various
passers-by."|stage direction||
76||(continuing)|location||
77|MICHAEL|"are fixing my Saab.  Yuppie greed is
back, my friend."|speech|MICHAEL|M
78||"He points proudly to the ALLIGATOR on his shirt.
Cameron stops listening as BIANCA walks by, and we go SLO
MO.  Pure and perfect, she passes Cameron and Michael
without a look.
Cameron is smitten"|stage direction||
79|CAMERON|That girl -- I --|speech|CAMERON|F
80|MICHAEL|You burn, you pine, you perish?|speech|MICHAEL|M
81|CAMERON|Who is she?|speech|CAMERON|F
82|MICHAEL|"Bianca Stratford.  Sophomore. Don't
even think about it"|speech|MICHAEL|M
83|CAMERON|Why not?|speech|CAMERON|F
84|MICHAEL|"I could start with your haircut, but it
doesn't matter.  She's not allowed to
date until her older sister does.  And
that's an impossibility."|speech|MICHAEL|M
85||"ENGLISH CLASS - DAY
A room full of bored seniors doodle and scare off into space
MS. BLAISE, the one-step-away-from-medication English
Teacher, tries to remember what she's talking about."|stage direction||
86|MRS. BLAISE|"Well, then.  Oh, yes.  I guess that
does it for our analysis of The Old Man
and the Sea.  Any other comments?"|speech|MRS. BLAISE|F
87||(with dread)|location||
88|MRS. BLAISE|Kat?|speech|MRS. BLAISE|F
89||"Kat, the girl we saw as we entered the school, slowly cakes
off her glasses and speaks up."|stage direction||
90|KAT|Why didn't we just read the Hardy Boys?|speech|KAT|F
91|MRS. BLAISE|I'm sorry?|speech|MRS. BLAISE|F
92|KAT|"This book is about a guy and his
fishing habit.  Not exactly a crucial
topic."|speech|KAT|F
93||The other students roll their eyes.|stage direction||
94||(continuing)|location||
95|KAT|"Frankly, I'm baffled as to why we still
revere Hemingway.  He was an abusive,
alcoholic misogynist who had a lot of
cats."|speech|KAT|F
96||"JOEY DORSEY, a well-muscled jock with great cheekbones,
makes fun of her from his row."|stage direction||
97|JOEY|"As opposed to a bitter self-righteous
hag who has no friends?"|speech|JOEY|M
98||A few giggles.  Kat ignores him.  A practiced gesture|stage direction||
99|MRS. BLAISE|That's enough, Mr. Dorsey.|speech|MRS. BLAISE|F
100||Really gets fired up now|stage direction||
101|KAT|"I guess the school board thinks because
Hemingway's male and an asshole, he's
worthy of our time"|speech|KAT|F
102||"She looks up at Ms. Blaise, who is now fighting with her
pill box."|stage direction||
103||(continuing)|location||
104|KAT|"What about Colette?  Charlotte Bronte?
Simone de Beauvoir?"|speech|KAT|F
105||"Patrick, lounging in his seat in the back row, elbows a
crusty-looking crony, identified by the name SCURVY,
embroidered on his workshirt."|stage direction||
106|PATRICK|Mother Goose?|speech|PATRICK|F
107||The class titters.  Kat wears an expression of intolerance|stage direction||
108||INT. GUIDANCE COUNSELOR'S OFFICE - DAY|location||
109||Kat now sits before Miss Perky.|stage direction||
110|MISS PERKY|"Katarina Stratford.  My, my.  You've
been terrorizing Ms. Blaise again."|speech|MISS PERKY|F
111|KAT|"Expressing my opinion is not a
terrorist action."|speech|KAT|F
112|MISS PERKY|"Well, yes, compared to your other
choices of expression this year, today's
events are quite mild.  By the way,
Bobby Rictor's gonad retrieval operation
went quite well, in case you're
interested."|speech|MISS PERKY|F
113|KAT|"I still maintain that he kicked himself
in the balls.  I was merely a spectator."|speech|KAT|F
114|MISS PERKY|"The point is Kat -- people perceive you
as somewhat ..."|speech|MISS PERKY|F
115||Kat smiles at her, daring her to say it.|stage direction||
116|KAT|Tempestuous?|speech|KAT|F
117|MISS PERKY|"No ... I believe ""heinous bitch"" is the
term used most often."|speech|MISS PERKY|F
118||She grimaces, as if she's referring to a medical condition.|stage direction||
119||(continuing)|location||
120|MISS PERKY|You might want to work on that|speech|MISS PERKY|F
121||"Kat rises from her chair with a plastic smile matching the
counselor's."|stage direction||
122|KAT|"As always, thank you for your excellent
guidance."|speech|KAT|F
123||INT. SOPHOMORE ENGLISH CLASS - DAY|location||
124||"Bianca ignores the droning teacher as she writes a note in
big flowing handwriting."|stage direction||
125|TEACHER (0.S.)|"I realize the language of Mr.
Shakespeare makes him a bit daunting,
but I'm sure you're all doing your best."|speech|TEACHER|F
126||"Bianca folds the note and passes it behind her with a flip
of her hair to CHASTITY.  Chastity opens the note and reads:
INSERT - ""JOEY DORSEY SAID HI TO ME IN THE HALL! OH! MY
GOD!""
Chastity frowns to herself."|stage direction||
127||(continuing)|location||
128|TEACHER (0.S.)|"Ms. Stratford, do you care to comment
on what you've read so far?"|speech|TEACHER|F
129||Bianca looks up and smiles the smile of Daddy's little girl.|stage direction||
130|BIANCA|Not really.|speech|BIANCA|F
131||"The teacher shakes her head, but lets it go.
MANDELLA. a waif-like senior girl who sits off to the side
trying to slit her wrist with the plastic spiral on her
notebook, looks up and raises her hand."|stage direction||
132|TEACHER|"Mandella -- since you're assisting us,
you might as well comment.  I'm assuming
you read the assignment."|speech|TEACHER|F
133|MANDELLA|Uh, yeah, I read it all|speech|MANDELLA|F
134|TEACHER|The whole play^|speech|TEACHER|F
135|MANDELIA|The whole folio.  All the plays.|speech|MANDELIA|?
136||(disbelieving)|location||
137|TEACHER|"You've read every play by William
Shakespeare?"|speech|TEACHER|F
138|MANDELLA|Haven't you?|speech|MANDELLA|F
139||"She raises a challenging eyebrow.  The stunned teacher
doesn't answer and goes to call on the next student."|stage direction||
140||EXT. SCHOOL COURTYARD - DAY|location||
141||"Mandella and Kat sit down in the quiet corner. They are
eating a carton of yogurt with gusto."|stage direction||
142||"Your sister is so amazingly without.  She'll never read him.
She has no idea.
Kat attacks"|stage direction||
143|KAT|"The fact that you're cutting gym so you
can T.A. Sophomore English just to hear
his name, is a little without in itself
if you ask me."|speech|KAT|F
144||"Kat's attention is caught by Patrick as he walks by with his
friends, lighting up a cigarette.  Mandella notices her
staring."|stage direction||
145|MANDELLA|Who's that?|speech|MANDELLA|F
146|KAT|Patrick Verona   Random skid.|speech|KAT|F
147|MANDELLA|"That's Pat Verona? The one who was gone
for a year? I heard he was doing porn
movies."|speech|MANDELLA|F
148|KAT|"I'm sure he's completely incapable of
doing anything that interesting."|speech|KAT|F
149|MANDELLA|He always look so|speech|MANDELLA|F
150|KAT|Block E?|speech|KAT|F
151||"Kat turns back to face Mandella and forces her yogurt into
Mandella's hand."|stage direction||
152||(continuing)|location||
153|KAT|"Mandella, eat.  Starving yourself is a
very slow way to die."|speech|KAT|F
154|MANDELLA|Just a little.|speech|MANDELLA|F
155||She eats.  Kat sees her wrist|stage direction||
156|KAT|What's this?|speech|KAT|F
157|MANDELLA|An attempted slit.|speech|MANDELLA|F
158||Kat stares at her, expressionless.|stage direction||
159|KAT|"I realize that the men of this fine
institution are severely lacking, but
killing yourself so you can be with
William Shakespeare is beyond the scope
of normal teenage obsessions.  You're
venturing far past daytime talk show
fodder and entering the world of those
who need very expensive therapy."|speech|KAT|F
160|MANDELLA|"But imagine the things he'd say during
sex."|speech|MANDELLA|F
161||Thinks a minute|stage direction||
162|KAT|"Okay, say you do it.  You kill
yourself, you end up in wherever you end
up and he's there.  Do you really think
he's gonna wanna dace a ninety pound
compulsive who failed volleyball?"|speech|KAT|F
163||"Mandella's attention is struck by Bianca
ACROSS THE COURTYARD
As she and Chastity parade by Joey and his COHORTS   One of
the cohorts elbows Joey."|stage direction||
164|COHORT|Virgin alert.|speech|COHORT|?
165||Joey looks up and smiles at Bianca.|stage direction||
166|JOEY|Lookin' good, ladies.|speech|JOEY|M
167||"Bianca smiles her coyest of smiles.
BACK TO KAT AND MANDELLA Still watching."|stage direction||
168|MANDELLA|Tragic.|speech|MANDELLA|F
169||"Doesn't respond
ANOTHER ANGLE
Michael and Cameron observe Joey's leers at Bianca from
their bench in another corner. Cowboys eating cue of a can
of beans linger on the grass behind them."|stage direction||
170|CAMERON|"Why do girls like that always like guys
like that?"|speech|CAMERON|F
171|MICHAEL|"Because they're bred to.  Their mothers
liked guys like that, and their
grandmothers before them. Their gene
pool is rarely diluted."|speech|MICHAEL|M
172|CAMERON|He always have that shit-eating grin?|speech|CAMERON|F
173|MICHAEL|"Joey Dorsey?  Perma-shit-grin.  I wish
I could say he's a moron, but he's
number twelve in the class.  And a
model.  Mostly regional stuff, but he's
rumored to have a big tube sock ad
coming out."|speech|MICHAEL|M
174||"The BELL rings, and the cowboys stand and spit into their
empty bean cans.   Cameron and Michael rise as Cameron tries
to catch a glimpse of Bianca as she walks back inside."|stage direction||
175||(continuing)|location||
176|MICHAEL|You know French?|speech|MICHAEL|M
177|CAMERON|Sure do ... my Mom's from Canada|speech|CAMERON|F
178|MICHAEL|Guess who just signed up for a tutor?|speech|MICHAEL|M
179|CAMERON|"You mean I'd get a chance to talk to
her?"|speech|CAMERON|F
180|MICHAEL|"You could consecrate with her, my
friend."|speech|MICHAEL|M
181||Cameron watches as Bianca flounces back into the building.|stage direction||
182||EXT. SCHOOL PARKING LOT - DAY|location||
183||"Kat and Mandella walk toward Kat's car.  Joey pulls up
beside her in his Viper."|stage direction||
184||(re her dress)|location||
185|JOEY|"The vintage look is over, Kat. Haven't
you been reading your Sassy?"|speech|JOEY|M
186|KAT|"Yeah, and I noticed the only part of
you featured in your big Kmart spread
was your elbow.  Tough break."|speech|KAT|F
187||"(practically
spitting)"|location||
188|JOEY|"They're running the rest of me next
month."|speech|JOEY|M
189||"He zooms away as Kat yanks open the door of her Dart.
Mandella ties a silk scarf around her head, as if they're in
a convertible."|stage direction||
190|KAT|"The people at this school are so
incredibly foul."|speech|KAT|F
191|MANDELLA|"You could always go with me.  I'm sure
William has some friends."|speech|MANDELLA|F
192||"They watch Joey's car as he slows next to Bianca and
Chastity as they walk toward the school bus.
ON BIANCA AND CHASTITY"|stage direction||
193|JOEY|Need a ride, ladies?|speech|JOEY|M
194||"Bianca and Chastity can't get in Joey's car fast enough.  He
pulls away with a smile.
BACK TO KAT AND MANDELLA
Mandella lowers her sunglasses to watch."|stage direction||
195|MANDELLA|That's a charming new development|speech|MANDELLA|F
196||"Kat doesn't answer, but reaches over and puts a tape in the
tape deck.  The sounds of JOYFUL PUNK ROCK fill the car.
As they pull out, Michael crosses in front of them on his
moped. Kat has to SLAM the brakes to keep from hitting him"|stage direction||
197||(yelling)|location||
198|KAT|"Remove head from sphincter!  Then
pedal!"|speech|KAT|F
199||"Michael begins fearfully, pedaling as Kat PEELS out, angry
at the delay.
Cameron rushes over"|stage direction||
200|CAMERON|You all right?|speech|CAMERON|F
201||He slows to a stop|stage direction||
202|MICHAEL|"Yeah, just a minor encounter with the
shrew."|speech|MICHAEL|M
203|CAMERON|That's her?  Bianca's sister?|speech|CAMERON|F
204|MICHAEL|The mewling, rampalian wretch herself.|speech|MICHAEL|M
205||"Michael putters off, leaving Cameron dodging Patrick's
grimy, grey Jeep -- a vehicle several years and many paint
jobs away from its former glory as a REGULATION MAIL TRUCK -
- as he sideswipes several cars on his way out of the lot."|stage direction||
206||INT.  STRATFORD HOUSE - DAY|location||
207||"SHARON STRATFORD, attractive and focused, sits in front of
her computer, typing quickly.   A shelf next to her holds
several bodice-ripper romance novels, bearing her name.
Kat stands behind her, reading over her shoulder as she
types."|stage direction||
208|KAT|"""Undulating with desire, Adrienne
removes her crimson cape, revealing her
creamy --"""|speech|KAT|F
