|character|text|type|character_clean|gender|principal_character
0||"ARTHUR
Written by
Peter Baynham
10/16/09"|unknown|||
1||EXT. MANHATTAN - NIGHT|location|||
2||"A HOMELESS MAN, who from his tatty suit may have been a top
broker this time last year, is picking through a bin in
Manhattan's deserted night-time financial district.
The street starts to vibrate. A TERRIFYING GROWL approaches.
A huge black shape smashes into view - THE DARK KNIGHT'S
BATMOBILE! Our audience wonder if they've wandered into the
wrong movie. The Homeless Man dives for cover.
BAM! The Batmobile smashes into a row of parked cars.
We hear manic laughing from inside the car, which screeches
and careers violently into a sign reading `WALL STREET'.
Sirens herald THREE POLICE CARS in hot pursuit.
The Batmobile roars up Wall Street, bashing against the New
York Stock Exchange, thumping up and down the Federal Hall's
steps and finally smashing at high speed into the rear end of
the famous 'Charging Bull' statue. Two enormous bronze
testicles thud onto the Batmobile's bonnet and roll away.
The cop cars screech up, surrounding the Batmobile. TWO OLDER
COPS and A ROOKIE surround it, weapons drawn.
A HELICOPTER appears, blazing the Batmobile in white light."|stage direction|||
3|ROOKIE COP|Cooool.|speech|ROOKIE COP|?|
4||"An older Cop flashes the rookie a dirty look, then points a
FLASHLIGHT into a tiny window. THE BATMAN - actually drunken
English socialite ARTHUR BACH TEMPLEMEAD in a costume -
lowers the window and offers a handshake."|stage direction|||
5|ARTHUR|Evening, Constable!|speech|ARTHUR|M|True
6|OLDER COP 1|"(seen it all before)
Hi, Arthur."|speech|OLDER COP 1|?|
7|ARTHUR|"Are you familiar with the
expression `I can explain
everything'?"|speech|ARTHUR|M|True
8|OLDER COP 1|"Out of the car, please.
2."|speech|OLDER COP 1|?|
9|ARTHUR|"Terribly sorry, but in the film
they used a different model to show
the old Batchap getting in and out.
This one has no doors, so I'd have
to squeeze out the back arsehole
first. Which nobody wants..."|speech|ARTHUR|M|True
10|(TO COP 2)|Apart from you, cheeky monkey!|speech|||
11|(BEAT)|It's a joke! Okay, okay.|speech|||
12||"Arthur wriggles awkwardly out of a rear hatch. The bronze
bull teeters, a little scarily. He stands, wobbly. His Batman
utility belt features a big water pistol, a firework, a hip
flask and line of shot glasses. And, inexplicably, a big red
stapler. The younger cop is desperately fighting the giggles."|stage direction|||
13|OLDER COP 1|Okay, explain everything.|speech|OLDER COP 1|?|
14|ARTHUR|"Well. What with having spunked 1.6
million fat Alberts on this little
runaround, I thought why not take
it a step further and try to
actually collar a few ne-er do
wells? It worked for the
billionaire Bruce Wayne, why not
the future billionaire Arthur Bach-
Templemead? Will I have to do
traffic school?"|speech|ARTHUR|M|True
15|OLDER COP 2|How much have you drunk, Arthur?|speech|OLDER COP 2|?|
16|ARTHUR|"To use the technical medical term -
megabloodyshitloads. Either that or
I've had a stroke! But fret not, I
have a designated driver."|speech|ARTHUR|M|True
17||"The cop shines his flashlight back inside, revealing A
BEARDED HOMELESS OLD MAN IN A CRAPPY 60S `ROBIN' costume."|stage direction|||
18|HOMELESS ROBIN|Where's my five thousand dollars?|speech|HOMELESS ROBIN|?|
19||Arthur counts out a huge wad of cash.|stage direction|||
20|ARTHUR|"The Boy Homeless here neglected to
say he'd never driven."|speech|ARTHUR|M|True
21|(MORE)|3.|speech|||
22|ARTHUR (CONT'D)|"Or that the only reason he's sober
is to be ready for the conspiracy
of leopards about to seize
Manhattan."|speech|ARTHUR|M|True
23|HOMELESS ROBIN|It's LIZARDS! English prick!|speech|HOMELESS ROBIN|?|
24||Arthur hands another wad of cash to Cop 1.|stage direction|||
25|ARTHUR|"I trust this will cover all repairs
to New York and any inconvenience
to your good selves?"|speech|ARTHUR|M|True
26||He turns and tries to get back in.|stage direction|||
27|ARTHUR (CONT'D)|"Up up and away! Ah, no, that's the
other chap."|speech|ARTHUR|M|True
28||The bronze bull collapses fully, crushing the Batmobile.|stage direction|||
29||INT. 23RD PRECINCT. CELL - NIGHT - LATER|location|||
30||"Arthur sits, minus mask, in a cell with Homeless Robin and
VARIOUS CRIMINALS and DRUNKS, including A HUGE GUY IN A
CHICAGO CUBS SHIRT, sporting a terrifically swollen eye.
JAY, a drunk with a bandaged neck, is ranting away at Arthur,
who's paying close attention, genuinely fascinated. Cash
sticks out of various pockets."|stage direction|||
31|JAY|Then the crazy motherfucker cut me!|speech|JAY|?|True
32|ARTHUR|Goodness. Why?|speech|ARTHUR|M|True
33|JAY|"Said I cut the bombita with pig
killer!"|speech|JAY|?|True
