|character|text|type|character_clean|gender|principal_character
0||HOT TUB TIME MACHINE|unknown|||
1||"Written by
Josh Heald"|location|||
2|unknown|"Hot Tub Time Machine Theme
Lyrics by Josh Heald
Music by Def Leppard, Styx, Journey, Poison, or Whitesnake
Water cranked to a hundred and three
Got my tunes, my snacks, my booze, my skis
(Got the) freshest moves you ever seen
When I'm soakin in my Hot Tub Time Machine
When you're going back to the 80s...
And you might be fuckin some ladies...
You bring your button fly jeans and some sweet hair gel
Want blow? All you gotta do is yell
(Yeah you're) lookin real smooth, (and you're) lookin real mean
When you're soakin in your Hot Tub Time Machine
Yeah!
Hot Tub - Time Machine!
Hot Tub - Time Machine!
C'mon!"|speech|unknown|?|
3||"(Sweet guitar solo - 16 measures]
Relaxed as hell when you're goin through time"|stage direction|||
4|unknown|That's the 54 jets workin' on your spine|speech|unknown|?|
5||(Yeah) you gotta be loose and you gotta be lean|stage direction|||
6|unknown|"When you roll up in your Hot Tub Time Machine
Yeah your shirt's a little psychedelic...
And you're lookin kinda like Tom Selleck...
Yeah the chicks are wetter than the Everglades
But double bag your dude, don't wanna get AIDS
Just listen right up, consider me your dean
In the college of the Hot Tub Time Machine
Yeah!
Hot Tub - Time Machine!
Hot Tub - Time Machine!
Yeah!"|speech|unknown|?|
7||EXT. POOL DECK - DAY|location|||
8|FADE IN:|"BLUE SKIES. A BEAUTIFUL SUNNY DAY.
CAMERA PANS DOWN to reveal A HOT TUB FULL OF HOT CHICKS IN
BIKINIS. They splash about playfully. Then--
A FUCKING LION JUMPS IN THE HOT TUB!
As the girls SCREAM and scramble for safety, the BEAST ROARS
and it becomes the:"|speech|FADE IN:|?|
9||INT. BEDROOM - DAY|location|||
10|"MGM LOGO
DISSOLVE TO:"|"ADAM COLEMAN (late 30s, good-looking, sweet-natured face) is
in a great mood as he packs a SUITCASE.
LILY (O.S.)
Ready for the wildest bachelor
party of all time?
LILY (early 30s, shirt and jeans, hot in a smart and classy
sense) walks in the room, smiling."|speech|MGM LOGODISSOLVE TO:|?|
11|ADAM|"You know it. I'm gonna bang all
sorts of chicks this weekend!"|speech|ADAM|M|True
12|LILY|"That's not the answer I was looking
for."|speech|LILY|F|True
13|ADAM|"Sorry, honey.
Adam gives his beautiful fiancee a playful kiss.
She shows him some PHOTOS."|speech|ADAM|M|True
14|LILY|"Look what I found...
2."|speech|LILY|F|True
15|ANGLE: PHOTO|"A BUNCH OF TEENAGERS and 20-SOMETHINGS PARTY IN A LARGE HOT
TUB at a SKI RESORT. It looks like the most fun ever."|speech|ANGLE: PHOTO|?|
16|ADAM|"Check out that young stud. Can you
believe he's about to get married?
Lily and Adam look through more PHOTOS of a YOUNG ADAM (17)
partying at a SKI RESORT with his FRIENDS:
-- In full 80s SKI GEAR on a mountain...
-- Eating PIZZA at ""Papa Enzo's,"" stuffing their faces...
-- Drinking BEERS at the ""Brew Haus,"" an awesome pub...
-- In the HOT TUB with SIX GIRLS...
Adam snatches the last photo from her."|speech|ADAM|M|True
17|ADAM (CONT'D)|Ignore that one. Nothing happened.|speech|ADAM|M|True
18|(BEAT)|"I love you.
Lily laughs."|speech|||
19|LILY|"Adam, you didn't know me yet.
As Adam goes back to packing, Lily leafs through some more of
the photos. She stops at one and her EXPRESSION CHANGES."|speech|LILY|F|True
20|LILY (CONT'D)|"Who's this?
Lily shows Adam a PHOTO:
-- A SMOKING HOT SKI BUNNY (23, blonde, svelte, leg warmers)."|speech|LILY|F|True
21|ADAM|I'm not sure.|speech|ADAM|M|True
22|LILY|"Really?
Lily shows Adam another PHOTO:
-- YOUNG ADAM with his arm around the SKI BUNNY, who looks
like she was ambushed for the photo.
3."|speech|LILY|F|True
23|ADAM|Oh! Jennie.|speech|ADAM|M|True
24|LILY|Who's Jennie?|speech|LILY|F|True
25|ADAM|"She's nobody. Ski instructor.
(off her look)
You didn't know me yet.
Lily still looks at him a little hard."|speech|ADAM|M|True
26|ADAM (CONT'D)|"Lily, I was 17. She had boobs and
a face. Of course I'm gonna take
her picture.
Lily still looks a little bothered."|speech|ADAM|M|True
27|LILY|Do you still think of her?|speech|LILY|F|True
28|ADAM|"Of course not! I think of you.
As Adam goes to EMBRACE her:"|speech|ADAM|M|True
29|LILY|"Hold on...
Lily goes into the CLOSET."|speech|LILY|F|True
30|ADAM|"Sweetie?
She comes out a moment later with a CARDBOARD BOX, which she
empties onto the BED. About FIFTY PORNO MAGAZINES spill out,
ranging from TITS MONTHLY to BLACK ASS."|speech|ADAM|M|True
31|ADAM (CONT'D)|"How did you know where I hid my...
treasure?
Lily carefully picks up a BROCHURE from the pile, holding it
by the corner, not wanting to touch it."|speech|ADAM|M|True
32|LILY|"Explain this.
From ADAM'S POV, we see the brochure:
-- A ski brochure featuring Jennie on the cover.
4."|speech|LILY|F|True
33|ADAM|"OK! You caught me! I
occasionally... reminisce... about
Jennie O'Keefe!"|speech|ADAM|M|True
34|LILY|That's gross.|speech|LILY|F|True
35|(THEN)|"What's ""occasionally?"""|speech|||
36|ADAM|"(without missing a beat)
About two hours ago when you were
on the phone with your mother."|speech|ADAM|M|True
37|LILY|"Jesus. Tell me how I'm supposed to
let you go to your bachelor party
and not be a basket case?"|speech|LILY|F|True
38|ADAM|What are you so worried about?|speech|ADAM|M|True
39|LILY|"I'm worried that you're still
thinking about this girl."|speech|LILY|F|True
40|ADAM|"Baby, the girl in that picture was
nothing more than a crush. I could
never get her and there's no
possibility I'll ever be with her.
She was a total stranger.
Lily gets a CURIOUS LOOK on her face."|speech|ADAM|M|True
41|LILY|So... you're into strangers?|speech|LILY|F|True
42|ADAM|"Well not the creepy ""your mom was
in an accident, now come with me""
kind. But yeah, the hot lady in
the supermarket kind of stranger.
You have to admit - it's kinda hot."|speech|ADAM|M|True
43|LILY|"So you're saying if you and I
didn't know each other, it would be
pretty hot if we fooled around?"|speech|LILY|F|True
44|ADAM|"You kidding me? It would be
fucking incredible.
5.
Lily smiles seductively, as Adam starts to get it."|speech|ADAM|M|True
45|ADAM (CONT'D)|"Wait a minute. Are you
suggesting... yes. YES!
Adam excitedly heads for the door."|speech|ADAM|M|True
46|ADAM (CONT'D)|"OK, I'll go down the hall. You get
into character.
(points at her)
This fucking rules.
Adam leaves the room and Lily REMOVES HER SHIRT, talking sexy
and slowly building the fantasy..."|speech|ADAM|M|True
47|LILY|"Oh I'm all alone in this big house.
Cheerleading camp just ended and I
need to get out of these sweaty
clothes...
ADAM (O.S.)
Love where you're going with this,
baby! Keep it up!
She unbuttons her pants and SLIDES DOWN HER JEANS."|speech|LILY|F|True
48|LILY|"Mmmm. My panties are so tight
against my firm naked body...
ADAM (O.S.)
You should probably take them off!"|speech|LILY|F|True
49|LILY|"Are you gonna let me do this?
ADAM (O.S.)
Sorry! Continue! You were just
about to take off your panties!
She slowly slides out of her panties, kicking them away. Now
she's TOTALLY NAKED. She continues to role play."|speech|LILY|F|True
