|character|text|type|character_clean|gender|principal_character
0||JAY AND SILENT BOB STRIKE BACK|location|||
1||"Screenplay by
Kevin Smith
OVER BLACK WE SEE:"|unknown|||
2||"CHYRON
A long time ago, in front of a convenience store far, far
away--"|stage direction|||
3||EXT. QUICK STOP YEARS AGO--DAY|location|||
4||"We FADE IN on the block of stores (Quick Stop/RST), from
sometime ago, In fact, RST isn't RST; it's THE RECORD RACK --
a 45's store with head shop paraphernalia in the window. A
white-trash MOTHER (maybe seventeen) wearing a baseball cap
comes into frame carrying a chubby BABY. The Baby wears an
oversized t-shirt under what looks like a little bathrobe,
and messily eats a CHOCOLATE BAR. There are food stamps in
the Mother's hands."|stage direction|||
5|MOTHER|"Bobby-Boy stay here while mommy picks
up the free cheese, 'kay?"|speech|MOTHER|F|True
6||"She looks up at the bright sun, shielding her eyes slightly,
then looks back at the baby on the ground. She takes off her
baseball cap and places it on the baby."|stage direction|||
7|MOTHER|"This'll keep the sun out of your
eyes. You be good now."|speech|MOTHER|F|True
8||"She walks away, leaving the baby sitting against the wall.
With the backwards baseball cap and the chocolate around his
mouth forming something that resembles a beard, the kid looks
kind of familiar.
Then, another MOTHER (also very young) decked out in a KISS
concert shirt from years gone by and huge, feathered hair
enters, with a black skullcap wearing BABY slung at her hip.
She sees the first Baby, sitting against the wall and sets
her Baby down beside him."|stage direction|||
9|MOTHER|"Don't fucking move, you little shit-
machine. Mommy's gonna try to score."|speech|MOTHER|F|True
10||"A PASSERBY enters, heading toward the convenience store. He
takes note of the Babies and the Mother heading into the
record store, and then stops and addresses her, disgusted."|stage direction|||
11|PASSERBY|"Excuse me--who's watching these
babies?"|speech|PASSERBY|M|
12|MOTHER|"The fat one's watching the little
one."|speech|MOTHER|F|True
13|PASSERBY|Oh, nice parenting.|speech|PASSERBY|M|
14||(walking away)|location|||
15|PASSERBY|"Leave'em out here like that and see
what happens."|speech|PASSERBY|M|
16||The Passerby walks away. The Mother flips him the bird.|stage direction|||
17|MOTHER|FUCK YOU, YOU FUCKING SQUARE!|speech|MOTHER|F|True
18||(waving her off)|location|||
19|PASSERBY|Ah, keep on truckin'.|speech|PASSERBY|M|
20||(to baby)|location|||
