|character|text|type|character_clean|gender|principal_character
0||"MARLEY & ME
Written by
Don Roos
March 7, 2007"|unknown|||
1|BLACK|Some microphone feedback followed by:|speech|BLACK|?|
2||"SEBASTIAN (V.O.)
Okay, here we go... everybody watching?
Our screen goes WHITE as a POWERPOINT PRESENTATION BEGINS...
SEBASTIAN (V.0.) (CONT'D)
I'd like to tell you all a little lov e
story..."|stage direction|||
3|BLACK|"But the images n screen are JOURNALISTIC PHOTOS OF
PEOPLE RIOTING I STREETS"|speech|BLACK|?|
4||SEBASTIAN (V.0.) (CONT'D)|stage direction|||
5|BLACK|"Whoops... wrong file...
LAUGHTER O.S. and we begin PULLING BACK TO REVEAL:
A RECEPTION HALL (BEGIN CREDITS) - DAY
The lights are dim. We're looking at a blank, pull-down
movie screen in a darkened ballroom.
SEBASTIAN (O.S.) (CONT'D)
Hang on, I got this--
Someone O.S. starts CLINKING a fork against a wine glass. Is
joined by others, and then we HEAR calls of ""Kiss! Kiss!""
ON A BRIDE AND GROOM
sitting at the main table, In silhouette, seen from behind,
lit only by the votives sprinkled along the table: JOHN
GROGAN and his bride of two hours, JENNY. In response to the
crowd, they kiss.
Standing right by them is SEBASTIAN -- tall, good looking,
rugged type --John's best man."|speech|BLACK|?|
6|SEBASTIAN (CONT'D)|"Alright, now I'm ready--
And now, on THE PORTABLE SCREEN, Sebastian'S MONTAGE BEGINS:
John with his Mom in front of the college dorm, etc.
SEBASTIAN (O.S.) (CONT'D)
Here's John, first week of college.
Nice hair, right?"|speech|SEBASTIAN|M|True
7||"2.
1"|unknown|||
8||SEBASTIAN (O.S.) (CONT'D)|stage direction|||
9|NOT|"You think that feathering 'S easy?
true. Takes a very well p
wrist action...
CHUCKLES from the crowd.
SEBASTIAN (O.S.) (CONT'D)
I'm just saying...
SEVERAL PHOTOS OF JOHN
Throughout college...
SEBASTIAN (O.S.) (CONT'D)
Was John a star athlete?
A shot of him fumbling a frisbee,
SEBASTIAN (O.S.) (CONT'D)
Umm, no. Was he a ladies man?
With mid-eighties hair, bad glasses.
SEBASTIAN (O.S.) (CONT'D)
You tell me."|speech|NOT|M|
