|character|text|type|character_clean|gender|principal_character
0||"OBSERVE AND REPORT
Written by
Jody Hill"|unknown|||
1||FADE IN:|stage direction|||
2||EXT. CAROLINA MALL - MORNING|location|||
3||"ONE LONG TRACKING SHOT FROM THE BACK.
A PERVERT in a trench coat runs along the edge of the
mall. A group of OLD WOMEN is coming toward the MAIN
ENTRANCE. The Pervert opens his trench coat and flashes
the old women. They SCREAM!
The Pervert ducks behind the bushes and runs with the
skill of a Navy SEAL. A FAMILY is walking down the
sidewalk. The Pervert opens his trench coat and flashes
them.
The Pervert ducks behind a dumpster. He keeps running
and sees a car driving by. The Pervert flashes the CAR.
The Pervert takes a two-step run, sees ANOTHER LADY,
flashes her. He dives behind a car. Then pops up and
flashes ANOTHER GIRL.
It's an all-out Pervert assault!
The Pervert then runs across the parking lot, jumps a
fence, and darts from the property -- vanishing as
quickly as a Ninja who just perfectly executed an
assassination."|stage direction|||
4||INT. MALL - BUSINESS OFFICES - DAY|location|||
5||"MARK, the Mall Manager, walks by a group of women, who
were exposed to the Pervert. They crowd around and
complain loudly."|stage direction|||
6||"MARK
Ladies, please, we're doing
everything we can to handle the
situation. Nothing is more
important to us than the safety of
our shoppers. Now in the
meantime, feel free to check out
some of our wonderful back-to-
school sales. Excuse me for a
minute."|unknown|||
7||"Mark walks down the hallway that houses all of the
business affair offices. He stops at the RECEPTIONIST'S
desk."|stage direction|||
8||"MARK
Have you seen Ronnie?
(CONTINUED)
2."|unknown|||
9||CONTINUED:|stage direction|||
10|RECEPTIONIST|I haven't seen him all morning.|speech|RECEPTIONIST|?|
11||"The Mall Manager quickly walks off.    On the way, he
passes a JANITOR."|stage direction|||
12|MARK|Ramon, have you seen Ronnie?|speech|MARK|M|True
13|JANITOR|No, senor.|speech|JANITOR|?|True
14||The Mall Manager keeps walking.|stage direction|||
15||INT. SECURITY OFFICE - DAY|location|||
16||"The Mall Manager comes into the surveillance room. It's
a small office with monitors that show the different
security cameras around the mall. DENNIS, a Mall
Security guard with sunglasses who will not utter a word
ever, turns around in the chair."|stage direction|||
17|MARK|Where is Ronnie?|speech|MARK|M|True
18||Dennis shrugs.|stage direction|||
19||CUT TO:|unknown|||
20||INT. GARAGE - DAY|location|||
21||"Blackness. White shafts of light sporadically shoot
through the dark and we see IMAGES. A GIANT FLASHLIGHT
is inserted into a UTILITY BELT. MACE is inserted in the
other side. A WALKIE-TALKIE is turned on. A TASER is
sparked. MIRRORED SUNGLASSES are pushed over the nose.
A garage door raises and bright light spills in..."|stage direction|||
22||EXT. GARAGE - DAY|location|||
23||"A garage door opens slowly and reveals a souped-up ORANGE
GOLF CART. There's a siren on top that spins around.
The man driving is RONNIE BARNHARDT (28), a stocky mall
security guard whose expression reads all business.
Ronnie pulls out of the garage...
SUPERIMPOSE:    OBSERVE AND REPORT"|stage direction|||
24||3.|unknown|||
25||EXT. MALL - DAY|location|||
26||"HEAVY METAL MUSIC. A group of anarchist SKATERS rages
through the mall parking lot tearing up everything they
see. A couple of them smoke cigarettes. One skater
grinds over a bench. One kid ollies onto the hood of a
car. Another slams into an old man and knocks him over.
Meanwhile, Ronnie sits in his golf cart -- waiting. He
looks eerily like Mel Gibson at the beginning of Mad Max.
The skaters ride past a set of construction cones. One
skater picks up the cone and tosses it across the parking
lot.
The skaters soar past Ronnie, who flips on the silent
orange siren and gives chase.
As the skaters ride through the parking lot, Ronnie pulls
up and drives alongside of them."|stage direction|||
27||"RONNIE
(cop authority voice)"|unknown|||
28||Pull over to the sidewalk, NOW!|location|||
29||STEVIE, the leader of the skaters, yells back.|stage direction|||
30||STEVIE|unknown|||
31||"Fuck off, Ronnie, it's just a
parking lot."|location|||
32||RONNIE|unknown|||
33||"Sir, pull over to the sidewalk,
NOW!"|location|||
34||HECTOR, another skater, joins in.|stage direction|||
35||HECTOR|unknown|||
36||Leave us alone.|location|||
37||STEVIE|unknown|||
38||Yeah, skating's not a crime, dick.|location|||
39||RONNIE|unknown|||
40||"Skateboarding is not allowed on
mall premises. Pull over now!"|location|||
41||STEVIE|unknown|||
42||We're not leaving.|location|||
43||HECTOR|unknown|||
44||Yeah, fuck you!|location|||
45||"The skateboarders flip Ronnie off and push hard to get
away from him. Ronnie guns it and an all out chase
ensues."|stage direction|||
46||"(CONTINUED)
4."|unknown|||
47||"CONTINUED:
Ronnie pulls up alongside of a SLOW SKATER. Ronnie side-
swipes the skater, forcing the skater to run into a trash
can and fall.
Ronnie catches up to ANOTHER SKATER. This time, Ronnie
tries to hit the skater on the side again, but he is too
fast. Ronnie swerves trying to get him, but he dodges
and ducks. Ronnie hits the brake. The skater thinks he
has escaped, but looks up and sees that a car is in his
way. The skater nails the car and is thrown over the
hood.
Ronnie is back in the chase and only Hector and Stevie
are left. Ronnie guns the golf cart and zooms up closely
behind the two kids.
Ronnie rams Hector over and over from behind. Hector
wobbles. Ronnie rams him again. Hector goes swerving
off and falls down hard.
Ronnie doesn't break his pace and guns it toward Stevie.
Stevie is good. He turns and rides through cars, ollies
over parking blocks, and through pedestrians. Ronnie
burns down the lane beside him.
Stevie looks behind and Ronnie is nowhere in sight.    He's
in the clear.
Stevie turns back around and sees Ronnie, driving in
reverse straight towards him. Ronnie rams into the
skater and knocks the poor kid on his ass."|stage direction|||
48|STEVIE|What the fuck are you doing?|speech|STEVIE|M|True
49|RONNIE|"I was driving in reverse and
trying to get you to flip into the
back seat."|speech|RONNIE|M|True
50|STEVIE|What?|speech|STEVIE|M|True
51|RONNIE|"That way I could handcuff you
smoothly and take you in. You
know, never mind, just get in the
goddamn golf cart."|speech|RONNIE|M|True
52||"Stevie picks himself up slowly and hobbles toward the
golf cart."|stage direction|||
53||5.|unknown|||
54||INT. MALL - SECURITY OFFICE - MORNING|location|||
55||"Ronnie is in the room with the monitors. The skaters sit
across from him. There's a poster on the wall with the
security guard motto: OBSERVE AND REPORT.
Ronnie fiddles with his walkie-talkie."|stage direction|||
56||RONNIE|unknown|||
57||"It seems like we go through this
every day. What's it going to
take for you all to realize that I
won't tolerate this horseplay and
just do whatever you want to and
don't worry about the rules
attitude?"|location|||
58||STEVIE|unknown|||
59||"Ronnie, I hear what you're saying
and I just want you to know that
personally, it pains me to see you
all worked up and I just want you
to know that I'm really sorry
because you can't do shit and you
can take your little rules and
stick'em up your ass, you fuckin'
rent-a-cop."|location|||
60||The Skaters all start cracking up.|stage direction|||
61||HECTOR|unknown|||
62||Yeah, suck my dick.|location|||
63||The Skaters start laughing louder.|stage direction|||
64||RONNIE|unknown|||
65||"That's funny, guys. I try to be a
mentor to the youth, but it seems
like you boys have gone straight
past boydom to the land of street-
hardened criminals. I'm left with
no choice. You call me rent-a-
cop, but I call myself the law's
right hand. I see the crime...
and I phone it in. And that's
what I'm getting ready to do right
now."|location|||
66||"Ronnie picks up the walkie-talkie and turns it on.   He
speaks into it."|stage direction|||
67||"RONNIE
(into walkie)"|unknown|||
68||"317, this is Ronnie Barnhardt over
at Carolina Mall. Come in, over."|location|||
69||"(CONTINUED)
6."|unknown|||
70||CONTINUED:|stage direction|||
71|WALKIE VOICE (V.O.)|"This is Officer Douglas, what do
you wish to report? Over."|speech|WALKIE VOICE|?|
72||(into walkie)|unknown|||
73|RONNIE|"I've got a couple of trespassers
who have been found skateboarding
on mall property. Can you send a
black and white over to take these
boys into processing? Over."|speech|RONNIE|M|True
74||Ronnie winks at the Skaters.|stage direction|||
75|WALKIE VOICE (V.O.)|"Uh... Yeah, Ronnie, we're kind of
busy today. I mean, we got like
three car accidents."|speech|WALKIE VOICE|?|
76||Ronnie picks up the walkie and whispers into it.|stage direction|||
77||(into walkie)|unknown|||
78|RONNIE|"What do you mean? I've got these
guys red-handed. I'm gonna need a
car over here pronto. I can't
hold them all day by myself.
Over."|speech|RONNIE|M|True
79|WALKIE VOICE (V.O.)|"Copy. Yeah, like I said, we're
awfully busy right now. I think
you should probably just make'em
promise not to do it again and
threaten to call their parents or
something. That'll get them.
Over."|speech|WALKIE VOICE|?|
80||The Skaters start laughing.|stage direction|||
81||(into walkie)|unknown|||
82|RONNIE|"Sir, I don't think you understand,
their parents don't care about
them. This is a 911 from one of
your soldiers. Officer needs
assistance! Over!"|speech|RONNIE|M|True
83|WALKIE VOICE (V.O.)|Yeah, it's not gonna happen...|speech|WALKIE VOICE|?|
84||The VOICE fades as Ronnie turns off the Walkie.|stage direction|||
85||"(CONTINUED)
7."|unknown|||
86||CONTINUED:|stage direction|||
87|RONNIE|"So as you can see, the law is just
one little call away. But I'm
gonna choose not to use that
tactic today. I'm gonna do
something that I like to do from
time to time, and that's called
handle shit myself."|speech|RONNIE|M|True
