|character|text|type|character_clean|gender|principal_character
0||"SAVING MR. BANKS
Written by
Kelly Marcel & Sue Smith"|unknown|||
1||"EXT. MARYBOROUGH PARK - AUSTRALIA - DAY (1906)
OVER BLACK:"|location|||
2||"MUSIC - string violins treat us to a familiar song opening
and then a voice - male."|stage direction|||
3|unknown|TRAVERS (V.O.)|speech|unknown|?|
4|(SINGING)|"Winds in the East
Mist coming in--"|speech|||
5||FADE IN:|location|||
6||"A whoosh of wind spins us around in a blue sky, spinning,
spinning until we slow to a stop and find ourselves amongst
white fluffy clouds. A shadow (oddly shaped like an umbrella)
dances amongst the nimbus."|stage direction|||
7|(SINGING)|"TRAVERS (V.O.)
--Like something is brewing,
about to begin--"|speech|||
8||"The shadow's direction becomes purposeful - taking us down
through the clouds, whipping us on the wind towards a small
town in the distance."|stage direction|||
9|(SINGING)|"TRAVERS (V.O.)
--Can't put me finger on what lies"|speech|||
10||"Downwards and downwards until it skittishly circles a large,
bustling park and then swoops us into the lavish gardens.
There, a ten-year-old girl plays in the lush grass; she puts
the finishing touches to a miniature version of the large
park she sits in - benches made from twigs, trees from
flowers, picnic cups from acorns - and gives a satisfied nod.
She wraps her arms tightly around her chest, lifts her face
to the sky, a half-smile threatening to break across her
concentrated face. This is the young P.L. TRAVERS (whom we
will also know as GINTY.)"|stage direction|||
11|IN STORE--|"TRAVERS (V.O.)
--But I feel what's to happen, all"|speech|IN STORE--|?|
12||"Her little brow is furrowed with imagination and then, all of
a sudden, the smile breaks free as something in her mind
becomes real."|stage direction|||
13||INT. SHAWFIELD ST - PAMELA'S OFFICE - LONDON - MORNING (1961)|location|||
14||"P.L. TRAVERS sits in her rocking chair (in the same position
as above) arms clasped tightly around her body, face to the
sky. Older, beautiful; striking blue eyes aid her air of
stiff and steely determination.
Her office is a canvas of a life well travelled. Buddha
smiles from every corner, framed poetry and letters adorn the
walls alongside pictures of Pamela throughout the years with
men we will not come to know and everywhere, china hens sit
on shelves, their wings clasped to their chests, brooding.
Despite the multitude of objects, the room is peaceful,
white.
Downstairs the doorbell rings.
Pamela closes her eyes, breathes.
It rings again, Pamela shakes her head, tuts. She stands up,
smooths down her skirt with flat palms. Breathes."|stage direction|||
15||INT. SHAWFIELD ST - DOWNSTAIRS HALLWAY - MORNING|location|||
16||"Pamela opens the front door and squints as a flood of
sunlight and cherry blossom petals float over the threshold.
DIARMUID RUSSELL (45) - bright, youthful - waits to be asked
inside. Pamela is not pleased to see him."|stage direction|||
17|DIARMUID|Mrs Travers.|speech|DIARMUID|F|True
18||INT. PAMELA'S LIVING ROOM - MORNING|location|||
19||"Pamela and Diarmuid sit in silence. Diarmuid looks at her,
she looks out of the window."|stage direction|||
20||You're ready to--? Like pink clouds on sticks.|stage direction|||
21|DIARMUID|Excuse me?|speech|DIARMUID|F|True
22|PAMELA|The cherry blossoms|speech|PAMELA|F|True
23|(BEAT)|I was trying to think of what they--|speech|||
24||Diarmuid looks at his watch.|stage direction|||
25|DIARMUID|The car should be here, may I use--|speech|DIARMUID|F|True
26|"(THE PHONE)
PAMELA
(OVER)"|I cancelled it.|speech|PAMELA|F|True
27|DIARMUID|You--?|speech|DIARMUID|F|True
28|(PANICKED)|What? Pamela!|speech|||
29|PAMELA|Mrs Travers.|speech|PAMELA|F|True
30|DIARMUID|"Mrs Travers, please, why--
(sugaring his tone)
Why would you cancel the car?"|speech|DIARMUID|F|True
31|PAMELA|I shan't be going.|speech|PAMELA|F|True
32||Diarmuid buries his face in his hands.|stage direction|||
33|DIARMUID|We've been through this--|speech|DIARMUID|F|True
34|PAMELA|I've changed my mind.|speech|PAMELA|F|True
35|DIARMUID|You can't.|speech|DIARMUID|F|True
36|PAMELA|"With all due respect Mr Russell I
am on very good terms with my own
faculty and exceedingly confident
in its decision making
capabilities."|speech|PAMELA|F|True
37||"Diarmuid's shoulders visibly sag, he lets out a long
frustrated breath."|stage direction|||
38|DIARMUID|"You made an agreement. Do you
understand? A verbal agreement."|speech|DIARMUID|F|True
39|PAMELA|"Why in the world are you speaking
to me as if I am a neonate?"|speech|PAMELA|F|True
40|"DIARMUID
HE'LL--
PAMELA"|"He'll what? Sue? He is most welcome
to every penny I don't have."|speech|DIARMUIDHE'LL--PAMELA|?|
41|"DIARMUID
LOOK--
(HE SIGHS)"|"--I've represented you for a long
time. I like to think of you as a"|speech|DIARMUIDLOOK--|?|
42||Pamela snorts.|stage direction|||
43|DIARMUID (CONT'D)|"I like to think of it, believe me I
know it's not reciprocated."|speech|DIARMUID|F|True
44|(BEAT)|"I would never suggest you do
something that would cause you
anguish but there's no more money
Pamela-- Mrs Travers. Simply no
more. Sales have dried up, no more
royalties. You refuse to write
further books so--"|speech|||
45|(BEAT)|"Do you understand? I'm frightened
that you don't understand what that
means."|speech|||
46||Pamela looks out of the window, the cherry blossom her focus.|stage direction|||
47|PAMELA|"I know what he's going to do to her-
- she'll be cavorting and
twinkling! Careening towards a
happy ending like a kamikaze--"|speech|PAMELA|F|True
48|DIARMUID|"--We've been trying to do this deal
for twenty years! He's agreed to
both your stipulations. No
animation, script approval-- I--"|speech|DIARMUID|F|True
49|PAMELA|"Use her to pay my bills? If I
believed in a hell I'd be sitting
in its waiting room--"|speech|PAMELA|F|True
50|"DIARMUID
(OVER)"|"--script approval! He's never
granted anything like that before!
I don't know what else to--"|speech|DIARMUID|F|True
51||He looks around.|stage direction|||
52|DIARMUID (CONT'D)|Where is Polly?|speech|DIARMUID|F|True
53|PAMELA|I fired her.|speech|PAMELA|F|True
54||Diarmuid shakes his head, sighs.|stage direction|||
55|PAMELA (CONT'D)|"It's just as well. It seems I can't
afford her anymore anyway!"|speech|PAMELA|F|True
56||Pamela looks to the ceiling, breathes.|stage direction|||
57|"PAMELA (CONT'D)
(MOMENTARILY SOFT)"|"You don't know how much she means
to me."|speech|PAMELA|F|True
58|DIARMUID|Polly?|speech|DIARMUID|F|True
