|character|text|type|character_clean|gender|principal_character
0||SEX AND THE CITY: THE MOVIE|unknown|||
1||"Michael Patrick King
FADE IN:
A1   EXT. 5TH AVENUE -- NEW YORK CITY -- DAY -- SUMMER           A1
Glistening city buildings reflect onto the WINDOW of an
upscale clothing boutique. In the window -- a MANNEQUIN is
wearing -- the best of everything. A PRETTY TWENTY-SOMETHING
girl looks in at the display: dreaming of the day."|unknown|||
2|CARRIE (V.O.)|"Year after year, twenty-something
women come to New York City in
search of the two ""L's"": labels and
love."|speech|CARRIE|F|True
3||"1    EXT. 5TH AVENUE/TIFFANY -- DAY -- SUMMER                    1
Four TWENTY-SOMETHING WOMEN walk away from us -- arms linked
LAUGHING -- They make their way down the busy street --
shopping bags and designer purses swinging.
The young women reveal:
CARRIE BRADSHAW (41) and fabulous -- walking towards us. She
watches them as they pass, a SMILE grows on her face."|unknown|||
4|CARRIE (V.O.)|"Twenty years ago... I was one of
them."|speech|CARRIE|F|True
5||"She walks along, her shopping bag -- swinging.
2    INT. CARRIE'S APARTMENT/CLOSET -- NIGHT -- SUMMER           2
Carrie on step ladder, barefoot. Her finger moves along a
series of DESIGNER shoe boxes..."|unknown|||
6|CARRIE (V.O.)|"Having gotten the knack for labels
early... I concentrated on my
search for love."|speech|CARRIE|F|True
7||"3    EXT. CLUB -- NIGHT -- FALL                                  3
Summer night. Couples everywhere. Carrie walks along.
1A.
CARRIE (V.O.)"|unknown|||
8||"Turns out, a ""knock-off"" is not as
easy to spot when comes to love..."|stage direction|||
9||"She passes a twenty-something girl and guy huddled very close
together. Suddenly, the girl SLAPS HIM across the face.
CARRIE (V.O.) (CONT'D)"|unknown|||
10||Until it is.|stage direction|||
11||"CARRIE reacts, and trots along.
2.
4    EXT. STREET -- DAY -- SPRING                                    4
CARRIE and preppy perfect CHARLOTTE walk along, talking.
CARRIE (V.O.)"|unknown|||
12||"That is why you need help to spot
them..."|location|||
13||"JUMP CUT TO: Carrie, Charlotte and MIRANDA walk along
talking.
CARRIE (CONT'D)"|unknown|||
14||... Lots of help.|location|||
15||"JUMP CUT TO: Carrie, Charlotte, Miranda and SAMANTHA walk
along; LAUGHING -- their shopping bags and designer purses
swinging.
5    EXT. CARRIE'S APARTMENT -- NIGHT -- WINTER                      5
The front of Carrie's building.   She is typing in her window.
5A   INT. CARRIE'S BULIDING -- CONTINUOUS                        5A
Carrie at her desk - typing. CLOSE ON the computer screen --
Written on it: ""Charlotte, Miranda and Samantha...""
CARRIE (V.O.)"|unknown|||
16||"Year after year, my single
girlfriends were my salvation. And,
as it turns out..."|location|||
17||"6    INT. CARRIE'S APARTMENT -- DAY -- SPRING                        6
CLOSE ON: A colorful CHICK LIT book cover: ""A Single Life"" by
Carrie Bradshaw.
CARRIE (V.O.)"|unknown|||
18||... My meal ticket.|location|||
19||"CARRIE -- standing on her bed placing it next to her TWO
other books: ""Sex and The City"" and ""Menhattan""
A framed photo of four girls (circa 1999) is also on the
shelf.
She picks it up -- Touches it sweetly.
CARRIE (V.O.) (CONT'D)"|unknown|||
20||"We still are those four single
girls..."|location|||
21||"3.
7    EXT. UPPER FIFTH -- DAY -- SUMMER                                7
CARRIE in a sexy, summer dress, spots someone -- waves --
CARRIE (V.O.)"|unknown|||
22||"Even though, technically... we're
not."|location|||
23||"She hurries across the street to meet that SOMEONE...
8    INT. MIRANDA'S BROOKLYN HOUSE/BACKYARD -- DAY -- SUMMER          8
MIRANDA (41) and BRADY (5) are filling an inflatable pool
with water from a hose. As STEVE approaches with Popsicles,
they squirt him with the hose. He grabs them; laughing.
CARRIE (V.O)"|unknown|||
24||One of us is married...|location|||
25||"9    EXT. CENTRAL PARK CAROUSEL -- DAY -- SUMMER                      9
Charlotte (40) and HARRY and their beautiful Asian daughter
LILY (3) go around. Lily giggles, they kvell.
CARRIE (V.O)"|unknown|||
26||"One of us... married, divorced and
re-married..."|location|||
27||"10   EXT. BEACHOUSE -- DAY -- SUMMER                              10
The deck of fabulous Malibu beachouse. Samantha (49) sits
near the pool wearing a white bikini and huge white
sunglasses making deals on the phone as SMITH lays nearby in
a bathing suit -- reading a script.
CARRIE (V.O)"|unknown|||
28||One of us... relocated.|location|||
29||"11   EXT. UPPER FIFTH AVE -- SAME -- SUMMER                       11
Carrie walks over and into the arms of that SOMEONE -- it's
MR. BIG -- waiting for her in front of an apartment building.
CARRIE (V.O.)"|unknown|||
30||"And... one of us stayed exactly
where she was."|location|||
31||"4.
They kiss. A good kiss."|unknown|||
32||In love.|location|||
33||"A kiss worth waiting four years to see.
They turn and start into the classic apartment building. The
doorman tips his hat and opens the door.
12   INT. FIFTH AVENUE BUILDING/LOBBY -- CONTINUOUS               12
Carrie and Big walk through the beautiful lobby and over to
the elevator... holding hands.
BIG"|unknown|||
34||"I got a good feeling about this
one, kid."|location|||
35||CARRIE|unknown|||
36||I've always loved this block.|location|||
37||CARRIE (V.O.) (CONT'D)|unknown|||
38||"Finding the perfect apartment in
New York City is like finding the
perfect partner. It can take years."|location|||
39||"They push the elevator button. Doors open. They step on.
BIG"|unknown|||
40||How many does this make?|location|||
41||CARRIE|unknown|||
42||This is thirty-three.|location|||
43||BIG|unknown|||
44||Lucky thirty-three!|location|||
45||"They laugh a little as the doors close on the elevator.
13   INT. FIFTH AVE BUILDING - BAD APARTMENT/HALL -- MOMENTS LATER
13
A door is opened up by CAROL (55) their real estate agent.
CAROL"|unknown|||
46||"The worst. I just left you a
message."|location|||
47||"Carrie and Big look in. The apartment is dark, claustrophobic
-- awful. A male BUILDING AGENT (40) stands here. The smiles
leave Carrie and Big's faces.
5.
CARRIE
(to Big)"|unknown|||
48||Thirty-four. Lucky thirty-four?|location|||
49||"Big looks over at her. She shrugs.
14   INT. FIFTH AVE BUILDING/HALLWAY -- MOMENTS LATER             14
The Building Agent holds the elevator doors open for Carrie,
Big and Carol as they get on.
CARRIE"|unknown|||
50||"If anything else opens up let us
know. We're very interested in
this building."|location|||
51||AGENT|unknown|||
52||"I do have another apartment that's
not even on the market yet. Care to
take a look?"|location|||
53||CARRIE/BIG|unknown|||
54||Sure.|location|||
55||AGENT|unknown|||
56||"It's more than you were looking to
pay."|location|||
57||CAROL|unknown|||
58||How much more?|location|||
59||AGENT|unknown|||
60||More.|location|||
61||"The Agent reaches over and presses the ""PH"" button on the
control panel. Carrie and Big react.
15   INT. PENTHOUSE -- MOMENTS LATER -- SUMMER                    15
A gorgeous pre-war penthouse apartment. Empty except for the
beautiful light. Old-world New York City style. Elevator
doors open into the penthouse foyer. Carrie and Big step in.
BIG"|unknown|||
62||"Oh, so this is where they keep the
light."|location|||
63||"6.
CARRIE"|unknown|||
64||"Oh my God. I've died and gone to
real estate heaven. Look at this
place."|stage direction|||
65||"She swirls around to Big -- very grand dame; with accent.
CARRIE (CONT'D)"|unknown|||
66||Hellooo, I live here.|stage direction|||
67||"Carrie starts giggling. Big looks over to the agents.
BIG"|unknown|||
