|character|text|type|character_clean|gender
0||"""SIDEWAYS""
Screenplay by
Alexander Payne & Jim Taylor
Based on the novel by
Rex Pickett
May 29, 2003"|unknown||
1||"UNDER THE STUDIO LOGO:
KNOCKING at a door and distant dog BARKING.
NOW UNDER BLACK, a CARD --"|stage direction||
2||SATURDAY|unknown||
3||"The rapping, at first tentative and polite, grows insistent.
Then we hear someone get out of bed."|stage direction||
4|MILES (O.S.)|...the fuck...|speech|MILES|M
5||"A DOOR is opened, and the black gives way to BLINDING WHITE
LIGHT, the way one experiences the first glimpse of day amid,
say, a hangover.
A WORKER is there."|stage direction||
6|MILES (O.S.)|Yeah?|speech|MILES|M
7|WORKER|"Hi, Miles. Can you move your car,
please?"|speech|WORKER|?
8|MILES (O.S.)|Why?|speech|MILES|M
9|WORKER|"The painters got to put the truck
in, and you didn't park too good."|speech|WORKER|?
10||(a sigh, then --)|location||
11|MILES (O.S.)|Yeah, hold on.|speech|MILES|M
12||He closes the door with a SLAM.|stage direction||
13||EXT. MILES'S APARTMENT COMPLEX - DAY|location||
14||SUPERIMPOSE --|stage direction||
15||SAN DIEGO, CALIFORNIA|unknown||
16||"Wearing only underwear, a bathrobe and clogs, MILES RAYMOND
comes out of his unit and heads toward the street. He passes
some SIX MEXICANS waiting to work.
He climbs into his twelve-year-old CONVERTIBLE SAAB, parked
far from the curb and blocking part of the driveway. The car
starts fitfully.
As he pulls away, the guys begin backing up the truck."|stage direction||
17||EXT. STREET - DAY|location||
18||Miles rounds the corner and finds a new parking spot.|stage direction||
19||INT. CAR - CONTINUOUS|location||
20||"He cuts the engine, exhales a long breath and brings his
hands to his head in a gesture of headache pain or just
anguish. He leans back in his seat, closes his eyes, and
soon NODS OFF."|stage direction||
21||INT. MILES'S APARTMENT - DAY|location||
22||"The door bursts open. Miles runs into the kitchen, looking
just past camera."|stage direction||
23|MILES|Fuck!|speech|MILES|M
24||"WHIP PAN TO --
THE MICROWAVE CLOCK that reads 10:50.
ON THE PHONE --
Miles hurriedly throws clothes into a suitcase."|stage direction||
25|MILES|"Yeah, no, I know I said I'd be there
by noon, but there's been all this
work going on at my building, and
it's like a total nightmare, and I
had a bunch of stuff to deal with
this morning. But I'm on my way. I'm
out the door right this second. It's
going to be great. Yeah. Bye."|speech|MILES|M
26||INT. MILES'S BATHROOM - DAY|location||
27||"ON THE TOILET --
Miles has a BOOK propped open on his knees. He turns a page,
lost in his reading.
LATER --
Miles SHOWERS.
IN THE MIRROR --
Miles FLOSSES."|stage direction||
28||INT. COFFEE HOUSE - DAY|location||
29||Miles finally makes it to the front of the line.|stage direction||
30|BARISTA|Hey, Miles.|speech|BARISTA|?
31|MILES|Hey, Simon. Triple espresso, please.|speech|MILES|M
32|BARISTA|Rough night, huh?|speech|BARISTA|?
33||(ringing it up)|location||
34|BARISTA|For here?|speech|BARISTA|?
35|MILES|"No, I'm running late. Make it to go.
And give me a New York Times and..."|speech|MILES|M
36||"(scanning the display
case)"|location||
37|MILES|...a spinach croissant.|speech|MILES|M
38||EXT. 5 FREEWAY ENTRANCE RAMP - DAY|location||
39||"Miles's Saab chugs up the ramp and merges.
INSERT - NEW YORK TIMES CROSSWORD PUZZLE --
-- pressed against the STEERING WHEEL. The puzzle is about
1/3 finished."|stage direction||
40||EXT. 5 FREEWAY - DAY|location||
41||"As though from an adjacent car, we see Miles driving while
carefully filling in an answer."|stage direction||
42||INT./EXT. SAAB - DAY|location||
43||"THROUGH THE WINDSHIELD --
A SIGN reads:"|stage direction||
44||"RANCHO PALOS VERDES
PALOS VERDES ESTATES
1/4 MILE"|unknown||
45||"PAN TO MILES as he signals to change lanes. The finished
puzzle lies on the passenger seat."|stage direction||
46||EXT. PALOS VERDES STREET - DAY|location||
47||"The houses on this block are blandly palatial as in so many
affluent Southern California suburbs.
Miles's car pull into the driveway behind an older BMW and
two LEXI. He gets out and trots toward the front door."|stage direction||
48||INT. ERGANIAN HOUSE - DAY|location||
49||"A GIANT PROJECTION TV --
In a large split-level living room displays a GOLF TOURNAMENT.
WIDE --
Watching from the ultra-comfortable furniture are MIKE
ERGANIAN, a tanned, silver-haired real estate caudillo; bride-
to-be CHRISTINE ERGANIAN, his oldest daughter; and JACK
LOPATE, wearing bowling shirt, shorts and flip-flops.
MRS. ERGANIAN, a warm and elegant housewife, shows Miles
into the room."|stage direction||
50|MRS. ERGANIAN|Look what the cat dragged!|speech|MRS. ERGANIAN|?
51|MILES|Hi, everybody.|speech|MILES|M
52||"Mr. Erganian and Jack get to their feet and shake hands with
Miles. Jack remains affable, but we can discern his genuine
irritation."|stage direction||
53|JACK|"About time you got here, bud. Mr.
Prompt."|speech|JACK|M
54|MR. ERGANIAN|"We were thinking maybe you took the
wrong way and went to Tijuana and
they didn't let you back in."|speech|MR. ERGANIAN|M
55||The Erganians laugh. Miles works up a smile too.|stage direction||
56|MILES|I had to bribe them.|speech|MILES|M
57||More lame laughter.|stage direction||
58|CHRISTINE|Hey, Miles.|speech|CHRISTINE|F
59||"(leaning in to kiss
Christine)"|location||
60|MILES|"Seriously though, the freeway was
unbelievable today. Unbelievable.
Bumper to bumper the whole way. People
getting an early start on the weekend,
I guess. Granted I got a late start,
but still."|speech|MILES|M
61||"Although Mr. Erganian presses MUTE on the remote, he keeps
watching for an extended moment, as do Jack and Miles."|stage direction||
62|MRS. ERGANIAN|"Christine, why don't you ask Miles
about the cake?"|speech|MRS. ERGANIAN|?
63|CHRISTINE|"Oh, good idea. Here, Miles, come to
the kitchen with me."|speech|CHRISTINE|F
64|JACK|"Don't bother him with that. We got
to get going."|speech|JACK|M
65||(taking Miles's hand)|location||
66|CHRISTINE|It'll just take a second.|speech|CHRISTINE|F
67||INT. ERGANIAN KITCHEN - DAY|location||
68||"Jack and the Erganians surround Miles as he eats from a plate
with two pieces of CAKE -- one white, one dark."|stage direction||
69|MRS. ERGANIAN|"Jack tells us you are publishing a
book. Congratulations."|speech|MRS. ERGANIAN|?
70|MR. ERGANIAN|Yes, congratulations.|speech|MR. ERGANIAN|M
71||"Miles shoots Jack a look. Mr. Erganian gets some ice cubes
from the refrigerator door."|stage direction||
72|MILES|"Yeah, well, it's not exactly finalized
yet, but, um, there has been some
interest and --"|speech|MILES|M
73||(to Jack)|location||
74|MRS. ERGANIAN|Your friend is modest.|speech|MRS. ERGANIAN|?
75|JACK|"Yeah, Miles, don't be so modest.
Indulge them. Don't make me out to
be a liar."|speech|JACK|M
76|MR. ERGANIAN|"What subject is your book? Non-
fiction?"|speech|MR. ERGANIAN|M
77|MILES|"No, it's a novel. Fiction. Although
there's a lot from my own life, so I
guess technically some of it is non-
fiction."|speech|MILES|M
78|MR. ERGANIAN|"Good, I like non-fiction. There is
so much to know about the world that
I think reading a story someone just
invented is kind of a waste of time."|speech|MR. ERGANIAN|M
79|CHRISTINE|So which one do you like better?|speech|CHRISTINE|F
80|MILES|"I like them both, but if pressed I'd
have to say I prefer the dark."|speech|MILES|M
81||(to Christine)|location||
82|JACK|See?|speech|JACK|M
83||INT. SAAB - CONTINUOUS|location||
84||"IN A REAR VIEW MIRROR --
The Erganians wave good-bye.
INSIDE THE CAR --
Miles accelerates as he and Jack wave back."|stage direction||
85|JACK|"Where the fuck were you, man? I was
dying in there. We were supposed to
be a hundred miles away by now."|speech|JACK|M
86|MILES|I can't help the traffic.|speech|MILES|M
87|JACK|Come on. You're fucking hungover.|speech|JACK|M
88|MILES|"Okay, there was a tasting last night.
But I wanted to get us some stuff
for the ride up. Check out the box."|speech|MILES|M
89||"Jack turns around, and starts rooting around in a CARDBOARD
WINE BOX."|stage direction||
90|MILES|"Why did you tell them my book was
being published?"|speech|MILES|M
91|JACK|You said you had it all lined up.|speech|JACK|M
92|MILES|"No, I didn't. What I said was that
my agent had heard there was some
interest at Conundrum..."|speech|MILES|M
93|JACK|Yeah, Conundrum.|speech|JACK|M
94|MILES|"...and that one of the editors was
passing it up to a senior editor.
She was supposed to hear something
this week, but now it's next week,
and... It's always like this. It's
always a fucking waiting game. I've
been through it too many times
already."|speech|MILES|M
95|JACK|"I don't know. Senior editor? Sounds
like you're in to me."|speech|JACK|M
96|MILES|"It's a long shot, all right? And
Conundrum is just a small specialty
press anyway. I'm not getting my
hopes up. I've stopped caring. That's
it. I've stopped caring."|speech|MILES|M
97||"Jack sits back in his seat holding up a bottle of CHAMPAGNE
and TWO GLASSES."|stage direction||
98|JACK|"But I know it's going to happen this
time. I can feel it. This is the
one. I'm proud of you, man. You're
the smartest guy I know."|speech|JACK|M
99||Jack now begins to remove the foil from the champagne bottle.|stage direction||
100|MILES|Don't open that now. It's warm.|speech|MILES|M
101|JACK|"Come on, we're celebrating. I say we
pop it."|speech|JACK|M
102|MILES|"That's a 1992 Byron. It's really
rare. Don't open it now. I've been
saving it!"|speech|MILES|M
103||"Jack untwists the wire. Instantly the cork pops off, and a
fountain of champagne erupts."|stage direction||
104|MILES|"For Christ's Sake, Jack! You just
wasted like half of it!"|speech|MILES|M
105||Jack begins pouring two glasses.|stage direction||
106|JACK|Shut up.|speech|JACK|M
107||(handing Miles a glass)|location||
108|JACK|Here's to a great week.|speech|JACK|M
109||(coming around)|location||
110|MILES|"Yes. Absolutely. Despite your crass
behavior, I'm really glad we're
finally getting this time together."|speech|MILES|M
111|JACK|Yeah.|speech|JACK|M
112|MILES|"You know how long I've been begging
to take you on the wine tour. I was
beginning to think it was never going
to happen."|speech|MILES|M
113||They clink and drink.|stage direction||
114|JACK|Oh, that's tasty.|speech|JACK|M
115|MILES|"100% Pinot Noir. Single vineyard.
They don't even make it anymore."|speech|MILES|M
116|JACK|"Pinot Noir? How come it's white?
Doesn't noir mean dark?"|speech|JACK|M
