|character|text|type|character_clean|gender
0||"TED
Written by
Seth Macfarlane, Alec Sulkin & Wellesley Wild"|unknown||
1||EXT. SPACE - X|location||
2||"As the Universal logo completes itself, we begin to
slowly push in on the East Coast of the United States.
The camera glides down through the atmosphere, through
the clouds, closer and closer, until we begin to see
large patches of snow covering the upper coastline. It's
winter. We continue to push in, until we arrive at one
small suburban neighborhood. Over the push-in, we hear
the following narration, delivered by Patrick Stewart."|stage direction||
3|unknown|"NARRATOR (V.O.)
It has been said that magic vanished from
our world a long time ago. And that
humanity can no longer fulfill its
desires through the power of wishes.
To those who have lost the wondrous
vision of childhood eyes, submitted here
is the story of a little boy, and a
magical Christmas wish that changed his
life forever."|speech|unknown|M
4||EXT./ESTAB. A SUBURBAN NEIGHBORHOOD - MORNING|location||
5|unknown|"NARRATOR (V.O.)
It began in 1985, in a town just outside
Boston."|speech|unknown|M
6||"We see a GROUP OF KIDS laughing and tossing snowballs at
each other in the street."|stage direction||
7|unknown|"NARRATOR (V.O.)
It was Christmas Eve, and all the
children were in high spirits. That
special time of year when Boston children
gather together and beat up the Jewish
kids."|speech|unknown|M
8||"Another little kid walks out of his house with a sled,
and starts walking up the street. One of the snowball-
throwing kids points at the sled kid."|stage direction||
9|KID #1|Hey, Greenbaum!|speech|KID #1|?
10|GREENBAUM|Uh oh.|speech|GREENBAUM|?
11|KID #1|"It's Jesus' birthday tomorrow! You know
what I'm gonna get him?"|speech|KID #1|?
12|GREENBAUM|W...what?|speech|GREENBAUM|?
13||CONTINUED:|location||
14|KID #1|My fist in your fuckin' face!|speech|KID #1|?
15|GREENBAUM|Why would Jesus want that?|speech|GREENBAUM|?
16|KID #2|Get him!|speech|KID #2|?
17||"The kids all chase Greenbaum up the street, and tackle
him. Another boy, JOHN BENNETT (about 8 years old, shy
and innocent-looking) approaches the melee."|stage direction||
18|KID #2|"NARRATOR (V.O.)
But there was one child who wasn't in
such good spirits. Little John Bennett.
That one boy in every neighborhood who
just has a tough time making friends."|speech|KID #2|?
19|JOHN|Hey guys, can I play?|speech|JOHN|M
20||The kids all look at him.|stage direction||
21|KID #1/#2/#3|"Get outta here! / Get outta here,
Bennett! / Get lost, Bennett!"|speech|KID #1/#2/#3|?
22||The Jewish kid, his face bloodied, looks angrily at John.|stage direction||
23|GREENBAUM|Yeah, Bennett, get outta here!|speech|GREENBAUM|?
24||"The kids go back to beating up Greenbaum, as John sadly
walks back toward his house."|stage direction||
25||INT. JOHN'S BEDROOM - SHORTLY AFTER|location||
26|GREENBAUM|"NARRATOR (V.O.)
John longed with all his heart for that
one true friend that he could call his
own. And he knew that if he ever found
that friend, he would never let him go."|speech|GREENBAUM|?
27||"John sadly sits by his window with his chin in his hands,
looking outside. John'S POV - We see the other kids all
playing in the snow: building snowmen, throwing
snowballs, etc. At one point, a BLACK KID IN A
WHEELCHAIR wheels up. The other kids welcome him with
open arms, and he immediately joins in the fun."|stage direction||
28|GREENBAUM|"NARRATOR (V.O.)
Well, as it does every year, Christmas
morning finally came."|speech|GREENBAUM|?
29||CONTINUED:|location||
30|"(MORE)
(CONTINUED)
3"|"NARRATOR (V.O.) (CONT'D)
All the children were opening their gifts
with holiday glee."|speech|GREENBAUM|?
31||INT. A SUBURBAN HOUSE - MORNING|location||
32||"A LITTLE GIRL opens a present as her parents look on,
smiling. Inside is a My Little Pony. She smiles with
delight."|stage direction||
33||INT. ANOTHER SUBURBAN HOUSE - MORNING|location||
34||"A LITTLE BOY opens a present as HIS PARENTS look on,
smiling. Inside is a G.I. Joe Hovercraft. The boy is
overjoyed."|stage direction||
35||INT. A THIRD SUBURBAN HOUSE - MORNING|location||
36||"ANOTHER LITTLE BOY opens a present as his parents look on,
smiling. Inside is a ""Darth Vader head"" action figure case.
The boy opens it up, revealing that it's full of ""Star Wars""
action figures. The boy jumps around ecstatically."|stage direction||
37||"EXT./ESTAB. A FOURTH SUBURBAN HOUSE - MORNING
INT. A FOURTH SUBURBAN HOUSE - SAME"|location||
38|"(MORE)
(CONTINUED)
3"|"NARRATOR (V.O.)
And for little John Bennett, Christmas
Day brought a very special new arrival."|speech|GREENBAUM|?
39||"John sits amidst unwrapped gifts. We see him opening a
present. Inside is a plush, adorable-looking teddy bear.
The boy holds it with delight."|stage direction||
40|JOHN|Wow!|speech|JOHN|M
41||HIS MOM AND DAD hug him.|stage direction||
42|JOHN'S DAD|"I guess Santa paid attention to how good
you were this year, huh?"|speech|JOHN'S DAD|?
43|"JOHN'S MOM
(KISSING HIM)"|Merry Christmas, John.|speech|JOHN'S MOM|M
44||"John hugs the teddy bear. It makes a cutesy, high-
pitched ""I wuv you"" sound. John gasps with delight."|stage direction||
45||CONTINUED:|location||
46|JOHN|He talks!|speech|JOHN|M
47||"John giggles happily, squeezing the bear to make it talk,
as his mom and dad exchange a smile."|stage direction||
48|JOHN (CONT'D)|I'm gonna name you Teddy.|speech|JOHN|M
49||INT. JOHN'S HOUSE - LIVING ROOM - DAY|location||
50||"John sits on the floor watching the 1980 film ""Flash
Gordon"" on TV. He eats Twizzlers with Ted sitting next
to him. Occasionally he gives Ted a ""bite."""|stage direction||
