|character|text|type|character_clean|gender|principal_character
0||TIN CUP|unknown|||
1|unknown|Written by|speech|unknown|M|
2||JOHN NORVILLE and RON SHELTON|location|||
3||"December 1995 Draft
FOR EDUCATIONAL
PURPOSES ONLY
1.
TINNY CHEATIN' HEART MUSIC, the dull GROAN of a TRACTOR,
CRICKETS CHIRPIN' love songs, sporadic ZAPS from BUG
LIGHTS, and an occasional random THWOCK as we --
FADE IN:"|unknown|||
4||1   EXT. TEXAS - DRAMATIC ANGLE - SUNSET                        1|location|||
5||"Out west where the sun descends gloriously over desolate
mountains. A sense of timeless and incorruptible beauty
if you ignore the TWANG of the MUSIC, the SPUTTER of the
TRACTOR, the ZAPS, the THWACKS... and something else...
... MEN'S VOICES.   Garrulous with drink, fraternity and
amusement.
We PAN DOWN TO:"|unknown|||
6||2   EXT. DRIVING RANGE - LATE DAY                               2|location|||
7||"A man, JOSE, is on the roof, wrestling with a rickety
satellite dish, stringing wire, trying to get it to work.
(We get glimpses of him throughout the scene as he
struggles with what is assuredly a pirate operation.)
Four of six floodlights nailed to the roof cast pools of
yellow into the gathering darkness. ROY ""TIN CUP"" McAVOY
stands under the swarm of moths crowding the brightest
light, hitting golf balls. THWOCK...! Launching them,
really, into the deepening night. There's a beer between
his legs. Behind him:
A group of men forms a semicircle, facing away from Tin
Cup. These men are the range regulars: CURT, CLINT,
EARL, and DEWEY. Each man has money in one hand and his
preferred libation in the other. They're all looking
back and forth between the bug lights hung on the back
wall, and muttering what sounds like bets to:
ROMEO POSAR -- a smaller man, he stands at the center of
the group with a handful of cash. Romeo is a part-time
bookie and full-time driving range man. Born across the
river in Mexico, Romeo is Tin Cup's caddie, confidante,
best friend.
ROMEO"|unknown|||
8||Okay, all bets are down!|stage direction|||
9||"Their eyes rivet on the bug lights, edgy, hopeful,
until... ZAP! A BUG is ELECTROCUTED. And Dewey cheers
triumphantly while the other regulars mutter curses about
how they woulda, coulda, shoulda bet.
2.
ROMEO"|unknown|||
10||"Number one is the winner! Dewey
has the winner. Pays five to two!"|stage direction|||
11||"Romeo quickly pays Dewey and more quickly takes money from
the losers. It's fast-paced, inane, time-killing
gambling. Tin Cup looks over.
TIN CUP"|unknown|||
12||"Don't you shitheels ever get
bored?"|stage direction|||
13||"The regulars flap dismissive palms and mutter in the
negative as they turn back to Romeo and the action at the
bug lights.
TIN CUP"|unknown|||
14||... 'Cuz I got a riddle.|stage direction|||
15||"Tin Cup leads the regulars inside.
CUT TO:"|unknown|||
16||A3   INT. DRIVING RANGE - LATE DAY                                A3|location|||
17||"Tin Cup holds court.
TIN CUP"|unknown|||
18||"Takes about two ounces of brains
to figure it out. Anyone think
they got a brain with two ounces
of brains in it?"|stage direction|||
19||"The regulars silently look at each other, reluctant to
reveal the heft of their brains.
TIN CUP"|unknown|||
20||"For Chrissakes, boys! A little
self-confidence from the players'
gallery. We ain't talking long
division."|stage direction|||
21||"EARL
(timidly)"|unknown|||
22||How much we gotta lose?|stage direction|||
23||TIN CUP|unknown|||
24||"You want to liven things up, Earl?
That's a hell of an idea. Say
everyone puts in twenty bucks and
the pot goes to whoever solves the
riddle."|stage direction|||
25||DEWEY|unknown|||
26||"You going to get the riddle, Tin
Cup?"|stage direction|||
27||3.|unknown|||
28||(patiently)|unknown|||
29|TIN CUP|"Dewey. I'm the one asking the
riddle. I already know the
answer. I don't getta guess.
Although... We could say if I get
to five hundred bounces and no one
gets the riddle, I get the pot.
And I know what you're thinking.
It's an impossible riddle. Well,
It's not. It's an easy riddle.
And if somehow by the grace of
fluke luck I win, and you all
don't agree it was an easy
riddle, hell, I'll refund your
money."|speech|TIN CUP|M|True
30|EARL, CLINT & ALL|"I'm in... We're in... Count us
in... etc..."|speech|EARL, CLINT & ALL|?|
31|TIN CUP|"Okay, a man's driving down the
road with his son and they get
in a crash. Two ambulances come
and take the man and his son to
different hospitals. Son goes
into the operating room, the
doctor looks at him and says, 'I
can't operate on this boy. He's
my son.' How's that possible?"|speech|TIN CUP|M|True
32||(beat)|unknown|||
33|TIN CUP|The clock's ticking boys...|speech|TIN CUP|M|True
34||Tin Cup begins bouncing a ball on the face of his wedge.|location|||
35|EARL|"Father didn't sneak back in,
right? He's still at the other
hospital?"|speech|EARL|M|True
36|TIN CUP|"It ain't 'Star Trek,' Earl.   No
one beamed him aboard."|speech|TIN CUP|M|True
37||"That eliminates the most plausible theory in their minds.
The men think harder."|location|||
38|EARL|"Well... if the father married the
son's daughter --"|speech|EARL|M|True
39|TIN CUP|"It's a family riddle, Earl.   Think
clean thoughts."|speech|TIN CUP|M|True
40||"4.
The regulars puzzle some more.
CLINT
Give us a little hint.
MOLLY (O.S.)
The doctor's a woman.
All heads turn to take in the arrival of:"|unknown|||
41||3   MOLLY GRISWOLD                                             3|location|||
42||"Standing just inside the door -- she's a fresh-faced
beauty in her early thirties, and she's got all new
everything the sport of golf requires: new bag, new
clubs, new shoes, new clothes, new visor... she looks
like she stepped out of an ad in Golf Digest. And all
the men are asking themselves the same question: what's
she doing here? The silence invites Molly to supply the
riddle's answer.
MOLLY
The doctor is the son's mother.
Feminists pose the riddle to
reveal how deeply our sexual
stereotypes run.
(directly to Tin Cup)
I take it you're a feminist?
Tin Cup misses the ball he's been bouncing, breaking the
spell. The regulars wait for Tin Cup's response.
TIN CUP
Ma'am, I've been called a lot of
things -- but no one's ever
saddled me with that one.
MOLLY
You might try being saddled
sometime -- the smell of leather,
the sting of a whip...
The regulars snicker, enjoying her one-upmanship.
TIN CUP
(slightly taken
aback)
I'm just a humble golf pro...
MOLLY
You're Roy McAvoy the golf pro? I
pictured something... different.
I have a seven o'clock lesson.
TIN CUP
I thought I had a Doctor Griswold
5.
at seven.
They hurry out to the range, Tin Cup oblivious to his
gaffe.
And the regulars gather to look out the window --"|unknown|||
43||4   THEIR POV - THROUGH WINDOW                                 4|location|||
44||"To the range, where Molly is stretching and Tin Cup is
discreetly waving to the regulars to get lost.
CUT TO:"|unknown|||
45||5   EXT. DRIVING RANGE - NIGHT                                 5|location|||
46||"The lesson begins. Tin Cup can be slightly condescending
in these situations, though she's got him a little wary.
TIN CUP
The first thing you gotta learn
about this game, Doc, is it ain't
about hitting a little white ball
into some yonder hole. It's about
inner demons and self-doubt and
human frailty and overcoming all
that crap. So... what kinda
doctor'd you say you were?
MOLLY
I'm a psychologist -- in layman's
terms call me a neo-Jungian, post-
modern Freudian, holistic
secularist.
TIN CUP
Damn.
She begins unpacking one of her bags, pulling out every
golf gimmick on the market -- swing aid straps to pull
your elbows together, a ball pendulum that hangs from
your hat, a metal contraption for your feet, etc.
MOLLY
Inner demons and human frailty are
my life's work. I used to
practice in El Paso but I've moved
here now...
TIN CUP
What're those?
MOLLY
I ordered these from the Golf
Channel.
6."|unknown|||
47||"He stares in disbelief as she tries to wriggle into some
of this stuff. He's enchanted and dismayed."|location|||
48|TIN CUP|That stuff's a waste of money.|speech|TIN CUP|M|True
49|MOLLY|"I'm sure there are excesses and
repetitions here, but I believe in
the gathering of knowledge and I
figured, well, there must be some
truths about the golf swing
illustrated by these devices --
and that you'd help me sort
through it."|speech|MOLLY|F|True
50||"She stands there with contraptions coming from every
limb."|location|||
51|MOLLY|"I have dozens of golf videotapes,
too... And a golf watch."|speech|MOLLY|F|True
52||(irritated, impatient)|unknown|||
53|TIN CUP|"Take it off. All of it. Now!
You're a smart woman, for
Chrissakes -- don't you know the
work of charlatans when you see
it?"|speech|TIN CUP|M|True
54||She deposits all the golf gimmick devices in a pile.|location|||
55|MOLLY|"No. I can always tell when
someone is lying to himself, but
I'm quite susceptible and
frequently wrong when that person
lies to me."|speech|MOLLY|F|True
56||"(pointing to the
pile of devices)"|unknown|||
57|MOLLY|"That stuff cost me over 200
dollars --"|speech|MOLLY|F|True
58|TIN CUP|Then it's 200 dollars of shit...|speech|TIN CUP|M|True
59||He tees a ball, hands Molly her driver and steps back.|location|||
