|character|text|type|character_clean|gender
0||"DEATH AT A FUNERAL
Written by"|unknown||
1||"Based on ""Death at a Funeral"" by Dean Craig
02/6/09"|unknown||
2|FADE IN:|"MUSIC CUE: ""DON'T WORRY, BE HAPPY"" by Bobby McFerrin plays as we"|speech|FADE IN:|?
3||INT. FUNERAL HOME - DAY|location||
4|BEGIN CREDITS|We pan across a room filled with caskets.|speech|BEGIN CREDITS|?
5||EXT. CHURCH - DAY|location||
6|BEGIN CREDITS|People somberly walk into a church.|speech|BEGIN CREDITS|?
7||EXT. FUNERAL HOME - DAY|location||
8|BEGIN CREDITS|We see the signs outside of various funeral homes.|speech|BEGIN CREDITS|?
9||EXT. CEMETERY - DAY|location||
10|BEGIN CREDITS|"We close in on a HEADSTONE that reads: ""DEATH AT A FUNERAL""."|speech|BEGIN CREDITS|?
11||EXT. CHURCH - DAY|location||
12|BEGIN CREDITS|ASIAN PALL BEARERS carry a coffin into a church.|speech|BEGIN CREDITS|?
13||EXT. CEMETERY - DAY|location||
14|BEGIN CREDITS|"We push in on another headstone that reads: ""Starring Chris
Rock"". As we push through the cemetery, we see various co-
stars' names chiseled on headstones.
We see a fleet of hearses driving through a cemetery."|speech|BEGIN CREDITS|?
15||INT. FLORIST - DAY|location||
16|BEGIN CREDITS|We see a FLORIST making a funeral arrangement.|speech|BEGIN CREDITS|?
17||EXT. CEMETERY - DAY|location||
18|BEGIN CREDITS|"CLOSE UP of another headstone that has the director's name
chiseled on it."|speech|BEGIN CREDITS|?
19||INT. LIVING ROOM - DAY|location||
20|END CREDITS|"MUSIC CUE: The music fades out.
TIGHT SHOT on AARON (CHRIS ROCK) thirties, dressed in a black
suit and tie. He looks straight ahead with a somber expression.
The camera pulls back to reveal he is watching FOUR UNDERTAKERS
(INCLUDING BRIAN) place a coffin on a raised platform."|speech|END CREDITS|?
21|(CONTINUED)|2.|speech|END CREDITS|?
22|CONTINUED:|"The living room has been prepared for the funeral service, with
several rows of chairs laid out."|speech|END CREDITS|?
23|BRIAN|"Would you like to see...
Aaron nods his head ""yes"", as BRIAN begins to open the coffin.
Aaron crosses to the coffin.
There's a dramatic moment as Aaron moves to the coffin and
braces himself for what he's about to see. The coffin opens and
Aaron stares long and hard at the body."|speech|BRIAN|M
24|AARON|Brian... who is that?|speech|AARON|M
25|BRIAN|Excuse me?|speech|BRIAN|M
26|AARON|"Who is this man I'm looking at?
'Cause it's not my father."|speech|AARON|M
27|BRIAN|Are you sure?|speech|BRIAN|M
28|AARON|"Are you asking me if I'm sure I know
what my father looks like?"|speech|AARON|M
29|BRIAN|"People make mistakes in times of
grief."|speech|BRIAN|M
30|AARON|"Man, look at the damn body!
Brian peers into the coffin. We see it's an ASIAN MAN."|speech|AARON|M
31|BRIAN|"Oh shit!
The other undertakers look embarrassed."|speech|BRIAN|M
32|AARON|"Come on, Brian. You know what my
father looks like. He used to take
you to little league."|speech|AARON|M
33|BRIAN|"I'm sorry, man. I got a little
nervous. This almost never happens."|speech|BRIAN|M
34|(CONTINUED)|3.|speech|BRIAN|M
35|"CONTINUED: (2)
AARON"|"It's happened before?! You mean this
is a normal thing?... This isn't
Burger King. You can't just mess up
my order."|speech|BRIAN|M
36|BRIAN|I think I know where he is.|speech|BRIAN|M
37|AARON|You think?|speech|AARON|M
38||INT. ASIAN FUNERAL - SAME TIME|location||
39|CUT TO:|"Close up of the casket opening. People look confused. The MAN
looking into the coffin speaks Chinese with subtitles."|speech|CUT TO:|?
40|"ASIAN MAN
(IN CHINESE)"|That's not my father.|speech|ASIAN MAN|?
41||INT. LIVING ROOM - SAME TIME|location||
42|AARON|"I better .,see my dad in this coffin in
an hour, or you're going to take his
place.
The undertakers pick up the coffin and shuffle out awkwardly."|speech|AARON|M
43|BRIAN|Don't worry. I'll get him, man.|speech|BRIAN|M
44|AARON|You do that.|speech|AARON|M
45|(TO HIMSELF)|My people, my people, my people...|speech||
46||INT. BEDROOM - DAY|location||
47|(TO HIMSELF)|"Aaron enters the bedroom. His wife, MICHELLE, also thirties,
attractive, is putting on makeup with a thermometer hanging from
her mouth. Aaron stands looking dumbfounded."|speech||
48|AARON|"They brought the wrong body. Can you
believe that?"|speech|AARON|M
49|(CONTINUED)|4.|speech|AARON|M
50|"CONTINUED:
MICHELLE"|(muffled because of|speech|AARON|M
51|THERMOMETER)|"The wrong body?! Do they know where
he is?"|speech||
52|AARON|"They think so. They're getting him
now.
The thermometer beeps and Michelle removes it from her mouth.."|speech|AARON|M
53|MICHELLE|"I told you not to use Marshals. But
no, you wanted to keep it in the
neighborhood. I know Swartz costs a
little more, but at least they know
where the bodies are.
Michelle writes something down on a piece of paper as Aaron
crosses the room and sits on the bed."|speech|MICHELLE|M
54|AARON|"You were right. Please don't rub it
in, not today. I've got so much to
worry about.
Michelle gets up and heads to the bathroom as Aaron takes out
some index cards and looks them over."|speech|AARON|M
55|AARON (CONT'D)|"Dad insisted on having the funeral
here, Mom's crying all the time, Ryan
didn't help with anything, not like he
ever does! Plus my eulogy sucks. I
can't wait until this day is over.
MICHELLE (O.S.)
Oh come on, honey. I'm sure it's not
that bad."|speech|AARON|M
56|AARON|"If it is, at least Dad's too dead to
hear it.
Michelle exits the bathroom."|speech|AARON|M
57|MICHELLE|Honey, it's going to be fine.|speech|MICHELLE|M
58|(CONTINUED)|5|speech|MICHELLE|M
59|"CONTINUED: (2)
AARON"|"It doesn't matter what I write. All
anybody's going to be thinking is ""why
isn't Ryan doing the eulogy? Even I'm
going to be thinking it.
She holds him close."|speech|MICHELLE|M
60|MICHELLE|"Baby, you're the oldest. You have to
do the eulogy. Besides, I think
you're just as good a writer as your
brother. You just need to let someone
read your book.
Aaronlooks away."|speech|MICHELLE|M
61|AARON|Soon. It's not ready to be read yet.|speech|AARON|M
62|MICHELLE|"I'm sure it's fine. Once the
funeral's over, and everything dies"|speech|MICHELLE|M
63|DOWN--|Aaron gives her a look.|speech|DOWN--|?
64|MICHELLE (CONT'D)|"Sorry. Look, once this is all over,
you know your mom's thinking about
selling the house, so you know we've
got to get out.of here.
Aaron looks a little uncomfortable and heads to the bathroom."|speech|MICHELLE|M
65|MICHELLE (CONT'D)|"You called them, right?
Silence from Aaron in the next room."|speech|MICHELLE|M
66|MICHELLE (CONT'D)|"Aaron?... You put the down payment on
the condo, right?
AARON (O.C.)
I said I'd take care of it and I'll
take care of it.
Michelle looks frustrated and crosses into the bathroom.
6."|speech|MICHELLE|M
67||INT. BATHROOM - CONTINUOUS|location||
68|MICHELLE (CONT'D)|Aaron is at the mirror.|speech|MICHELLE|M
69|MICHELLE|"You better, because I can't live with
your mother anymore. I've done my
time, now it's time for your brother
to take over. From now on, it's only
Christmas and birthdays for us. Once
we move, we can concentrate on your
writing and our baby.
Michelle gets down on her knees and starts unzipping Aaron's
pants. Aaron pulls back."|speech|MICHELLE|M
70|AARON|"Hey, hey, hey. Are you serious? We
have to do this today?
Michelle is still on the ground."|speech|AARON|M
71|MICHELLE|"Yes. Today's the last day of this
cycle."|speech|MICHELLE|M
72|AARON|Can I at least find the body first?|speech|AARON|M
73||EXT. FREEWAY - WIDE SHOT - DAY|location||
74|AARON|We see NORMAN'S CAR speeding along the freeway.|speech|AARON|M
75||INT. NORMAN'S CAR - MOVING - DAY|location||
76|AARON|"NORMAN, black, slightly heavier and riddled with anxiety, is
driving. His friend, DEREK, an attractive, white, clean cut
doctor, rides in the passenger seat."|speech|AARON|M
77|NORMAN|"I hate funerals. It's all death,
death, death."|speech|NORMAN|M
