|character|text|type
0||"EASY ""A""
Written by
Bert V. Royal
FIRST DRAFT
August 3, 2008"|unknown
1||IN DARKNESS:|location
2|unknown|"OLIVE (V.O.)
The rumors of my promiscuity have
been greatly exaggerated."|speech
3||INT. OLIVE'S BEDROOM - PRESENT DAY|location
4||"OLIVE PENDERGHAST (17), a cute teenager, speaks directly into
the WEBCAM atop her computer."|stage direction
5|OLIVE|"Let the record show that I, Olive
Penderghast, being of sound mind,
ample breast size and the
occasional corny knock knock joke,
do enter this video blog into
evidence in the case against me.
Because I'm being judged by a jury
of my peers, I will attempt to
insert `like' and `totally' into my
confession as much as possible. So
here it goes... I confess I'm, in
no small part, to blame for the
vociferous gossip that has turned
my Varsity letter scarlet, but -
for anyone hoping that the sizzling
details of my sordid past will
provide you with a reason to lock
the door and make love to a dollop
of your sister's moisturizing
lotion - you'll be gravely
disappointed.
(Beat.)
Look, I just need to set the record
straight and what better way to do
that, than to broadcast it on the
Internet. So, here it is -- Part
One: The Shudder-Inducing and
Cliched, However Totally False
Account Of How I Lost My Virginity
To A Guy At A Community College In
A Neighboring Town.
(Beat.)
Let me just begin by saying that
there are two sides to every story.
This is my side, the right one.
(Beat.)
Like, totally.
2."|speech
6||INT. CAFETERIA - DAY|location
7||"Olive sits with her best friend, RHIANNON ABERNATHY (17), a
brash teenager. It would be safe to say that these girls are
definitely on the ""B List"" at their school."|stage direction
8|RHIANNON|"Fuck off! George is not a `sexy'
name. George is like what you name
your teddy bear, not the name you
wanna scream out during an orgasm."|speech
9|OLIVE|"That's bullshit. There are lots of
sexy Georges."|speech
10|RHIANNON|Name three.|speech
11||Olive starts to say something, but Rhiannon interrupts her.|stage direction
12|RHIANNON (CONT'D)|Besides Clooney. Too easy.|speech
13|OLIVE|Shouldn't that alone be enough?|speech
14|RHIANNON|Fine. That's one. Number two?|speech
15|"OLIVE
(THINKING)"|Okay. George... Ummmm... Reeves!|speech
16|RHIANNON|Who's that?|speech
17|OLIVE|"Superman. From way back. He was
hot."|speech
18|RHIANNON|No way. Teddy bear.|speech
19|OLIVE|"Bullshit. Ben Affleck played him
in that movie!"|speech
20|RHIANNON|"So what? Charlize Theron played
that butt-fucking-ugly lesbo serial
killer. Besides he's from another
century."|speech
21|(MORE)|3.|speech
22|RHIANNON (CONT'D)|"We're speaking present day. I
mean, Jesus, Mortimer was probably
a sexy name in some era."|speech
23|OLIVE|George Stephanopolous.|speech
24|RHIANNON|What are you? Fifty?|speech
25|"OLIVE
(THINKING HARD)"|George...|speech
26|RHIANNON|"Bush? Yeah. He's one hot
mutherfucker. Just face it.
There's no such thing as a sexy
George."|speech
27|OLIVE|"Well, mine is. So, I think we
should just put this conversation
to bed."|speech
28|RHIANNON|Fine. Don't come. I hate you.|speech
29||Rhiannon folds her arms and pouts.|stage direction
30||INT. OLIVE'S BEDROOM - PRESENT DAY|location
31||Olive continues to narrate into her webcam.|stage direction
32|OLIVE|"Let me back up. I don't know if
any of you have ever met them, but
Rhiannon's parents are quite
possibly the creepiest people in a
four county radius."|speech
33||INT. THE ABERNATHY LIVING ROOM|location
34||"MR. and MRS. ABERNATHY (50's) sit on their couch, smiling at
the television, in their horrifically rustic home.
MR. ABERNATHY bares a striking resemblance to ukelele player,
Tiny Tim. (Although the man we're looking at has an even
more frightening smile.)
MRS. ABERNATHY has hair to her ankles and dresses like a
Mormon."|stage direction
35|OLIVE|"4.
OLIVE (V.O.)
I've always felt sort of sorry for
Rhiannon, but not enough to do what
she was asking me to do."|speech
36||We float upwards to -|stage direction
37||INT. RHIANNON'S ROOM - CONTINUOUS|location
38||Rhiannon is on the phone, agitated.|stage direction
39|RHIANNON|"(Into the phone)
PLEASE. Please. I'm begging you.
I'll pay you."|speech
40||INT. OLIVE'S BEDROOM - CONTINUOUS|location
41||"Olive is on the other end of the phone conversation.
We INTERCUT between the two sides."|stage direction
42|OLIVE|"Rhi, I can't. I told you I have
plans."|speech
43|RHIANNON|"You're lying. You're a lying bitch
and I hate you so much right now."|speech
44|"OLIVE
(LYING)"|"I'm not lying. I promise I'm not.
I really would love to go camping
with your family this weekend. I
had fun with your family last year."|speech
45||EXT. WOODS - LAST YEAR - NIGHT|location
