|character|text|type
0||"MOONRISE KINGDOM
Written by"|unknown
1||Wes Anderson & Roman Coppola|location
2||May 1, 2011|unknown
3||INT. BISHOP'S HOUSE. DAY|location
4||"A landing at the top of a crooked, wooden staircase. There is
a threadbare, braided rug on the floor. There is a long, wide
corridor decorated with faded paintings of sailboats and
battleships. The wallpapers are sun-bleached and peeling at
the corners except for a few newly-hung strips which are
clean and bright. A small easel sits stored in the corner.
Outside, a hard rain falls, drumming the roof and rattling
the gutters.
A ten-year-old boy in pajamas comes up the steps carefully
eating a bowl of cereal as he walks. He is Lionel. Lionel
slides open the door to a low cabinet under the window. He
takes out a portable record player, puts a disc on the
turntable, and sets the needle into the spinning groove.
A child's voice says over the speaker:"|stage direction
5|unknown|"RECORD PLAYER (V.O.)
In order to show you how a big symphony
orchestra is put together, Benjamin
Britten has written a big piece of music,
which is made up of smaller pieces that
show you all the separate parts of the
orchestra."|speech
6||"As Lionel listens, three other children wander out of their
bedrooms and down to the landing.
The first is an eight-year-old boy in a bathrobe. He is
Murray. The second is a nine-year-old boy in white boxer
shorts and a white undershirt. He is Rudy. The third is a
twelve-year-old girl in a cardigan sweater with knee-high
socks and brightly polished, patent-leather shoes. She is
Suzy. She carries a one-month-old striped kitten.
The boys drop down to the floor next to their brother. They
lie on their stomachs with their chins propped up on their
fists, listening.
Suzy sits in the windowsill. She opens a book called Shelly
and the Secret Universe. There is an illustration on the
cover of a young gymnast with a glowing amulet around her
neck.
Suzy starts to read -- then pauses. She lowers her book. She
raises a pair of junior binoculars to her eyes. She looks out
into the rain."|stage direction
7|unknown|2.|speech
8||EXT. BISHOP'S HOUSE. DAY|location
9||"A rickety, three-story, stone-and-shingle house on a hillside
with turrets and a widow's walk. A weather vane swings
creaking on the roof. Tree tops sway in a cluster below. The
sea is almost invisible in the misting rain, and the mainland
is a shadow across the sound. Suzy sits in the high window,
watching."|stage direction
10||TITLES OVER:|location
11||"The family stuck indoors all day out of the rain.
In bedrooms, bathrooms, and corridors, we see the boys. They
shoot marbles. They throw jacks. They play cards. They eat
grilled cheese sandwiches together in the kitchen.
In half-open doorways, we see the parents. Mr. Bishop is a
tall, fifty-year-old man in Madras trousers and horn-rimmed
glasses. He reads the newspaper and drinks coffee. Mrs.
Bishop is a tan, forty-five-year-old woman in a Lilly
Pulitzer-type wrap-around skirt. She washes her hair,
topless, in the kitchen sink.
In windows, we see Suzy with her binoculars. She watches wet
branches shaking in the woods. She watches a man in a slicker
fishing from a row-boat. She watches a white colt in a field.
She eats a bowl of tomato soup alone in the pantry.
In the distance, a seaplane flies by below the clouds."|stage direction
12||CUT TO:|location
13||"The edge of a cliff above a white beach. A rocky peninsula
curls into the background. Brisk wind rustles the tall grass.
A fifty-year-old man, bald on top with long hair on the
sides, stands next to a surveyor's levelling instrument on a
tripod. He wears rubber boots and a parka. He is the
narrator. He speaks to the camera:"|stage direction
14|NARRATOR|"This is the island of New Penzance.
Sixteen miles long. Forested with old-
growth pine and maple. Criss-crossed by
shallow tidal creeks. An important
seabird habitat. There are no paved roads
but instead many miles of intersecting
foot paths and dirt trails and a ferry
that runs twice daily from Stone Cove.
The year is 1965. We are on the far edge
of Black Beacon Sound, famous for the
ferocious and well-documented storm which
will strike from the east on the fifth of
September -- in three day's time.
3."|speech
15||EXT. SCOUT CAMP. DAY|location
