|text|type
0|"SEMI PRO
Written by"|unknown
1|Scot Armstrong|location
2|June 2006|unknown
3|EXT. THE STAPLES CENTER - PRESENT DAY|location
4|BOB COSTAS (V.0.)|stage direction
5|BOB COSTAS (V.0.)|stage direction
6|EXT. A BASKETBALL STADIUM - 1976|location
7|INT. AMIGO STADIUM - DAY|location
8|INT. LOCKER ROOM - LATER|location
9|EXT. FLINT MICHIGAN - NIGHT|location
10|INT. QUINCY'S BBQ - NIGHT|location
11|WE PULL BACK to see the TV is on inside a restaurant,|stage direction
12|"REVEAL: Clarence. The guy from the TV is also a waiter in
this restaurant. He's taking an order from some customers."|stage direction
13|EXT. FLINT FAIRGROUNDS COLISEUM - NIGHT|location
14|INT. FLINT MICHIGAN FAIRGROUNDS COLISEUM - LOBBY - CONTINUOUS|location
15|"JACKIE MOON (V.0.)
Take off your shoes and; suck me
sexy. Baby, we're naked and we're;"|stage direction
16|EXT. FLINT MICHIGAN FAIRGROUNDS COLISEUM - NIGHT|location
17|EXT. FLINT FAIRGROUNDS COLISEUM - MEANWHILE|location
18|INT. FLINT MICHIGAN FAIRGROUNDS COLISEUM - CONTINUOUS|location
19|INT. LOCKER ROOM - HALF TIME|location
20|INT. FLINT MICHIGAN FAIRGROUNDS COLISEUM - MEANWHILE|location
21|INT. LYNN'S HOUSE - MEANWHILE|location
22|EXT./INT. JACKIE'S MONTE CARLO - NIGHT|location
23|INT. THE KREMLIN - NIGHT|location
24|INT. THE KREMLIN - AT A TABLE - MEANWHILE|location
25|INT. DANCE FLOOR - MEANWHILE|location
26|INT. DAIQUIRI ROOM - NIGHT|location
27|INT. LYNN'S HOUSE - LATER THAT NIGHT|location
28|EXT. LYNN'S FRONT YARD - NIGHT|location
29|INT. JACKIE'S MONTE CARLO - DAYS LATER|location
30|EXT. INDIANAPOLIS - CONTINUOUS|location
31|INT. CONFERENCE ROOM - CONTINUOUS|location
32|EXT. FLINT MICHIGAN FAIRGROUNDS COLISEUM - NEXT DAY|location
33|INT. BUS - CONTINUOUS|location
34|EXT. FLINT FAIRGROUNDS COLISEUM - MOMENTS LATER|location
35|EXT. THE HIGHWAY - DAY|location
36|INT. THE JET - DAY|location
37|EXT. ROAD GAME #1 - NIGHT|location
38|INT. VISITOR'S LOCKER ROOM - NIGHT|location
39|EXT. HOTEL STRIP - NIGHT|location
40|INT. MOTEL ROOM - NIGHT|location
41|INT. AMIGO STADIUM - ROAD TRIP GAME 6 - NEXT NIGHT|location
42|INT. AMIGO'S STADIUM - LATER|location
43|"ANNOUNCER (V.0. )
A time out on the floor, 5:20 left
before the half, the Amigos 45, the"|stage direction
44|INT. THE COMMISSIONER'S HOUSE - MEANWHILE|location
45|SHASTA COMMERCIAL (V.0.)|stage direction
46|INT. AMIGO STADIUM - CONTINUOUS|location
47|INT. LOCKER ROOM - HALF TIME|location
48|INT. JACKIE MOON'S OFFICE - DAYS LATER|location
49|INT. FLINT MICHIGAN TROPICS STADIUM - MOMENTS LATER|location
50|the rest of the year.|stage direction
51|INT. THE KREMLIN - DAY|location
52|"The ball girls trot out and boogie with them.
BALL GIRLS (V.0.)
-- They're not here to talk no"|stage direction
53|INT. MONIX'S APARTMENT - NIGHT|location
54|INT. MONIX'S BATHROOM - LATER|location
55|INT. FLINT FAIRGROUNDS COLLISEUM - NEXT DAY|location
56|you mean it -- Bee Bee, Arch that|stage direction
57|INT. FLINT FAIRGROUNDS COLISEUM - LATER|location
58|EXT. FLINT FAIRGROUNDS COLISEUM - DAY - LATER|location
59|INT. FLINT FAIRGROUNDS COLISEUM - LATER|location
60|INT. LOCKER ROOM - LATER|location
61|INT. FLINT FAIRGROUNDS COLISEUM - CONTINUOUS|location
62|EXT. FLINT FAIRGROUNDS COLLESIUM - LATER - DAY|location
63|INT. FLINT MICHIGAN FAIRGROUNDS COLISEUM - NIGHT|location
64|LOU REDWOOD (V.0.)|stage direction
65|The ball bounces into the air, rolls around the rim... And|stage direction
66|"LIVE ABA RADIO (V.0.)
And the basket is... GOOD!"|stage direction
67|INT. DAIQUIRI ROOM - LATER|location
68|And I want you to know, I just|stage direction
69|"BOBBY DEE (V.0.)
These beautiful girls reach a
combined total of 47 feet... And
here he comes...
Jackie comes ROLLER-SKATING at high speed. He hits the jump --"|stage direction
70|INT. FLINT FAIRGROUNDS COLISEUM - NIGHT|location
71|INT. TELEVISION STUDIO - DAY|location
72|EXT. LYNN'S HOUSE - NIGHT|location
73|SMASH CUT TO:|stage direction
74|INT. LYNN'S HOUSE - BEDROOM - NIGHT|location
75|INT. LYNN'S HOUSE - LIVING ROOM - CONTINUOUS|location
76|EXT. FLINT FAIRGROUNDS COLISEUM - NEXT NIGHT|location
77|INT. FLINT FAIRGROUNDS COLISEUM - CONTINUOUS|location
78|"LIVE ABA RADIO (V.0.)
And it's another sell-out crowd for"|stage direction
79|LIVE ABA RADIO (V.0.)|stage direction
80|INT. LOCKER ROOM - NIGHT|location
81|EXT. FLINT TROPICS COLISEUM - MOMENTS LATER - NIGHT|location
82|INT. THE THE KREMLIN - CONTINUOUS|location
83|EXT. FLINT MICHIGAN - MORNING|location
84|INT. LYNN'S HOUSE - LATER THAT DAY|location
85|EXT. FLINT MICHIGAN - DAY|location
86|INT. THE KREMLIN - LATER DAY|location
87|INT. TV STUDIO - NIGHT|location
88|EXT. FLINT MICHIGAN - MORNING|location
89|EXT. FLINT FAIRGROUNDS COLISEUM - FRIDAY NIGHT|location
90|INT. SPURS LOCKER ROOM - NIGHT|location
91|INT. FLINT FAIRGROUNDS COLISEUM - CONTINUOUS|location
92|INT. TROPICS LOCKER ROOM - CONTINUOUS|location
93|INT. FLINT FAIRGROUNDS COLISEUM - LATER|location
94|INT. FLINT FAIRGROUNDS COLISEUM - LOCKER ROOM - HALF TIME|location
95|INT. DREAMLAND - DAY|location
96|INT. TROPICS LOCKER ROOM - CONTINUOUS|location
97|INT. FLINT FAIRGROUNDS COLISEUM - MOMENTS LATER|location
98|INT. TROPICS LOCKER ROOM - CONTINUOUS|location
99|INT. FLINT FAIRGROUNDS COLLESIUM - NIGHT|location
100|INT. FLINT FAIRGROUNDS COLISEUM - FIFTEEN SECONDS LEFT|location
101|EXT. FLINT FAIRGROUNDS COLISEUM - CONTINUOUS|location
102|INT. FLINT FAIRGROUNDS COLISEUM - CONTINUOUS|location
103|INT. NBA DRAFT - SIX MONTHS LATER|location
104|INT. RECORDING STUDIO - DAY|location
