|character|text|type
0||SHAKESPEARE IN LOVE|unknown
1||"by Marc Norman & Tom Stoppard
INT. THE ROSE THEATRE. DAY."|location
2||"SKY. Over which a title ""LONDON--SUMMER 1593"" appears.
Title card: In the glory days of the Elizabethan theatre
two playhouses were fighting it out for writers and
audiences. North of the city was the Curtain Theatre,
home to England's most famous actor, Richard Burbage.
Across the river was the competition, built by Philip
Henslowe, a business with a cash flow problem...
...The Rose...
Gradually a building is revealed, The Rose Theatre, three-
tiered, open to the elements and empty. On the floor,
roughly printed, a poster--torn, soiled, out of date. It
says:
SEPT. 7TH & 8TH AT NOON
MR. EDWARD ALLEYN AND THE ADMIRAL'S MEN AT THE ROSE
THEATRE, BANKSIDE
THE LAMENTABLE TRAGEDIE OF THE MONEYLENDER REVENG'D
OVER THIS the screams of a man under torture. The screams
are coming from the curtained stage."|stage direction
3|VOICE (O.S.)|"You Mongrel! Why do you howl When it
is I who am bitten?"|speech
4||INT. THE ROSE THEATRE. STAGE. DAY.|location
5||"The theatre owner, PHILLIP HENSLOWE, is the man
screaming. HENSLOWE'S boots are on fire. He is pinioned
in a chair, with his feet stuck out over the hot colas of
a fire burning in a brazier. He is being held in that
position by LAMBERT, who is a thug employed by FENNYMAN,
who is the owner of the VOICE. The fourth man, FREES, is
FENNYMAN'S bookkeeper."|stage direction
6|FENNYMAN|What am I, Mr. Lambert?|speech
7|LAMBERT|Bitten, Mr. Fennyman.|speech
8|FENNYMAN|How badly bitten, Mr. Frees?|speech
9|FREES|"Twelve pounds, one shilling and four
pence, Mr. Fennyman, including
interest."|speech
10|HENSLOWE|Aaagh! I can pay you!|speech
11|FENNYMAN|When?|speech
12|HENSLOWE|"Two weeks, three at the most, Aaaagh!
For pity's sake."|speech
13|FENNYMAN|Take his feet out. Where will you get|speech
14||(the mathematical genius with|location
15||a notebook)|unknown
16|FREES|"Sixteen pounds, five shillings and
nine pence"|speech
17|FENNYMAN|including interest in three weeks?|speech
18|HENSLOWE|I have a wonderful new play!|speech
19|FENNYMAN|Put his feet in.|speech
20|HENSLOWE|It's a comedy.|speech
21|FENNYMAN|Cut his nose off.|speech
22|HENSLOWE|A new comedy. By Will Shakespeare!|speech
23|FENNYMAN|And his ears.|speech
24|HENSLOWE|"And a share. We will be partners, Mr.
Fennyman!"|speech
25||(hesitating)|location
26|FENNYMAN|Partners!|speech
27|HENSLOWE|"It's a crowd-tickler--mistaken
identities, a shipwreck, a pirate
king, a bit with a dog, and love
triumphant."|speech
28|LAMBERT|"I think I've seen it. I didn't like
it."|speech
29|HENSLOWE|This time it is by Shakespeare.|speech
30|FENNYMAN|What's the title?|speech
31|HENSLOWE|Romeo and Ethel the Pirate's Daughter.|speech
32|FENNYMAN|Good title.|speech
33||"FENNYMAN snaps his fingers at FREES and LAMBERT. LAMBERT
unties HENSLOWE, FREES starts writing a contract."|stage direction
34|FENNYMAN (CONT'D)|"A play takes time. Find actors…
rehearsals…let's say open in three
weeks. That's--what--five hundred
groundlings at tuppence each, in
addition four hundred groundlings
tuppence each, in addition four
hundred backsides at three pence--a
penny extra for a cushion, call it two
hundred cushions, say two performance
for safety how much is that Mr. Frees?"|speech
35|FREES|"Twenty pounds to the penny, Mr.
Fennyman."|speech
36|FENNYMAN|Correct!|speech
37|HENSLOWE|"But I have to pay the actors and the
authors."|speech
38|FENNYMAN|A share of the profits.|speech
39|HENSLOWE|There's never any|speech
40|FENNYMAN|Of course not!|speech
41||(impressed)|location
42|HENSLOWE|"Mr. Fennyman, I think you may have hit
on something."|speech
43||"FENNYMAN slaps a contract down on the table next to n ink-
pot and quill."|stage direction
44|FENNYMAN|Sign here.|speech
45||HENSLOWE takes the quill and signs.|stage direction
46|FENNYMAN (CONT'D)|"Romeo and Ethel The Pirate's
Daughter…Almost finished?"|speech
47|HENSLOWE|"Without doubt he is completing it at
this very moment."|speech
48||INT. WILL'S ROOM. DAY|location
49||"A small cramped space in the eaves of a building. A
cluttered shelf containing various objects, wedged
between crumpled pieces of paper. Among those we have
time to observe: a skull, a mug that says A PRESENT FROM
STRATFORD-UPON-AVON.
At infrequent intervals further pieces of crumpled paper
are tossed towards the shelf. The man who is throwing
them, WILL SHAKESPEARE, is bent over a table, writing
studiously with a quill.
Now we see what he is writing: Will is practising his
signature, over and over again. ""Will Shagsbeard…W
Shakspur…William Shasper…"" Each time he is dissatisfied,
and each time he crumples, and tosses it away.
Suddenly WILL becomes impatient. He jumps up and goes to
the loft area in the rafters, where he sleeps, and starts
to pull on his boots. At this point the door opens and
HENSLOWE walks in. He is out of breath and his feet hurt."|stage direction
50|HENSLOWE|"Will! Where is my play? Tell me you
have it nearly done! Tell me you have
it started."|speech
51||(desperately)|location
52|HENSLOWE|You have begun?|speech
53||(struggling with his boots)|location
54|WILL|"Doubt that the stars are fire, doubt
that the sun doth move"|speech
55|HENSLOWE|"No, no, we haven't the time. Talk
prose. Where is my play?"|speech
56||(tapping his forehead and|location
57||heading out the door)|unknown
58|WILL|It is all locked safe in here|speech
59|HENSLOWE|God be praised!|speech
60||(then doubt)|location
61|HENSLOWE|Locked?|speech
62|WILL|As soon as I have found my muse|speech
63||EXT. STREET. OUTSIDE WILL'S HOUSE. DAY.|location
64||"WILL lives in a crowded area of the city. Hawkers are
crying their wares, tract-sellers, delivery boys, and
merchants go about their business. HENSLOWE catches up
with WILL as he strides purposefully along."|stage direction
65||(catching up)|location
66|HENSLOWE|Who is she this time?!|speech
67|WILL|She is always Aphrodite.|speech
68|HENSLOWE|"Aphrodite Baggot who does it behind
the Dog and Trumpet?"|speech
