|character|text|type
0||SILVER LININGS PLAYBOOK|location
1||"Written by
David O. Russell
(Based on the novel by Matthew Quick)
Shooting draft"|unknown
2||"INT. KAREL PSYCHIATRIC FACILITY - DAY
OVER BLACK"|location
3|PAT|"What, are you kidding me? Sundays?
I love Sundays. I live for Sundays.
The whole family's together. Mom
makes braciole. Dad puts the jersey
on. We're all watching the game.
Yeah, it drives me crazy, and yes,
I was negative."|speech
4||FADE IN ON:|stage direction
5||INT. KAREL PSYCHIATRIC FACILITY/PAT'S ROOM - DAY|location
6||"PAT SOLATANO stands in the middle of his room, his back to
camera."|stage direction
7|PAT (CONT'D)|"You didn't even know that I loved
it, Nikki, but I did. I just didn't
appreciate it, or you, before."""|speech
8||There is a knock at the door.|stage direction
9|PAT (CONT'D)|"MALE ORDERLY (O.S.)
Come on. Time to go."|speech
10|PAT|"I lost all that. I blew it. But you
also blew it. We can get it back.
We're gonna get it back. It's all
gonna be better now. I'm better now
and I hope you are, too. And I'm"|speech
11||Another knock at the door. Pat ignores it.|stage direction
12|PAT (CONT'D)|"Hey, I'll be there in a minute,
okay?
MALE ORDERLY (O.S.)
Doctor's waiting. Let's go."|speech
13|PAT|I'll be there in a minute.|speech
14||Pat returns to his speech.|stage direction
15|PAT|3.|speech
16|PAT (CONT'D)|That's true love.|speech
17||"See glimpses of Pat's room: mayonnaise jar filled with water,
black trash bag strewn on the bed, handwritten sign taped to
Pat's wall, ""EXCELSIOR""."|stage direction
18||INT. PSYCHIATRIC FACILITY/ HALLWAY - DAY|location
19||PAT HURRIES DOWN THE STAIRS.|stage direction
20||INT. PSYCHIATRIC FACILITY/ DISPENSARY - DAY|location
21||"PAT HOLDS SMALL PAPER CONTAINER WITH PILL.
TIPS HIS HEAD BACK AND DUMPS THE PILL INTO HIS MOUTH.
DRINKS WATER, OPENS MOUTH WIDE AND STICKS HIS TONGUE OUT to
show he swallowed.
PAT WALKS, SPITTING OUT THE PILL. PILL LANDS ON FLOOR."|stage direction
22||INT. PSYCHIATRIC FACILITY/ROOM - DAY|location
23||"A GROUP OF PATIENTS SEATED IN A CIRCLE WITH A DOCTOR, HAVING
A GROUP THERAPY SESSION. PAT IS INCLUDED."|stage direction
24|DANNY|"Yeah, that's when I had long hair.
People say I talk about my hair too
much."|speech
25||DANNY SITS BETWEEN TWO OTHER MALE PATIENTS.|stage direction
26|DANNY (CONT'D)|"And it was just the way I wanted
it, but he cut it back too far. He
cut this side back too far trying
to even it up. I didn't tell him to
do that. I said, ""Just cut it the
way you cut it...."""|speech
27|PAT|"Once you get in the right frame of
mind, I think anything's possible.
I think we get, we so often get
caught in this state of negativity
and it's a, it's a poison like
nothing else.
4."|speech
28||EXT. PSYCHIATRIC FACILITY - DAY|location
29||"PAT works out: drinks water from his plastic mayo jar, does
squats, sit ups, push ups --
A WOMAN'S FOOT STEPS INTO FRAME NOT FAR FROM HIS FACE -- WITH
RED TOE NAILS IN A WHITE FLAT SANDAL --
Pat looks at the foot -- then looks up --
HIS MOTHER, DOLORES SOLATANO, dressed in a dress."|stage direction
30||INT. PSYCHIATRIC FACILITY/HALLWAY - DAY|location
31||"CAMERA TILTS UP OVER A MALE DOCTOR, DR. TIMBERS, AS HE WALKS
WITH DOLORES. PAT FOLLOWS. CAMERA MOVES BACK WITH THEM."|stage direction
32|PAT|"DR. TIMBERS
...technically, you can take him
out against our recommendation,
but you assume a lot of liability
in the eyes of the court. And he's
just getting used to the routine
here."|speech
33|DOLORES|"I don't want him to get used to the
routine here. Eight months is
already long enough."|speech
34||INT. PSYCHIATRIC FACILITY/OFFICE - DAY|location
35||"CS - A FORM WITH THE HEADING:
HOSPITAL DISCHARGE APPROVAL FORM
PART OF THE FORM, WHICH STATES:
ACKNOWLEDGE THAT THE HOSPITAL BEARS NO LIABILITY
DOLORES SIGNS HER NAME."|stage direction
36||INT. DOLORES'S CAR - DAY|location
37||"PAT CLOSES THE REAR PASSENGER DOOR, GETTING INTO THE FRONT
PASSENGER SEAT. DOLORES IN THE DRIVER'S SEAT.
THE CAR BEGINS TO MOVE, DANNY APPEARS., CARRYING A SUITCASE."|stage direction
38|PAT|"Hey, Mom. Can we give Danny a ride
to North Philly?"|speech
39||DOLORES STOPS THE CAR.|stage direction
40|PAT|5.|speech
41|DOLORES|What? I don't understand.|speech
42|PAT|"Mom, no, it'll be fine. It'll be
fine."|speech
43||"DANNY OPENS THE REAR PASSENGER SEAT AND GETS INTO THE CAR
WITH HIS SUITCASE."|stage direction
44|DANNY|"I guess everybody's leaving today!
Hello, Mrs. S. An honor to finally
meet you. Pat told me all about
you, how God made you rich in
character, and you're the mighty
oak that holds the household
together, and not to mention the
lasagna you make on game day when
the Birds play."|speech
45||EXT. HIGHWAY - DAY|location
46||DOLORES'S CAR DRIVES TOWARDS PHILADELPHIA.|stage direction
47||INT. DOLORES'S CAR - DAY|location
48|PAT|"Danny was in for assault because of
crystal meth and alcohol."|speech
49|DANNY|Bad combination.|speech
50|PAT|"Yeah. On top of an anxiety
disorder."|speech
51|DANNY|"That was when I was an X-ray
technician with my ADD and my
anxiety. I had a lot of access to
medication and I took advantage of
it. That's when my hair was long,
too. But my hair only grew when I
was older. When I was younger, my
hair didn't grow because my
brother..."|speech
52|(TO PAT)|"Remember I told you about my
brother, he had a Jheri curl, and I
couldn't get a Jheri curl because
my hair didn't grow long enough. I
was so jealous of my brother...
6."|speech
53|"PAT
(TO DOLORES)"|He's obsessed with his hair.|speech
54||DOLORES'S CELL PHONE RINGS. SHE ANSWERS AS SHE DRIVES.|stage direction
55|DOLORES|"(into cell phone)
Hello?"|speech
56|"PAT
(TO DANNY)"|It looks great now.|speech
57|DANNY|You like it?|speech
58|PAT|It's good now.|speech
59|DOLORES|"(into cell phone)
Yes, it is."|speech
60||PAT TOUCHES DANNY'S HAIR.|stage direction
61|DANNY|"(as Pat touches hair)
Wait, you're going the wrong way!"|speech
62|DOLORES|"(into cell phone)
What? Are you sure about that? I'll
bring him back right away."|speech
63||DOLORES HANGS UP.|stage direction
