|character|text|type
0||"BURN AFTER READING
Written by
Joel Coen & Ethan Coen
FADE IN"|unknown
1||1   EXT. EASTERN SEABOARD - AERIALS - DAY                           1|location
2||"High in the air----so high we an see the curvature of the
earth. The eastern seaboard stretches away, flecked with
clouds.
As we dissolve in closer the picture bleaches of color.   We
are looking down at the city of Washington, D.C.
Dissolve closer still: a black-and-white aerial photograph of
a neighborhood in suburban D.C. dominated by a sprawling
building. Computer type quickly bleeps on:
C.I.A. Headquarters
Langley, Virginia"|unknown
3||2   INT. CIA - HALLWAY - DAY                                        2|location
4||"We track at floor level, following the well shined shoes of
someone walking down the well polished hallway."|unknown
5||3   INT. PALMER'S OFFICE - DAY                                      3|location
6||"We hear a door opening and a silver-haired man rises behind
his desk. A nameplate on the desk identifies him as Palmer
DeBakey Smith.
PALMER
Ozzie.    Sit down.
Osbourne Cox, entering, is a middle-aged man in a striped
shirt and bow tie.
OSBOURNE
Palmer.   What's up.
PALMER
You know Peck, and Olson.
The two men, sitting on chairs facing the desk, nod at
Osbourne, who is surprised to see them.
OSBOURNE
Peck, yes, hiya. Olson, by
reputation. Hi, Osbourne Cox.
OLSON
Yeah, hiyah.
2."|unknown
7|OSBOURNE|"Aren't you with...aren't you,
uh..."|speech
8||Palmer jumps in:|location
9|PALMER|"Yeah, that's right. Oz, look.
There's no easy way to say this.
We're taking you off the Balkans desk."|speech
10||OSBOURNE|unknown
11|PALMER|You're----what? Why?|speech
12|PALMER|"In fact we're moving you out of Sigint
entirely."|speech
13||OSBOURNE|unknown
14|PALMER|"...What?    No discussion, just----you're
out?"|speech
15|PALMER|"Well, we're having the discussion now
Oz. This doesn't have to be
unpleasant."|speech
16|OSBOURNE|"Palmer, with all due respect----what the
fuck are you talking about?"|speech
17||A beat.|location
18|OSBOURNE (CONT'D)|... And why is Olson here?|speech
19||Another uncomfortable beat.|location
20|PALMER|... Look, Ozzie----|speech
21|OSBOURNE|"What the fuck is this?!     Is it my----I
know it's not my work."|speech
22||PALMER|unknown
23|OSBOURNE|Ozzie----|speech
24|OSBOURNE|I'm a great fucking analyst!     Is it----|speech
25|PALMER|"Oz, things are not going well.      As you
know."|speech
26||"3.
PECK
You have a drinking problem."|unknown
27||"Stunned silence.         Ozzie turns to look at Peck.
At length:"|location
28||"OSBOURNE
I have a drinking problem.
PALMER
This doesn't have to be unpleasant.
We found you something in State. It's
a, uh..."|unknown
29||He gropes, uncomfortable.|location
30||"PALMER (CONT'D)
... It's a lower clearance level.
Yes. But we're not, this isn't, we're
not terminating you.
OSBOURNE
(quietly)
This is an assault.
PECK
Come on, Ozzie.
OSBOURNE
This is an assault. I have a drinking
problem? Fuck you, Peck, you're a
Mormon!
PECK
Ozzie----
OSBOURNE
Next to you we all have a drinking
problem! Fuck you guys! Whose ass
didn't I kiss? Let's be honest!"|unknown
31||Palmer nods at Olson.|location
32||"PALMER
Okay, Olson----
OSBOURNE
Let's be fucking honest..."|unknown
33||Osbourne gets to his feet, agitated.|location
34||"4.
OSBOURNE (CONT'D)"|unknown
35||"... This is a crucifixion! This is
political! Don't tell me it's not!"|stage direction
36||"He storms out the door.
OSBOURNE (CONT'D)"|unknown
37||... I have a drinking problem!|stage direction
38||"The door slams.   Palmer Smith looks at Olson.     Olson arches
an eyebrow."|unknown
39||4   INT. COX KITCHEN - DAY                                            4|location
40||"OSBOURNE
Bow tie loosened, he stands at a kitchen counter.
His shoulders twist as he does something below frame: we hear
the crackle of ice cubes wrenching loose from a tray.
Behind him we see the apartment door opening. Katie, an
attractive middle-aged woman, enters, taking her key out of
the door, but stops, surprised to see Osbourne.
KATIE"|unknown
41||You're home.|stage direction
42||"Osbourne continues making himself a drink.
OSBOURNE"|unknown
43||"Hang on to your hat, honey.    I have
some news. I----"|stage direction
44||KATIE|unknown
45||Did you pick up the cheeses?|stage direction
46||OSBOURNE|unknown
47||Huh?|stage direction
48||KATIE|unknown
49||"Were they ready? I didn't know you
were coming home this early."|stage direction
50||"OSBOURNE
(blank)"|unknown
51||The cheeses.|stage direction
52||"Katie rolls her eyes.
5.
KATIE
I left a message for you to stop at
Todaro's. The Magruders and the
Pfarrers are coming over.
OSBOURNE
The Pfarrers? Ugh.    I----what did
Kathleen say?
KATIE
What?
OSBOURNE
When you left the message?
KATIE
She said.    She would give you.   The
message.
OSBOURNE
Well she, I don't know, I guess we had
bigger news today. My day didn't
revolve arou----
KATIE
So you didn't get the cheeses.
OSBOURNE
Well, since I didn't get the message,
no, I didn't get the cheeses. But
hang on to your hat, I----
KATIE
Oh for fuck's sake, Ozzie, you mean I
have to go out again? All right,
well, you better get dressed.
OSBOURNE
Honey, we have to talk.
KATIE
Not right now. They'll be here in,
what, less than an hour."|unknown
53||5   INT. COX LIVING ROOM - NIGHT                            5|location
54||"A hand hovers, hesitates.
VOICE
Is this a, uh, goat cheese?
OSBOURNE (OFF)
Chevre, yes, that is a goat cheese.
Pink Revision 8/14/07 6."|unknown
55||"Wider shows the cocktail party, meagerly attended but in full
swing. Besides Osbourne and Katie there is Harry Pfarrer
(who has just inquired about the cheese), bearded, forties,
rugged; his wife Sandy; and a shiny-faced young couple, Doug
and Tina Magruder.
Osbourne holds a cocktail tumbler."|location
56|HARRY|"Because I have lactose reflux.    But I
can----"|speech
57|OSBOURNE|You're lactose intolerant?|speech
58|HARRY|Yes, but I can----|speech
59|OSBOURNE|"Or you have acid reflux?    They're two
different things."|speech
60||Harry looks at him coldly.|location
61|HARRY|I know what they are.|speech
62|OSBOURNE|Then you misspoke yourself.    So I----|speech
63|HARRY|Thank you for correcting me.|speech
64|KATIE|"You should try the chevre, Harry.
It's very good."|speech
65||HARRY|unknown
66|KATIE|Yeah.   I can eat goat cheese.|speech
67||He eats a piece, cupping one hand under his mouth.|location
68|HARRY (CONT'D)|"... I was just explaining to your
husband here, I have a condition----"|speech
69||"Katie tries to separate the two men by including Doug
Magruder."|location
70|KATIE|"Harry works with the Marshalls'                       *
Service.                                              *"|speech
71||Pink Revision 8/14/07 6A.|unknown
72|KATIE|DOUG MAGRUDER|speech
73||"Ah. I'm on the legislative side, I                 *
work with Senator Hobby.                           *"|location
74||Pink Revision 8/14/07 7.|unknown
75|HARRY                                       *|"Used to work for Treasury, but I                      *
didn't go over to Homeland Security.                  *
I'm with the Marshalls.                               *"|speech
76|OSBOURNE|"If you want he'll show you his great
big gun."|speech
77|HARRY|"Very amusing. The gun is actually no
big deal. Twenty years in the
marshall's service and I've never
discharged my weapon."|speech
78|OSBOURNE|"Sounds like something you should be
telling your psychiatrist."|speech
79||HARRY|unknown
80|OSBOURNE|What?   I don't have a psychiatrist.|speech
81|DOUG MAGRUDER|"Boy, I guess my job is pretty
undramatic. I'm on the legislative
side. What do you do Mrs. Pfarrer? Do
you also carry a gun?"|speech
82||Harry laughs.|location
83|HARRY|Sandy writes children's books.|speech
84|SANDY|I write children's books----|speech
85|HARRY|Oliver The Cat Who...Who..arghh----Who----|speech
86||Choking on piece of cheese, coughing|location
87|HARRY (CONT'D)|"...Who Lives In The Rotunda.     Excuse
me."|speech
88||TINA|unknown
89|HARRY (CONT'D)|"Those are wonderful!    My nieces and
nephews----"|speech
90||"8.
HARRY"|unknown
91||"Yeah, it's a beloved series. You
wouldn't believe her fan mail. Unghh.
Are you sure this is goat cheese?"|stage direction
92||KATIE|unknown
93||"Why don't you let your wife tell them
about her own books, Harry?"|stage direction
94||HARRY|unknown
95||I'm sorry----was I----|stage direction
96||KATIE|unknown
97||"Here, come in the kitchen, help me
with the crudités."|stage direction
98||6    INT. COX KITCHEN - NIGHT                                       6|location
99||"They enter.
HARRY"|unknown
100||Goddamnit.     He knows, doesn't he.|stage direction
101||"He looks down at the floor.        He stamps.
HARRY (CONT'D)"|unknown
102||... Nice floors.|stage direction
103||KATIE|unknown
104||Knows what?|stage direction
105||"Harry is looking around the kitchen, taking in the fixtures.
Absently:
HARRY"|unknown
106||"About us, he knows about us.          Little
prick."|stage direction
107||KATIE|unknown
108||"Don't be an ass, he doesn't know a
thing."|stage direction
109||"Harry is staring down at the linoleum again.
HARRY"|unknown
110||What is that, forbo?|stage direction
111||A6   EXT. STREET - NIGHT                                            A6|location
112||"A car drives by.
9."|unknown
113||7   INT. HARRY'S CAR - NIGHT                                      7|location
114||"Harry driving, his wife next to him.
A long beat.
Finally:
HARRY"|unknown
115||What a horse's ass.|stage direction
116||SANDY|unknown
117||I don't know why we see them.|stage direction
118||"Harry shrugs.
HARRY"|unknown
119||Well, she's all right.|stage direction
120||SANDY|unknown
121||She is a cold, stuck-up bitch.|stage direction
122||"Harry opens his mouth to reply, considers, doesn't.
They drive."|unknown
123||8   INT. COX MASTER BEDROOM - NIGHT                               8|location
124||"KATIE
She is staring, in front of a mirror, face covered in cold
cream, one hand arrested on the way up to daub on more.
KATIE"|unknown
125||You quit?!|stage direction
126||"Osbourne is buttoning a pajama top.
OSBOURNE"|unknown
127||Uh-huh.|stage direction
128||KATIE|unknown
129||Well----Thank you for letting me know!|stage direction
130||OSBOURNE|unknown
131||I tried to tell you this afternoon.|stage direction
132||KATIE|unknown
133||"You tried? You tried? And then----
what, the aphasia kicked in?"|stage direction
134||OSBOURNE|unknown
135||Our guests came. We----|stage direction
136||"10.
KATIE"|unknown
137||Why?!    For fuck's sake, Ozzie!|location
138||OSBOURNE|unknown
139||"I'm just----I don't know.    I got so
tired."|location
140|HARRY (CONT'D)|KATIE|speech
141||You're tired.|location
142|HARRY (CONT'D)|OSBOURNE|speech
143||Tired of swimming against the current.|location
144||KATIE|stage direction
145||Uh-huh.|location
146|HARRY (CONT'D)|OSBOURNE|speech
147||"Independent thought is not only not
valued there, they resist it, they
fight it, the bureaucracy is
positively----"|location
148|HARRY (CONT'D)|KATIE|speech
149||"Did you get a pension, or severance or
something, or----"|location
150|HARRY (CONT'D)|OSBOURNE|speech
151||"I didn't retire you know, I, I quit.
I don't want their benefits."|location
152|HARRY (CONT'D)|KATIE|speech
153||"But I suppose my benefits are all
right, I suppose you can live with
those, is that the idea?"|location
154|HARRY (CONT'D)|OSBOURNE|speech
155||"It's not like that's the only way to
make money."|location
156||KATIE|stage direction
157||Yes?    Yes?     What're you gonna do?|location
158|HARRY (CONT'D)|OSBOURNE|speech
159||I'll do some consulting.|location
160|HARRY (CONT'D)|KATIE|speech
161||Consulting.|location
162|HARRY (CONT'D)|OSBOURNE|speech
163||"Yes, to help while I----I've always
wanted to write."|location
164||KATIE|unknown
165||Write.    Write what.|location
166||"11.
OSBOURNE
I've been thinking about it.    A book,
a sort of, sort of memoir.
Katie stares at him in the mirror.
A beat.
She bursts into laughter."|unknown
167||9   EXT. YACHT/AT SEA - DAY                                        9|location
168||"THE BRIDGE
A small yacht. Osbourne stands at the wheel, a light wind in
his face, as the boat sails under motor power.
After a beat he moves to the front of the boat.
An old man sits on a bench on the prow facing out into the
wind. He has snowy hair and a stern Yankee face. He wears a
tweed cap. He doesn't much react to Osbourne's approach.
OSBOURNE
You okay there, Dad?
The old man remains silent, staring. Osbourne sits next to
him and idly tucks in the plaid blanket resting over the
man's knees.
OSBOURNE (CONT'D)
... Dad, I left my job at the
Agency...
The old man stares out into the wind.
OSBOURNE (CONT'D)
... I, uh... I'm sorry. Dad,
government service is not what it was
when you were in State. Things are
different now. I don't know, maybe
it's... it's... the Cold War ending;
now it seems like it's all bureaucracy
and no mission...
The old man stares out into the wind.
OSBOURNE (CONT'D)
... I'm writing a memoir. I think
it's going to be pretty explosive.
But I don't think you'll disapprove.
I don't think you'll disapprove.
Katie has had trouble accepting it.
(MORE)
12.
OSBOURNE (CONT'D)"|unknown
169||"But... sometimes there's a higher
patriotism, Dad. So we'll... Yes,
change is hard. It's hard on Katie.
But we'll be okay. We'll be okay.
Life is change. This is good. We
were all blocked up, Katie and me.
This is, this is a blessing in
disguise. I'll go into training, you
know. Lay off the sauce. Like you
did. You managed to do it. Finally.
And then I can concentrate on, you
know. New beginning. And this'll all
have been for the best. Don't you
think Dad?"|stage direction
170||"The old man stares out into the wind.
Osbourne sniffles.
OSBOURNE (CONT'D)"|unknown
171||... Cold.|stage direction
172||"He taps the old man on the knee and rises.
OSBOURNE (CONT'D)"|unknown
173||... I guess we should head back.|stage direction
174||10   EXT. PIER - DAY                                                10|location
175||"LONG SHOT THRU THE WINDSHIELD OF A CAR
The sailboat docked at the end of a marina. Osbourne is
pushing the old man in a wheel chair down the pier away from
the boat.
A MAN'S VOICE"|unknown
176||We've seen this...|stage direction
177||11   INT. LAW FIRM - CONFERENCE ROOM - DAY                          11|location
178||"THE MAN
White hair, bushy eyebrows, a florid face. He is in a law-
book lined conference room. He wears an expensive suit,
suspenders, a white shirt with blue collar and cuffs. He is
Bogus Terikhian.
TERIKHIAN"|unknown
179||"... I know this kind of man.    We've
seen this."|stage direction
180||13.|unknown
181||"Wider on the conference room shows that Katie Cox sits at the
table, along with Terikhian, another lawyer, and an
assistant."|location
182||"TERIKHIAN (CONT'D)
... Mrs. Cox, you can't let this man
take advantage of you. And he will.
He will.
KATIE
Yes. This is my fear. He's trying----
he says----he's trying to pull himself
together, but...
TERIKHIAN
Look, sure, I----I'm obliged to tell you
you should try to salvage things. And
you should. People turn themselves
around. Not unheard-of. But. You----
you haven't broached the possibility
of divorce yet?
KATIE
No.
TERIKHIAN
Well that's good.   Because first you
should get all his financials. Before
he's forewarned. Because here's a
man, here's a man, practiced in
deceit, this is almost, you could say
it's his job, practiced at hiding
things, and there is no reason, it is
not improper, there is no reason for
you not to get a picture of the
household finances. Paper files,
computer files, whatever----this is your
prerogative. You can be a spy too,
madam. Do this before you put him on
alert. Before the turtle can draw in
his head and his, uh..."|unknown
183||He waggles his hands, groping for the word.|location
184||"TERIKHIAN (CONT'D)
... Feet."|unknown
185||He shrugs.|location
186||"TERIKHIAN (CONT'D)
... And hopefully everything will work
out. He will reform. But! If not:
forewarned is forearmed.
14."|unknown
187||12   INT. COX HOUSE - DAY                                            12|location
188||"Osbourne is splayed on an easy chair, wearing a bathrobe over
pyjamas. He stares at the ceiling, motionless, arms out-
flung, like Marat in his bathtub.
A long still beat.   A clock ticks.
Abruptly Osbourne raises one hand to speak into a
microcassette recorder.
OSBOURNE"|unknown
189||"We were young and committed and there
was nothing we couldn't do. We
thought of the Agency less as... less
as..."|stage direction
190||"The thought, such as it was, peters out.   Osbourne rises and
wanders around the room, glassy-eyed.
He suddenly raises the microcassette again.
OSBOURNE (CONT'D)"|unknown
191||"... The principles of George Kennan----a
personal hero of mine----were what
animated us. In fact they were what
had originally inspired me to enter
government service. Like the State
Department's China Hands of yore, or,
in a different forum, in a different
venue, in a different medium, in,
um... ""Murrow's Boys,"" the fabled----in
a different----"|stage direction
192||"He suddenly stops, head cocked, listening.
Faintly, a ringing phone."|unknown
193||13   INT. COX BASEMENT STAIRWAY - DAY                                13|location
194||"At the cut Osbourne is thundering down a steep carpeted
stairway. He inclines his head to clear the ceiling that
juts over the bottom half of the stairwell.
The phone is louder here."|unknown
195||14   INT. COX BASEMENT - DAY                                         14|location
196||"A semi-finished basement with cheap paneling and a low
dropped ceiling of water-stained Johnson-Armstrong tile. The
ringing phone is on a cheap government-surplus desk. The
answering machine, with Osbourne's voice, picks up:
15.
MACHINE
You have reached The Cox Group...
Osbourne, robe flapping, shuffles hurriedly in his slippered
feet toward the phone.
MACHINE (CONT'D)
... We can't answer your call right
now. Please leave a----
OSBOURNE"|unknown
197||"Hello.
He eases into the chair, having swiped up the phone.    A
listening beat.
OSBOURNE (CONT'D)
... Yes?... Oh, no... No, call her
number... No, upstairs...No she's not,
but leave it on her machine."|unknown
198||15   INT. LIVING ROOM - DAY - LATER                                     15|location
199||"We are looking over Osbourne's shoulder----he is still in his
robe----as he sits hunched on an ottoman, looking at a daytime
game show.
A few beats of the show.
Roaring laughter from the studio audience.     Mild chuckle from
Osbourne in the foreground."|unknown
200||16   INT LIVING ROOM - DAY - STILL LATER                                16|location
201||"Ticking clock. Osbourne paces with the microcassette
recorder. He raises it with a thought, draws a breath, and
then stops, and looks off.
The ticking grandfather clock: ornate hands on an ornate
clock face Two or three minutes to five.
Osbourne stares for a long beat."|unknown
202||17   INT. COX KITCHEN - DAY                                             17|location
203||"OSBOURNE
Shoulders twisting as we hear ice clattering out of a tray.
He pours coke sizzling onto the ice.
16.
He pauses for a long beat.
He takes a bottle of rum out of a cabinet.
He pours some into a hatch-marked shot glass.
He looks at it. The amber liquid tops the hatch mark.    He
conscientiously pours the overage back, murmuring:
OSBOURNE"|unknown
204||Single...|stage direction
205||He dumps the shot into the Coke.|unknown
206||18   EXT. SAILBOAT - DUSK                                            18|location
207||"As before, the boat, docked at the end of the marina pier, is
seen in long shot through the windshield of a car.
Closer on the boat. As water laps against pilings and the
boat gently bobs and creaks, we hear, muffled, the sounds of
a couple having sex. When it builds to climax we cut:"|unknown
208||19   INT. SAILBOAT - DUSK                                            19|location
209||"Minutes later. We hold on a door for a quiet beat, then we
hear the gurgle of water, and then the door opens. Harry
Pfarrer emerges from the small bathroom, buckling his belt.
In the bedroom which he emerges into Katie Cox is just
finishing dressing.
Harry looks at his watch.
HARRY"|unknown
210||I should try to get a run in.|stage direction
211||20   INT. COX HOUSE - DUSK                                           20|location
212||"Katie is letting herself in.
KATIE"|unknown
213||Ozzie!|stage direction
214||Quiet.|unknown
215||21   INT. KITCHEN - DUSK                                             21|location
216||"Katie enters and sees a note on the counter paperweighted by
a plate of used lime wedges:
17."|unknown
217||"Honey,
At Fenninger's.     Reunion committee
dinner.
See you later."|stage direction
218||22   EXT. POTOMAC BRIDGE - DUSK                                         22|location
219||"Long-lens, hand-held, point-of-view seeming: Harry Pfarrer is
jogging in his Treasury sweats.
Closer on him.   Brow furrows.   He spins, jogs backwards,
looking.
His point-of-view: nothing unusual; traffic on the bridge, no
pedestrians particularly close.
Harry, mildly puzzled, slows and stops.    He turns again.
Point-of-view up the bridge: empty.
Harry starts jogging again."|unknown
220||23   INT. COX BASEMENT - NIGHT                                          23|location
221||"We are tracking toward the desk in the corner, at which Katie
sits. She cracks open a CD case and loads the CD into
Osbourne's computer. A suspense drone builds as we track in.
Katie starts typing, then suddenly stops. She holds still,
listening for noises in the house. Nothing. She resumes
typing.
We hear male voices beginning to swell in song. The voices
continue after the suspense drone snaps off, at the cut to:"|unknown
222||24   INT. FENNINGER'S - NIGHT                                           24|location
223||"A musty steakhouse. On the walls are hunting-scene prints
and steel engravings of English country houses.
A placard resting on a chair outside the Georgian Room:
CLOSED FOR PRIVATE PARTY.
From inside the room, male voices:
VOICES"|unknown
224||Tune every heart and every voice...|stage direction
225||18.|unknown
226||25   INT. FENNINGER'S - GEORGIAN ROOM - NIGHT                        25|location
227||"A dozen middle-aged men around a long table, each holding
high a glass.
MEN
... Bid every care withdraw.    Let all
with one accord rejoice...
The men are sweaty, tie-loosened, dinner-stuffed and boozy.
MEN (CONT'D)
... In praise of Old Nassau...
Close on Osbourne as a rotund middle-aged classmate fills his
glass to brimming. The two sway unsteadily with the music..
MEN (CONT'D)
... In praise of Old Nassau my boys,
Hoo-rah, hoo-rah, hoorah!
All swing their glasses side-to-side in rhythm:
MEN (CONT'D)
... Her sons... shall give... while
they... shall live...
Glasses are thrust high with a ringing finish:
MEN (CONT'D)
... In praise of Old Nassau!"|unknown
228||26   INT. EXAM ROOM - DAY                                            26|location
