|character|text|type
0||"GARDEN STATE
Written by
Zach Braff"|unknown
1|IN BLACK:|"AIRPLANE PILOT (O.S.)
(panicky; through crackly"|speech
2|RADIO)|"Los Angeles Tower, this is
Transworld two-two Heavy, we are
going down! Repeat... Engines two
and three are... L.A. Tower this is
MaydayI Mayday!
TOWER (O.S.)
(through crackly radio)
2-2 Heavy, Pull upt Pull up!
The RADIO NOISE is drowned out by the A CAPELLA, SOPRANO
VOICE of a young Indian boy as he sings a melodic Hindi
prayer."|speech
3||INT. AIRPLANE CABIN --- NIGHT|location
4|RADIO)|"THE WORST NIGHTMARE IMAGINABLE:
SLOW MOTION: The plane is going down fasts Everyone panics
and screams in SLOW MOTION as the oxygen masks away like
plastic pendulums. The SOPRANO VOICE continues the prayer.
ANDREW LARGEMAN (LARGE), 25, is the only passenger who
remains unfazed. Even as the flames from the wing echo fiery
reflections on his cheeks, even as the young mother seated
next to him clutches her newborn and wails towards God, even
as bags fall from the overhead compartment at half-speed and
the beverage cart slides down the aisle, Andrew Largeman sits
peacefully; unaffected.
He calmly reaches up and turns his air vent so it blows
directly on him. He looks up to
THE FASTEN SEAT BELT SIGN
it BINGS as the light flashes on and off. The BINGING
continues more and more frequently; at first in rhythm with
the prayer and then it dissolves into the RING of an
ELECTRONIC TELEPHONE."|speech
5||INT. BEDROOM -- MORNING|location
6|DISSOLVE TO:|"Whiteness. Morning sun streams through a palatial picture
window. THE PHONE continues to RING. A ceiling fan spins
above stacks of scripts, a cell phone charging, bare walls
and a small human figure dwarfed by the enormous white bed in
which he sleeps.
HIS BYES bounce back and forth under their lids as he dreams
like they're chasing each other in a game of tag.
THE PHONE is finally answered by the machine. Large's eyes
stop moving."|speech
7|2|"VOICE ON MACHINE (0.S.)
Andrew... This is your father.
LARGE'S EYES slowly float open."|speech
8|VOICE|"Hi, hello, it's uh. Look uh, you
don't call me back so I don't know
how to do this. If I can't... if
you're not gonna return my calls
then there's no way for us to
communicate. So uh...
'(starts to cry)
Look, I don't know how to do . this,
but you're gonna need to come home
now. Last night uh... Your mother
died last night, Andrew. She uhh...
I'm sorry. I'm so sorry. But she
uh... she drowned... last night she
drowned in the bath...
BEEP. The machine cuts the voice off.
LARGE'S EYES processing.
They elide slowly left, then back right as if scanning in
data. He blinks. He blinks again slowly. His eyelids float
closed. He falls back to sleep.
FADE TO BLACK-'"|speech
9|IN BLACK:|The RUSH OF WATER from the bathroom sink.|speech
10||INT. BATHROOM -- MORNING|location
11|IN BLACK:|"Large appears to stare directly at us. He's dazed. His body
is there, but his mind seems absent. He reaches to the middle
of the frame, almost at us, and pulls open both doors of the
mirror he's been staring into.
His face and chest are immediately replaced with the two
dozen orange prescription drug canisters that immaculately
line the shelves of his medicine cabinet.
He closes the mirror doors and stares at himself.
MUSIC CUB., (""DON'T PANIC"" BY COLDPLAY)"|speech
12||EXT. CENTURY CITY PAVILION -- LATER|location
13|IN BLACK:|"Large rushes through throngs of people on their lunch break.
He manages to avoid eye contact with all of them as he tries
to find an address while checking a piece of paper.
He boards an outdoor escalator and starts climbing thL-
stairs."|speech
14|"0
3"|"After a moment he looks to his right through a window into a
gym where a man on a Stairmaster is walking alongside him.
Large registers something: he isn't going anywhere.
THE CAMERA PULLS BACK to reveal he's been walking up on the
down side. He stands still and lets it bring him all the way
down, where he moves to the ""Up"" one and rises towards the
next level. His expression never changes."|speech
15||INT. CASTING OFFICE -- DAY|location
16|"0
3"|"A casting assistant sits behind stacks of headshots and
manilla envelopes while the PHONE RINGS constantly. Large
sits next to another actor that looks exactly like him;
they're even dressed alike."|speech
17|ASSISTANT|"Casting, please hold. casting,
please hold.
WE PULL BACK TO REVEAL: they are sitting beneath an eight
foot photograph of ""Urkel"" wagging his finger at the camera.
A slow 360 degree pan around the room reveals ten other
actors identical to Large aggressively rehearsing their lines
to themselves.
The ACTOR seated next to Large leans over to him."|speech
18|ACTOR|"We're whores.
Large looks at him."|speech
19||"ACTOR (CONT' D )
""I'm not a whore,"" you say. And to"|stage direction
20|ACTOR|"that I say, ""If you would do
this... that you would do ' this...
you're a whore."" 'But it pays the
bills,"" you say; startin' to get a
little pissed. And to that I say:
""how do whores, how do you think a
hooker justifies what she does to
her non-hooker friends?"""|speech
21|(BEAT)|It pays the bills.|speech
22|(READING)|"""Codey, an extreme, special-ope
hacker with an edge.' What the fuck
is an ""edge""? Can you explain
""edge"" to me? Is it just messy
hair?"|speech
