|character|text|type|character_clean|gender
0||ABSOLUTE POWER|location||
1||Written by|stage direction||
2||"WILLIAM GOLDMAN
Based on the book by
DAVID BALDACCI
May 1996 Draft
FOR EDUCATIONAL
PURPOSES ONLY
FADE IN:"|unknown||
3||1   INT. WASHINGTON MUSEUM - DAY                                   1|location||
4||"The saddest eyes you ever saw.
We are looking at an El Greco drawing.       It is a study for
one of his paintings.
PULL BACK TO REVEAL --
A bunch of art students are doing sketches of the eyes,
the elongated fingers, the slender hands El Greco drew so
brilliantly.
Most of the students are around 20.        A couple of suburban
housewives are there too.
And one older man.
This is LUTHER WHITNEY. Mid 60s, very fit, neatly
dressed. At quick glance, he seems as if he might be a
successful company executive.
As we watch him draw we can tell he is capable of great
concentration. And patient. With eyes that miss
nothing: He has pilot's eyes.
We'll find out more about him as time goes on, but this
is all you really have to know: Luther Whitney is the
hero of this piece. As we watch him draw --
Luther's sketchbook. He is finishing his work on the
eyes, and he's caught the sadness: It's good stuff.
Luther. It's not good enough for him.        He looks at his
work a moment, shakes his head.
GIRL STUDENT
Don't give up.
LUTHER
I never do.
GIRL STUDENT
May I?
She's indicated his sketchbook.      He nods.   She starts
thumbing through.
The sketchbook as the pages turn.
Detail work. Eyes and hands. The eyes are good.         The
hands are better. Very skillful.
(CONTINUED)"|unknown||
5||")B(   ABSOLUTE POWER - Rev. 5/16/96                         2.
1     CONTINUED:                                                    1"|location||
6||The GIRL hands it back.    Impressed.|stage direction||
7|GIRL STUDENT|"You work with your hands, don't
you?"|speech|GIRL STUDENT|?
8||"CLOSEUP - LUTHER                                                  *
An enigmatic smile.    Now, from that --"|stage direction||
9||2     EXT. RED'S BAR - DAY                                          2|location||
10||"A nice working class part of town. Nothing fancy here
but there's a pleasant feel. The streets are clean, the
houses neat and well tended.
Luther, carrying his sketchbook, walks along. It's
afternoon now. Up ahead is a local bar: RED'S."|stage direction||
11||3     INT. RED'S BAR - DAY                                       3|location||
12||"Luther walks in. Nothing fancy here. Strictly working
class. And relatively empty. An overweight bald man
Luther's age works behind the bar. This is RED. They
are good enough friends not to ask each other questions."|stage direction||
13||"LUTHER
(as they nod to
each other)
Redhead.
RED
Luther.
(as Luther hands
him a videotape)
Your life would be a whole lot
simpler if you could learn to
operate a V.C.R.
LUTHER
My only failing."|unknown||
14||As he turns --|stage direction||
15||4     EXT. NEIGHBORHOOD - LUTHER'S HOUSE - DAY                   4|location||
16||"A street of   small row houses. Clean, well tended.
Luther walks   toward one. Later in the afternoon. He
carries half   a dozen small shopping bags, from the
market, the   hardware store, the drug store, the cleaners."|stage direction||
17||3.|unknown||
18||5   EXT. LUTHER'S HOUSE - DAY                                    5|location||
19||"A terra cotta planter to the right of the front door.
Luther shifts his packages, tilts the planter slightly,
bends down, pulls out a key, inserts it in the front
door."|unknown||
20||6   INT. LUTHER'S HOUSE - KITCHEN - DAY                          6|location||
21||"as he enters. Neat, tidy. A Cuisinart, a cheese slicer,
lots of other nice equipment. As he begins putting food
away --"|unknown||
22||7   INT. LUTHER'S HOUSE - DINING AREA - NIGHT                    7|location||
