|character|text|type|character_clean|gender|principal_character
0||"AMERICAN GANGSTER
Written by
Steven Zaillian
FINAL SHOOTING SCRIPT
July 27, 2006"|unknown|||
1||1   EXT. JAZZ CLUB - DAY                                                  1|location|||
2||"A tall, handsome man in a dark suit emerges from a Lincoln
Towncar and enters a small, basement R&B/Jazz club."|unknown|||
3||2   INT. JAZZ CLUB - DAY                                                  2|location|||
4||"He approaches a booth, says something in the din to the men
there, then calmly shoots them and exits.
AMERICAN GANGSTER"|unknown|||
5||3   EXT. HARLEM STREET - DAY (NOVEMBER)                                   3|location|||
6||"Bumpy Johnson, an elderly but still sturdy black man,
elegantly dressed - cashmere overcoat, gloves, Homburg -
stands in falling snow atop a flatbed truck - as he does
every Thanksgiving - tossing down turkeys to the poor -
like a benign king.
Legend:   Harlem
A younger man, the gunman from the club - Frank Lucas -
Bumpy's driver/bodyguard/collector/protege - watches from
below."|unknown|||
7||4   INT/EXT. STREET / DISCOUNT EMPORIUM - DAY (NOVEMBER)                  4|location|||
8||"Whispering gunfire from a television set veiled by
foreground snow: Soldiers in the jungles of Vietnam in
1970. A rich, cultured, authoritative voice offers:
BUMPY O/S
This is the problem. This is what's
wrong with America.
The war footage multiplies by twenty: a stack of TVs with
price tags dangling from the knobs behind a display window.
BUMPY O/S
It's gotten so big you can't find your
way.
People on the sidewalk, out of respect or fear, part to let
Frank and Bumpy and Bumpy's German shepherd pass.
BUMPY
The corner grocery's a supermarket.
Candy store's a MacDonald's. And this
place.
(MORE)
(CONT)
2."|unknown|||
9||4   CONTINUED:                                                          4|location|||
