|character|text|type|character_clean|gender
0||"L.A. CONFIDENTIAL
by
Brian Helgeland
Based on the novel by James Ellroy
November 16, 1995
Minor Revisions"|unknown||
1||"FADE IN:
OVER the opening strains of ""I LOVE YOU, CALIFORNIA,"" a
MONTAGE:  a mixture of headlines, newsreel footage and
live action."|stage direction||
2||"Economy Booming
Postwar Optimism
L.A.:
City of the Future
!  But most prominent among them:
GANGLAND
!  Police photographers document crime scenes."|unknown||
3||"The meat wagon hauls ex-button men to the morgue.  Where
will it end?"|stage direction||
4||EXT. L.A. SKYLINE - SUNSET|location||
5||"Palm trees in silhouette against a cherry sky.  City
lights twinkle.  Los Angeles.  A place where anything is
possible.  A place where dreams come true.  As the sky
darkens, triple-kleig lights begin to sweep back and
forth."|stage direction||
6||EXT. MANSION (HANCOCK PARK) - NIGHT|location||
7||"The KLEIG LIGHTS are out front.  Valets hurry to park a
line of elegant cars."|stage direction||
8|MAYOR (V.O.)|"Ladies and gentlemen, I give you
the future of Los Angeles!"|speech|MAYOR|?
9||INT. HANCOCK PARK MANSION - BALLROOM - NIGHT|location||
10||"The MAYOR yanks a cloth to reveal a MODEL of L.A. criss-
crossed by an elaborate FREEWAY SYSTEM.  The CROWD oohs.
A COUNCILMAN claps.  A SOCIETY MATRON nods her approval.
PIERCE PATCHETT, 50, tuxedoed, watches off to one side.
A behind-the-scenes power broker, Patchett exudes
authority much more so than the Mayor does."|stage direction||
11|MAYOR|"The Arroyo Seco freeway is just
the beginning.  We're planning
freeways from Downtown to Santa
Monica, from the South Bay to the
San Fernando Valley.  Twenty
minutes to work or play is the
longest you'll have to travel."|speech|MAYOR|?
12||More applause.  One REPORTER asks a little too loudly...|stage direction||
13|REPORTER|"How many bodies you think Mickey
Cohen'll be able to hide in all
that cement?"|speech|REPORTER|?
14||The Mayor wears a plastic smile, ignores it.|stage direction||
15||INT. THE MOCAMBO - NIGHT|location||
16||"A CLUB PHOTOGRAPHER pops snapshots, but the real action
is on the floor where MICKEY COHEN does a wicked ""Lindy
Hop"" with THREE different GIRLS at once.  A fireplug of a
man, he hardly seems a public menace.  Nearby is his
bodyguard JOHNNY STOMPANATO.  Over it all:"|stage direction||
17|HUDGEONS (V.O.)|"Meyer Harris Cohen, Mickey C to
his fans.  He's the big moocher,
local L.A. color to the nth
degree.  You know Mickey.  He runs
dope, rackets and prostitution.
He kills a dozen people a year.
But who you may not know is
bodyguard Johnny Stompanato."|speech|HUDGEONS|M
18||"His hair in a slick pompadour, Stompanato keeps an eye on
Cohen and comes onto a CIGARETTE GIRL at the same time."|stage direction||
19|HUDGEONS (V.O.)|"Johnny's handsome, ladies, but the
real attraction is below the belt.
Second only to Steve Cochran, he's
sometimes known as 'Oscar' because
of his Academy Award-size
appendage."|speech|HUDGEONS|M
20||"Mickey works a sweat on the dance floor.  A bottle of
champagne pops; Stompanato reacts, nearly draws a pistol
from his shoulder holster.  As he laughs at himself..."|stage direction||
21||INT.|location||
22||"HUSH-HUSH
MAGAZINE OFFICE - DAY"|unknown||
23||"Lurid page one headlines cover the wall where SID
HUDGEONS types.  The essence of sleaze, Sid is the
publisher-photographer-writer of"|stage direction||
24||"Hush-Hush
magazine and"|unknown||
25||keeper of inside dirt supreme.  As he continues...|stage direction||
26|HUDGEONS (V.O.)|"Remember, dear readers, you heard
it here first, off the record, on
the Q.T. and very"|speech|HUDGEONS|M
27||Hush-Hush|unknown||
28||INT. HANCOCK PARK MANSION - BALLROOM - NIGHT|location||
29||"The party continues.  The Mayor has moved off to the side
with the power brokers.  Patchett is a presence."|stage direction||
30|MAYOR|"We're selling an image, gentlemen.
Beautiful weather.  Affordable
housing."|speech|MAYOR|?
31||(re:  model)|location||
32|MAYOR|"Trouble-free transportation.  And
the best police department in the
world to keep it all running
smoothly."|speech|MAYOR|?
33||EXT. STOREFRONT - NIGHT|location||
34||"A dozen people watch a display windoe TELEVISION as it
rolls the opening of the hit show ""Badge of Honor.""  Over
familiar THEME MUSIC, ""Sgt. Joe Reno"" (actor BRETT CHASE)
walks the streets of Los Angeles."|stage direction||
35|CHASE (V.O.)|"My name?  Joe Reno.  The city?
Los Angeles.  A big town.  Full of
all sorts of people.  It's my job
to help them.  I like what I do.
I'm a cop."|speech|CHASE|F
36||INT. HANCOCK PARK MANSION - BALLROOM - NIGHT|location||
37||The Mayor continues.|stage direction||
38|MAYOR|"But with a second rate Al Capone
out there, L.A. looks like Chicago
in the '30s.  Something has to be
done."|speech|MAYOR|?
39||As Pierce Patchett nods sagely.|stage direction||
40||INT. OLYMPIC AUDITORIUM - NIGHT|location||
41||"Wrestler GORGEOUS GEORGE primps and poses before flatten-
ing an opponent with a drop kick."|stage direction||
42||INT. MOVIE THEATER - NIGHT|location||
43||An enthusiastic crowd adjusts their 3-D glasses.|stage direction||
44||EXT. COHEN MANSION (BEVERLY HILLS) - DAY|location||
45||"In monogrammed silk pajamas, Mickey Cohen answers the
door, his pet BULLDOG Mickey Jr. at his feet.  The police
are waiting.  REPORTERS' flashbulbs pop."|stage direction||
46|POLICE OFFICER|Mr. Cohen, you're under arrest.|speech|POLICE OFFICER|M
47|COHEN|Bullshit.  What's the charge?|speech|COHEN|M
48|POLICE OFFICER|Non-payment of federal income tax.|speech|POLICE OFFICER|M
49||Bullshit|unknown||
50||EXT. GRAUMAN'S CHINESE - DAY|location||
51||JOHN WAYNE gets his hand prints in the sidewalk.|stage direction||
52||EXT. WESTCHESTER BEAN FIELD - DAY|location||
53||"MIGRANT WORKERS hurry to finish the harvest.  We PAN
TO CONSTRUCTION WORKERS who wait impatiently with bull-
dozers under a ""Spirit of the Future"" BANNER.  As the
last picker leaves the field, the bulldozers move in,
leveling the bean rows to make way for a housing tract."|stage direction||
54||EXT. FEDERAL COURTHOUSE - STEPS - DAY|location||
55||"Flashbulbs pop as Mickey Cohen exits and starts down
the steps.  Accompanied by his LAWYERS, bodyguard
Stompanato and mob lieutenants DEUCE PERKINS and NATE
JANKLOW, Cohen ignores REPORTERS' shouts."|stage direction||
56|REPORTER|How's your bullshit now, Mickey?!|speech|REPORTER|?
57||"As Cohen gets into a waiting car, the media turn their
attention to District Attorney ELLIS LOEW.  A singularly
ambitious man, Loew loves the spotlight."|stage direction||
58|LOEW|"Today is an auspicious one for the
city of Los Angeles.  Mickey Cohen
has just been sentenced to ten
years in federal prison for
failure to pay income tax.
As the District Attorney for Los
Angeles County, it is my pleasure
to declare our great city
organized crime free.  It is truly
the dawning of a new day."|speech|LOEW|M
59||The SONG ENDS and so does the MONTAGE.|stage direction||
60||INT. PACKARD (ACROSS FROM BULLOCKS WILSHIRE) - NIGHT|location||
61||"December 24th.  Wendell ""BUD"" WHITE, 30, stares at the
enormous Christmas tree on the deco platform over
Bullocks' entrance.  An LAPD cop, Bud's rep as the
toughest man on the force has been well earned.  In the
back seat, with cases of Walker Black and Cutty Sark, is
Bud's partner -- DICK STENSLAND.  Older, but also a tough
hump, ""Stens"" sucks on a pint of Old Crow.
The passenger door opens and Mickey Cohen bodyguard
Johnny Stompanato slides in.  Guinea handsome, Johnny
wears his curls in a tight pompadour.  With his boss
behind bars, he's out of work.  Bud just stares at him."|stage direction||
62|STOMPANATO|"Officer White.  I heard you got a
hard-on for wife beaters."|speech|STOMPANATO|M
63|BUD|"And you fuck people up for a
living.  That don't make me you."|speech|BUD|M
64||"Capisce
, shitbird?"|unknown||
