|character|text|type|character_clean|gender|principal_character
0||"OCEAN'S 11
screenplay by
Ted Griffin
based on a screenplay by
Harry Brown and Charles Lederer
and
a story by
George Clayton Johnson & Jack Golden Russell
LATE PRODUCTION DRAFT
Rev. 05/31/01 (Buff)
OCEAN'S 11 - Rev. 1/8/01
FADE IN:
1   EMPTY ROOM WITH SINGLE CHAIR                                  1
We hear a DOOR OPEN and CLOSE, followed by APPROACHING
FOOTSTEPS. DANNY OCEAN, dressed in prison fatigues,
ENTERS FRAME and sits.
VOICE (O.S.)
Good morning.
DANNY
Good morning.
VOICE (O.S.)
Please state your name for the
record.
DANNY
Daniel Ocean.
VOICE (O.S.)
Thank you. Mr. Ocean, the purpose
of this meeting is to determine
whether, if released, you are
likely to break the law again.
While this was your first
conviction, you have been
implicated, though never charged,
in over a dozen other confidence
schemes and frauds. What can you
tell us about this?
DANNY
As you say, ma'am, I was never
charged.
2   INT. PAROLE BOARD HEARING ROOM - WIDER VIEW - MORNING         2
Three PAROLE BOARD MEMBERS sit opposite Danny, behind a
table.
BOARD MEMBER #2
Mr. Ocean, what we're trying to
find out is: was there a reason
you chose to commit this crime, or
was there a reason why you simply
got caught this time?
DANNY
My wife left me. I was upset.    I
got into a self-destructive
pattern.
(CONTINUED)
OCEAN'S 11 - Rev. 1/8/01                                 2.
2   CONTINUED:                                                     2
BOARD MEMBER #3
If released, is it likely you
would fall back into a similar
pattern?
DANNY
She already left me once. I don't
think she'll do it again just for
kicks.
Glances dart between the Board Members.
BOARD MEMBER #1
Mr. Ocean, what do you think you
would do if released?
Danny considers.
DANNY
(deadpan)
I don't know. How much do you
guys make a year?
3   INT. MINIMUM-SECURITY PRISON - CHECK-OUT STATION - DAY         3
GUARD #2
Ocean, Daniel.
Danny steps forth, and GUARD #1 doles out his possessions
and a form certifying their return to Danny.
GUARD #2
Sign.
(adding a piece of
mail to the pile)
This came today for you. Rest'll
be forwarded to your parole
officer.
GUARD #1
(reading its return
address over Danny's
shoulder)
Those your lawyers?
DANNY
My wife's.
He opens the letter, and as his eyes gaze over the papers
within, he smirks just a little.
GUARD #1
What's it say?
(CONTINUED)
OCEAN'S 11 - Rev. 1/8/01                                 3.
3    CONTINUED:                                                    3
DANNY"|unknown|||
1||I'm a free man.|location|||
2||"4    INT. CHANGING CUBICLE                                         4
Danny pulls on civilian clothes and there's not a bare
thread among them. He tugs his cuffs and smiles: The
old skin feels good. One last item to don: a silver
wedding band. Danny considers it. Will he put it on?
5    EXT. MINIMUM-SECURITY PRISON - FRONT GATE - AFTERNOON         5
A sign reads: ""NEW JERSEY STATE MINIMUM-SECURITY
CORRECTIONAL FACILITY."" Someone has graffitied below it:
""If you were in prison, you'd be home now.""
The great metal door opens, and Danny stands within its
frame, ready for release. (If it matters -- and if you
notice -- he's wearing his wedding ring.)
He hovers   there for a moment, on the precipice of
freedom.    The WIND WHISTLES a little on the other side of
the gate,   and the view ahead is not pleasant (New
Jersey):    Life is hard out there.
But Danny musters his courage, then takes his first step
into free America...
A6   EXT. ATLANTIC CITY BOARDWALK - DUSK                           A6
Any empty wintery boardwalk.
6    INT. CASINO (ATLANTIC CITY) - NIGHT                           6
... And his wingtip lands squarely on plush red
carpeting.
As we PULL UP TO Danny's face and SPIN AROUND him, we
hear, then see the BUZZ of a CASINO floor: the HUM of
CONVERSATION, the DING-DING-DING and THUNK-THUNK-THUNK
from the SLOTS, the brisk WHIR of SHUFFLED CARDS.
And to Danny, it's a hearth and fire and a comfy chair
and a snifter of brandy. He's home.
ON DANNY'S WALLET
As he pulls out several crisp one hundreds, sets them on
green felt, then sees them replaced by a neat pile of
chips.
4.
7   AT BLACKJACK TABLE                                            7
Danny cranes his neck about the casino, looking for
someone -- a friend, somebody who should be here -- but
without success. He turns his attention back to his
cards, and the cards of the dealer.
Nine-ten. Stay. Dealer -- seventeen. Danny wins.
King-four. Dealer shows a six. Stick. Dealer busts.
Queen-ace. Twenty-one. Danny wins again.
A second dealer relieves the first, and Danny recognizes
him with a smile -- this wasn't the friend he was
scouting for, but two hours out of the joint any familiar
face is welcome.
DANNY
Hello, Frank.
The new dealer (FRANK CATTON) glances up at Danny, and
his eyes go wide, like a priest who's discovered he's
dealing communion wafers to the pontiff himself. He
quickly hides his astonishment.
FRANK
I beg your pardon, sir. You must
have me confused with someone
else. My name is Ramon. See?
He taps the name embroidered on his vest, although he is
the most African-looking Ramon you've ever seen. A pit
boss circles close by and glares at them both.
DANNY
My mistake...
(collecting his chips,
doubled)
Table's cold anyway.
FRANK
You might try the lounge at the
Grand, sir. It gets busy around
one.
DANNY
(as he goes)
Thanks.
8   INT. LOUNGE AT GRAND                                          8
Danny checks his watch -- 12:58 -- then the lounge around
him: prison had more nightlife. He nurses a bourbon,
folds back the New York Times and scans.
(CONTINUED)
OCEAN'S 11 - Rev. 10/24/00                               5.
8   CONTINUED:                                                     8
His eyes move down the page and stop at a header --
""Vegas' Paradiso to be Razed; Former Owner Denounces
Plans"" -- accompanied by two photographs...
The first: Tan, well-coiffed developer and new owner of
the Paradiso, Terry Benedict, with a beautiful (if barely
visible) woman on his arm. The second: scowling former
owner, Reuben Tishkoff.
FRANK (O.S.)
Catching up on current events?
Danny lowers the paper; Frank is sitting across from him,
changed out of his dealer's threads.
DANNY
Ramon?
FRANK
Glad to meet you. Frank Catton
wouldn't get by the gaming board.
(beat)
You just out?
DANNY
This afternoon.
FRANK
(re: Danny's drink
and whereabouts)
And already turning over a new
leaf.
Frank signals a passing waitress; she ignores him.
DANNY
(directly, this is
why he's here)
You seen him?
FRANK
Last I heard he was in L.A.
Teaching movie stars how to
play cards.
(beat)
Why? You don't have something
planned already?
DANNY
You kidding? I just became a
citizen again.
Frank stares at Danny a moment, finally catches his eye,
and Danny can't help but grin: of course he has.
(CONTINUED)
OCEAN'S 11 - Rev. 1/8/01                                 6.
8    CONTINUED:    (2)                                              8
Frank turns his eyes to heaven..."|unknown|||
3||Jesus...|location|||
4||"9    INT. SUB SHOP - NIGHT                                          9
MOVING WITH Danny and Frank.
FRANK"|unknown|||
5||"It's tough now, our line of work.
Everybody so serious. Too many
guns, too many computers. Whadda
you gonna do? Steal from ordinary
people?"|location|||
6||DANNY|unknown|||
7||That would be criminal.|location|||
8||FRANK|unknown|||
9||"So what's left? Banks? Hah.
Banks got no money. It's all
electronic. Only place that still
takes cash is..."|location|||
10||Casinos.|location|||
11||"FRANK
(realizing)"|unknown|||
12||Oh, no...|location|||
13||Oh, yes...|location|||
14||When?|location|||
15||Soon.   Interested?|location|||
16||"Frank smiles.    Danny has his answer.
10   INT. SUB SHOP - FOYER - NIGHT                                  10
Danny pulls a business card from his jacket, picks up the
phone again, and dials the card's number.
(CONTINUED)"|unknown|||
17||OCEAN'S 11 - Rev. 5/31/01                                    7.|stage direction|||
18||10    CONTINUED:                                                        10|unknown|||
19|DANNY|"Yes, Officer Brooks? My name is
Danny Ocean. I'm just out, I'm
supposed to check in with you
within twenty-four hours."|speech|DANNY|M|True
20||(listens)|unknown|||
21|DANNY|"No, sir, I haven't gotten into
any trouble. No drinking, no sir."|speech|DANNY|M|True
22||"(listens, finishes
his bourbon)"|unknown|||
23|DANNY|"No, sir, I wouldn't even think of
leaving the state."|speech|DANNY|M|True
24||OFF the sound of a JET fly-over we...|stage direction|||
25||"CUT TO:
A11   EXT. HOLLYWOOD CLUB (DEEP) - REAR ENTRANCE - NIGHT                A11"|unknown|||
26||"PULLING OFF the Capitol Building, we PICK UP Rusty
(tall, angular, ebony) leaning against his Ford Falcon."|stage direction|||
27||TOPHER (O.S.)|unknown|||
28|DANNY|Hey!   Hey, Rusty!|speech|DANNY|M|True
29||Rusty turns to the voice and --|stage direction|||
30||CUT TO:|unknown|||
31||"ANOTHER ANGLE
MOVING WITH him and Topher Grace, the actor, as they push
down a back alley."|stage direction|||
32|TOPHER|"Hey, I don't know if you're, uh,
you know, incorporated or anything,
like Rusty Ryan. And, I don't know,
incorporated, but you should think
about it, really, 'cause I was
talking to my manager yesterday --"|speech|TOPHER|M|True
33||RUSTY|unknown|||
34|TOPHER|Bernie?|speech|TOPHER|M|True
35||(CONTINUED)|unknown|||
36||OCEAN'S 11 - Rev. 5/31/01                                  8.|stage direction|||
37||A11   CONTINUED:                                                       A11|unknown|||
38|TOPHER|"No, not Bernie, I mean not, not
that Bernie, my business manager,
he's also Bernie, he was telling
me that since this, what we do,
could be considered research for,
you know, a future gig, that I
should be able to write it off as
a business expense. So he suggested
that it'd be better if I wrote you
a check, and thereby --"|speech|TOPHER|M|True
39||Rusty looks at him:     are you stoned?|stage direction|||
40|TOPHER|Or, or we could keep it cash.|speech|TOPHER|M|True
41||By this time, they should have entered --|stage direction|||
42||"11    OMITTED                                                          11
A12   INT. HOLLYWOOD CLUB (DEEP) - NIGHT                               A12"|unknown|||
43||"-- where they must weave through hordes of young
Hollywood nightclubbers."|stage direction|||
44||RUSTY|unknown|||
45|TOPHER|Alright.   Who's here?|speech|TOPHER|M|True
46|TOPHER|"Josh is here. Seth is here.
David couldn't make it. He's got
two weeks of reshoots on Lusitania
because somebody just figured out
forty percent of the budget is
coming from Germany."|speech|TOPHER|M|True
47|RUSTY|That's a problem.|speech|RUSTY|M|True
48||TOPHER|unknown|||
49|RUSTY|Barry is here.|speech|RUSTY|M|True
50|RUSTY|"I thought they let him out to do
that H.B.O. thing in Vancouver."|speech|RUSTY|M|True
51|TOPHER|"Couldn't work the dates. Oh, and
he brought his girlfriend."|speech|TOPHER|M|True
52||(CONTINUED)|unknown|||
53||OCEAN'S 11 - Rev. 5/31/01                                 9.|stage direction|||
54||A12   CONTINUED:                                                      A12|unknown|||
55|RUSTY|Not the one from --|speech|RUSTY|M|True
56|TOPHER|Uh-huh.|speech|TOPHER|M|True
57||(beat)|unknown|||
58|RUSTY|"I quit watching when Kate left Don
after his accident."|speech|RUSTY|M|True
59||They pass on, and into --|stage direction|||
60||"12    OMITTED                                                         12
A13   INT. BACK ROOM - NIGHT                                          A13"|unknown|||
61||Small but stylish.     Rusty enters, Topher in tow.|stage direction|||
62|RUSTY|"Good evening, guys. Let's play
some cards..."|speech|RUSTY|M|True
63||"A glance at the table reveals: the three waiting players
are all young TV stars (Josh Jackson, Seth Green, Barry
Watson) here for a group poker lesson with Rusty. (One
star, indeed, has brought his girlfriend, Katie, also
a known actress, to observe.)
A glance back at Rusty reveals:     he's in for a long
night."|stage direction|||
64|RUSTY|... and let's play some cards.|speech|RUSTY|M|True
65||"AT TABLE - LATER
The group lesson has begun."|stage direction|||
66|TOPHER|A hundred bucks to me...|speech|TOPHER|M|True
67||"(mulling it
over)"|unknown|||
68|TOPHER|"Ah, what the hell. Pocket
change. Call."|speech|TOPHER|M|True
69||Rusty leans into Topher's ear, whispering:|stage direction|||
70||(CONTINUED)|unknown|||
71||OCEAN'S 11 - Rev. 5/31/01                                 10.|stage direction|||
72||A13   CONTINUED:                                                      A13|unknown|||
73|RUSTY|"Why you bet a certain way is your
business. But you have to make
them think you're betting for a
reason. Understand?"|speech|RUSTY|M|True
74||"SAME SCENE - LATER
To another player:"|stage direction|||
75|RUSTY|"Seth. You know what you have.
Looking at them doesn't change
them. Leave 'em where they are
and make your bet."|speech|RUSTY|M|True
76||"SAME SCENE - LATER
To another player:"|stage direction|||
77|RUSTY|"You're showing. Yeah, I know she's
your girlfriend, Barry, but you
can't... Thank you."|speech|RUSTY|M|True
78||"SAME SCENE - LATER
To another:"|stage direction|||
79||RUSTY|unknown|||
80|RUSTY|Josh.   Deal to your left.|speech|RUSTY|M|True
81||"SAME SCENE - LATER
A WAITRESS enters from the club, and DANCE MUSIC with
her. As she distributes a fresh round:"|stage direction|||
82|WAITRESS|"One McCallum neat. And four
bottled waters."|speech|WAITRESS|F|
83||"Rusty takes in the sight -- bottled fucking water on a
poker table."|stage direction|||
84||(triumphantly)|unknown|||
85|SETH|Two pair -- nines and twos.|speech|SETH|M|
86||Rusty checks his hand:     a full-house full of face cards.|stage direction|||
87||(CONTINUED)|unknown|||
88||OCEAN'S 11 - Rev. 5/31/01                                 11.|stage direction|||
89||A13   CONTINUED:    (2)                                               A13|unknown|||
90||(folding)|unknown|||
91|RUSTY|You got me.|speech|RUSTY|M|True
92||"(as Seth rakes in
his winnings)"|unknown|||
93|RUSTY|Let's take a little break.|speech|RUSTY|M|True
94||"13    OMITTED                                                         13
A14   INT. HOLLYWOOD CLUB (DEEP) - NIGHT                              A14"|unknown|||
95||At the bar, Rusty orders a double.     He needs it.|stage direction|||
96||(shouting over music)|unknown|||
97|BARTENDER|How's the game going?!!|speech|BARTENDER|M|
98|RUSTY|"It's been the longest hour of
my life."|speech|RUSTY|M|True
99|BARTENDER|What?!|speech|BARTENDER|M|
100||(at the same volume)|unknown|||
101|RUSTY|I'm running away with your wife.|speech|RUSTY|M|True
102||"The Bartender, not able to hear him, smiles and flashes
a thumbs-up before moving away."|stage direction|||
103|BARTENDER|Cool, man!|speech|BARTENDER|M|
104||"Behind the bar two go-go dancers writhe behind red-light-
district windows, and Rusty catches his own fatigued
expression in their reflection. Then, out the corner
of his eye, he catches sight of a man passing through
the pulsating crowd. Someone familiar to him. He
follows."|stage direction|||
105||"14    OMITTED                                                         14
A15   INT. HOLLYWOOD CLUB (DEEP) - BACK ROOM                          A15"|unknown|||
106||Rusty returns.|stage direction|||
107|TOPHER|"Hey, Rusty, we got another player,
if that's alright."|speech|TOPHER|M|True
108||(CONTINUED)|unknown|||
109||OCEAN'S 11 - Rev. 5/31/01                                    12.|stage direction|||
110||A15   CONTINUED:                                                         A15|unknown|||
111||"Topher indicates the new arrival: Danny.       Rusty looks
as if there's a bad smell in the room."|stage direction|||
112||RUSTY|unknown|||
113|TOPHER|What's this?|speech|TOPHER|M|True
114||DANNY|unknown|||
115|TOPHER|"The bouncer mentioned there was
a game in progress. I hope I'm
not intruding."|speech|TOPHER|M|True
116|TOPHER|No intrusion at all --|speech|TOPHER|M|True
117|RUSTY|What was his name, the bouncer's?|speech|RUSTY|M|True
118|DANNY|I don't remember.|speech|DANNY|M|True
119||RUSTY|unknown|||
120|DANNY|"A card player with amnesia.    This
should be fun."|speech|DANNY|M|True
121||"AT TABLE - MOMENTS LATER
Rusty deals the next hand."|stage direction|||
122|TOPHER|"What do you do for a living,
Mr. Ocean? If you don't mind
my asking."|speech|TOPHER|M|True
123|DANNY|"Why should I mind? Two cards,
please..."|speech|DANNY|M|True
124||(long beat)|unknown|||
125|DANNY|I just got out of prison.|speech|DANNY|M|True
126||TOPHER|unknown|||
127|DANNY|Really?|speech|DANNY|M|True
128||"(a glance among the
other players)"|unknown|||
129|DANNY|Really...|speech|DANNY|M|True
130||"(half to divert
attention)"|unknown|||
131|RUSTY|Barry, you're showing again.|speech|RUSTY|M|True
132||BARRY (O.S.)|unknown|||
133|RUSTY|Sorry.|speech|RUSTY|M|True
134||(CONTINUED)|unknown|||
135||OCEAN'S 11 - Rev. 5/31/01                                  12A.|stage direction|||
136||A15   CONTINUED:    (2)                                                 A15|unknown|||
