|character|text|type|character_clean|gender
0||SEVEN|unknown||
1||"Andrew Kevin Walker
January 27,1992
The world is a fine place,
and worth fighting for.
- Ernest Hemingway
For Whom the Bell Tolls
1940"|unknown||
2||EXT.  COUNTRY CHURCH -- DAY|location||
3||"The white cross on the church steeple stands against blue sky.
The church bell rings, resonating.
Mass has let out.  Small church, small congregation.  The dirt
road in front is lined with pick-up trucks and parishioners on
foot heading to outlying farms and homes.  An old two-story
house sits across the road.  Lone."|stage direction||
4||INT.  OLD HOUSE -- DAY|location||
5||"Sunlight comes through the soot on the windows, more brown than
bright.  SOMERSET, 45, in a suit and tie, stands in this empty
second-story room.  He looks around, at the ceiling, at the worn
wooden floor, at the peeling wallpaper on the walls.
Somerset walks to one wall where the current wallpaper is peeled
away to reveal flowery wallpaper underneath.  He runs his finger
across one of the pale red roses that decorates the older paper.
He pushes the grime away, brings the rose out more clearly.
He pulls at the edge of the paper, carefully ripping off a
roughly squared section with the rose at its center.
He studies it in his hand."|stage direction||
6||EXT.  OLD HOUSE -- DAY|location||
7||Birds sing.  Somerset stands, pondering the forested landscape.|stage direction||
8|MAN'S VOICE (O.S.)|Is something wrong?|speech|MAN'S VOICE|?
9||"Somerset does not respond. The MAN, in an ill-fitting real
estate jacket, is seated on the hood of a dirty Ford
Thunderbird.  He holds a check and a booklet of receipts."|stage direction||
10|MAN (CONT)|Is something the matter?|speech|MAN|M
11|SOMERSET|No... no.  There's nothing wrong.|speech|SOMERSET|M
12||Somerset still seems distant.|stage direction||
13||(writes receipt)|location||
14|MAN|"Not that it's any of my business... but,
are you figuring on moving out here
eventually?"|speech|MAN|M
15|SOMERSET|Soon.|speech|SOMERSET|M
16|MAN|"I just never seen a man mortgaging an
empty house before."|speech|MAN|M
17|SOMERSET|"Everything here still seems... seems so
strange to me.  All this."|speech|SOMERSET|M
18|MAN|"I don't know.  I'd say this place is
about as normal as places get."|speech|MAN|M
19||"The man walks over to hand over a receipt.  Somerset accepts the
receipt, folds it.  Somerset smiles."|stage direction||
20|SOMERSET|That is exactly what I mean.  Strange.|speech|SOMERSET|M
21||Somerset looks back at the house.  The man does not understand.|stage direction||
22||INT.  AMTRACK TRAIN -- DAY -- (CREDIT SEQUENCE BEGINS)|location||
23||"Somerset is in a window seat, smoking a cigarette, looking out
the speeding train.  He is near the back of the car, away from
the few other passengers.
Outside, farms, small homes and lawns pass.  The entire panorama
is dappled by the rays of the soon setting sun.
The light flickers across Somerset's placid face."|stage direction||
24||INT.  AMTRACK TRAIN -- LATER DAY|location||
25||"The train is nearly full.  Somerset has his suitcase on the
aisle seat beside him.  He has a hardcover book unopened on his
lap.  He still stares out the window, but his disposition has
soured.  The train is passing an ugly, swampy field.
A car's burnt-out skeleton sits rusting in the bracken.  A little
further on, two dogs are fighting, circling, attacking, their
coats matted with blood.
Somerset turns his head to watch the dogs.
Away in the field, another dog sprints to join the fight."|stage direction||
26||INT.  AMTRACK TRAIN -- EARLY EVENING|location||
27||"Passing urban streets below.  Slums.  Smashed cars.  People
stand on the corners, under the bleak glow of street lamps.
Somerset's suitcase is by the window.  Somerset is now in the
aisle seat, reading his book."|stage direction||
28||INT.  SOMERSET'S APARTMENT -- LATER NIGHT -- (END CREDITS)|location||
29||"Curtains closed.  The SOUNDS of the CITY are here as they will
be everywhere in this story.  A CAR ALARM SHRIEKS.  Somerset's
life is packed in many moving boxes, except for clothing in a
closet and hundreds of books on shelves.
Somerset, dressed only in his underwear, lays back on the bed.
He reaches to the nightstand, to a wooden, pyramidical
metronome.
He frees the metronome's weighted swingarm so it moves back and
forth.  Swings to the left... TICK, swings to the right... TICK.
Tick, tick, tick, measured and steady.
Somerset situates on the bed, closes his eyes.  The metronome's
ticking competes with the sound of the car alarm.  Somerset's
face tightens as he concentrates on the metronome.
His eyes close tighter.
Tick, tick, tick... the swingarm moves evenly.  Somerset's
breathing deepens.  The car ALARM seems QUIETER.
Tick, tick, tick.  Somerset continues his concentration.
The METRONOME is the ONLY SOUND.  Somerset's face relaxes
slightly as he begins to fall asleep.  Tick, tick, tick..."|stage direction||
30||EXT.  CHINESE BODEGA/CITY STREETS -- NIGHT|location||
31||"DAVID MILLS, 31, exits with a bagged 40oz bottle of beer.  He is
a lean, attractive man, constantly coiled, eyes always
smoldering.  FOLLOW as he walks quickly past iron-gated
storefronts.  He crosses the street under elevated subway
tracks.  A train roars overhead.
Mills watches it as he walks on.
Blue sparks spit off the third rail and illuminate Mills,
throwing his shadow long down the deserted street."|stage direction||
32||EXT.  URBAN STREET OF ROW HOMES -- NIGHT|location||
