|character|text|type|character_clean|gender
0||"""TRAFFIC""
By
Stephen Gaghan
Based on the miniseries ""Traffik""
By
Simon Moore"|unknown||
1||EXT. COLUMBUS, OHIO - DAY|location||
2||"The state capital of Ohio.  It's an impressive building for
a city this size.
SUPERTITLE: COLUMBUS, OHIO - STATE CAPITAL"|stage direction||
3||INT. OHIO STATE SUPREME COURT - DAY|location||
4||"In chambers striving for august, JUSTICES listen to a lawyer
MR. RODMAN, argue his case before the highest court in Ohio.
Mr. Rodman enjoys the sound of his own voice."|stage direction||
5|MR. RODMAN|"This informant, paid by the police,
using taxpayers dollars to continue
his felony drug habit, was the link
which allowed police to raid a private
farm.  A working farm.  A farm where
honest Americans make their living."|speech|MR. RODMAN|M
6||"One particular justice, ROBERT WAKEFIELD, younger than the
others, is clearly bemused by this performance."|stage direction||
7|MR. RODMAN|"The government, in its haste, has
employed an army of criminals whose
allegiance to the truth is, at
best, questionable --"|speech|MR. RODMAN|M
8||Judge Wakefield interrupts --|stage direction||
9|ROBERT|"Mr. Rodman...it's too bad your client
didn't show as much sense in choosing
what he planted as he did in choosing
his attorney..."|speech|ROBERT|M
10||A polite chuckle from the justices --|stage direction||
11|ROBERT|"Lately the only variation I'm hearing
in your argument is the name of the
client.  And you can sit there all
day arguing the ins and outs of
Illinois v. Gates, but you aren't
going to convince me that this country
has not sanctioned the use of
anonymous informants."|speech|ROBERT|M
12||(beat)|location||
13|ROBERT|"Furthermore, there is no sacred
protection of property rights in the
United Sates.  When you make the
decision to have marijuana on your
farm, whether it's one joint or an
acre of plants, your property can be
seized and your property can be sold."|speech|ROBERT|M
14|MR. RODMAN|"I'm sorry the court finds my argument
repetitious."|speech|MR. RODMAN|M
15|ROBERT|"Mr. Rodman, may I offer a piece of
advice?  The next time you argue
this point before this court,
regardless of my whereabouts, I
recommend you have something up your
sleeve other than your arm."|speech|ROBERT|M
16||INT. ROBERT'S CHAMBERS - DAY|location||
17||"The office is marble and dark wood.  A young CLERK, black,
29, enters carrying an oddly-shaped gift.  They both look at
it."|stage direction||
18|CLERK|What do you think it is?|speech|CLERK|?
19|ROBERT|Depends who it's from.|speech|ROBERT|M
20||(reading the card)|location||
21|CLERK|"Your friends at Warren, Putnam and
Hudson."|speech|CLERK|?
22|ROBERT|"You can learn a lot about somebody
from this stuff.  Three categories:
you like me, you hate me, you want
something from me."|speech|ROBERT|M
23||"(re: the elaborate
box)"|location||
24|ROBERT|Definitely third category.|speech|ROBERT|M
25|CLERK|"What would a law firm want from the
new drug Czar?"|speech|CLERK|?
26|ROBERT|Depends on the state.|speech|ROBERT|M
27||(checks)|location||
28|CLERK|Arizona.|speech|CLERK|?
29|ROBERT|Medicinal marijuana initiative.|speech|ROBERT|M
30||(beat)|location||
31|ROBERT|Or am I being cynical?|speech|ROBERT|M
32||"They both laugh.  Robert reaches up and pulls a bottle of
Scotch from a shelf.  He pours a couple of fingers in two
glasses."|stage direction||
33|CLERK|Maybe there's a book in it.|speech|CLERK|?
34||The clerk takes one of the glasses.|stage direction||
35|ROBERT|Not by me.|speech|ROBERT|M
36||They toast and drink.|stage direction||
37||EXT. COURTHOUSE - DAY|location||
38||"Robert exits, trailed by a small group of reporters.  He
gets into a car being driven by two security TYPES."|stage direction||
39||INT. AIRPLANE - DAY|location||
40||Robert sits in a business class window seat.|stage direction||
41||INT. HOTEL ROOM - NIGHT|location||
42||"An expensive hotel.  Robert Wakefield stands at the window,
looking at the view of our nation's capital.
SUPERTITLE: WASHINGTON D.C.
ON THE TABLE
The remnants of a meal.  It was a steak and a small caesar
salad.  The wine glass is half-empty.
ANOTHER ANGLE ON ROBERT
In front of the mirror now, trying on a dark, tasteful jacket.
CLOSER
On Robert in the same position, only now we are in HIS HOME.
It's daytime, and his wife BARBARA is helping him into this
same jacket.  As her hands dust the lint off his shoulders"|stage direction||
43||WE MATCH CUT TO:|unknown||
44||"ROBERT
In the hotel rooms, making the same motions.  Satisfied, he
straightens, then turns to look at himself.
OMITTED
ANGLE ON ROBERT
Back at the hotel room window now.  Reaches to the table and
lifts the wine glass."|stage direction||
45||CUT TO:|unknown||
46||EXT. DIRT ROAD - DAY|location||
47||"This is the middle of nowhere.  Scrub cactus and dust and a
heartless sun.
SUPERTITLE: MEXICO - TWENTY MILES SOUTHWEST OF TIJUANA.
A broken down-looking Police Sedan is parked on the side of
the road.  It seems abandoned except there are TWO MEN inside."|stage direction||
48||INT. POLICE SEDAN - DAY|location||
49||"Two Mexican men, State Police officers, JAVIER RODRIGUEZ,
30's, and MANUEL ""MANOLO"" SANCHEZ, 20's, wearing jeans, knock-
off Polo shirts, and cowboy boots, wait patiently in the
car."|stage direction||
50|JAVIER|I had that dream again.|speech|JAVIER|M
51||A long pause.|stage direction||
52|MANOLO|Which one?|speech|MANOLO|M
53||Another long pause.|stage direction||
54|JAVIER|Where my mother's suffocating.|speech|JAVIER|M
55||"They continue to wait until there is the sound of a JET
ENGINE.  It grows LOUDER as it approaches."|stage direction||
56||EXT. THE POLICE SEDAN - DAY|location||
57||"The shadow of a large plane crosses the desert floor.  Then,
an old DC-3 flies fifty feet above the Police Sedan."|stage direction||
58||INT. POLICE SEDAN - DAY|location||
