|character|text|type|character_clean|gender|principal_character
0||"VIRTUOSITY
by
Eric Bernt
THIRD REWRITE   August 24, 1994"|unknown|||
1||"Two men bolt recklessly through a downtown street. Hunters
hot on the trail of their prey in an urban jungle.
The sidewalk is crowded with people. So is the street. Too
many people, not enough cement. Los Angeles, 1997.
Summer, probably August. 103 degrees. Heat shimmers off the
horizon. Making the sky look peculiar.
The men keep running. Passed a GUY sitting at a bus stop,
watching a television in his lap. YOU HEAR the NEWSCASTER."|stage direction|||
2|NEWSCASTER (V. 0.)|"As L. A. P. D. officers gather
evidence at this grisly crime
scene, you can only ask yourselves
—— what kind of lunatic would
commit such unthinkable crimes?"|speech|NEWSCASTER|?|
3||(a beat)|location|||
4|NEWSCASTER (V. 0.)|"The three adjectives which best
describe this killer are sadistic,
intelligent, and dangerous..."|speech|NEWSCASTER|?|
5||"The guy pays little attention to the broadcast. He seems
almost bored by it. Like this kind of news is commonplace. Or
he's got more important things on his mind.
Everybody is sweating. Including the two men struggling to
swim upstream in the river of pedestrians.
Their uniforms are freshly pressed. Their shoes just recently
shined. Hair tightly cropped. Faces perfectly shaved. Clearly
men proud to wear the badge of the Los Angeles Police
Department. The guy in the lead is"|stage direction|||
6|PARKER BARNES|"His body is a running back's. His
endurance a marathoner's. His face
one you'd want for your own. He's
in his 30s. If he was in his 20s,
you'd still be jealous."|speech|PARKER BARNES|M|
7||"His partner is JOHN DONLEY, late 20s, eager to prove himself.
He struggles to keep up with Parker. John accidently knocks
over several pedestrians. They give no reaction, except to
pick themselves up and continue on their way.
Parker and John keep charging. Their conversation breathless:"|stage direction|||
8|JOHN|"I can't get over how different you
look."|speech|JOHN|M|
9||(ruefully)|location|||
10|PARKER|Five years can be a bitch, huh?|speech|PARKER|M|True
11||"They split-up. The Maitre D', still facing the front doors,
repeats his greeting to no one in particular."|stage direction|||
12|MAITRE D'|Good afternoon. May I help you?|speech|MAITRE D'|M|
13||"Parker spots Sid 6.7 across the room. Without hesitation the
hunter chases his prey.  Gun out and firing. NOT what you
would call Standard Police Procedure.
Bullets riddle Sid 6.7's table as he dives from his chair. He
lands next to a bowling ball bag, which sits beneath his
table.
John charges from the other direction until a WOMAN gets up
from her chair, standing directly in John's line of fire."|stage direction|||
14||(to the Woman)|location|||
15|JOHN|Lady, move!|speech|JOHN|M|
