|character|text|type
0||"""BAD SANTA""
by
Glenn Ficarra & John Requa
Revisions by
Ethan Coen & Joel Coen
Polish by
Terry Zwigoff"|unknown
1||Production Draft - WHITE February 1, 2002|unknown
2||"FADE IN:
Snow flakes falling against a black sky.
CAMERA FOLLOWS THEM DOWNWARD TO REVEAL"|stage direction
3||EXT. MILWAUKEE BAR - NIGHT|location
4||"It looks like a warm cozy place out of ""It's A Wonderful
Life"". The window is flocked with fake snow, and hung with
colorful Christmas lights, wreaths and ornaments.
CAMERA PUSHES SLOWLY IN"|stage direction
5||DISSOLVE TO:|unknown
6||INT. MILWAUKEE BAR - NIGHT|location
7||CAMERA CONTINUES MOVEMENT IN SAME DIRECTION|stage direction
8||TITLES BEGIN|unknown
9||"The barman, wiping down the counter, gives an occasional
semi-furtive glance toward the far end of the bar.
Other patrons chat near the bartender and also give occasional
glances toward the far end of the bar. It is early evening --
happy hour -- and the clientele is well-heeled and sociable.
A customer says something interrogative to the bartender,
who looks down the bar and shrugs.
REVERSE - CAMERA CONTINUES MOVEMENT (Notes the combination
of the HIGH ANGLE and the tilt of Santa's head keep his face
from being clearly revealed in this scene).
Sitting alone at the far end of the bar, given a wide berth
by the other customers, a man (WILLIE) stares morosely into
his drink. The drink is clearly not his first.
He wears a red velvet suit and red velvet hat with a white
pom-pom. He has shiny black boots with red velvet trim. His
long white beard is not real and is in fact pulled down below
his chin to facilitate drinking. It exposes heavy black
stubble.
Swaying slightly, he raises the drink to the vicinity of his
lips. Once it gets close he must navigate it in with some
effortful coordination. He takes a sip and sets the drink
carefully back down.
After another long, staring, morose beat, he starts weeping.
It is loud, dolorous, and unself-conscious."|stage direction
10||EXT. ALLEYWAY BEHIND THE MILWAUKEE BAR - NIGHT|location
11||"Santa staggers out the back door...
CAMERA FOLLOWS BEHIND HIM still hiding his face.
Santa gets about ten feet, then pauses and leans with one
hand against the alley wall, uses the other to hold his pom-
pom out of the way, and vomits.
Having vomited, and spit, he staggers off toward the street.
SUPERED TITLE OF THE MOVIE:"|stage direction
12||BAD SANTA|unknown
13||INT. SANTA ORIENTATION ROOM - DAY|location
14||"An upbeat woman TRAINER presides over a half-dozen SANTAS
sitting at school desks. On the blackboard the Trainer is
writing out the sixth ""Santa Commandment""."|stage direction
15||SANTA'S TEN COMMANDMENTS|unknown
16||"1) No alcoholic beverages before or during your shift.
2) Know the names of your reindeer.
3) Do not smoke in your costume.
4) No swearing.
5) Absolutely no flirting.
6) Coax a smile from the child.
7)
8)
9)"|stage direction
17||(as she writes)|location
18|TRAINER|"Coax... a... smile... from... the
child."|speech
19||(turning to face them)|location
20|TRAINER|"Remember, parents don't want photos
where their child isn't smiling.
Some children may not want to smile.
It is your job to coax a smile out
of them. A good line to remember is:
""Santa thinks everybody should be
happy. Can you smile for Santa?"" A
camera can only copy a child's smile --
it will take you to put it there."|speech
21||As she talks we|stage direction
22||CUT TO:|unknown
23||"ANGLE FROM BEHIND
one of the Santas (WILLIE). His HAND reaches into a boot and
pulls out a pint of Smirnoff. We FOLLOW UP IN C.U. to see
this hand pour a few ounces into a can of Coke he holds behind
his desk."|stage direction
24|TRAINER|"If the child will not smile, the
Photo Elf will go ahead and take the
picture anyway. Now, it is a good
Santa's job to smile as well -- I
know with the big white beard your
smile will be partially hidden, so
you must learn to smile with your
eyes. They show warmth and can be
very expressive."|speech
25||CUT TO:|unknown
26||"WILLIE'S FACE
as he finishes off the can of Coke to REVEAL: his eyes colder
than those of a dead fish."|stage direction
27|TRAINER|"Remember you have been chosen for
the starring role of Santa Claus.
Your portrayal of this beloved
character will have a major impact
on every child you meet. Keep in
mind at all times that to them, you
aren't a man dressed up like Santa,
you are Santa."|speech
28||CUT BACK TO:|unknown
29||"WILLIE'S FACE. His expression reads: ""Please kill me""."|stage direction
30||EXT. DOWNTOWN MILWAUKEE SHOPPING DISTRICT - NIGHT|location
