|character|text|type
0||"Jackie Brown
Screenplay by Quentin Tarantino"|unknown
1||OPENING CREDITS|stage direction
2||INT. LOS ANGELES INTERNATIONAL AIRPORT - DAY|location
3||"We hear the rhythm of funky seventies SOUL MUSIC.
Then SHE steps into FRAME.
She is JACKIE BROWN, a stewardess dressed in her CABO AIR
uniform. (A little shuttle airline that flies from Los
Angeles to Cabo San Lucas. Approximate flight time: forty
five minutes)
Jackie stands still as a people-mover slowly inches her
through the airport. The CREDITS APEAR and DISAPPEAR in
front of her.
Jackie Brown is a very attractive black woman in her mid
forties, though she looks like she's in her mid-thirties.
The people-mover reaches the end of the line, she steps
off.
She breezes through Customs and we follow her with a
STEDICAM as she strides through the airport... She gets
to her gate disappears inside the plane for a moment
comes back out sans flight bag picks up the microphone."|stage direction
4||(into mike)|location
5|JACKIE|"Flight 710 Cabo San Lucas, now
boarding Gate 12, first class only."|speech
6||"With a smile on her face, she collects passengers'
boarding passes as they board the plane."|stage direction
7||FADE TO BLACK|unknown
8||"TITLE CARD
""ORDELL ROBBIE"""|stage direction
9||FADE UP ON:|unknown
10||EXT. FIRING RANGE - DAY|location
11||"VIDEO
A chorus line of six beautiful bikini-clad women, all
holding different automatic weapons, BLASTING away.
The cheap VIDEO TITLES to:
""CHICKS WHO LOVE GUNS""
Play over this image.
One bikini beauty is singled out. She's a gorgeous
brunette named SIDNEY. Sidney stands facing camera
holding a TEC-9 and describing it."|stage direction
12||(to camera)|location
13|SIDNEY|"Hi, I'm Sidney. And I love to TEC-9.
The popular TEC-9 is advertised by
its makers as being tough as the
toughest customer."|speech
14||"SIDNEY'S STATISTICS: Age, height, measurements, date of
birth, appear at the bottom left-hand corner. As Sidney
continues her sales pitch/demonstration, a BLACK MAN'S
VOICE begins talking over the video."|stage direction
15|BLACK MAN (O.S.)|"That's a TEC-9. It's a cheap ass
spray gun outta South Miami."|speech
16||After a CLOSEUP of the TEC-9, Sidney FIRES the weapon.|stage direction
17|BLACK VOICE (O.S.) (CONT'D)|"Cost three-eighty retail. I get them
for two hundred and sell 'em for
eight."|speech
18||INT. MELANIE'S BEAHC APARTMENT - NIGHT|location
