|character|text|type
0||"MACHETE
Written by
Robert Rodriguez"|unknown
1||EXT. MEXICAN CITY - DAY|location
2||"Aerial over the city, flying down into a FEDERALE CAR tearing
through the slums.
Piles of garbage scatter, stray dogs scramble."|stage direction
3||INT. FEDERALE CAR, MOVING - DAY|location
4||"MACHETE (MEXICAN FEDERALE OFFICER CRUZ) drives with ROOKIE
OFFICER ERHMAN riding shotgun. A rosary swings back and forth
on the rearview mirror.
CHIEF TORREZ's yells crackle through the police radio."|stage direction
5|"TORREZ
(ON RADIO)"|"Officer Cruz! Stand down! Do not
attempt to take the safehouse
alone! Officer Cruz! You hear me!?"|speech
6|OFFICER ERHMAN|"Torrez sounds mad. You going to
answer him?"|speech
7||Machete glares. Erhman nervously picks up the radio.|stage direction
8|OFFICER ERHMAN|"OFFICER ERHMAN (CONT'D)
On route to target, no need for
assistance."|speech
9|"TORREZ
(ON RADIO)"|"Machete, you son of a bitch! I told
you to wait! Set up a perimeter and
wait for further orders. You hear
me, Pendejo!?"|speech
10||Machete slowly takes the radio from Erhman. He hangs up.|stage direction
11||EXT. MEXICAN HOTEL - DAY|location
12||"Fleapit motel sits derelict at end of the street. Dead cars
on the lawn, chickens scratching in the dirt."|stage direction
13||INT. FEDERALE CAR, MOVING - DAY|location
14||Machete guns the engine.|stage direction
15|"TORREZ
(ON RADIO)"|RNewman / Endeavor Draft 2.|speech
16|OFFICER ERHMAN|"What are you doing? We're going to
set up a perimeter right? You heard
the boss."|speech
17||Machete pulls his Machete, sticks it up to Erhman's face.|stage direction
18|MACHETE|This is the boss.|speech
19||"Ehrman crosses himself.
A phalanx of ARMED GUARDS emerge from the dead cars. They
narrow their weapons at MACHETE's barrelling patrolcar."|stage direction
20|OFFICER ERHMAN|Hijo de puta!|speech
21||"Machete FLOORS it directly through the DEAD CARS and right
through the FRONT WALL of the fleapit.
INT MEXICAN HOTEL, LOBBY - DAY
Erhman flies THROUGH THE WINDSHIELD into the far wall. The
car stops in front of the check-in desk.
Machete steps out. The dust clears.
More ARMED MEN stream from the office.
MACHETE sideswipes the first THUG with his MACHETE, swinging
him around to face the fire of the others.
THUG ragdolls around like a marionette long enough for
Machete to slash one of the men's wrists, sending his aim
wild and taking out the others."|stage direction
22||INT. MEXICAN HOTEL, HALLWAY|location
23||Machete kicks open a door.|stage direction
24||INT. MEXICAN HOTEL, ROOM|location
25||Naked girl on the bed. As if she was expecting him.|stage direction
26|MACHETE|Get dressed.|speech
27||He checks the windows.|stage direction
28|MACHETE|RNewman / Endeavor Draft 3.|speech
29|CHICA|It's too hot for clothes.|speech
30||"Checks her eyes.
She's been drugged.
He lifts her, ass over his shoulder."|stage direction
31|CHICA (CONT'D)|Hey... what's your name?|speech
32||She tries to read the nametag on his uniform, upside-down.|stage direction
33||INT. MEXICAN HOTEL, HALLWAY|location
34||"A THUG with an UZI runs out spraying bullets.
Machete spins and impales his face into the wall. THUG's Uzi
falls into the girl's hands.
MORE THUGS emerge from the end of the hallway.
She absently pulls the trigger, ripping into the pursuing
men. Blood sprays the walls like Jackson Pollock.
New THUGS emerge from the front of the hallway. Machete spins
around and the girl unloads another spray."|stage direction
35|CHICA|Oh... wow.|speech
36||INT. MEXICAN HOTEL, LOBBY|location
37||"The Uzi's out of ammo. The girl frowns and drops it.
The fucked-up patrolcar blocks the way out, for now. Machete
resheathes his weapon into a slit in his pants.
Girl arches her back, her crotch in Machete's face, then
slides down his front, her breasts brushing his eyes, nose,
mouth."|stage direction
38|MACHETE|We need to go. Now.|speech
39|CHICA|In what? That?|speech
40||"The patrolcar isn't going anywhere.
She rips open his shirt and rubs his tattoo."|stage direction
41|CHICA|RNewman / Endeavor Draft 4.|speech
42|CHICA (CONT'D)|That looks like me.|speech
43||She reaches into his pants.|stage direction
44|CHICA (CONT'D)|What's this long, hard thing?|speech
45|MACHETE|My machete.|speech
46|CHICA|Is it sharp?|speech
47||Machete looks into her eyes. She smiles drunkenly.|stage direction
48|CHICA (CONT'D)|Good.|speech
49||"She yanks it, drawing it into his femoral artery. Hard.
He falls to the ground. He didn't see this coming.
She kicks him backwards.
He feels life escaping him. His point of view as:
She reaches down BETWEEN HER LEGS.
Fumbles with her CROTCH.
Pulls out a small cell phone from her snatch."|stage direction
50|"CHICA (CONT'D)
(INTO PHONE)"|I got him.|speech
51||More life escapes him. Double crossed. He's ready to give up.|stage direction
52|"CHICA (CONT'D)
(HANGING UP)"|Pobrecito.|speech
53||CHIEF TORREZ steps in.|stage direction
54|GIRL|Como hice? (Sub: How'd I do?)|speech
55|TORREZ|"Bueno... pero no tanto. (Sub:
Good... but not that good.)"|speech
56||"He shoots her once; she drops, then he empties the gun into
her body, making her do a spider dance on the floor."|stage direction
57|TORREZ|RNewman / Endeavor Draft 5.|speech
58|TORREZ (CONT'D)|"You had to stick your neck where it
didn't belong, amigo."|speech
59|MACHETE|Torrez?|speech
60||"Torrez's boot connects with Machete's face and he goes
backwards onto the floor.
A SECOND MAN enters. This is DRUGLORD."|stage direction
61|DRUGLORD|"No, not Torrez. El Santo Muerte,
pendejo. (I'm Saint Death,
pendejo.)"|speech
62||"DRUGLORD draws a Samurai sword and SLICES Machete like
carving meat. We don't see it."|stage direction
63|DRUGLORD (CONT'D)|"Quemalo. Quemalo todo. (Sub: Burn
it. Burn it all.)"|speech
64||"Druglord walks out. Through Machete's blurred vision we see
Torrez and other officers lighting rags dipped in bottles of
tequila and throwing them into the corners of the room.
The place goes up as they run out.
Machete crawls and collapses as the flames rise around him"|stage direction
65||AND WE|location
66|DRUGLORD (CONT'D)|CUT TO BLACK.|speech
67||TITLE CARD: THREE YEARS LATER|stage direction
68||EXT. BORDER BRUSH COUNTRY - NIGHT|location
69||"TITLE CARD: SOMEWHERE ALONG THE TEXAS BORDER
A group of ILLEGALS hunker down in the brush, creeping in the
moonlight.
One of them coughs and seizes, obviously sick. Another points
at a WATER STATION up ahead, pulling the sick man along.
Headlights of a large TRUCK appear over a ridge. A spotlight
scans the brush, catches them. ARMED MEN ride in the bed of
the truck."|stage direction
70|DRUGLORD (CONT'D)|RNewman / Endeavor Draft 6.|speech
71|MAN|I see em!|speech
72||"The burly driver, VON, shifts into gear and barrels down.
They scatter.
Shots from the truck hit them.
One keeps running.
They corner the last illegal. He's lit in the spotlight like
Christ on the cross, arms wide in surrender. VON smiles."|stage direction
73|VON|Welcome to America.|speech
74||Gunfire.|stage direction
75||EXT. BUNGALOW - NIGHT|location
76||TITLE CARD: AUSTIN, TEXAS. 4:45 A.M.|stage direction
77||INT. BUNGALOW, BATHROOM - NIGHT|location
78||"ELEKTRA RIVERS, 20s, lies naked, soaking in a bubble bath.
She stretches, revealing tantalizing glimpses of her bod.
She's having her ""private time,"" caressing every inch of her
body with a phallic loofah. She oohs and ahhs with the joys
of pleasuring herself in the tub.
Headlights appear through the venetian blinds. She stops.
Sounds of people getting out of a car, laughing, shushing
each other. Then a key in a lock, struggling to open it. A
door forcibly opens.
More sounds of fumbling and shushing."|stage direction
79||INT. BUNGALOW, BEDROOM|location
80||"Dim lights silhouette two people getting naked and getting
physical.
Lights come on. ELEKTRA stands in a bathrobe.
COUPLE are stunned. Especially since the naked woman in bed
looks just like ELEKTRA."|stage direction
81|VON|RNewman / Endeavor Draft 7.|speech
82|ELEKTRA|"Jesus, Sis. How long have you known
this one? Twenty minutes?"|speech
83|NAKED MAN|What the fuck? You're a twin? Hot.|speech
84||SIS in bed covers up.|stage direction
85|SIS|Mind your own business.|speech
86|ELEKTRA|"I'm trying to. I've got to get
ready for work. And you're in my
room."|speech
87|NAKED MAN|Whoa, whoa. Why don't you join us?|speech
88|ELEKTRA|"What a charmer. You sure know how
to pick `em, Sis."|speech
89|SIS|Fuck off.|speech
90|(TO MAN)|Get out.|speech
91|NAKED MAN|What?|speech
92|SIS|"You've been kicked off the island.
Get the fuck out."|speech
93||Naked Man cold-cocks Sis. She's out.|stage direction
94|NAKED MAN|"Talk nice. And you--get that robe
off and get up here."|speech
95|ELEKTRA|"Sure thing. I like a man who takes
control."|speech
96||"She sidles up to the man, straddles him in bed, pushes his
hands up to the bedrail and snaps the cuffs on him, cuffing
him to the bed."|stage direction
97|NAKED MAN|"What the fuck?
RNewman / Endeavor Draft 8."|speech
98|ELEKTRA|You're under arrest, dick.|speech
99||She pulls a handgun from her robe, pistolwhips him good.|stage direction
100|NAKED MAN|You're a cop?|speech
101||She hits speed-dial on a cellphone.|stage direction
102|ELEKTRA|"Yeah, this is Agent Elektra Rivers,
Homeland Security. I could use some
unis at the corner of Newning and
Drake for an assault. Suspect in
custody."|speech
103|NAKED MAN|You're fucking hot.|speech
104|ELEKTRA|"(clicking phone shut)
Yeah. Thanks. I gotta get dressed
now."|speech
105|NAKED MAN|Can I watch?|speech
106|ELEKTRA|Suit yourself.|speech
107||She strips off the robe, giving him an eyeful.|stage direction
108||EXT. BUNGALOW - DAY|location
109||"Cops take the naked man into custody. Elektra, badge on her
suit, gets into her car. Sis appears in the doorway holding a
steak to her face. She lowers it, revealing a black eye."|stage direction
110|SIS|Have a nice day, bitch.|speech
111|ELEKTRA|You too, slut.|speech
112||Elektra drives away. Sis shuts the door.|stage direction
113||EXT. ELEKTRA'S CAR, MOVING - DAY|location
114||Elektra drives. Flicks on the radio.|stage direction
115|ELEKTRA|RNewman / Endeavor Draft 9.|speech
116|RADIO ANNOUNCER|"State Senator John McLaughlin is
once again under investigation for
his ties to an extremist militia
organization in the capitol city--"|speech
117||Switching radio to her favorite song as she speeds by--|stage direction
118||EXT. DAY LABORER PICKUP SPOT - DAY|location
119||"Men mill about, waiting to be picked up for work as trucks roll by.
MACHETE,; older and tougher, strides down the sidewalk.
A TACO TRUCK honks and pulls to the curb.
A window opens. A gorgeous raven haired beauty, LUZ,
stretches out."|stage direction
120|LUZ|"Cafe! Taquitos! Tarjetas de
llamada! (Sub: Coffee! Tacos! Long-
distance calling cards!)"|speech
121||"Men walk up and get their breakfast.
Machete strides by.
Moco, a worker, approaches the taco truck."|stage direction
122|MOCO|"Q-vole, Luz! Dos taquitos de papas
con, por fa. Y cafe. (Sub: What's
up, Luz? Two potato and egg tacos,
please. And coffee.)"|speech
123||"He digs into the steaming plate of Migas.
Luz's MINI BULLDOG PANCHO runs up and barks.
Moco throws him some chorizo. He scarfs it up."|stage direction
124|LUZ|Pancho vamanos! Leave him alone.|speech
125|MOCO|"It's OK Luz. You gotta feed your
little man, he's hungry.
RNewman / Endeavor Draft 10."|speech
126|LUZ|"He's a fat fuck, don't do nothing
and eats all day, like my last
husband."|speech
127|MOCO|"Orale, you ain't getting married
again with that attitude."|speech
128|LUZ|"Thank god. Why buy the pig when I
can get the chorizo for free?"|speech
129|MOCO|Puta.|speech
130||"Moco pulls out a hundred dollar bill and slides it across the
counter to her.
Their smiles turn serious.
Luz hands Moco a brown box to go."|stage direction
131|LUZ (CONT'D)|"Be careful mi amor,and don't leave
no scraps."|speech
132||"Moco looks inside; It's a .357 Magnum
She hands him a french fry box filled with bullets. Moco
takes the gear and leaves."|stage direction
133|MOCO|Thanks Luz, Hasta luego.|speech
134|LUZ|Via con dios.|speech
135||"Luz notices MACHETE, standing away from the crowd, She waves
him over."|stage direction
136|LUZ (CONT'D)|Looking for something?|speech
137||"She pushes two tacos and a coffee toward him. He shakes his
head no."|stage direction
138|LUZ (CONT'D)|"Mañana me pages. (Sub: You can pay
me tomorrow.)
RNewman / Endeavor Draft 11."|speech
139||Machete takes the food, steps aside.|stage direction
140||EXT. ALLEY - DAY|location
141||"Men circle in an alleyway, laying money down on the ground,
placing bets on the two fighters in the makeshift ring.
One is a brawny thug with a neck like a tree trunk. The other
is strong, but not big.
Brawny Thug makes quick work of his opponent. The men cheer.
Brawny Thug's HANDLER coaxes the crowd for another opponent.
Machete walks into the alley. Brawny Thug points at him."|stage direction
142|HANDLER|He wants you.|speech
143||Machete keeps walking.|stage direction
144|HANDLER (CONT'D)|$500 if you lose. $2000 if you win.|speech
145||Machete keeps walking.|stage direction
146|HANDLER (CONT'D)|"Hey, you, wetback! You're gonna
kiss off $500 for five minutes?"|speech
147||"Machete stops.
Rico, a WORKER, lays a fistful of bills on the ground."|stage direction
148|RICO|A hundred on the new guy!|speech
149||"HANDLER takes the money, makes a note. Bets start flying as
money changes hands."|stage direction
150|RICO (CONT'D)|Orale! Come on!|speech
151||"A Benz pulls up into the alley, and a bearded man wearing
sunglasses steps out, still in the shadows, watching from a
distance.
Machete and the brawny thug fist fight bareknuckled. Brawny
gets in several good punches, knocking Machete about, but
Machete comes from behind to lay him out.
Brawny falls on his face with a sickening crunch."|stage direction
152|RICO (CONT'D)|RNewman / Endeavor Draft 12.|speech
153||"The crowd goes wild. Rico pockets his winnings. Machete grabs
his and walks off around the corner."|stage direction
154||EXT. ALLEY - DAY|location
155||"Machete is followed by two of Brawny's gangster friends.
Another steps in front of him."|stage direction
156|BRUNO|"Hey man, that was some good work
back there. Let me borrow some
money."|speech
157||"Machete walks around him. Bruno blocks his path and
sticks a Glock in Machete's face."|stage direction
158|BRUNO (CONT'D)|Hand it over.|speech
159||The two gangsters behind Machete pull switchblades.|stage direction
160|GANGSTER ONE|Don't make us carve you up farmer.|speech
161||A standoff as Machete stares. They all turn when they hear...|stage direction
162|LUZ|"I do the carving around here
pendejos."|speech
163|"BRUNO
(SPANISH)"|"What the fuck is this? Get back to
the kitchen chica."|speech
164||"Luz drops her apron and gives them an eyeful. Her tan body is
barely covered in cut offs and a blouse. She makes Daisy Duke
look like Jabba the Hutt.
A CLEAVER is in her manicured hand. She waves him over."|stage direction
165|LUZ|Come to mami.|speech
166||"Gangster One lunges at her. Luz chops into his shoulder
Bruno is distracted, Machete grabs his gun;beats him with it.
Her dog Pancho bites their ankles.
Luz takes out the others with lightning quick moves."|stage direction
167|LUZ|RNewman / Endeavor Draft 13.|speech
168||"The gangsters lay beaten, moaning on the ground.
Machete and Luz share a look and part ways."|stage direction
169||EXT. STREET CORNER - DAY|location
170||"A MERCEDES BENZ rolls down the street and stops by Machete.
The DRIVER of the BENZ points at him."|stage direction
171|BENZ|You.|speech
172||Another worker scrabbles to the window.|stage direction
173|BENZ (CONT'D)|Not you, Ragged Dick. Him.|speech
174||The worker steps aside. Machete walks up.|stage direction
175|BENZ (CONT'D)|Get in.|speech
176||Luz watches Machete leave.|stage direction
177||INT. CAR, DRIVING - DAY|location
178||Benz drives, Machete rides shotgun.|stage direction
179|BENZ|You speak English?|speech
180|MACHETE|"$70 a day for yardwork. Hundred for
roofing. One-twenty-five for
septic. Sewage."|speech
181|BENZ|$125?|speech
182|MACHETE|"I cost the most, because I'm the
best there is."|speech
183|BENZ|Naturally.|speech
184||"They drive by a CATHOLIC CHURCH. A Mexican-American PADRE
sweeps the steps."|stage direction
185|BENZ (CONT'D)|"You can call me Benz.
RNewman / Endeavor Draft 14."|speech
186|MACHETE|Like the car.|speech
187|BENZ|"You're sharp. That's right. Just
like the car."|speech
188|MACHETE|What are you looking for, Mr. Benz?|speech
189|BENZ|Have you ever killed anyone before?|speech
190||Machete eyes the church as they drive by.|stage direction
191||EXT. PARKING GARAGE - DAY|location
192||"The Benz parks underground. They take a freight elevator up
to the office."|stage direction
193||INT. WAREHOUSE OFFICE|location
194||Benz hits the lights. The place is nice. Machete don't care.|stage direction
195|BENZ|Drink?|speech
196||Benz pours two tequila shots. They shoot em.|stage direction
197|BENZ (CONT'D)|Like angels pissing down my throat.|speech
198||"Benz points Machete to sit behind the desk.
He flips open a manila folder, inside is an 8 X 10 of a well-
dressed 40-something man."|stage direction
199|BENZ (CONT'D)|Do you know this man?|speech
200||Machete shakes his head no.|stage direction
