|character|text|type
0||"AMERICAN HUSTLE
Written by
Eric Warren Singer and David O. Russell
TITLE CARD: SOME OF THIS ACTUALLY HAPPENED
OVER BLACK: APRIL 26, 1978, PLAZA HOTEL, NEW YORK"|unknown
1||"1   FADE IN:
2   INT. PLAZA HOTEL WINDOW NYC - DAY"|stage direction
2||"IRVING ROSENFELD, not a small man, gets dressed and
meticulously constructs his combover. Camera WRAPS AROUND,
see his hands with rings adjust his dark velvet suit, up to
his face, serious, concentrated, intense, he is composing
himself before a performance.
Irving is now dressed, ready, and walks down the hall to
another room."|unknown
3||3   SECOND PLAZA HOTEL ROOM|stage direction
4||"Irving composes himself -- looks
into cramped surveillance closet, there are FBI Agents -- we
only see their hands and arms -- he looks at monitors -- sees
a BLACK AND WHITE IMAGE OF ANOTHER ROOM ON MONITOR: MAYOR
CARMINE POLITO, swath of salt and pepper hair, cream suit,
pinky ring, Rotary Club pin -- ALONG WITH CARL ELWAY, preppie
shady businessman.
He exhales pressure, turns as CAMERA PANS TO: SYDNEY PROSSER
(who will also be known for some time as EDITH GREENSLY),
stylish crafty smart. They stare at each other intensely --
they have a deep and emotional relationship. A DOOR BANGS
OPEN, and in walks RICHIE DIMASO, Bronx-born. He stands
there.
RICHIE DIMASO
What are you doing, going behind my
back? Telling people I'm screwing
up this operation? I got you a
suite at the fuckin' Plaza Hotel!
IRVING ROSENFELD
The shittiest suite at the Plaza
Hotel.
RICHIE DIMASO
What?!
IRV ROSENFELD
The shittiest fuckin' suite.
RICHIE DIMASO
Based on what--?
2.
IRVING ROSENFELD
And the food is wrong, and--What is
this? You, like, went in my closet
or something?
EDITH GREENSLY
No
IRVING ROSENFELD
Are you dressing him like you're
dressing me now?
EDITH GREENSLY
(shakes her head)
No, what are you thinking? This
isn't all about you, you know that.
RICHIE DIMASO
What, did you try to dress me so I
would look like him?
EDITH GREENSLY
No, you're not dressed like him,
all right?
RICHIE DIMASO
But I do, I look like him.
EDITH GREENSLY
No, he's in like, velvet. Come on.
IRVING ROSENFELD
You asked me to show you how this
was done, you wanna fuck it up be
my guest.
EDITH GREENSLY
What is your problem?
RICHIE DIMASO
Hey, look, I never laid a hand on
her, all right? Is that what this
is about?
EDITH GREENSLY
(British accent)
Well technically, that's not true.
RICHIE DIMASO
Look, we never had sex ok? I just --
3."|unknown
5||"What'd I do? I put my hand like
this --
Richie reaches out and puts his hand on Irving's face very
carefully, not forcefully.
Irving swipes it away violently the second it touches his
face."|unknown
6|IRVING ROSENFELD|"Don't you fucking touch me. That
bothers me --"|speech
7|RICHIE DIMASO|Oh it does?|speech
8||IRVING ROSENFELD|unknown
9|RICHIE DIMASO|Oh yeah.|speech
10|RICHIE DIMASO|That bothers you?|speech
11||IRVING ROSENFELD|unknown
12|RICHIE DIMASO|Yes.|speech
13|RICHIE DIMASO|"You know, a lot of shit bothers me
too, but I was trying to help you.
If I wanted to bother you, if I
really wanted to fucking bother
you, this is what I'd do."|speech
14||"Richie takes his hand and destroys the combover Irving spent
so much time creating. Irving just stands there, hair ruined,
staring at Richie."|unknown
15|IRVING ROSENFELD|You shouldn't have done that.|speech
16||"Irving just stands there staring at Richie, hair all wild and
messed up looking very angry."|unknown
17|RICHIE DIMASO|"How's that? You bothered now? (no
answer) Alright, don't make a thing
of it."|speech
18||EDITH GREENSLY|unknown
19|RICHIE DIMASO|"You shouldn't touch him. He doesn't
like that."|speech
20||"4.
RICHIE DIMASO
Oh my god, fix his hair. Don't make
a thing of it.
EDITH GREENSLY
It takes some time, ok.
Edith walks over to Irving who is still standing there in
silence with his hair all over the place. She carefully
starts helping him put it back together.
RICHIE DIMASO
Big fucking deal. We got to get in
the other room, come on. The
mayor's in there.
EDITH GREENSLY
Yes I know that.
RICHIE DIMASO
Should we go to the beauty parlor?
Is that what we should do?
Richie walks over and opens up a briefcase that's sitting on
the dresser. Inside are stacks of cash.
Edith is still helping Irving put his hair back together.
IRVING ROSENFELD
How's it look.
EDITH GREENSLY
You look fine.
Richie slams the briefcase shut looking very nervous and
intense.
RICHIE DIMASO
Let's go.
CUT TO:"|unknown
21||"4   STEELY DAN'S ""DIRTY WORK"" STARTS ON THE SOUNDTRACK AS THEY       4"|stage direction
22||"WALK DOWN THE HALLWAY THREE ACROSS: IRVING, EDITH, RICHIE.
RICHIE WITH BRIEFCASE IN HAND."|unknown
23||5   INT. PLAZA HOTEL SUITE FOYER - DAY                               5|stage direction
24||"SLOW MOTION -- DOUBLE DOORS PUSH OPEN AND Edith ENTERS THE
SUITE -- THEY WALK INTO --
5."|unknown
25||6   INT. PLAZA HOTEL LIVING ROOM - CONTINUOUS                        6|stage direction
26||"DRAMATIC PUSH IN ON: THE DESTINY OF THE STORY MAYOR CARMINE
POLITO PINKY RING, ROTARY CLUB PIN STANDS FINISHING STORY TO
BUSINESSMAN CARL ELWAY AS IRVING, EDITH, RICHIE WAIT FOR HIM
TO FINISH -- THEY ALL SHAKE HANDS AND SIT ON THE COUCH ACROSS
FROM EACH OTHER. RICHIE CAREFULLY SETS THE BRIEFCASE DOWN ON
THE GROUND NEXT TO HIS FEET. CUT TO THE SCENE AS VIEWED
THROUGH A SURVEILLANCE MONITOR. THE DATE AND TIME STAMP
VISIBLE.
CARMINE POLITO
I thought he was going to be here.
I do business face to face, person
to person. That's just who I am.
Richie reaches down and awkwardly slides the briefcase over
to Carmine unprompted. LEAVE MONITOR'S POV AND RETURN BACK TO
THE SCENE.
IRV'S EYES WIDEN AS IN `NO! DON'T DO THAT!' WHILE HE AND
RICHIE STARE AT EACH OTHER, EDITH TENSE, CARMINE LOOKS
DISTURBED AT THE CASE COMING HIS WAY. HE STANDS ABRUPTLY.
CARL ELWAY
Whoa, excuse me, excuse me. I'll
handle that for the Mayor.
RICHIE DIMASO
No, it's for the Mayor. It would be
a sign of disrespect to the sheik
if the mayor didn't take it
himself. It's for you Mayor.
Carmine looks angry and confused. He looks over to Carl.
CARMINE POLITO
What are you doing? What-- (to
Carl) Carl, what the fuck? What is
this?
CARL ELWAY
No, I'll handle it. I'm gonna take
care of-- Everything's good. I
got everything under control. (TO
RICHIE) That's for me. I handle all
that for mayor.
CARMINE POLITO
What is this?
Irving looks over and says nothing. Not surprised at all how
badly this is all going.
6."|unknown
27||Edith whispers to Richie.|stage direction
28|EDITH GREENSLY|"(whispers to Richie)
Just stop it, ok"|speech
