|character|text|type
0||"Basic
by"|unknown
1||Jamie Vanderbilt|stage direction
2||"FIRST DRAFT
MARCH 27, 2000"|unknown
3||"OVER BLACK:
The sound of HELICOPTER ROTORS slicing through the air."|stage direction
4|STYLES (O.S.)|Jesus, God. . .|speech
5||"FADE IN ON:
An ARMY HELICOPTER as it soars over the thick LOUISIANA BAYOU.
Lush and green only a day ago, the foliage below has been
ripped to shreds. The kind of damage that can only be done
by nature.
SUPERIMPOSE:, FEBRUARY 2 - 0630 HOURS - 32 KILOMETERS NORTH
OF FORT MCKINLEY, LOUISIANA"|stage direction
6||INT. ARMY HELICOPTER (FLYING) -- SUNRISE|location
7||"Sitting next to the PILOT is COLONEL WILLIAM STYLES. Mid-
40's, normally gruff, but completely cowed by the damage
below. The PILOT, unfazed."|stage direction
8|PILOT|"Hurricane Beth, huh? Had    an ex-wife
named Beth, this is pretty   much par
for the course. This area    got the
worst of it, I hope these   guys are
all intact-"|speech
9|STYLES|That's enough, Lieutenant.|speech
10||"SOMEONE'S P.O.V. - RUNNING through the underbrush - ducking
branches, pushing through bushes, splashing through streams.
LABORED BREATHING wheezes over the sound track. We're headed
for a CLEARING..."|stage direction
11||INT. ARMY HELICOPTER (FLYING) -- SUNRISE|location
12||The Pilot pushes his stick forward, descending to tree level.|stage direction
13|PILOT|Coming up on the pick-up.|speech
14||EXT. CLEARING -- DAWN|location
15||"TWO MEN emerge from the underbrush at a run. The BIGGER MAN
carrying the wounded SMALLER MAN over his shoulder. Both in
ragged army cadet fatigues - ripped, muddy, and bloody.
The Bigger Man lowers the Smaller Man to the ground and
unshoulders his M-16. Face panicked.
The sound of the HELICOPTER approaching..."|stage direction
16||2.|unknown
17||INT. ARMY HELICOPTER (FLYING) -- SUNRISE|location
18||The unmistakable SOUND OF GUNFIRE from below.|stage direction
19|PILOT|Holy shit, that's live fire!|speech
20||"As the Helicopter comes over the clearing, Styles and the
Pilot squint down through the windscreen to see the Two Men,
huddled together as BULLET HITS kick up DUST around them!"|stage direction
21|STYLES|Who's shooting at them-|speech
22||"The Bigger Man raising his own his weapon and RETURNING FIRE.
The Smaller Man frantically waving the Helicopter down..."|stage direction
23||PILOT|unknown
24|STYLES|I can't see-|speech
25||"Below, the Bigger Man still shooting and then he lowers his
rifle and there's only SILENCE. No return fire.
And then Styles sees why. A THIRD MAN. Lying by the
treeline. Chest torn open by gunfire. Obviously dead. His
clothes - the same fatigues the first two men are wearing."|stage direction
26|STYLES|"That was one of their own, he just
Shot one of their own men-"|speech
27|PILOT|Who was trying to shoot them-|speech
28|STYLES|Get us on the ground!|speech
29||EXT. CLEARING -- SUNRISE|location
30||"As the Helicopter comes in for a landing, the Bigger Man
kneels next to the Smaller Man, who bleeds from a bullet
wound to the arm.  His face, pale, sweating. The Bigger Man
wipes the Smaller Man's brow and speaks softly and seriously."|stage direction
31|BIGGER MAN|Are you ready for this?|speech
32||The Smaller Man nods.|stage direction
33||INT. ROADHOUSE -- MORNING|location
34||"A full on shit-kicking dive.     Nearly empty, given the hour.
A TELEVISION plays the morning    news over the bar.  Only two
inhabitants - one a BARTENDER,    the other the lone CUSTOMER,
smoking and picking at a plate    of criminally runny eggs."|stage direction
35||3.|unknown
36|HARDY|"Tell the truth, Vic. You made these
with a blender, right?"|speech
37||"He grins and we get our first good look at
TOM HARDY - Three day stubble, dark rings around his eyes,
but a with strong jaw and steady voice. Not your average
barfly. Somebody who maybe used to be somebody."|stage direction
38|BARTENDER|"Don't like 'em, don't eat 'em, don't
make no damn difference to me."|speech
39|HARDY|"You know that was like a quadruple
negative?"|speech
40||The Bartender takes the plate away from him.|stage direction
41|HARDY|Can I at least have a drink?|speech
42|BARTENDER|It's ten thirty in the morning.|speech
43|HARDY|Yeah, if you've slept.|speech
44|BARTENDER|"You know the law - no liquor before
noon. Could lose my license."|speech
45|HARDY|"Don't you mean ""don't need no liquor
license not taken away from me""?"|speech
46||The Bartender smiles.|stage direction
47|BARTENDER|Hurricane kept you up, too?|speech
48|HARDY|"Yeah, and I could've used the sleep.
I'm supposed to meet people here
tonight, try and get some work going."|speech
49||He stops, his attention suddenly on the TV.    A NEWSCASTER:|stage direction
50|NEWSCASTER|"...is expected to announce the grand
jury indictments in the Guissepe
Torres police corruption case as
early as tomorrow afternoon.
Speculations abound that up to ten
former homicide detectives could be
named in the proceedings-"|speech
51||4.|unknown
52||The Bartender turns the TV off hastily.   Embarrassed:|stage direction
53|BARTENDER|Sorry.|speech
54||"Hardy just looks away. The Bartender puts an empty glass
down and fills it to the lip with bourbon.
Hardy nods a ""thank you"" and reaches for the glass when the
PAGER on his hip goes off. He checks the number."|stage direction
55|HARDY|Bill Styles...|speech
56|BARTENDER|Who?|speech
57|HARDY|"Old friend. Haven't talked to him
in- 911. Can I use your phone?"|speech
58||The Bartender hands him a cordless and Hardy dials.|stage direction
59|HARDY|"Hey, Bill, it's Tom. Long time no.
. . whoa, whoa, slow down. Yeah...
yeah, of course I'll come. An hour."|speech
60||He hangs up and hands the phone back to the Bartender.|stage direction
61|BARTENDER|What was that?|speech
62||Hardy, obviously shaken by the call.|stage direction
63|HARDY|I gotta go out to McKinley.|speech
64||EXT. FORT MCKINLEY -- MORNING|location
65||"Establishing. A sprawling five square mile compound nestled
in the Louisiana backwoods. Also damaged by the Hurricane.
HELICOPTERS loaded with emergency supplies land and take
off, REPAIR CREWS work feverishly on damaged buildings, all
while CADET PLATOONS complete morning drills around them.
This is still a boot camp after all.
SUPERIMPOSE: 1130 HOURS - FORT MCKINLEY BASIC TRAINING CENTER"|stage direction
66||EXT. FORT MCKINLEY -- MAIN GATE -- MORNING|location
67||"Styles stands waiting nervously just beyond the CHECKPOINT
with WARRANT OFFICER JULIA OSBORNE - early 30's, attractive,
close cropped hair and icy eyes. In the middle of protesting."|stage direction
68||5.|unknown
69|OSBORNE|This is totally unnecessary-|speech
70|STYLES|"He asked to see a policeman, we're
getting him a policeman ."|speech
71|OSBORNE|"But this guy you called, he's not
even Army-"|speech
72|STYLES|"He's former Army and the best I've
ever seen in a room. Besides, he
knows the territory, we did Basic
together here."|speech
73||(off her look)|unknown
74|STYLES|"You've had three hours with Dunbar
and haven't gotten a peep, we need
to take a different tack."|speech
75|OSBORNE|He's not Army, it's not official-|speech
76|STYLES|Then it's unofficial.|speech
77||"He takes a hit from an ASTHMA INHALER, as a '71 PONTIAC GTO
drives through the gate and pulls up. Hardy emerges."|stage direction
78||(re: his appearance)|unknown
79|OSBORNE|"Doesn't get any unofficialer than
that..."|speech
80||The two old friends embrace.|stage direction
81||HARDY|unknown
82|OSBORNE|How are you?|speech
83||STYLES|unknown
84|OSBORNE|Been better.|speech
85||(pause)|unknown
86|OSBORNE|"I read about what's been happening
With you... I should have called-"|speech
87|HARDY|What kind of trouble are you in?|speech
88||Styles looks at the ground.      Momentarily flustered.|stage direction
89||HARDY|unknown
90|HARDY|That bad?|speech
91|STYLES|"Would I have called you if it wasn't?
If there was any other way-"|speech
92||6.|unknown
93|HARDY|Tell me what I can do.|speech
94|OSBORNE|You can get us some answers.|speech
95||Hardy takes off his sunglasses, noticing her.|stage direction
96|STYLES|"This is Warrant Officer Julia Osborne,
The closest thing we have to an in-
House investigator."|speech
97|HARDY|"And here you are going out of house.
How's that make you feel, Jules?"|speech
98|OSBORNE|Hostile and uncooperative.|speech
99||HARDY|unknown
100|OSBORNE|"Fantastic.   You want to tell me what's
going on?"|speech
101||INT. FORT MCKINLEY -- CORRIDORS MORNING|location
102||"Hardy follows Styles and Osborne. They pass SOLDIERS
replacing broken windows and sweeping up glass."|stage direction
103|STYLES|"The official term for it is
""Clusterfuck"" . By the time Beth hit
us, I'd canceled all off base
exercises save one - a six man cadet
team and their Drill out in the bush.
We're missing three and the Sergeant.
The cadets are in their eighth week
of the cycle, nobody here knows much
about them, up to and including their
names. But the Sergeant..."|speech
104|HARDY|"It's not West, is it?    Tell me it's
not West."|speech
105||Styles' look tells him it is.|stage direction
106||HARDY|unknown
107|HARDY|Ah, Christ|speech
108|OSBORNE|You knew Sergeant West?|speech
109|HARDY|"He was our Drill here.    Man's older
than sand."|speech
110||7.|unknown
111|STYLES|"A few years ago, the Army picked our
good buddy as their go to non-com to
trot out to the press to talk about
the kinder, gentler military. He
even did the standard video greeting
played to all incoming Basic cadets
across the country."|speech
112|HARDY|Well, he's a good soldier.|speech
113||Osborne nods, agreeing.|stage direction
114|HARDY|I didn't mean that as a compliment.|speech
115|OSBORNE|"Sergeant West's served for twenty-
Three years. He's the public face
of the modern Army."|speech
116|HARDY|"And you notice I'm not in the Army
anymore."|speech
117||They round a corner.|stage direction
118|STYLES|"The exercise was one of his Section
Eight ""private sessions"". Left around
2100 yesterday and were scheduled
for pick up at 0630 this morning."|speech
119|HARDY|And the problem is you only got three.|speech
120|STYLES|"No, the problem is one's dead, one's
got a bullet in his arm, and one
won't talk. The one who won't talk
was trading live fire with the dead
one as we reached the pick-up."|speech
121|HARDY|"I'm assuming that's what made him
the dead one?"|speech
122|STYLES|"Cadet Roberto R. Nunez.   Killed right
in front of me."|speech
123|OSBORNE|"Search parties for the others are
fanning out in a ten click radius
from the pickup. If they're hurt
and we can get to them in time..."|speech
124||8.|unknown
125|STYLES|"I called the JAG Corps, the two cadets
we retrieved are to be flown to D.C.
On a transport leaving here at 1700-"|speech
126|HARDY|"Which gives us about five hours.
Why'd you call me?"|speech
127|STYLES|"The guy in interrogation said he'd
only talk to a cop."|speech
128|HARDY|"And I'm the closest thing to it,
right?"|speech
129||Styles stops, turning to his friend.|stage direction
130|STYLES|"Tom, bottom line: I let those kids
go out there. If JAG shows up and I
don't have any answers for them, my
career is finished-"|speech
131|HARDY|I'm not gonna let that happen.|speech
132||Styles exhales, relieved.|stage direction
133|STYLES|"Thank you. Osborne will brief you
on the cadets. And Tom?"|speech
134||(half-smile)|unknown
135|STYLES|It really is good to see you.|speech
136||INT. FORT MCKINLEY -- OSBORNE'S OFFICE -- MORNING|location
137||"Osborne and Hardy enter, stepping over broken glass and
hurricane debris. Hardy looks around."|stage direction
138|HARDY|"Gotta be honest, I love what you've
Done with the place-"|speech
139|OSBORNE|You and the Colonel go back.|speech
140|HARDY|"He got me through Basic and a lot of
other stuff. I owe him."|speech
141|OSBORNE|"You're the Tom Hardy I've been reading
about in the papers, right? New
Orleans PD fired you for taking bribes
from Guissepe Torres."|speech
142||9.|unknown
143|HARDY|"It was for suspicion of bribery,
it's really all in the wording-"|speech
144|OSBORNE|"Wording and your friendship with the
Colonel aside, I'm not comfortable
having you involved in this."|speech
145|HARDY|"Subtlety really isn't one of you
finer points, is it, Osborne?"|speech
146||Osborne opens her mouth to reply but Hardy cuts her off.|stage direction
147|HARDY|"Three things. First - You don't
have a choice. Second- I've never
taken a bribe in my life. And Third -
I'm still a little drunk from last
night, so if I skip over the witty
banter and move forward to straight
hitting on you, try not to take
offense. Tell me about the two guys."|speech
148|OSBORNE|"Hurricane knocked out our Mainframe,
so all we have are their dogtags.
Cadets Raymond Dunbar and Levi Kendall-"|speech
149||HARDY|unknown
150|OSBORNE|Levi?   Who names their kid Levi-|speech
151|OSB0RNE|Senator Jonathan Kendall, of Ohio.|speech
152|HARDY|"Christ... Remind me to thank Bill
for mentioning that on the phone-"|speech
153|OSBORNE|"Kendall Junior is still  in surgery,
so he won't be available  to answer
for his name or anything  else for
another hour - the cadet  we're talking
to first is Dunbar."|speech
154|HARDY|He's in interrogation?|speech
155||OSBORNE|unknown
156|HARDY|Yes.|speech
157||HARDY|unknown
158|HARDY|Move him.|speech
159||"10.
OSBORNE"|unknown
160|HARDY|Why?|speech
161|HARDY|"Because interrogation rooms look
suspiciously like interrogation rooms,
which doesn't exactly put people at
ease. Is he cute?"|speech
162||OSBORNE|unknown
163|HARDY|Excuse me?|speech
164|HARDY|Is Dunbar cute?|speech
165||"OSBORNE
(pissed)"|unknown
166|HARDY|That is the most unprofessional-|speech
167|HARDY|"Is he handsome, self assured, carry
himself well, does he look you in
the eyes or down at the floor, does
he have good bones, suggesting good
breeding, does he slouch or sit up
straight - these are important
questions, as they reveal a great
deal about this man's character so
please get over yourself for two and
a half seconds and tell me is he
cute?"|speech
168||Osborne stares at him.    She finally nods.|stage direction
169|HARDY|"Thank you. At some point in there
I'm gonna rub my nose. When I do,
go at him with everything you got."|speech
170|OSBORNE|Good cop/bad cop?|speech
171|HARDY|Something like that.|speech
172||She starts to go make preparations.|stage direction
173||HARDY|unknown
174|HARDY|"Oh, and Osborne? You have any donuts
around here?"|speech
175||INT. FORT MCKINLEY -- CORRIDOR -- MORNING|location
176||"As two M.P.'s escort RAYMOND DUNBAR (the ""Bigger Man"") into"|stage direction
177||11.|unknown
178||INT. COFFEE ROOM -- MORNING|location
179||"A small cluttered room with the shades drawn. A folding
table has been set up in the middle of it with a chair on
each side. Dunbar takes a seat in the far chair. Takes in
his surroundings as the MP's leave, locking the door."|stage direction
180||INT. FORT MCKINLEY -- CORRIDOR - MORNING|location
181||Hardy and Osborne head towards the Coffee Room.|stage direction
182|OSBORNE|"I questioned him for three hours and
he didn't make a sound. You don't
have a badge, he won't talk to you."|speech
183|HARDY,|"Ten bucks says I have him talking in
under three minutes."|speech
184||Osborne starts the timer on her digital watch.|stage direction
185||OSBORNE|unknown
186|HARDY,|Go.|speech
187||INT. COFFEE ROOM -- MORNING|location
188||Dunbar looks up as they enter.    Hardy smiles, cheerily.|stage direction
189|HARDY|"Cadet Dunbar, good morning! I'm Tom
Hardy and I believe you've already
met Officer Osborne. I understand
you had a rough time of it last night?"|speech
190||No response.    Hardy takes a seat across from the cadet.|stage direction
191|HARDY|"Not talking, huh? You probably just
want to get some food and some sleep.
They feed you yet?"|speech
192||"No response.    Hardy reaches into his pocket.   Pulls out a
DONUT.
Dunbar eyes it, wary but definitely wanting it."|stage direction
193|HARDY|"Go on. You can eat in front of
someone and still not talk to them -
my parents did it for years."|speech
194||Dunbar grabs the donut, wolfing it down.|stage direction
195|HARDY|Want another one?|speech
196||No response.    Osborne looks to her watch - it's been a minute.|stage direction
197||12.|unknown
198|HARDY|"Maybe later. Ray, let me say this
up front - I'm not a cop."|speech
199||Dunbar turns away, no longer interested.   Hardy continues:|stage direction
200|HARDY|"I used to be, but that's beside the
point. Who I am doesn't really
matter; what matters is that right
now, you're in a shitload of trouble.
You understand that, right?"|speech
201||No response.|stage direction
202|HARDY|"Now, I don't know if you did what
you did in self defense and frankly
I don't really care. I'm just doing
a favor for Colonel Styles because
he wants to know if anyone else who's
still out there is in need of
assistance. To be honest with you,
though, I don't care about that
either."|speech
203||Dunbar looks up at this, surprised.|stage direction
204|HARDY|"I don't know those guys, you do.
They die, to me, it's like seeing a
couple people died in a fire on the
news - tragic, but it doesn't affect
me. The only thing I care about is
I agreed to do a favor for a friend
and try and talk to you till your
transpo shows up. You like baseball?"|speech
205||No response.   Osborne looks at her watch - two minutes.|stage direction
206|HARDY|"I could talk baseball for   days.
Batting averages, ERA's, I   got
statistics in my brain, I   don't know
how I remember them. It's    freaky.
You wanna talk baseball?"|speech
207||Dunbar, completely confused.|stage direction
208|HARDY|"Come on Ray, we're gonna be here
five hours, we gotta talk about
something. So who do you like?"|speech
209||A long silence and then:|stage direction
210||13.|unknown
211|DUNBAR|I don't like baseball.|speech
212||Hardy grins as Osborne stops her watch at 2:41.|stage direction
213|HARDY|Why not?|speech
214|DUNBAR|I asked for a policeman.|speech
215|HARDY|"You're under military arrest, it's
not gonna happen. What's wrong with
baseball?"|speech
216|DUNBAR|It's... too slow.|speech
217|HARDY|"Well, it's a game of anticipation,
that's the beauty."|speech
218|DUNBAR|I just don't like it.|speech
219|HARDY|What do you like then?|speech
220||"As they continue, we TRACK under the table to reveal a HIDDEN
MICROPHONE..."|stage direction
221||INT. STYLES' OFFICE -- MORNING|location
222||"Styles and an M.P. listening to the Coffee Room conversation.
DUNBAR'S VOICE, over the speaker:"|stage direction
223|DUNBAR (O.S.)|I don't know... I like the Army.|speech
224|HARDY (O.S.)|"C'mon, Ray, everyone hates the Army
during Basic. I'll tell you straight,
I hated it here."|speech
225||INT. COFFEE ROOM -- MORNING|location
226|DUNBAR|You did Basic here?|speech
227|HARDY|"Fifteen years ago under Sergeant
West. Piece of work, that guy. I
remember, he used to have these two
silver .45's with ivory handles and
if you weren't quick enough, he'd"|speech
228||"14.
HARDY (CONT'D)
knock you on the head with one of
them. He still carry those guns?"|unknown
229||He Dunbar nods.|stage direction
