|character|text|type
0||"""LIFE""
Screenplay by
Robert Ramsey and Matthew Stone
SHOOTING DRAFT
1999"|unknown
1||FADE IN:|stage direction
2||EXT. PRISON CEMETERY -- DAY|location
3||"A handful of people are gathered in an open field under a
fierce Mississippi sun. A couple of young inmates, JAKE and
LEON, lean on their shovels. They are waiting to bury two
identical CASKETS with inmate numbers stenciled on the
pinewood lids.
A GUARD rests the butt of his rifle on the ground and takes
a long, healthy pull from his canteen. He offers it to the
PRISON CHAPLAIN, who is much obliged. SUPERINTENDENT BILL
BURKE, a 40-year-old black man, glances at his watch and
loosens his tie. Sure is hot.
MARY HUMPHRIES, an elderly white woman in a nurse's uniform,
stands behind WILLIE LONG, an ancient inmate sleeping
peacefully in a wheelchair. She readjusts an umbrella to
shield the old black man from the blistering sun.
Burke dabs his forehead with a handkerchief. He gives the
nod to the chaplain, who steps forward and cracks his bible.
The men remove their hats."|stage direction
4|CHAPLAIN|"In accordance with the regulations
of the State of Mississippi, we gather
here today to lay to rest the remains
of inmates R. Gibson, number 4316,
and C. Banks, number 4317. Ashes to
ashes, dust to dust. May God have
mercy on their souls."|speech
5|BURKE|Go ahead, fellas.|speech
6||"The young inmates plunge their shovels into the dirt. One by
one, the mourners head back toward a prison van parked on a
nearby dirt road."|stage direction
7|NURSE HUMPHRIES|"I'll come back for you in a little
while, Willie..."|speech
8||"She leaves Willie alone with Jake and Leon. He rolls his
chair up to the edge of the graves and gazes at the pinewood
caskets."|stage direction
9|JAKE|"These two guys friends of yours, old
man?"|speech
10|WILLIE|We spent some time together.|speech
11|LEON|"Why do I get the feeling when you
say some time, you mean some time."|speech
12|WILLIE|"I was already here a good many years
when they came in in 1932."|speech
13|LEON|1932? That's like, that's like...|speech
14|WILLIE|"Sixty-five years ago. They always
said the farm couldn't hold 'em
forever. Looks like you're finally
free, boys."|speech
15||"Willie pulls a bottle of moonshine from his jacket and takes
a swig in their honor."|stage direction
16|JAKE|Hey, the dude's holdin'.|speech
17|LEON|"Come on, old-timer, hook the brothers
up."|speech
18||"Willie passes the bottle to Leon, who takes a swig and winces
from the unexpected kick."|stage direction
19|LEON|"Hell of a way to get out. Heard they
burned up in that fire yesterday."|speech
20|JAKE|"I seen the bodies before they sealed
'em up. Them fellas sizzled up good.
Looked like some shit from the X-
Files."|speech
21||"(taking a swig from
the bottle)"|location
22|JAKE|Damn, that shit's nasty.|speech
23|WILLIE|"Ray's special recipe. He always had
exacting standards where the hooch
was concerned."|speech
24|LEON|What were they, bootleggers?|speech
25||"Willie holds up the bottle, checking the clarity of the
liquor."|stage direction
26|WILLIE|Something like that.|speech
27||MATCH CUT TO:|unknown
28||EXT. SPANKY'S BACK ALLEY (1932) -- NIGHT|location
29||"RAY GIBSON holds up a similar bottle of liquor to a light
over a door. Music comes from within. He takes a swig and
stashes the bottle in his belt. He adjusts his tie, polishes
his shoes on the back of his pants and raps on the door."|stage direction
30||INT. SPANKY'S -- NIGHT|location
31||"The speakeasy is jumping, jammed with people. Up on stage a
hot JAZZ BAND is playing backup for a seductive CHANTEUSE.
Well-heeled PATRONS enter through doors near the stage.
In the back, at the end of a long hallway, a BOUNCER cracks
open the door and Ray squeezes inside."|stage direction
32|BOUNCER|"Oh, no, Ray. Not tonight. Spanky's
not happy with you."|speech
33|RAY|Is Spanky here?|speech
34|BOUNCER|No, but...|speech
35|RAY|Then what's the problem?|speech
36|BOUNCER|"Do yourself a favor and find another
place where they let you in the front
door."|speech
37|RAY|"But this is where the action is and
I have to be where the action is.
Look, when your old lady wanted those
alligator shoes, didn't I come through
for you? Ain't she stepping in style
now?"|speech
38|BOUNCER|Yeah...|speech
39|RAY|"Well, alright then. What do you think
about this new tie?"|speech
40|BOUNCER|Sharp.|speech
41|RAY|"I look good tonight. And I feel lucky,
too."|speech
42||Ray heads inside.|stage direction
43|BOUNCER|"Anyone asks, it wasn't me who let
you in."|speech
44||"Ray slides through the crowd, pausing at the bar to nibble
on the neck of a COCKTAIL WAITRESS."|stage direction
45|COCKTAIL WAITRESS|Don't even try it.|speech
46|RAY|When do you get off?|speech
47|COCKTAIL WAITRESS|"I get off at two, but you ain't never
getting off."|speech
48||"She carries a tray of drinks into the crowd. Ray shakes his
head in wonderment at her departing form. The BARKEEP steps
up as Ray pulls out his bottle."|stage direction
49|BARKEEP|You can't drink that in here, Ray.|speech
50|RAY|"I sure can't drink that watered-down
swill you're serving. Give me a glass
of ice."|speech
51|BARKEEP|"I can't give you a glass of ice. I
can't give you anything until you
pay your damn tab."|speech
