|character|text|type
0||"For Your Consideration
Best Adapted Screenplay By
Fran Walsh, Philippa Boyens, Peter Jackson
Based on the Book by J.R.R. Tolkien"|unknown
1||"THE LORD OF THE RINGS: THE RETURN OF THE KING
BLACK SCREEN . . .
SUPER:                New Line Cinema Presents
SUPER:               A WingNut Films Production
BLACK SCREEN:"|stage direction
2||EXT. RIVER ANDUIN - DAY|location
3||"ANGLE ON: SMEAGOL and his cousin, DEAGOL, sit in a SMALL
CORACLE, their FISHING LINES draped over the side . . . SUNSHINE
glinting off the surface of the water.
An idyllic image.
SUDDENLY . . . DEAGOL's FISHING ROD BENDS under the weight of a
LARGE FISH."|stage direction
4||"(excited)
Smeagol, I've got one!
(he laughs)
I've got a fish, Smeagol!
SMEAGOL
(excitedly)
Go on, pull it in."|unknown
5||"DEAGOL pulls on his ROD, but is HAULED OVERBOARD and
disappears underwater with a SPLASH!
ANGLE ON: SMEAGOL leaning over the BOAT . . . CONCERNED."|stage direction
6||"SMEAGOL (cont'd)
(worried)
Deagol!"|unknown
7||EXT. UNDERWATER, RIVER ANDUIN - DAY|location
8||"ANGLE ON: DEAGOL is towed to the RIVER BED by a LARGE FISH
. . . he suddenly lets go of the line . . . eyes fixed on a
SHINING GOLD RING, lying in 'the SILT."|stage direction
9||Final Revision - October, 2003 2|unknown
10||EXT. RIVER ANDUIN, GLADDEN FIELDS - DAY|location
11||"CLOSE ON: DEAGOL climbs out of the WATER, onto the RIVER
BANK.
CLOSE ON: the RING   revealed in DEAGOL'S PALM . . .
ANGLE ON: SMEAGOL peers over his shoulder . . . the GOLD
reflects in SMEAGOL'S EYES!
ON SOUNDTRACK: The HUM of the RING growing LOUDER . . ."|stage direction
12||SMEAGOL|unknown
13||Give us that, Deagol, my love!|location
14||DEAGOL turns to look at him, a smirk on his face.|stage direction
15||DEAGOL|unknown
16||Why?|location
17||CLOSE ON: SMEAGOL moves towards DEAGOL . . .|stage direction
18||SMEAGOL|unknown
19||Because its my birthday, and I wants it.|location
20||"ANGLE ON: SMEAGOL jumps on DEAGOL . . . STRANGLING HIM! SMEAGOL
rips the GLITTERING RING from DEAGOL'S LIMP HAND."|stage direction
21||SMEAGOL (cont'd)|unknown
22||My precious!|location
