|character|text|type|character_clean|gender
0||"BELOVED
Written by
Richard LaGravenese"|unknown||
1||"Toni Morrison
October 11, 1996"|unknown||
2||FADE IN...|stage direction||
3||EXT. 124 BLUESTONE ROAD - DAWN.|location||
4||"It is winter in Ohio. A house sits isolated beside a barren
field. The field stretches beyond, until a line of distant
woods stops it. Around the back of the house stands a rundown
STORAGE SHED, a cold house, a privy and a water pump. A porch
with a single door serves as the only entrance.
Camera begins a slow move toward the house as we;
SUPER - OHIO, 1865
WE HEAR SOUNDS from inside the house - BUMPS, A CHAIR FALLING
OVER...and FEET RUNNING on wooden floor boards."|stage direction||
5||CUT TO:|unknown||
6||INT. 124 BLUESTONE ROAD - DAWN.|location||
7||"C.U. - THE HANDS OF TWO BROTHERS HOLDING EACH OTHER AS THEY
RUN DOWN THE STAIRS..
BULGAR (13 yrs. old) and HOWARD (14 yrs. old) run down the
steps from the second floor. They are fully dressed, carrying
a small bag of belongings."|stage direction||
8|HOWARD|We gonna need food. Wait here.|speech|HOWARD|F
9||"Bulgar reluctantly lets go of Howard's hand as the latter
runs into the kitchen. Alone, he edges towards the front
door, when suddenly;
THE DOOR SLOWLY CREAKS OPEN on it's own. Scared, he steps
away slowly."|stage direction||
10||INT. KITCHEN - DAWN.|location||
11||"Howard is trying to toss some food into a bag. He spots A
CAKE sitting on top the wooden table, with some pieces
already eaten. He finds a knife and approaches the table.
He is about to cut into the cake when he sees TWO TINY HAND
PRINTS appear on the cake's surface. Howard stops cold -
dropping the knife."|stage direction||
12||INT. FRONT ENTRANCE - DAWN.|location||
13||Howard exits the kitchen and takes Bulgar's hand;|stage direction||
14|HOWARD|Come on!|speech|HOWARD|F
15|DENVER (OS)|Bul?|speech|DENVER|F
16||"The boys look up the stairs and see their baby sister, nine
year old DENVER."|stage direction||
17|DENVER|Where you goin?|speech|DENVER|F
18||"The brothers are brokenhearted at the sight of her. They love
their sister. But there are stronger forces here.
A MIRROR on a wall beside Howard cracks down the middle."|stage direction||
19|HOWARD|We gotta go!|speech|HOWARD|F
20||"Bulgar looks up to Denver. They exchange a look of deep
affection and pained longing. He wants to take her."|stage direction||
21|HOWARD|Bye, Denver. You take care.|speech|HOWARD|F
22|DENVER|Bye? Bul?|speech|DENVER|F
23||"Bulgar is starting to cry. He rushes up the steps and hugs
his sister. He kisses her hard then breaks away. Denver's
outstretched hand misses his shirt and hangs mid-air."|stage direction||
24|DENVER|No..Bul...|speech|DENVER|F
25||"Bulgar flies down the steps and disappears out of the house
holding Howard's hand once more.
Denver sits alone at the top of the stairs.  She sadly looks
up and weeps, as if to the house itself:"|stage direction||
26|DENVER|Now what you go and do that for?|speech|DENVER|F
27||EXT. ROAD TO THE TRAIN - DAWN.|location||
