|character|text|type|character_clean|gender|principal_character
0||"BOOGIE NIGHTS
by
Paul Thomas Anderson"|unknown|||
1||"1 EXT. HOT TRAXX NIGHTCLUB - NIGHT
CAMERA holds on this PACKED disco on Van Nuys Blvd.
TITLE CARD: ""San Fernando Valley, 1977""
A CADILLAC SEVILLE pulls up to the valet area and CAMERA (STEADICAM) moves
across the street, towards the car, landing close;
From the Seville steps, JACK HORNER (50s) and AMBER WAVES (early 30s).
CAMERA follows them (this is one continous shot) as they pass the crowd,
greet a DOORMAN and enter --
INSIDE THE NIGHTCLUB. Twice as packed inside as outside. Music is full
blast. Amber and Jack are greeted by;
MAURICE t.t. RODRIGUEZ (30s). Owner of the nightclub. Puerto Rican. Wearing
a suit and fifteen gold chains."|stage direction|||
2||"MAURICE
Jackie-Jack-Jack and Miss Lovely Amber Waves --"|unknown|||
3|unknown|AMBER|speech|unknown|?|
4||Hi, Maurice.|unknown|||
5||"You bad ass little spick. How are you, honey?
MAURICE
Pissed off you ain't been around --"|unknown|||
6||"-- I been on vacation.
MAURICE
Don't stay away this long from my
club ever again, Jackie-Jack-Jack."|unknown|||
7||I promise.|location|||
8||Maurice takes Amber's hand and gives it a kiss.|stage direction|||
9||"MAURICE
You are the foxiest bitch in ten countries."|unknown|||
10|JACK|AMBER|speech|JACK|M|True
11||"You're such a charmer.
MAURICE"|unknown|||
12||(to Jack)|location|||
13||"I got you all set up at your booth.
I wanna send over some clams on the half shell."|unknown|||
14||Beautiful.|location|||
15||"MAURICE
Just remember, Jack: I'm available
and ready. Cast me and find out --"|unknown|||
16||Yeah, yeah, yeah.|unknown|||
17||"Amber and Jack head off towards the booth. CAMERA stays with Maurice,
follows him to the bar area, where he shouts some orders to a WAITER."|stage direction|||
18||"MAURICE
Clams on the half shell to Jack
and Amber -- over there -- go!"|unknown|||
19||"The WAITER takes off to the kitchen, Maurice walks onto the dance floor and
greets three people;
REED ROTHCHILD, 20s, tall and skinny, BECKY BARNETT, 20s, black girl in
silk, BUCK SWOPE, 20s, black guy in cowboy gear."|stage direction|||
20||"MAURICE
Hello there, kiddies.
REED/BUCK/BECKY
Hi, hey, hi, Maurice.
MAURICE
Having a good time?"|unknown|||
21|JACK|BECKY|speech|JACK|M|True
22||Excellent.|location|||
