|character|text|type|character_clean|gender|principal_character
0||INT. LECTURE HALL BERKELEY - DAY|location|||
1||"The hall is full.  On the stage, DR. HELEN HUDSON is
speaking.  HELEN is a forensic psychologist.  Behind her is
a projected diagram: PREDISPOSITION, DISSOCIATION, TRAUMA,
FANTASY, VIOLENT FANTASY, FACILITATORS, MURDER, and
TRAUMA-REINFORCEMENT which she can point to with a laser
pointing device.  We see her from a considerable
distance... the back of the balcony.  Her voice is crisp and
assured."|stage direction|||
2|HELEN|"Our society creates these socially
and psychically disenfranchised
men, and their revenge on society
is terrible.  They are hard to
catch.  They are ""the nice guy next
door,"" their employers -- if they
work at all -- find them quiet and
uncomplaining.  Early abuse and
rejection have taught them
passivity.  Only in their violent
fantasies do they feel alive.  What
they seek in their frenzied
assaults on their victims is relief
from passivity.  For these men, ten
minutes relief is worth far more
than the life of another human
being.  Torture, the pain they
inflict, the screams of the victim,
are all part of the ritual that
gives them a brief respite from
their own psychic pain.  And then
the depression, the forgetting, the
feeling of sadness and despair
begins the cycle all over again.
Like addicts seeking their drug,
Albert DeSalvo, Bianchi and Buono,
Berkowitz, Dahmer, Bundy -- they
seek out their next victim."|speech|HELEN|M|True
3||"During the second half of this speech, the eye of the camera
has moved slowly forward until it settles just behind the
balcony railing.
CLOSEUP: HELEN"|stage direction|||
4|HELEN|"The cycle is endless until they are
caught.  And they are caught by
chance -- they run a red light, and
a body is in the trunk.  A leaking
pipe brings a plumber to a basement
where they is the smell of death."|speech|HELEN|M|True
5||"Her eyes have come to rest on the spot of the camera eye in
the balcony... Her voice chokes off.  She stares.
HELEN'S POV:
Sitting in the front row of the balcony, a YOUNG RED-HEADED
MAN (DARYLL LEE CULLUM) leans forward, resting his tattooed
arms on the railing.  He smiles intimately at HELEN.
HELEN cuts her eyes to the left.  She sees:
Backstage, an overweight COP in plain clothes.  Instantly
alert to HELEN'S alarm, he jumps up, comes within an inch of
exposing his presence to the audience.  A SECOND COP, in the
wings on the other side of the stage, also springs to
attention.  FIRST COP'S eyes follow HELEN'S...
Their POV:  THE BALCONY - YOUNG RED-HEADED MAN is no longer
there.
HELEN  Can she believe her eyes?  Resumes:"|stage direction|||
6|HELEN|"At any time, right now, as you
listen, the FBI estimates there are
30 to 35 serial killers stalking
their victims.  The serial killer is
a plaque that must be addressed not
only by the law, but by science.
Florida spent eight million dollars
to execute Ted Bundy.  It would
have been better spent building a
forensic penal facility devoted to
research."|speech|HELEN|M|True
7||"Once again her eyes fix on the balcony to reassure herself
that the smiling man is not there..."|stage direction|||
8|HELEN|"Confined for life, without parole,
and subjected to scientific study,
these men's lives might finally, in
some small measure, educate and
thereby protect society.  Thank
you."|speech|HELEN|M|True
9||"Applause as Helen warily checks for the TWO COPS.  They are
carefully casing the crowd."|stage direction|||
10||CUT TO:|unknown|||
11||"LATER:
The crowd is breaking up.  FIRST COP walks HELEN to the
ladies' room.  People reach to shake Helen's hand; she copes
as well as she can with her fear.  THEY LEAVE THE STAGE
THROUGH A DOOR OPENING TO A CORRIDOR LEADING BACK TO
DRESSING ROOMS AND A LADIES' ROOM..."|stage direction|||
12||CUT TO:|unknown|||
13||INT. LADIES' ROOM - DAY|location|||
14||"THE COP, clearly embarrassed, pokes his head in and looks
around.  Under one stall he sees a woman's HIGH HEELS.  He
hastily ducks back into HALL and signals an okay to Helen.
Before the door behind her closes, we see the COP prepare to
stand guard outside.  HELEN walks past the stall with the
high heels to a stall several doors down.
CLOSE UP HIGH HEELS:
And a tattoo that the cop missed seeing on one of the
ankles.  The shoes are kicked off.  The feet disappear from
view as
HELEN, a few stalls away, methodically places toilet paper
around the seat before raising her skirt.  A faint noise
makes her freeze.  Her hand reaches for the door.  She is
just able to unlock it, but no more, before a NOISE COMES
DOWN FROM THE NEXT STALL.
Like a lariat it falls over HELEN'S head and is violently
yanked tight.  She kicks at the stall door.
CORRIDOR: COP, leaning against outside door smoking, hears
the clang of metal as the stall door bangs open. He
reacts..."|stage direction|||
15||INT. LADIES ROOM - CONTINUED|location|||
16||"The RED-HEADED MAN is struggling to secure the rope around a
hook inside his own stall.  KNOCKING (o.s.)"|stage direction|||
17|COP (o.s.)|"Doctor Hudson?  Are you okay in
there?"|speech|COP|F|
18||"The MAN lets slip a little slack.
HELEN'S fingers, thrusting between the rope and her neck,
get just enough air for HELEN to let out a strangled little
scream.
CORRIDOR: COP, not certain what to do about the ambiguous
sounds from inside.  Women stands nearby, inhibiting him for
a split second from going in the Ladies' Room door.  Now
there is more SOUND from inside..."|stage direction|||
19||INT. LADIES ROOM - CONTINUOUS|location|||
20||"COP steps into the room, gun down.  Over the COP'S shoulder
we see HELEN hanging in open booth, her hand fluttering at
her throat.  She has one slippery shoeless foot on the
toilet seat.
COP takes a couple of steps forward.  Behind COP'S back we
see a broom closet door opening.
HELEN'S POV: CLOSE UP: The COP, taken from behind.  In a
second, his throat is slit.  In a gush of  blood, he falls,
his gun still in his hand.
RED-HEADED MAN standing over the fallen COP, smiling at
HELEN.
COP'S BODY IS TWITCHING, JERKING.  The violent contractions
in his fingers cause the gun to go off... ONE... TWO SHOTS,
the sound reverberating against the tile walls.
STAGE AREA
The audience and SECOND COP react to the gunshots.
HELEN, her eyes bulging, struggling against the rope."|stage direction|||
21||SLAM CUT:|unknown|||
22||INT. HELEN'S APT - SAN FRANCISCO - NIGHT|location|||
23||"As HELEN, in bed, bolts up from the nightmare, her hands try
desperately to pull the dream rope from her neck.  She is now
pale, her hair is dirty, there are deep circles under her
eyes.  This is a woman in the throes of a breakdown."|stage direction|||
24|HELEN|Andy!  Andy!|speech|HELEN|M|True
25||"She races through this LOFT APARTMENT (THE WALLS ARE EIGHT
FEET UNDER A TWELVE-FOOT CEILING) to study opening off a
hall.  She looks in, gasping for breathing..."|stage direction|||
26||INT. STUDY - CONTINUOUS|location|||
27||"The room is neat -- nobody there.  (We will later see that it
is used on and off by her computer, Andy.)
HELEN whimpers in frustration; she is alone.  SHE TALKS TO
HERSELF as she turns back and moves past a LIVING ROOM,
where she turns on lights and the TV flicks on, (COURT TV.)
The sound comes up, loud... She moves on... trying to calm
herself with the sound of her own voice..."|stage direction|||
28|HELEN|"It is October twelfth, 1994 in the
city of San Francisco, California,
U.S.A., the strongest, richest,
most stable and happiest country in
the world.  That is the sole place
of life in the universe.  Under
God."|speech|HELEN|M|True
29||"CLOSE: XANAX BOTTLE.  Two pills are shaken out into a palm,
others scattering from the nervous haste...
CLOSE: HELEN  Watching herself in BATHROOM mirror as she
tosses down the pills, gulps water.  She regards her haggard
reflection with a certain detachment..."|stage direction|||
30|HELEN|Good God.  What happened to you?|speech|HELEN|M|True
31||"She barks a rueful laugh... we are seeing a woman will
herself from near-hysteria to relative calm..."|stage direction|||
32||CUT TO:|unknown|||
33||"HALL  As she exits the bathroom.  And moves into her OFFICE.
She pours herself a brandy and stands before two computers.
Of the side-by-side computer screens, one is blank.  The
other shows a chess setup.  Flashing on the bottom of the
screen comes a command."|stage direction|||
34|CHESSMASTER|"'It's almost seven.  Make a goddam
move.'"|speech|CHESSMASTER|F|
35||"She studies the chess set-up for a moment, then makes a
move.  She has not even hit the Keyboard of the other
computer before CHESSMASTER sends another message."|stage direction|||
36|CHESSMASTER|"'Lousy move.  Not really into this
game, Helen.  Let's drop it.  I've
got a feeling about you.  Let's
meet.  Like a date.'"|speech|CHESSMASTER|F|
37||HELEN types the following to CHESSMASTER.|stage direction|||
38|HELEN|"'I'm a terrible date.  I'd mess up your
life.'"|speech|HELEN|M|True
39|CHESSMASTER|"'Another romantic dream gone all to
hell.'"|speech|CHESSMASTER|F|
40|HELEN|"'Maybe it's better to just dream
on; avoid the disappointments of
life.  Come on, move.'"|speech|HELEN|M|True
41||"She pushes a button on the remote, and we see the window
curtains open.  BRIGHT SUNLIGHT STREAMS IN!  We see that the
T-shirt HELEN wears says ""Shrinks 'R' Us.""  She crosses to
the window with her glass of cognac, looks out.
VIEW:
A sweeping view of the bay, and across to Marin County.  The
morning sun is dispelling the last of the night's fog.
HELEN opens window, puts a hand outside, trying to"|stage direction|||
42||feel|unknown|||
43||"the
air, the freedom.  Feeling quite restored from the dream
horror of the night...
O.S., THE PHONE RINGS.  HELEN.  A FRISSON.
CLOSE: PHONE  Her hand comes into FRAME and picks up the
handset and carries CAMERA TO CLOSEUP HELEN."|stage direction|||
44||(carefully)|location|||
45|HELEN|Yes?|speech|HELEN|M|True
46||(listens)|location|||
47|HELEN|"You son-of-a-bitch!  Son of
a bitch..."|speech|HELEN|M|True
48||Stiff with fear and rage, she slams down phone.|stage direction|||
49|HELEN|You|speech|HELEN|M|True
50||"filthy
son of a bitch"|unknown|||
51||"On the computer screen behind her the Chessmaster makes his
move: the computer speaks in its tiny computer voice:"|stage direction|||
52||(filter)|location|||
53|COMPUTER|"You Queen is in check.
Protect your Queen."|speech|COMPUTER|F|
54||"OVER CREDITS:
HOME MOVIE of a young woman dressed in a seat suit.  It is
morning, and she is jogging on a park path.  Her hair is in
a long braid.  She is sweating, breathing heavily, clearly
near the end of a satisfactory run.
THE FILM REVERSES, THE FILM STARTS UP AGAIN IN EXTREMELY
SLOW MOTION.  WE ARE NOW AWARE THERE IS ANOTHER POINT OF VIEW
AT WORK HERE.
NOW THE FRAME FREEZES AT A POINT WHERE IT MAKES THE JOGGER'S
OPEN-MOUTHED DEEP BREATHING LOOK LIKE
A SCREAM!
END TITLE AND CREDITS:"|stage direction|||
55||INT. RIFLE RANGE - DAY|location|||
56||"MUZZLE OF SEMI AUTOMATIC PISTOL BLASTS NINE SHOTS ALMOST
DIRECTLY INTO CAMERA.  A BEAT OF SILENCE...
THE TARGET: it is a silhouette of a man's head and torso;
centered in the right side of the upper chest, near the
shoulder, is a small red circle.  Still SMOKING, THE HOLES
FROM THE BULLETS are scattered all over the chest, and none
in the circle."|stage direction|||
57|M.J. (V.O.)|"My third grade teacher at the
convent shot better than that."|speech|M.J.|M|True
58||THE SHOOTER, RUBEN GOETZ, AND PARTNER M.J.|stage direction|||
59|RUBEN|Yeah, but she had divine guidance.|speech|RUBEN|M|True
60||"We now take in the shooter, RUBEN, and his companion M.J.
HALLORAN.  M.J. is a small, deceptively vulnerable looking
young woman.  She is neat, buttoned down, crisp.  M.J.
appears to be about twenty-five.  She is, in fact,
thirty-four and a homicide inspector with the rank of
sergeant.  She is usually dressed in slacks and a loose
sweater or an oversize jacket that helps make her appear
even smaller and younger than she is.
RUBEN GOETZ is also in homicide, about twenty-six and junior
in authority to M.J.  RUBEN is good-looking, good-humored
and laid back.  He has a cellular phone attached to his
belt.
M.J. PULLS THE LINE THAT DOLLIES THE TARGET BACK TO THEM,
AND RUBEN REPLACES IT WITH ANOTHER AS THEY TALK."|stage direction|||
61|M.J.|I'd feel a whole|speech|M.J.|M|True
62||lot|unknown|||
63||safer with|stage direction|||
64|M.J.|"Sister Loretta for my backup.  Look
at this guy: you shredded him!"|speech|M.J.|M|True
65|RUBEN|"Well, he's dead, he can't hurt me
now."|speech|RUBEN|M|True
66||"The target is rigged; they pull the line that dollies it back
to shooting position."|stage direction|||
67|M.J.|"It's sloppy shooting.  It's in
character, Ruben, but unnecessary.
And bad for your career."|speech|M.J.|M|True
68||"RUBEN LETS OFF THREE QUICK SHOTS: they cluster nearer the
circle.  M.J. looks at him in surprise."|stage direction|||
69|RUBEN|"I've been practicing.  Now can I
kiss your tummy?"|speech|RUBEN|M|True
70||M.J. hides her smile as she prepares her weapon for her turn.|stage direction|||
71|M.J.|"Perp's holding a hostage, the
shoulder on his gun hand is gonna
be exposed."|speech|M.J.|M|True
72||"SOUND: A CELLULAR PHONE (ON RUBENS' BELT).  M.J. holds her
fire."|stage direction|||
73|M.J.|Answer it.|speech|M.J.|M|True
74|RUBEN|"I'm sure she thinks it is.  Aren't
you at least interested in which
one it is?"|speech|RUBEN|M|True
75||"She's lost her concentration lowered the gun; now as he
answers, she raises her gun and aims..."|stage direction|||
76||(into phone)|location|||
77|RUBEN|I'm here, where are you?...|speech|RUBEN|M|True
78||"Heeeeyyy
!  What a surprise!  No.  On"|unknown|||
79|RUBEN|"duty, have to call you back... You,
too, you too.  My God, you made my
day."|speech|RUBEN|M|True
80||"He hits the ""end"" button..."|stage direction|||
81|M.J.|You hit the brachial nerve...|speech|M.J.|M|True
82||"SHE FIRES!  The shots make a perfect heart around the circle,
inside his looser pattern.  ONE FINAL SHOT STRIKES EXACTLY
IN THE MIDDLE!"|stage direction|||
83|M.J.|"You're good enough you'll never
have to kill anyone.  I joined the
cops to save lives, not waste them."|speech|M.J.|M|True
84|RUBEN|"You know, M.J., when I watch you
shoot, I realize I've got a little
problem with my stance... could you
just move over here and critique my
legs?"|speech|RUBEN|M|True
85||"He slaps his thigh where he indicates the trouble might be.
She is unloading her weapon..."|stage direction|||
86|M.J.|"The problem is between your legs.
You told your shrink about that?"|speech|M.J.|M|True
87||She is unloading and cleaning up.  Ruben doing the same...|stage direction|||
88|RUBEN|I tell my shrink about|speech|RUBEN|M|True
89||you|unknown|||
90|RUBEN|"Sergeant.  I tell him you're the
top cop of my dreams."|speech|RUBEN|M|True
91||"Ruben has been gathering up his box of doughnuts, from which
he has nibbled during the preceding... he drops them, picks
one up off the floor and sticks it in his mouth..."|stage direction|||
92||(putting away her|location|||
93|gear)|Don't take that mess in the car.|speech|||
94||They're on the move; as they go away from us...|stage direction|||
95|RUBEN|He's in love with you already...|speech|RUBEN|M|True
96||CUT TO:|unknown|||
97||EXT. CRIME SCENE - DAY|location|||
98||"They pull up in front of an apartment building in the
Pacific Heights section.  Patrol cars flank the street, the
thick yellow ticker tape ""POLICE CRIME SCENE DO NOT CROSS""
is already up.  M.J. double parks beside a blue-and-white.
A couple of cars from the media are already there.  SUSAN
SCHIFFER a bulldog of a woman, and her camera crew, waylay
M.J. and Ruben as they cross the sidewalk..."|stage direction|||
99|M.J.|"Oh, Christ, the Mouth is already
here."|speech|M.J.|M|True
100||"She is, with a cameraman with a haircut and smile that speak
of a life of orthodontics and dreams of TV anchorship."|stage direction|||
101|RUBEN|"Hey.  And there's the Haircut right
behind.  If she stops short he's
gonna be there feet up her ass..."|speech|RUBEN|M|True
102||(on camera)|location|||
103|SUSAN|Inspector, can you...|speech|SUSAN|F|True
104|M.J.|I just got here myself, Susan.|speech|M.J.|M|True
105|SUSAN|"...confirm this third murder adds
up to a pattern?  Do we have a
serial killer on the loose in the
city?"|speech|SUSAN|F|True
106|M.J.|"I just got here.  Talk to you
later..."|speech|M.J.|M|True
107||(as they escape behind the|location|||
108|barrier tape)|"What the hell does she want to do,
scare everybody to death?"|speech|||
109|RUBEN|"That's her job... Jesus, Quinn is
here already."|speech|RUBEN|M|True
110||"QUINN, a splenetic Irishman, a politician, Chief of Homicide
stands at the top of the steps leading to the front door.
As they climb up toward him..."|stage direction|||
111|QUINN|"I been waiting... I have to do
everything myself.  Photo, crime
tech, the Coroner are already
inside.  The Landlady calls it in;
tenant is not answering when
called, she sticks her head in,
sees the body, uses the deceased's
telephone to call 911.  Otherwise
nothing disturbed.  It's all yours,
kid.  I'll take care of the Mouth
and the Haircut."|speech|QUINN|F|True
112||M.J. and Ruben enter...|stage direction|||
113||INT. APARTMENT HOUSE - HALL - DAY|location|||
114||"Four uniformed cops stand in the hall securing the premises;
at the back one cop stands by a stunned and tearful woman
chain-smoking (the Landlady)."|stage direction|||
115||(to cop)|location|||
116|M.J.|That the Landlady?|speech|M.J.|M|True
117||(to Ruben)|location|||
118|M.J.|You wanna talk to her, Ruben?|speech|M.J.|M|True
119||(back to cops)|location|||
120|M.J.|Who was first on the scene?|speech|M.J.|M|True
121||Mike answers her question by answering to Ruben!|stage direction|||
122|MIKE|I was.|speech|MIKE|M|
123||(forcefully)|location|||
124|M.J.|"I'm over here?  What's your name,
Officer?"|speech|M.J.|M|True
125|MIKE|Michael Johnson.|speech|MIKE|M|
126|M.J.|"You touch anything, Mike?  Pick up
anything?  Use the doorknob?  I
don't want to find your prints on
anything later and you tell me you
forgot to tell me."|speech|M.J.|M|True
127|MIKE|No.  I didn't.|speech|MIKE|M|
128||"She glances at him, at the SLIGHTLY OLD INFLECTION ON THE ""I
DIDN'T.""  But moves on, as Ruben goes to the Landlady..."|stage direction|||
129||INT. BATHROOM - DAY|location|||
