|character|text|type|character_clean|gender|principal_character
0||"LIFE OF PI
Written by
David Magee
Based on the original novel by
Yann Martel"|unknown|||
1||1   EXT. PONDICHERRY ZOO, INDIA, 1961 - DAY                      1|location|||
2||"CREDITS OVER: a magical fairy tale world in collage - images
of fantastic creatures striped and spotted, hoofed and
horned.
Goats and warthogs mingle in an open field; a baby giraffe
tries to reach leaves over a fence; rhinos roll happily in
rich red mud, looking like giant muddy boulders, while
nearby, black and white Malayan tapirs cool themselves in
watering holes.
Exotic monkeys with comical faces cling lovingly to one
another, swing from trees, climb over one another, prance and
screech; a probiscus monkey with a 'Jimmy Durante' nose
pointing out through the plane of the screen. Flamingoes
strut about in the aviary, their pink feathers reflected in
the water.
A sloth droops lazily from a tree branch, unfazed, while a
nearby hummingbird zips manically from flower to flower like
Tinkerbell...
... the Pondicherry zoo is a children's paradise nestled in a
botanical garden.
WRITER (V.O.)
You were raised in a zoo?"|unknown|||
3||3   EXT. PONDICHERRY ZOO, INDIA, 1961 - DAY                      3|location|||
4||"There's a flurry of activity in the animal clinic behind a
monitor lizard that wanders the main path. ZOO WORKERS gather
in the doorway, talking excitedly.
No one notices the lizard.
ADULT PI (V.O.)
Born and raised in Pondicherry, in
what was the French part of India.
My father owned the zoo, and I was
delivered on short notice by a
herpetologist who was there to
check on the Bengal Monitor Lizard.
The zoo owner (FATHER - late 20s) hurries down the path as
quickly as his heavy leg brace will allow and hurries into
the animal clinic.
2.
ADULT PI (V.O.)
Mother and I were both healthy...
The lizard crawls away.
ADULT PI (V.O.)
but the poor lizard escaped and was
trampled by a frightened
cassowary..."|unknown|||
5||5   INT. PI'S HOME, KITCHEN, MONTREAL - DAY                       5|location|||
6||"A modest row house. There is a French influence to the decor,
along with books and artwork that celebrate the spiritual.
PI PATEL (50 - intelligent, Indo-Canadian) cooks an Indian
meal. The often-skeptical WRITER (late 30s, a disheveled
French Canadian), watches Pi.
ADULT PI
The way of karma; the way of God.
WRITER
I assumed your father was a
mathematician - because of your
name.
ADULT PI
Oh, far from it. I was named after
a swimming pool.
WRITER
There's a swimming pool named 'Pi?'
ADULT PI
(He chuckles.)
You see, my uncle, Francis, was
born with too much water in his
lungs. They say the doctor swung
Francis around by the ankles to
clear the water out and that's what
gave him the huge chest and skinny
legs that made him such a great
swimmer.
WRITER
(Amused.)
Is Francis actually your uncle? He
said he was friends with your
father.
3.
PI
I call him 'Mamaji,' my 'honorary
uncle' - my father's best friend,
my swimming guru."|unknown|||
7||6   EXT. ASHRAM SWIMMING POOL, PONDICHERRY, 1966 - DAY            6|location|||
8||"ADULT PI (V.O.)
I trained with him three times a
week at the ashram. His lessons
would save my life in the end...
A young Indian boy - PI AT AGE FIVE - surfaces from a pool,
gasping. He looks up at the large chest and skinny legs of
Mamaji (late 30s). Mamaji reaches down to scoop Pi out of the
water.
MAMAJI
A mouthful of water will not harm
you - but panic will.
Mamaji carries Pi back over to the water's edge.
MAMAJI (CONT'D)
Remember to breathe. Don't hold
your breath. Good boy.
Mamaji unceremoniously tosses Pi back in."|unknown|||
9||7   INT. PI'S HOME, KITCHEN, MONTREAL - DAY                       7|location|||
10||"ADULT PI
(Regarding lunch:)
I hope you don't mind vegetarian.
WRITER
No, not at all... And your name?
ADULT PI
Hmm?
WRITER
You - you were going to tell me how
you got your name, I think.
ADULT PI
I got it from something Mamaji once
told my father. Most travelers
collect postcards or teacups on
their journeys - but not Mamaji.
Mamaji collects swimming pools.
(MORE)
4."|unknown|||
11|ADULT PI (CONT'D)|"He swims in every pool he comes
upon..."|speech|ADULT PI|?|True
12||8    EXT. THE PISCINE MOLITOR, PARIS, 1959 - DAY                   8|location|||
13||"Mamaji stands admiring the Piscine Molitor, a pool of
sparkling magnificence. Attractive French men and women in
bathing suits, the setting a celebration of idealized beauty."|unknown|||
14|ADULT PI (V.O.)|"One day Mamaji said to my father
that of all the pools in the world,
the most beautiful was a public
pool in Paris. That the water there
was so clear you could make your
morning coffee with it, that a
single swim there changed his life."|speech|ADULT PI|?|True
15||"Mamaji dives into the crystal clear water - and we follow,
taking in the divine miracle of his underwater journey across
the pool."|unknown|||
16|ADULT PI (V.O.)|"Before I was born, he said to my
father, ""If you want your son to
have a clean soul, you must take
him one day to swim in the Piscine
Molitor."" I never understood why my
father took this so much to
heart..."|speech|ADULT PI|?|True
17||9    INT. PI'S HOME, MONTREAL - DAY                                9|location|||
18|ADULT PI|"... but he did, and I was named
""Piscine Molitor Patel."""|speech|ADULT PI|?|True
19||10   EXT. PI'S PRIMARY SCHOOL, 1972 - DAY                         10|location|||
20||"PI (AGE 11) leans against the railing of a balcony, reading
""L'Ile Mysterieuse (The Mysterious Island)"" by Jules Verne."|unknown|||
21|ADULT PI (V.O.)|"Imagine me trying to explain that
name to my schoolmates. I barely
made it to the age of eleven
before..."|speech|ADULT PI|?|True
22||"A boy (BULLY #1) calls up to him from the courtyard below.
5."|unknown|||
23|BULLY #1|Hey PISCINE!|speech|BULLY #1|?|
24||Pi glances down, all the boys in the courtyard watching him.|unknown|||
25|BULLY #1 (CONT'D)|Are you Pissing right now?|speech|BULLY #1|?|
26||Pi freezes. The other boys laugh uncontrollably.|unknown|||
27|ANOTHER BOY|Look at him he's Pissing!|speech|ANOTHER BOY|?|
28|ADULT PI (VO)|"With one word my name went from an
elegant French swimming pool to a
stinking Indian latrine. I was
Pissing everywhere."|speech|ADULT PI|?|True
29||11   I/E. SCHOOLYARD, 1972 - DAY                                 11|location|||
30||"BOYS in school uniform kick a ball. Pi attempts to join.
Bully #2 intercepts the pass."|unknown|||
31|BULLY #2|No Pissing in the schoolyard!|speech|BULLY #2|?|
32||12   INT. SCIENCE CLASS, 1972 - DAY                              12|location|||
33|ADULT PI (V.O.)|"Even the teachers started doing it -
not deliberately, of course..."|speech|ADULT PI|?|True
34|SCIENCE TEACHER|"So then - what might occur if we
release gas too quickly? Pissing?"|speech|SCIENCE TEACHER|?|
35||"Pi is aghast. Several students splutter and howl, whispering
the slip to others. Laughter ripples around the room, all
eyes on Pi."|unknown|||
36|BOY|He said Pissing!|speech|BOY|M|
37|SCIENCE TEACHER|That's enough - order!|speech|SCIENCE TEACHER|?|
38|ADULT PI (V.O.)|"When we returned the next year for
our first day of school, I was
prepared."|speech|ADULT PI|?|True
39||6.|unknown|||
40||"SC. 13 INT. INDIAN HISTORY CLASS, 1973 - DAY 13
Class is held in a large open room. Roll call."|location|||
41||"BOY
Present sir.
HISTORY TEACHER
Piscine Patel..."|unknown|||
42||PI - AGE 12, rises, crosses to the front.|location|||
43||"PI (AT 12)
Good morning. I am Piscine Molitor
Patel, known to all as...
(He writes ""PI"" on the"|unknown|||
44|ADULT PI (V.O.)|board.)|speech|ADULT PI|?|True
45||"... ""Pi,"" the sixteenth letter of
the Greek alphabet..."|unknown|||
46||"Pi writes , then quickly charts out a general notion of the
concept on the chalkboard."|location|||
47||"PI (CONT'D)
... which is also used in
mathematics to represent the ratio
of any circle's circumference to
its diameter - an irrational number
of infinite length, usually rounded
to three digits, as...
(He writes ""3.14."")
3.14. PI."|unknown|||
48||Pi underlines his name, faces the class.|location|||
49||"HISTORY TEACHER
Very impressive, Pi. Now sit down.
WRITER (V.O.)
And from then on you were Pi?
ADULT PI (V.O.)
Well, no. Not quite ..."|unknown|||
50||"As Pi returns to his seat, Bully #2 leans forward,
whispering:"|location|||
51||"BULLY #2
Nice try, Pissing.
ADULT PI (V.O.)
But I still had the whole day ahead
of me. French Class was next...
7."|unknown|||
52||14   INT. FRENCH CLASS, 1973 - DAY                                14|location|||
53||"Pi repeats his act in French, 3.14159265 on the board.
PI (12)"|unknown|||
54|ADULT PI (V.O.)|"Je m'appelle Piscine Molitor Patel -
dit'Pi'..."|speech|ADULT PI|?|True
55|ADULT PI (V.O.)|Then Geography...|speech|ADULT PI|?|True
56||15   EXT. GEOGRAPHY CLASS, 1973 - DAY                             15|location|||
57||"Class is held out of doors in a courtyard. Pi, at a portable
chalkboard, writes and says: 3.14159265358979323846."|unknown|||
58|PI (12)|"These are the first twenty decimal
places of Pi."|speech|PI|M|True
59|ADULT PI (V.O.)|"My last class of the day was
Mathematics...."|speech|ADULT PI|?|True
60||16   INT. SCHOOL HALLWAY, 1973 - DAY                              16|location|||
61||"A LIBRARIAN runs down the hall, a huge book tucked under his
arm, followed by dozens of students. He reaches Pi's class,
pushes his way through the crowd."|unknown|||
62|LIBRARIAN|Slowly, Slowly! Slowly, Slowly!|speech|LIBRARIAN|M|
63||17   INT. MATH CLASS, 1973 - CONTINUOUS                           17|location|||
64||"Close on Pi writing digits. Pull back - the entire chalkboard
is filled with numbers. All watching are stunned. The
librarian compares Pi's writing to the math book."|unknown|||
65|LIBRARIAN|"It is right... He's really doing
this!"|speech|LIBRARIAN|M|
66||"Students clap and cheer - even the bullies. Several chant
along with him as he writes:"|unknown|||
67|ALL|1! 4! 9! 3! 1! PI! PI! PI!|speech|ALL|M|
68||8.|unknown|||
69|ADULT PI (VO)|"By the end of that day, I was Pi
Patel, school legend."|speech|ADULT PI|?|True
70||18   INT. PI'S KITCHEN - DAY                               18|location|||
71||The writer laughs, then ventures onto a new topic.|unknown|||
72|WRITER|"Mamaji tells me you're a legend
among sailors, too. Out there all
alone -"|speech|WRITER|M|True
73|ADULT PI|"I don't even know how to sail. And
I wasn't alone out there. Richard
Parker was with me."|speech|ADULT PI|?|True
74|WRITER|"Richard Parker...? Mamaji didn't
tell me everything. He just said I
should look you up when I got back
to Montreal."|speech|WRITER|M|True
75|ADULT PI|"So what were you doing in
Pondicherry?"|speech|ADULT PI|?|True
76|WRITER|Writing a novel.|speech|WRITER|M|True
77|ADULT PI|"By the way, I enjoyed your first
book. The new one, is it set in
India?"|speech|ADULT PI|?|True
78|WRITER|"No, Portugal, actually. But it's
cheaper living in India."|speech|WRITER|M|True
79|ADULT PI|"Ah. Well, I look forward to reading
it."|speech|ADULT PI|?|True
80|WRITER|"You can't. I threw it out. Two
years trying to bring it to life,
and then one day it sputtered,
coughed, and died."|speech|WRITER|M|True
81||ADULT PI|unknown|||
82|WRITER|I'm sorry.|speech|WRITER|M|True
83||"9.
WRITER
(Shrugs, making light of
it.)"|unknown|||
84||"I was in a coffee house in
Pondicherry one afternoon, mourning
my loss, when this old man at the
next table struck up a
conversation."|location|||
85||ADULT PI|unknown|||
86||Yeah, Mamaji. He does that.|location|||
87||WRITER|unknown|||
88||"When I told him about my abandoned
book, he said:"|location|||
89||(Imitating Mamaji:)|unknown|||
90||"""So... a Canadian who's come to
French India in search of a story.
Well, my friend, I know an Indian
in French Canada who has the most
incredible story to tell. It must
be fate that the two of you should
meet."""|location|||
91||ADULT PI|unknown|||
92||"I haven't spoken about Richard
Parker in so many years... What has
Mamaji already told you?"|location|||
93||WRITER|unknown|||
94||"He said you had a story that would
make me believe in God."|location|||
95||"ADULT PI
(Pi laughs.)"|unknown|||
96||"He would say that about a nice
meal. As for God, I can only tell
you my story; you will decide for
yourself what you believe."|location|||
97||WRITER|unknown|||
98||Fair enough.|location|||
99||ADULT PI|unknown|||
100||Let's see, then - where to begin?|location|||
101||"CUT TO: MONTAGE
OF PONDICHERRY,
1954:
10."|unknown|||
102||19   EXT. PONDICHERRY, SHORELINE 1954 - DAY                       19|location|||
103||"- The SHORELINE - Bicycles and pedestrians; policemen in
round, flat-top French hats."|unknown|||
104|ADULT PI (V.O.)|"Pondicherry is the ""French Riviera
of India."" In the streets closest
to the ocean, you might think you
were in the South of France."|speech|ADULT PI|?|True
105||20   EXT. ASHRAM STREET, 1954 - DAY                               20|location|||
106||- Grey ASHRAM buildings, which give way to images of...|unknown|||
