|character|text|type|character_clean|gender|principal_character
0||LINCOLN|unknown|||
1||Tony Kushner|location|||
2|Written by|"Based in Part on
Team of Rivals: The Political Genius of Abraham Lincoln
By Doris Kearns Goodwin"|speech|Written by|?|
3||"Final Shooting Script
December 20, 2011"|unknown|||
4||EXT. BATTLEFIELD, JENKINS' FERRY, ARKANSAS - DAY|location|||
5||"Heavy grey skies hang over a flooded field, the water two
feet deep. Cannons and carts, half-submerged and tilted,
their wheels trapped in the mud below the surface, are still
yoked to dead and dying horses and oxen.
A terrible battle is taking place; two infantry companies,
Negro Union soldiers and white Confederate soldiers, knee-
deep in the water, staggering because of the mud beneath,
fight each other hand-to-hand, with rifles, bayonets,
pistols, knives and fists. There's no discipline or strategy,
nothing depersonalized: it's mayhem and each side intensely
hates the other. Both have resolved to take no prisoners."|stage direction|||
6|Written by|"HAROLD GREEN (V.O.)
Some of us was in the Second Kansas
Colored. We fought the rebs at
Jenkins' Ferry last April, just
after they'd killed every Negro
soldier they captured at Poison
Springs."|speech|Written by|?|
7||EXT. PARADE GROUNDS ADJACENT TO THE WASHINGTON NAVY YARD,|location|||
8||"ANACOSTIA RIVER - NIGHT
Rain and fog. Union Army companies are camped out across the
grounds. Preparations are being made for the impending
assault on the Confederate port of Wilmington, North
Carolina.
Two black soldiers stand before a bivouacked Negro unit:
HAROLD GREEN, an infantryman in his late thirties, and IRA
CLARK, a cavalryman in his early twenties. ABRAHAM LINCOLN
sits on a bench facing Harold and Ira; his stovepipe hat is
at his side."|stage direction|||
9|HAROLD GREEN|"So at Jenkins' Ferry, we decided
warn't taking no reb prisoners.
And we didn't leave a one of `em
alive. The ones of us that didn't
die that day, we joined up with the
116th U.S. Colored, sir. From Camp
Nelson Kentucky."|speech|HAROLD GREEN|?|True
10|LINCOLN|What's your name, soldier?|speech|LINCOLN|M|True
11|HAROLD GREEN|"Private Harold Green, sir.
2."|speech|HAROLD GREEN|?|True
12|IRA CLARK|"I'm Corporal Ira Clark, sir. Fifth
Massachusetts Cavalry. We're
waiting over there."|speech|IRA CLARK|?|True
13||He nods in the direction of his cavalry.|stage direction|||
14|IRA CLARK|"IRA CLARK (CONT'D)
We're leaving our horses behind,
and shipping out with the 24th
Infantry for the assault next week
on Wilmington."|speech|IRA CLARK|?|True
15|LINCOLN|"(to Harold Green:)
How long've you been a soldier?"|speech|LINCOLN|M|True
16|HAROLD GREEN|Two year, sir.|speech|HAROLD GREEN|?|True
17|LINCOLN|"Second Kansas Colored Infantry,
they fought bravely at Jenkins'
Ferry.
HAROLD GREEN IRA CLARK"|speech|LINCOLN|M|True
18||That's right, sir. They killed a thousand rebel|stage direction|||
19|LINCOLN|"soldiers, sir. They were very
brave.
(hesitating, then)
And making three dollars less
each month than white
soldiers."|speech|LINCOLN|M|True
20||Harold Green is a little startled at Clark's bluntness.|stage direction|||
21|HAROLD GREEN|"Us 2nd Kansas boys, whenever we
fight now we -"|speech|HAROLD GREEN|?|True
22|IRA CLARK|"Another three dollars subtracted
from our pay for our uniforms."|speech|IRA CLARK|?|True
23|HAROLD GREEN|That was true, yessir, but that|speech|HAROLD GREEN|?|True
24|"CHANGED -
IRA CLARK"|"Equal pay now. Still no
commissioned Negro officers."|speech|CHANGED -IRA CLARK|?|
25|LINCOLN|"I am aware of it, Corporal Clark.
3."|speech|LINCOLN|M|True
26|IRA CLARK|"Yes, sir, that's good you're aware,
sir. It's only that -"|speech|IRA CLARK|?|True
27|HAROLD GREEN|"(to Lincoln, trying to
change the subject:)
You think the Wilmington attack is
gonna be -"|speech|HAROLD GREEN|?|True
28|IRA CLARK|"Now that white people have
accustomed themselves to seeing
Negro men with guns, fighting on
their behalf, and now that they can
tolerate Negro soldiers getting the
same pay - in a few years perhaps
they can abide the idea of Negro
lieutenants and captains. In fifty
years, maybe a Negro colonel. In a
hundred years - the vote."|speech|IRA CLARK|?|True
29||Green's offended at the way Clark is talking to Lincoln.|stage direction|||
30|LINCOLN|"What'll you do after the war,
Corporal Clark?"|speech|LINCOLN|M|True
31|IRA CLARK|Work, sir. Perhaps you'll hire me.|speech|IRA CLARK|?|True
32|LINCOLN|Perhaps I will.|speech|LINCOLN|M|True
33|IRA CLARK|"But you should know, sir, that I
get sick at the smell of bootblack
and I can't cut hair."|speech|IRA CLARK|?|True
34||Lincoln smiles.|stage direction|||
35|LINCOLN|"I've yet to find a man could cut
mine so it'd make any difference."|speech|LINCOLN|M|True
36|HAROLD GREEN|"You got springy hair for a white
man."|speech|HAROLD GREEN|?|True
37||Lincoln laughs.|stage direction|||
38|HAROLD GREEN|4.|speech|HAROLD GREEN|?|True
39|LINCOLN|"Yes, I do. My last barber hanged
himself. And the one before that.
Left me his scissors in his will."|speech|LINCOLN|M|True
40||"Green laughs.
TWO WHITE SOLDIERS have come up, two young kids, nervous and
excited."|stage direction|||
41|LINCOLN|FIRST WHITE SOLDIER LINCOLN|speech|LINCOLN|M|True
42||President Lincoln, sir? Evening, boys.|stage direction|||
43|LINCOLN|"SECOND WHITE SOLDIER
Damn! Damn!
We, we saw you, um. We were at, at -
FIRST WHITE SOLDIER
We was at Gettysburg!
HAROLD GREEN SECOND WHITE SOLDIER"|speech|LINCOLN|M|True
44||You boys fight at Gettysburg? DAMN I can't believe it's -|stage direction|||
45|LINCOLN|"FIRST WHITE SOLDIER (CONT'D)
(to Green, with mild"|speech|LINCOLN|M|True
46|CONTEMPT)|"Naw, we didn't fight there.
We just signed up last month.
We saw him two years ago at the
cemetery dedication.
SECOND WHITE SOLDIER
Yeah, we heard you speak! We...
DAMN DAMN DAMN! Uh, hey, how tall
are you anyway?!
FIRST WHITE SOLDIER
Jeez, SHUT up!"|speech|||
47|LINCOLN|"Could you hear what I said?
FIRST WHITE SOLDIER
No, sir, not much, it was-
SECOND WHITE SOLDIER
(he recites, fast and"|speech|LINCOLN|M|True
48|MECHANICALLY:)|"""Four score and seven years ago,
our fathers brought forth on this
continent a new nation, conceived
in liberty and dedicated to the
5.
proposition that all men are
created equal."""|speech|||
49|LINCOLN|"That's good, thank you for -
FIRST WHITE SOLDIER
""Now we are engaged in a great
civil war, testing whether that
nation or any nation so conceived
and so dedicated can long endure.
We are, we are, we are met on a
great battlefield of that war."""|speech|LINCOLN|M|True
50|LINCOLN|"Thank you, that's -
SECOND WHITE SOLDIER
""We have come to dedicate a portion
of that field as a final resting
place for those who here gave their
lives that that nation might live.
It is...""
(He chokes up a little.)
FIRST WHITE SOLDIER
His uncles, they died on the second
day of fighting.
SECOND WHITE SOLDIER A VOICE (O.C.)"|speech|LINCOLN|M|True
51||"I know the last part. ""It is, Company up! Move it out!
uh, it is rather -""
Soldiers all over the field rise up at the mustering of the
troops. Names of regiments, brigades, divisions are called:
all across the field, the men put out fires, put on
knapsacks."|stage direction|||
52|LINCOLN|(to the two white|speech|LINCOLN|M|True
53|SOLDIERS:)|"You fellas best find your company.
FIRST WHITE SOLDIER"|speech|||
54|(SALUTING LINCOLN:)|Thank you, sir. God bless you!|speech|||
55|LINCOLN|God bless you.|speech|LINCOLN|M|True
56||The second white soldier salutes, and the two move out.|stage direction|||
57|LINCOLN|6.|speech|LINCOLN|M|True
58||"Green salutes Lincoln as well and glances at Clark, who
remains, looking down. Green leaves. Clark looks up, salutes
Lincoln and, turning smartly, walks toward his unit.
Then he stops, turns back, faces Lincoln, who watches him. A
beat, and then, in a tone of admiration and cautious
admonishment, reminding Lincoln of his promise:"|stage direction|||
59|IRA CLARK|"""That we here highly resolve that
these dead shall not have died in"|speech|IRA CLARK|?|True
60||"Clark salutes Lincoln again, turns again and walks away.
Lincoln watches him go. As he walks into the fog, Clark
continues reciting in a powerful voice:"|stage direction|||
61|"VAIN -- """|"IRA CLARK (CONT'D)
"" - That this nation, under God,
shall have a new birth of freedom --
and that government of the people,
by the people, for the people,
shall not perish from the earth."""|speech|"VAIN -- """|?|
62||Lincoln watches Clark until the fog's swallowed him up.|stage direction|||
63||TITLE:|location|||
64|"VAIN -- """|"JANUARY, 1865
TWO MONTHS HAVE PASSED SINCE ABRAHAM LINCOLN'S RE-ELECTION
THE AMERICAN CIVIL WAR IS NOW IN ITS FOURTH YEAR"|speech|"VAIN -- """|?|
65||EXT. A SHIP AT SEA - NIGHT|location|||
66||"A huge, dark, strange-looking steamship, part wood and part
iron, turreted like a giant ironclad monitor, is plowing
through the choppy black waters of an open sea.
Lincoln is alone, in darkness, on the deck, which has no
railing, open to the sea. The ship's tearing through rough
water, but there's little pitching, wind or spray. The deck
is dominated by the immense black gunnery turret."|stage direction|||
67|"VAIN -- """|"LINCOLN (V.O.)
It's nighttime. The ship's moved
by some terrible power, at a
terrific speed."|speech|"VAIN -- """|?|
68||"Lincoln stares out towards a barely discernible horizon,
indicated by a weird, flickering, leaden glow, which appears
to recede faster than the fast-approaching ship."|stage direction|||
69|"VAIN -- """|"7.
LINCOLN (V.O.)
Though it's imperceptible in the
darkness, I have an intuition that
we're headed towards a shore. No
one else seems to be aboard the
vessel. I'm alone."|speech|"VAIN -- """|?|
70||INT. MARY'S BOUDOIR, SECOND FLOOR OF THE WHITE HOUSE - NIGHT|location|||
71||"The room's cozy, attractive, cluttered, part dressmaker's
workshop, part repository of Mary's endless purchases:
clothing, fabrics, knicknacks, carpets. Books everywhere.
Lincoln reclines on a French chair, too small for his lengthy
frame. He's in shirtsleeves, vest unbuttoned and tie
unknotted, shoeless. He has an open folio filled with
documents on his lap.
MARY LINCOLN sits opposite, in a nightgown, housecoat and
night cap. She watches him in her vanity mirror.
She looks frightened.
TITLE: THE WHITE HOUSE"|stage direction|||
72|LINCOLN|"I could be bounded in a nutshell
and count myself a king of infinite
space...were it not that I have bad
dreams.
I reckon it's the speed that's
strange to me. I'm used to going a
deliberate pace."|speech|LINCOLN|M|True
73||Mary looks at him, stricken with alarm.|stage direction|||
74|LINCOLN (CONT'D)|"I should spare you. I shouldn't
tell you my dreams."|speech|LINCOLN|M|True
75|MARY|"I don't want to be spared if you
aren't! And you spare me nothing."|speech|MARY|F|True
76||He looks down at the carpet, then back up at her.|stage direction|||
77|MARY (CONT'D)|"Perhaps perhaps it's the assault on
Wilmington port. You dream about
the ship before a battle, usually.
8."|speech|MARY|F|True
78|LINCOLN|(rapping lightly on his|speech|LINCOLN|M|True
79|FOREHEAD:)|How's the coconut?|speech|||
80|MARY|Beyond description.|speech|MARY|F|True
81||She delicately touches her head.|stage direction|||
82|MARY (CONT'D)|"Almost two years, nothing mends.
Another casualty of the war. Who
wants to listen to a useless woman
grouse about her carriage accident?"|speech|MARY|F|True
83|LINCOLN|I do.|speech|LINCOLN|M|True
