|character|text|type|character_clean|gender|principal_character
0||"SAVE THE LAST DANCE
by
Duane G. Adler
revisions by
Toni-Ann Johnson
Current Revisions by
Cheryl Edwards (6/11/99)
REWRITE -- FIRST SET OF REVISIONS
Cort/Madden Company
Paramount Studios
5555 Melrose Avenue
Chevalier Building, Ste. 203
Los Angeles, California
JUNE 11, 1999
FADE IN:
1   EXT. PENNSYLVANIA COUNTRYSIDE - LONG SHOT - DAY            1
of an empty stretch of land parted down the middle by
railroad tracks. An Amtrak Commuter crests the horizon,
heads TOWARD us. As it gets CLOSER, we GO IN TIGHTER to
see --
2   FACE OF SARA JOHNSON                                       2
17, pressed at one of its windows.
3   REVERSE ANGLE - REFLECTION IN TRAIN'S WINDOW -             3
SARA'S FACE
distant and lovely and sad. SUPERIMPOSED against an
endless stream of sky and trees. The train speeds up and
SARA's face flies by, disappearing FROM FRAME.
4   INT. AMTRAK TRAIN - MOVING - DUSK                          4
A zaftig BLACK WOMAN clumsily negotiates the aisle.
Stops at the first of a few empty seats left in the car.
WOMAN
This seat taken?
ANGLE ON SARA
looking up, around. She shakes her head, clears her
backpack and magazines from the seat beside her. The
Woman drops down, settles in. A long silence. The Woman
glances at the American Ballet magazine on Sara's lap.
Tries to make conversation.
WOMAN
I love ballet. Never had the body
for it. Do you dance?
Sara folds her arms, turns away mumbling under breath.
SARA
Used to.
Sara gazes out the window. The world outside begins to
dissolve melting into images from another time, another
place. Her eyes stare blankly OUT AT us, blinded by her
memories.
2.
5   FLASHBACK - INT. AUDITORIUM - KINDERGARTEN RECITAL - DAY 5
A stage full of five-year-olds in tights and tutus. A
little girl performs center stage. She's remarkably
poised, remarkably good. CAMERA PANS TO the audience. A
woman in an Irish clover necklace springs to her feet
clapping loudly. The little girl's eyes catch the glint
of the necklace's gold. Mommy. She flashes a megawatt
smile, ends the dance with an unscripted bow, as we...
DISSOLVE TO:
6   INT. BALLET CLASS - EVENING (FIVE YEARS LATER)                6
Young Sara, lithe and earnest, dances. A budding beauty
blessed with long limbs and natural grace, she makes it
look easy. Gliding past the envious stares of
classmates, she scans the hall for a glint of gold.
Finds it in the back of the room where her mother, Glynn,
stands watching her. Their eyes connect with mutual
smiles and those smiles CARRY us TO:
7   INT. SARA'S EXETER HOUSE - LIVING ROOM - DAY                  7
A pair of flexing feet in ballet slippers on a hardwood
floor. PAN UP and PULL BACK to reveal Sara at 17,
dancing in the space opened up by cornered furniture and
rolled up rugs. As Glynn looks on, Sara completes the
routine with a pirouette. She spins out of it with a
preoccupied frown on her face.
GLYNN
What's the matter?   It was good.
SARA
(checks her
stance in mirror)
Everybody there's going to be
good, Mom. I have to be better.
(then, beginning
again)
My knees still knock when I do my
free form. Did you notice that?
GLYNN
I noticed that it was fine.
SARA
(escalating
frustration)
It's not supposed to be fine.
It's supposed to be special.
(MORE)
(CONTINUED)
3.
7   CONTINUED:                                                     7
SARA (CONT'D)
And it just lays there, it doesn't
do anything. I bet they notice
that. That it doesn't do
anything. That I don't do
anything special enough to get in.
GLYNN
Sara.   You'll get in.
SARA
Don't lie because you love me.     My
free form sucks.
GLYNN
(giving up that
battle)
I've got something for you. Come
on. Sit. Mouth closed, eyes
shut. No pouting. No peeking.
Sara flops down on the sofa beside her. Closes her eyes.
Glynn removes the clover chain from her neck, fastens it
around Sara's.
GLYNN
For luck tomorrow. Not that
you'll need it. You dance like an
angel.
The necklace is Glynn's talisman. Sara knows what it
means to her. She throws her arms around Glynn, holds
onto her tightly.
SARA
I love the necklace but you're
still the best luck I'll ever
have.
Glynn, not one to choke up, chokes up.        They cling to
each other.
8   INT. AMTRAK TRAIN (MOVING) - ON SARA - DUSK (PRESENT)          8
In the blink of her eyes, the memory fades. She pulls
the window shade, shifts in her seat. Her fingers travel
to the clover necklace at her throat. Linger. The Woman
regards her.
WOMAN
Nice... the necklace.
(CONTINUED)
4.
8    CONTINUED:                                                     8
SARA
Oh. It's a good luck charm.
Doesn't always work."|unknown|||
1||"The Woman's wearing a crucifix.     She indicates it.
Smiles."|stage direction|||
2||"Mine either.
9    FLASHBACK - INT./EXT. BUS/RURAL ROAD - MORNING                 9"|unknown|||
3||"A sea of young white faces. A jock entertains the troops
with two straws up his nose. Sara sits next to her best
friend, LINDSAY, 17. Lindsay, chomping on a wad of gum,
turns from the jock to Sara with a bubble in bloom,
bursts it with her teeth."|stage direction|||
4||"LINDSAY
Wanna pray? You're leaving for
Philly after first period. I
won't see you. We should pray.
SARA
(stupefied)
Lindsay... no. Not here."|unknown|||
5||"Lindsay grabs Sara's hand and bows her head.      Sara,
embarrassed, aligns her head with Lindsay's.      She's
praying nobody sees them."|stage direction|||
6||"LINDSAY
'Awesome, Father, S.J. auditions
today. She's ready for them.
Please make them ready for her.
Even if she screws up. Thanks.
Amen.'
(sure shrug; another
bubble)
God's gotten me outta all kinds of
shit. He oughta be able to get
you into Juilliard.
10   EXT. EXETER SENIOR HIGH SCHOOL - LATER THAT MORNING            10"|unknown|||
7||"Sara exits with a bouquet of roses, takes the steps two
and three at a time. Glynn's waiting in a flower van at
the curb."|stage direction|||
8||"5.
11   INT./EXT. FLOWER VAN (DRIVING)/RESIDENTIAL STREETS           11"|unknown|||
9||"Sara and Glynn. The back of the van is filled with
flower arrangements. Glynn takes note of the roses in
Sara's hand."|stage direction|||
