|character|text|type|character_clean|gender
0||INT. RACHEL'S BEDROOM - EARLY MORNING|location||
1||"A billowy white screen.  An alarm clock BLARES.  As MAIN TITLES
BEGIN, the lovely sleeping face of RACHEL KELLY rolls into frame.
Then out of it.  Alarm keeps BLASTING.  Back she comes, pulling the
sheets OVER her head.  Motionless now, as we hear...
... the DEAFENING SILENCE of the alarm shutting off.  A beat.
Rachel SITS BOLTS UPRIGHT.  LEAPS out of the room.  From the back
we see that she's dressed only in a pair of men's boxers.
She makes it halfway down the hall, does a U TURN back into the
bedroom, frantically YANKS a robe hanging from the door, taking the
wall hook WITH her.  She FLINGS her robe on as she RUNS down the
hall, wall hook STICKING OUT of her back.  BURSTING INTO..."|stage direction||
2||INT. BEN'S ROOM - EARLY MORNING|location||
3|RACHEL|Ben!  You overslept again damn it!|speech|RACHEL|F
4||"The room looks like a 6 (but I'm almost 7) year old exploded.
Posters of MAGICIANS on all the walls.  Rachel darts about the room
mismatching the clothes she forgot to arrange the night before."|stage direction||
5|RACHEL|Get Up Get Up Get Up!|speech|RACHEL|F
6||The LUMP under the cover doesn't move.|stage direction||
7|RACHEL|"Ben you're late.  I'm serious.  I'm
wearing a very serious face.  Don't
make me start counting ONE..."|speech|RACHEL|F
8||"No movement.  Rachel tugs the sleeve of a shirt hanging on a chair,
and out comes a magician's bouquet of FLOWERS."|stage direction||
9|RACHEL|TWO.|speech|RACHEL|F
10||"She pulls a dirty handkerchief out of the pocket of the shirt --
it's an endless MAGICIAN'S HANDKERCHIEF."|stage direction||
11|RACHEL|"Don't make me say three I'm about to
say three."|speech|RACHEL|F
12||(a beat, then)|unknown||
13|RACHEL|Three!|speech|RACHEL|F
14||"She RIPS the covers off and a blow-up DINOSAUR sleeps in Ben's
place."|stage direction||
15|RACHEL|"Ben I'm not kidding around.  You make
yourself appear this instant!"|speech|RACHEL|F
16||"A WHITE BUNNY saunters across her toes.  Rachel SCREAMS -- then
gathers her wits and searches under the bed -- under the bureau --
she opens the closet doors and shoving clothes aside."|stage direction||
17|RACHEL|"You might think this is funny but this
is actually NOT funny."|speech|RACHEL|F
18||"Unseen by Rachel, six-year-old BEN sits, perched on the highest
closet shelf, knees under his chin, holding his breath.  His eyes
gleeful as Rachel frantically closes the closet door."|stage direction||
19||INT. HALLWAY - EARLY MORNING|location||
20||"Rachel hops over the Bunny, navigates through strewn toys and books
STUBBING her baby toe.  She limps in agony past a big picture of
the kids with their daddy and heads towards a door with a KEEP OUT
EVERYONE! sign."|stage direction||
21||(bellowing)|unknown||
22|RACHEL|ANNABELLE!  WAKE UP!|speech|RACHEL|F
23||"ANNABELLE'S BEDROOM - EARLY MORNING
ANNABELLE, 10 years old, sits on the edge of her bed, fuming, all
of her limbs crossed.  She holds up a filthy purple tee shirt."|stage direction||
24|ANNABELLE|"You forgot to wash my purple shirt.  I
told you a hundred times it was Purple
Day at school today."|speech|ANNABELLE|F
25|RACHEL|"I didn't forget.  I was up all night
thinking about it and I concluded you're
too special to look like everyone else."|speech|RACHEL|F
26||(she grabs an orangey|unknown||
27|red tee shirt)|"Orange Red.  That's your color.  Few
can carry it off.  Now please.  Help
me find your brother."|speech||
28|ANNABELLE|You lost Ben?!|speech|ANNABELLE|F
29|RACHEL|"Of course not.  Does he look lost to
you?"|speech|RACHEL|F
30||(big breath)|unknown||
31|RACHEL|BENNNNN!!!|speech|RACHEL|F
32||INT. SUBURBAN EXTREMELY WELL-STOCKED KITCHEN - EARLY MORNING|location||
33||"Rachel, smoking a cigarette and drinking a diet coke, FLINGS open
pantry doors, closet doors -- looking for Ben -- attempting to put
stone hard butter on toast at the same time.  She glances at the
clock -- 7:55.  Oh dear.  Annabelle sits at the table, in a grumpy
orangey red mood.  Rachel hands her what was once a piece of toast."|stage direction||
34|ANNABELLE|"No.  I told you.  I like apple butter
not butter butter."|speech|ANNABELLE|F
35||(hands her an apple)|unknown||
36|RACHEL|Here.|speech|RACHEL|F
37|ANNABELLE|Never mind.  I'll just eat my lunch.|speech|ANNABELLE|F
38||(forgot)|unknown||
39|RACHEL|I'm almost done making it.|speech|RACHEL|F
40||(to the non-existent Ben)|unknown||
41|RACHEL|Alright Ben --|speech|RACHEL|F
42||you|location||
43||deal with the tardy,|stage direction||
44||you|location||
45||write yourself a note, your daddy|stage direction||
46||told|location||
47||you he had an important case this|stage direction||
48|RACHEL|"morning and he had to leave early and
we were AAAAGGGGHHHH!"|speech|RACHEL|F
49||"She has opened a cupboard with a Lazy Susan that turns revealing
BEN sitting there.  Rachel screams AGAIN!"|stage direction||
50|RACHEL|"Oh my God.  That is so not funny.  You're
late.  You're really late.  Now get out
here and have some cereal."|speech|RACHEL|F
51|BEN|No.|speech|BEN|F
52|RACHEL|Fine!  Eat in the cupboard.|speech|RACHEL|F
53||"She hands him a bowl of sugared cereal -- puts two spoonfuls of
instant coffee in Barney cup, and sticks it under the faucet."|stage direction||
54|BEN|"No!  Cocoa Puffs on Top -- Fruit Loops
on the bottom."|speech|BEN|F
55|RACHEL|Fine.|speech|RACHEL|F
56||"Rachel grabs the bowl, turn it UPSIDE DOWN on the table reversing
the order of the cereal.  She SWEEPS it back in the bowl and
quickly hands it back to him, the phone RINGS THROUGHOUT..."|stage direction||
57|BEN|You touched it.|speech|BEN|F
58|RACHEL|Then have a donut --|speech|RACHEL|F
59|BEN|No.|speech|BEN|F
60|RACHEL|Alright starve.|speech|RACHEL|F
61|ANNABELLE|I'm gonna beep daddy at work.|speech|ANNABELLE|F
62|RACHEL|He's badgering a witness.  Eat.|speech|RACHEL|F
63|BEN|But you told us to starve.|speech|BEN|F
64||(picking up phone)|unknown||
65|RACHEL|"Hello?...Duncan...The Ad Agency's
already there?...I'm out the door..."|speech|RACHEL|F
66||(Ben flings a fruit loop|unknown||
67|at her)|Ben!  Knock it off!|speech||
68||(into phone)|unknown||
69|at her)|It's gonna go beautifully...|speech||
70||(another fruit loop)|unknown||
71|at her)|Damn it Ben --|speech||
72||"Rachel runs around absentmindedly loading out leftover pizza,
Hoho's, and Chips.  She glances at the clock again -- 8:00."|stage direction||
73|ANNABELLE|"You swore.  You owe me a quarter.  Did
you remember my egg carton?  I told
you I needed my egg carton for seed
planting today."|speech|ANNABELLE|F
74|RACHEL|"Absolutely Duncan I'm on top of
everything."|speech|RACHEL|F
75||"Rachel takes the eggs from the fridge, and dumps them -- accidentally
missing the sink.  They SHATTER onto the floor.  She hands the empty
carton to Annabelle."|stage direction||
76|RACHEL|...EGGzactly.  I'm putting on my coat --|speech|RACHEL|F
77||(she hangs up, panicked)|unknown||
