|character|text|type
0||"by
Anthony Minghella
Based On The Novel ""Cold Mountain""
by"|unknown
1||EXT. COLD MOUNTAIN TOWN, NORTH CAROLINA. DAY|location
2||"ON A BLACK SCREEN: Credits.
A RAUCOUS VOICE (SWIMMER’S) CHANTING IN THE CHEROKEE LANGUAGE.
A RANGE OF MOUNTAINS SLOWLY EMERGES: shrouded in a blue mist
like a Chinese water color. Below them, close to a small
town, YOUNG MEN, armed with vicious sticks and stripped to
the waist, come charging in a muscular, steaming pack.
Their opponents, also swinging sticks, attach the pack.
A ball, barely round, made of leather, emerges, smacked
forwards by INMAN, who hurtles after it and collides with a
stick swung by SWIMMER, a young and lithe American Indian.
Inman falls, clutching his nose. The ball bobbles on the
ground in front of him. He grabs it and gets to his feet,
the blood pouring from his nose.
His team form a phalanx around him and he continues to charge.
A PRISTINE CABRIOLET pulled by an impressive horse, comes
down towards the town. It has to pass across the temporary
field of play, parting the teams. Some of the contestants
grab their shirts to restore propriety as the Cabriolet and
its two exotic passengers passes by.
The driver is a man in his early fifties, dressed in the
severe garb of a minister, MONROE. And next to him, a self-
conscious girl in the spotless elaborate, architectural skirts
of the period, is his daughter, ADA. Inman, using his shirt
to staunch his battered nose, looks at Ada, astonished by
her. An angel in this wild place.
Now Swimmer stops chanting and begins, more hesitantly, to
translate into English:"|stage direction
3|SWIMMER’S VOICE (V.O.)|"You will be lonely. You will howl
like a dog as you walk alone. You
will carry dog shit cupped in your
hands. You will be smeared with dog
shit. Your spirit will wane and
dwindle to blue, the colour of
despair..."|speech
4||"As the Cabriolet passes, SWIMMER takes the ball an with a
whoop starts to run towards the opposing goal. The game
resumes. Ada looks back as the men swarm into each other,
sticks and fists flailing."|stage direction
5||EXT. COLD MOUNTAIN TOWN. NIGHT|location
6||"A SIDE OF BEEF turns on a huge barbecue. The battered teams
eating, drinking hard liquor, rehearsing victory and defeat,
illuminated by a roaring bonfire. Swimmer is sewing up a
gash in Inman’s cheek as he continues to translate:"|stage direction
7|SWIMMER|"...This is your path. There is no
other. That's a curse you can use on
the Yankee before battle."|speech
8|INMAN|And that works?|speech
9|SWIMMER|You have to say it in Cherokee.|speech
10|INMAN|You said it to me in Cherokee.|speech
11||"During this, Monroe and Ada have arrived, escorted by SALLY
SWANGER, a local woman, middle-aged, kindly, and her husband,
ESCO, a glorious curmudgeon. The Monroes are introduced to
various locals. Inamn watches them, on the other side of the
crowd. The Reverend Monroe, his daughter Ada. Up from
Charleston, bringing God's word to you heathens! Is Esco's
preferred introduction. Building a church. Inman watches
Ada, moves his head to keep her in view as Swimmer stitches,
and winces with pain."|stage direction
12|SWIMMER|So keep your head still.|speech
13||"Sally collects plates for the Monroes. Hands them to Ada and
her father, who wait, patiently, for silverware. Esco takes
a plate, picks up a skewer of meat, bites on it. Monroe
pluckily follows suit."|stage direction
14||(to Swimmer)|location
15|INMAN|"Anyway, there won't be any war. And
if there is, they say it won't last
a week."|speech
16||END OF CREDITS AND FADE TO:|unknown
17||EXT. CONFEDERATE LINES. PREDAWN|location
18||"CAPTION: PETERSBURG, VIRGINIA. JULY 30TH, 1864. IN THE FOURTH
YEAR OF THE CIVIL WAR.
A STAND OF TREES. The pastoral lush green Virginia. A RABBIT
surfaces from its hole. Peace and beauty.
A second RABBIT shakes itself from the ground, darts into
open ground to confront the FORBIDDING TRENCHES OF THE
CONFEDERATE AND UNION ARMIES, RANGED AGAINST EACH OTHER ON
THE OUTSKIRTS OF PETERSBURG. Massive wooden barricades in
the shape of crosses, rows of X's, define the two lines. The
Federals have been laying siege for months. So early and
it's already hot. The trees are an oasis of green in a world
of mud between the two stark and ugly scars of the trenches.
IN THE CONFEDERATE LINES, the men are rousing, boiling water
for coffee or to shave, smoking, stiff from night. There's a
large gun emplacement and some men still sleep against the
stub-nosed cannon. Another RABBIT is disturbed from its hole.
Ears pricked up to a distant rumbling."|stage direction
19||INT. TUNNEL. PREDAWN.|location
20||"A dark hole. Some evil place. A scraping sound. Shapes
burrowing forwards at a crouch. A silent purpose."|stage direction
21||EXT. CONFEDERATE LINES. PREDAWN.|location
22||"Young OAKLEY, freshly recruited, approaches a group of men,
like him Highlanders from Company F of the 25th North Carolina
Regiment. He doles out breakfast. Inman, loading his heavy
LeMats pistol, its nine rounds, is not hungry. Oakley serves
another, ROURKE, last seen in the scrum at Cold Mountain.
Oakley keeps his head low as he serves."|stage direction
23|ROURKE|"Don't worry, son. Those Yankee boys
keep store hours. They ain't open
yet."|speech
24||INT. TUNNEL. PREDAWN|location
25||"Shadows and shapes. A BARREL rumbles along the tunnel. It
reaches a kneeling figure, who rolls it forwards. A relay
team. At the end of the tunnel, where it widens, a man, naked
to the waist, crouches, stacking the barrels."|stage direction
26||EXT. CONFEDERATE LINES. PREDAWN|location
27||"A RABBIT, scared up, darts along the trench. Rourke sees it,
beckons to another Cold Mountain boy, Butcher."|stage direction
28|BUTCHER|That's fresh breakfast. Shoot him!|speech
29|ROURKE|"I'm not firing, start the damn war
off."|speech
30||Butcher chases after the rabbit, Rourke in raucous support.|stage direction
31||INT. TUNNEL. PREDAWN|location
32||"The crouching man has wrapped FUZE WIRE around the last
barrel, and now retreats, paying out the wire as he does so,
as each man in the tunnel crawls backwards behind him."|stage direction
33||EXT. CONFEDERATE LINES. DAWN|location
34||Rourke weaves through the gun emplacements, laughing.|stage direction
35|ROURKE|That's my rabbit!|speech
36||"Great sport. Inman, fifty yards away, looks over, amused,
goes back to his gun."|stage direction
37||INT. TUNNEL. DAWN|location
38||The fuze wire is lit. It fizzes towards the barrels.|stage direction
39||EXT. CONFEDERATE LINES. DAWN|location
40||"Rourke is running BUT NOW THE GROUND BUCKLES UNDER HIM AND
HE'S BEING LIFTED SLOWLY INTO THE AIR, the earth swelling.
AN APOCALYPTIC EXPLOSION. FOUR TONS OF DYNAMITE RIP THE GROUND
OPEN IN A CRATER 135 FEET LONG, 90 FEET ACROSS, 30 FEET DEEP.
HORSES, GUNS, MEN ARE BLOWN TO PIECES AND THROWN UP INTO THE
AIR.
INMAN DISAPPEARS UNDER DIRT AND DEBRIS.
Pandemonium. The Confederates are in complete disarray. The
Federals pour forwards across NO MANS LAND, through the
peaceful oasis of trees, roaring the roar of attack. They
flood towards the crater, hundreds of them, charging into a
dense and impenetrable WALL OF SMOKE.
THEN THEY'RE INSIDE THE GREAT GASH OF CRATER AND CAN'T GET
OUT AGAIN, arriving at an insurmountable wall of mud.
The Confederates regroup. Orders are yelled. Chaos developing
into battle.
The Confederates begin firing into the crater. Guns and mortar
wheel round and empty into what is becoming a terrible death
trap.
Inman gets to his feet. Oakley with him, and rushes through
the smoke to the pit, emptying his LeMats into the crater.
LATER: A BLACK REGIMENT from the Union join the attack. Bodies
falling on bodies as the Federals charge in and pack their
comrades even tighter. The Confederates make a pincer movement
outside the Crater, forcing all the Federals in. It's
Medieval.
No escape.
THE CONFEDERATES jump into the pit to engage the Federals.
Hand to hand fighting. Too close for rifles, just bayonets,
and guns swung like clubs and Inman sliding down into that
hell, tiring the nine rounds, then the shotgun charge, which
does a terrible damage. Primitive. Unutterable carnage. Men
killing each other in embraces, soldier crushed against
soldier, desperate to survive, to kill, to live. An oozing
layer cake of bodies, dead and frantically alive, drowning
in slick.
YOUNG OAKLEY loses his rifle and picks up a magazine case,
clubbing his opponent, then slips onto him and is stuck with
a bayonet, the pain of which makes him squeal.
INMAN GOES AT IT. He's a warrior, punching and stabbing and
firing. A coldly efficient killer. He's grabbed from behind
and crushed, a hand gouging at his face, an almighty struggle.
He falls and lands on top of Oakley, and he and his Federal
opponent fight to the death with the wounded boy as their
pillow. The slaughter continues over and around them, the
sound, the sound of hell and madness. The boy has his arm
around Inman, like lovers.
LATER: The Confederates run after the retreating Union
soldiers, firing, cavalry riding them down. Inman stands,
the boy's blood all over him, exhausted and appalled. The
crater, behind him, an abattoir of men. The victors are
yelling, pumped mad with adrenaline. Butcher comes alongside
Inman."|stage direction
41|BUTCHER|"That was something! That's hell and
we've been there! Kicked old Nick's
asshole."|speech
42||"A WOUNDED BLACK SOLDIER sits up as Butcher celebrates.
Butcher runs over, but can't find a charge for his musket.
He looks around in the stack of corpses, pulling out weapons,
tries one: not loaded, throws it down, tries another: not
loaded. The wounded man can't get up, tries to drag himself
like a crab away from Butcher. Inman yells at him, appalled."|stage direction
43|BUTCHER|You got a charge?|speech
44||"He picks up another musket. It fires. The wounded Federal
slumps back, dead."|stage direction
45||EXT. CONFEDERATE LINES. DUSK|location
46||"THE AFTERMATH. The dead being piled up for burial, divided
into allegiance. Wounded prisoners able to walk are led away.
A great deal of casual looting. Of boots, of equipment, of
personal items. Inman sees a soldier in the crater, lining
up wounded Federals, putting their heads in a row. THE MAN
EXTRACTS A HAMMER FROM HIS BELT AND, SATISFIED HE HAS AN
ECONOMIC ARRANGEMENT, PROCEEDS DOWN THE LINE, SMASHING EACH
SKULL.
Inman turns away, sees another Rebel, extravagantly costumed,
a strange FIDDLE head protruding from his knapsack. This is
STOBROD THEWES. He's bent over a dead Federal, examining his
mouth. He reaches behind his back and roots around in the
knapsack, producing A PAIR OF PLIERS, WHICH HE INSERTS INTO
THE CORPSE'S MOUTH. He's yanking away when A SWINGING BOOT
connects with his head and knocks him to the ground.
Startled, he looks up to see Inman hovering over him."|stage direction
47|STOBROD|"That's gold in his mouth he got no
need for."|speech
48||(shrugs)|location
49|STOBROD|We take his boots.|speech
50||"He examines his fiddle for damage. Some orderlies pass,
lifting OAKLEY away on a gurney.
Oakley's pale as a maiden, the life leaking from him. Inman
walks a way with him. Oakley looks up, desperate to be brave."|stage direction
51|OAKLEY|I got a few. You saw?|speech
52|INMAN|I saw.|speech
53|OAKLEY|"I know you don't recognise me. I'm
Mo Oakley's boy."|speech
54||"(Inman finds this
incredible)"|location
55|OAKLEY|"It's okay. I was thirteen when you
all left. Am I going to die?"|speech
56||"Inman flicks his eyes to the Orderly, whose look confirms
the boy's wounds are certainly mortal."|stage direction
57||INT. FIELD HOSPITAL. NIGHT|location
58||"Inman sits on the ground beside Oakley's cot. Around them,
the wounded are certainly dying, makeshift care, oil lights,
groans."|stage direction
59|OAKLEY|"I'd like to hear some music while I
go."|speech
60||EXT. CONFEDERATE LINES. NIGHT|location
61||"Inman walks around the campfires. He hears some fiddle music.
It's Stobrod.
Stobrod sees Inman. Inman stares, his expression an
instruction, the turns and walks away."|stage direction
62||INT. FIELD HOSPITAL. NIGHT|location
63||Stobrod stands over Oakley. Consults with Inman.|stage direction
64|STOBROD|"What about Bonaparte's Retreat? That's
one I play."|speech
65|OAKLEY|"Play me something sweet. Like a girl's
waiting for me."|speech
66||Stobrod looks at Inman, confused.|stage direction
67|OAKLEY|"Play me something like there's nothing
to fear from a merciful Lord."|speech
68||(to Stobrod)|location
69|INMAN|You heard him.|speech
70||(nervous)|location
71|STOBROD|I only know a couple of tunes.|speech
72|OAKLEY|"Like when you're thirsty up at
Bishop's Creek and the water is so
cool."|speech
73||"Inman glares at Stobrod. And Stobrod starts to play.
Hesitant, then with gathering confidence, improvising,
increasingly expansive, as if he's as surprised as everyone
else. Oakley's lips move. A whisper. Inman leans in."|stage direction
