|character|text|type
0||"CRUEL INVENTIONS
by Roger Kumble
based on the novel Les Liaisons Dangereuses
by Choderlos De Laclos
February 10, 1998"|unknown
1||1    EXT. MANHATTAN SKYLINE - DAY                               1|location
2||"We circle around the island of Manhattan moving closer and
closer till we're looking down on Fifth Avenue. As the
melody continues to play we MOVE towards a building and ZOOM
into a window."|stage direction
3||2    INT. THERAPIST'S OFFICE - DAY                              2|location
4||"A fifty-year old female therapist (DR. GREENBAUM) sits at
her desk, frowning as she takes notes. Books of Jung and
Freud line the shelves.
A young man (SEBASTIAN VALMONT) sits in a chair in front
of her looking impatient.
The therapist continues to write notes."|stage direction
5|DR. GREENBAUM|"Jesus. We've been at this for six
months."|speech
6|SEBASTIAN|I know.|speech
7|DR. GREENBAUM|"And you haven't made an ounce of
progress."|speech
8|SEBASTIAN|I know.|speech
9||Sebastian takes out a cigarette.|stage direction
10||(not looking up)|unknown
11|DR. GREENBAUM|There's no smoking in my office.|speech
12||"Sebastian sneers at her then puts the cigarette away. Dr.
Greenbaum finishes her notes and looks up at him, shaking
her head."|stage direction
13|SEBASTIAN|"What do you want me to say? That I'm
supposed to feel remorse because I act
the way I do? The truth is I don't."|speech
14||Dr. Greenbaum shakes her head and takes notes.|stage direction
15|SEBASTIAN (cont'd)|"Look, I'm not like all the other kids
in high school. I don't care about book
reports and extra-credit. Teachers
are idiots anyway. The only challenge
out there for me is women. You see a
girl you like. You pursue them. You
conquer. You move on. It's exciting."|speech
16|DR. GREENBAUM|"But you said you have the worst
reputation."|speech
17|SEBASTIAN|I do.|speech
18|DR. GREENBAUM|Don't you want to change that?|speech
19|SEBASTIAN|"Let me tell you something, doctor.
Chicks love a guy with a bad rap.
They say they don't, but they don't
mean it. They all think that they're
the ones that are going to ""save me.""
The trick is to let them think it's
true."|speech
20|DR. GREENBAUM|"I think that's all the time we have
for today."|speech
21|SEBASTIAN|Same time next week?|speech
22|DR. GREENBAUM|"No. This is going to be our last
session."|speech
23|SEBASTIAN|"Why? I like spending time with you.
You know, you're quite attractive for
a woman your age. You have killer legs.
Killer."|speech
24|DR. GREENBAUM|"This isn't a joke. Your parents spend a
lot of money to send you here. I'm
trying to help you."|speech
25|SEBASTIAN|"Don't be insecure, Doc. You're a big
help."|speech
26||Sebastian picks up a book of Freud.|stage direction
27|SEBASTIAN (cont'd)|He was a coke addict, you know.|speech
28|DR. GREENBAUM|"You think you can come in here with that
cute little smirk on your face and try
and flirt with me. It doesn't work,
Sebastian."|speech
29|SEBASTIAN|It works a little.|speech
30|DR. GREENBAUM|No it doesn't. I see right through you.|speech
31|SEBASTIAN|You do?|speech
32|DR. GREENBAUM|"I hope for your sake you grow out of
this immature phase. It's going to get
you into trouble."|speech
33|SEBASTIAN|"Well, you don't have to get nasty about
it."|speech
34||Sebastian approaches a photo on her desk and picks it up.|stage direction
35|DR. GREENBAUM|My daughter, Rachel.|speech
36|SEBASTIAN|Yummy.|speech
37|DR. GREENBAUM|"Don't even think about it. Rachel is an
exceptionally well rounded young
woman, who happens to be attending
Princeton this fall. She's way too
smart to fall for your line of b.s."|speech
38|SEBASTIAN|Really? Care to make a wager on that?|speech
39|DR. GREENBAUM|Good luck, Sebastian.|speech
40|SEBASTIAN|What, nervous I'm going to win?|speech
41|DR. GREENBAUM|Would you please leave.|speech
42||Sebastian puts on his glasses and leaves.|stage direction
43|DR. GREENBAUM (cont'd)|Asshole.|speech
44||"The doctor stews for a moment, then reaches into her
desk, sifts through some papers where she finds a pack of
Benson & Hedges and lights one up. She looks at the photo
of her daughter, then hits the speaker phone and dials."|stage direction
45|DR. GREENBAUM (cont'd)|Rachel, it's mom.|speech
46||INTERCUT WITH:|unknown
47||3    INT. RACHEL'S BEDROOM - DAY                                3|location
48||"RACHEL, Doctor Greenbaum's daughter sits at her desk,
crying while holding the phone."|stage direction
49|RACHEL|Hi, mom.|speech
50|DR. GREENBAUM|Honey, is something wrong?|speech
51||Rachel cries for a moment.|stage direction
52|RACHEL|"He told me he loved me and I believed
him."|speech
53|DR. GREENBAUM|Who told you?|speech
54|RACHEL|You don't know him. I'm so stupid.|speech
55||She continues to cry.|stage direction
56|DR. GREENBAUM|"Alright honey, just calm down, take a deep
breath, and step out of the circle."|speech
57|RACHEL|"Would you cut the psycho babble bullshit,
mom. There's pictures of me on the internet."|speech
58||"WE PAN OVER TO HER COMPUTER CONSOLE. CLOSE ON: COMPUTER
MONITOR - A nudie web-sight. The title reads ""Ivy League
Bound."" Beneath the caption is a photo of Rachel tied to
a bed and smiling with a Princeton banner covering her
privates."|stage direction
59|DR. GREENBAUM|What kind of pictures?|speech
60|RACHEL|Nudie pictures, what do you think?|speech
61|DR. GREENBAUM|"Jesus Christ, how can you be so
stupid?"|speech
62|RACHEL|"I don't know. He was just so charming.
All he did was talk about how I had
killer legs and how we wanted to
photograph them. Things just got out
of hand from there."|speech
63||(she hears the phone drop)|unknown
64|RACHEL|Mom? Are you there? Mom?|speech
65||(screaming)|unknown
66|RACHEL|Mother!!!!|speech
67||4    INT. THERAPIST'S OFFICE BUILDING - HALLWAY - DAY           4|location
68||"Doctor Greenbaum bolts out of her office and spots
Sebastian standing in the elevator."|stage direction
69|DR. GREENBAUM|You son of a bitch.|speech
70||"Doctor Greenbaum races down the hall pushing several
people out of her way. Sebastian stares at her
expressionless as the elevator doors close."|stage direction
71|DR. GREENBAUM (cont'd)|"You're gonna pay for this you little
shit. You hear me."|speech
72||"A DENTIST peers outside of his office to see what's
going on. He exchanges looks with Doctor Greenbaum."|stage direction
73|DR. GREENBAUM (cont'd)|Fuck off, Harold.|speech
74||He gasps.|stage direction
75||5    EXT. VALMONT TOWNHOUSE - DAY                               5|location
76||"A METER MAID is writing a ticket on a car when a Porsche
pulls up in front of the townhouse and parks in a red
zone. Sebastian steps out of the car and walks up the
steps to the townhouse."|stage direction
77|METER MAID|You can't park there.|speech
78||"Sebastian turns to her and sneers. He takes out a wad of
money and shoves it in her breast pocket before entering
the townhouse."|stage direction
79||6    INT. VALMONT TOWNHOUSE - KITCHEN - DAY                     6|location
80||"A SERIES OF SHOTS
CLOSE ON:  A tuna on a chopping board. WHACK! A butcher
knife comes down on the tuna cutting it's head off.
CLOSE ON: Two hands ripping open the fish.
CLOSE ON: Two hands rolling a chunk of tuna into a rice
roll."|stage direction
81||7    INT. VALMONT TOWNHOUSE - HALLWAY - DAY                     7|location
82||"CLOSE ON: Two hands which carry a lavish tray of sushi
through several doors until we enter the final door
leading into -"|stage direction
83||8    INT. VALMONT TOWNHOUSE - LIVING ROOM - DAY                 8|location
84||"A enormous living room by Manhattan standards, with a
view that overlooks the park. Eclectic art from around
the world emphasize the Valmont's passion for travel.
SOOK-HEE, the Valmont's housekeeper sets a tray of sushi
in front of -
KATHRYN MERTEUIL, a seventeen year old porcelain
skinned WASP with all the grooming you could want in an
East Coast child. She sits with a forced smile on her
face and listens attentively as -
BUNNY CALDWELL, a forty year old nouveau-riche socialite
talks incessantly. CECILE CALDWELL, her beautiful
teenage daughter, sits by her side. She wears a T-shirt
with a Koala Bear on it."|stage direction
85|MRS. CALDWELL|"I can't tell you how happy we are that
Cecile is going to be attending Oakwood with you
this fall. You've always been an
inspiration to Beau and I on raising
her. We just hope she can rise to the
high standards which you've set for
her."|speech
86|KATHRYN|I'll do my best.|speech
87||Sook-Hee pours a dish of soy sauce in front of Kathryn.|stage direction
88||(to Sook-Hee, in Vietnamese)|unknown
89|KATHRYN (cont'd)|"Thank you, Sook-Hee. That will be
all."|speech
90||Sook-Hee leaves.|stage direction
91|CECILE|What was that?|speech
92|KATHRYN|"I was thanking her. Vietnamese is such a
beautiful language."|speech
93|MRS. CALDWELL (cont'd)|"Kathryn is a straight A student at
Oakwood as well as being President of
the French Club. Listen to whatever
she has to say and you'll go far."|speech
94||(in French)|unknown
95|KATHRYN|You're too kind.|speech
96|MRS. CALDWELL|"How do you do it? I mean with all peer pressuring
that goes on in high school. Where
do you get your strength?"|speech
97|KATHRYN|"I know this sounds corny, but whenever
I feel temptations of peer pressure,
I..."|speech
98||(takes out her crucifix)|unknown
99|KATHRYN|"turn to God and he helps me through the
problem. Call me an anachronism, but
it works."|speech
100|MRS. CALDWELL|That's beautiful.|speech
101|CECILE|What are the boys like?|speech
102|MRS. CALDWELL|Cecile, is that the best you can do?|speech
103||(to Kathryn)|unknown
