|character|text|type
0||INT. PUBLISHING HOUSE RECEPTION AREA - DAY|location
1||"It's grand and modern.  Random House-Knopf-Taschen is etched
on the wall in large gold letters.  An old woman enters
carrying a tattered manuscript, maybe a thousand pages.  She
seems haunted, hollow-eyed, sickly.  The young receptionist,
dressed in a shiny, stretchy one-piece pantsuit, looks up."|stage direction
2|RECEPTIONIST|Oh, hi.|speech
3|"OLD WOMAN
(apologetically)"|"Hi, I was in the neighborhood and thought
I'd see --"|speech
4|RECEPTIONIST|"I think he's in a conference.
Unfortunately.  I'm really sorry."|speech
5|OLD WOMAN|"Would you just try him?  You never know.
As long as I'm here.  You never know."|speech
6|RECEPTIONIST|Of course.  Please have a seat.|speech
7||"The old woman smiles and sits, the bulky manuscript on her
lap.  She stares politely straight ahead."|stage direction
8|"RECEPTIONIST (CONT'D)
(quietly into headset)"|"It's her -- I know, but couldn't you just
-- Yes, I know, but -- I know, but she's
old and it would be a nice -- Yes, sorry."|speech
9|(to old woman)|"I'm sorry, ma'am, he's not in right now.
It's a crazy time of year for us."|speech
10||"The receptionist gestures toward a Christmas tree in the
corner.  Its ornaments are holograms."|stage direction
11|OLD WOMAN|"This book -- It's essential that people
read it because --"|speech
12||manuscript)|location
13|(gravely, patting the|-- It's the truth.  And only I know it.|speech
14|"RECEPTIONIST
(nodding sympathetically)"|Maybe after the holidays then.|speech
15||INT. TILED HALLWAY - DAY|location
16||"The old woman carries her manuscript haltingly down a subway
hall.  She stops to catch her breath, then continues and
passes several archway with letters printed above them.  When
she arrives at one topped by an LL, she slips a card in a
slot.  A plastic molded chair drops into the archway.  She
sits in the chair; it rises."|stage direction
17||INT. TUBE -DAY|location
18||"The woman is still in the chair as it slips gracefully into a
line of chairs shooting through a glass tube.  The other
chairs are peopled with commuters.  We stay with the woman as
she and the others travel over New York City in the tube.
There are hundreds of these commuter tubes crisscrossing the
skyline.  The woman glances at the manuscript in her lap.
It's called:
Eternal Sunshine of the Spotless Mind
This serves as the movie's opening title.  The other credits
follow, as the old woman studies commuters in passing tubes.
Their faces are variously harsh and sad and lonely and blank."|stage direction
19||INT. WAITING ROOM - DAY|location
20||"SUBTITLED: FIFTY YEARS EARLIER
Every doctor's office waiting room: chairs against the wall,
magazines on end tables, a sad-looking potted plant, generic
seascape paintings on the walls.  The receptionist, Mary, 25,
can be seen typing in the reception area.  Behind her are
shelves and shelves of medical files.  The door opens and
Clementine enters.  She's in her early thirties, zaftig in a
faux fur winter coat over an orange hooded sweatshirt.  She's
decidedly funky and has blue hair.  Mary looks up."|stage direction
21|MARY|May I help you?|speech
22|"CLEMENTINE
(approaching reception area)"|"Yeah, hi, I have a one o'clock with Dr.
Mierzwiak.  Clementine Kruczynski."|speech
23|MARY|"Yes, please have a seat.  He'll be right
with you."|speech
24||"Clementine sits.  She looks tired, maybe hungover.  She picks
up a magazine at random and thumbs without interest."|stage direction
25||INT. INNER OFFICE AREA - CONTINUOUS|location
26||Mary pads down the hallway.  She knocks on a closed door.|stage direction
27|MIERZWIAK (O.S.)|Yes?|speech
28||"Mary opens the door, peeks in.  Howard Mierzwiak, 40's,
professional, dry, sits behind his desk studying some papers."|stage direction
29|MARY|Howard, your one o'clock.|speech
30|"MIERZWIAK
(not looking up)"|Thanks, Mary.  You can bring her in.|speech
31||"She smiles and nods.  It's clear she's in love.  It's equally
clear that Mierzwiak doesn't have a clue.  Mary turns to
leave."|stage direction
32|"MIERZWIAK (CONT'D)
(looking up)"|Mary...|speech
33|"MARY
(turning back)"|Yes?|speech
34|MIERZWIAK|Order me a pastrami for after?|speech
35|MARY|Cole slaw, ice tea?|speech
36|"MIERZWIAK
(nodding)"|Thanks.|speech
37|MARY|Welcome, Howard.|speech
38||"She smiles and heads down the hall.  Stan, 30's, tall,
spindly, and earnest in a lab coat pops out of a doorway."|stage direction
39|STAN|Boo.|speech
40|MARY|Hi.|speech
41||She glances back nervously at Mierzwiak's open door.|stage direction
42|STAN|Barely seen you all morning, kiddo.|speech
43||"He leans in to kiss her.  She cranes her neck to keep him
off."|stage direction
44|"MARY
(reprimanding whisper)"|Stan... c'mon...|speech
45|STAN|Sorry.  I just --|speech
46|"MARY
(somewhat guiltilly)"|It's just...y'know... I mean...|speech
47|STAN|I know.  Anyway --|speech
48|MARY|"Anyway, I've got to do my tap
dance here."|speech
49||She indicates the door to the reception area.  Stan nods.|stage direction
50|STAN|See you later, alligator.|speech
51|MARY|'kay.|speech
52|STAN|"Hey, if you're ordering lunch for
Mierzwiak, would you --"|speech
53|MARY|I better do this, Stan.|speech
54||Stan nods again and Mary opens the door to the waiting room.|stage direction
55|MARY (CONT'D)|Ms. Kruczynski?|speech
56|CLEMENTINE (O.S.)|Hi.|speech
57||"After a moment, Clementine appears in the doorway.  Mary
leads her down the hall, not looking back."|stage direction
58|"MARY
(professionally courteous)"|How are you today?|speech
59|CLEMENTINE|Okay, I guess.|speech
60|"MARY
(at Mierzwiak's office)"|Here we are.|speech
61||Mierzwiak steps out from behind his desk.|stage direction
62|MIERZWIAK|Ms. Kruczynski, please come in.|speech
63||"Clementine enters the office.  Mary smiles at Mierzwiak and
closes the door, leaving them alone."|stage direction
64||INT. OFFICE - CONTINUOUS|location
65||"Mierzwiak directs Clementine to a chair next to a coffee
table and a conspicuously placed box of tissues.  Mierzwiak
sits across from her.  He smiles."|stage direction
66|MIERZWIAK|How are you today?|speech
67|CLEMENTINE|Okay, I guess.|speech
68|"MIERZWIAK
(nodding sympathetically)"|"Well, why don't you tell me what's going
on?  Do you mind if I turn this on?"|speech
69||He indicates a tape recorder.|stage direction
70|CLEMENTINE|I don't care.|speech
71||He turns it on, smiles at her, gestures for her to begin.|stage direction
72|CLEMENTINE (CONT'D)|"Well, I've been having a bad time of it
with um, my boyfriend, I guess."|speech
73|MIERZWIAK|"You guess he's your boyfriend?  Or you
guess you're having a bad time with hm?"|speech
74|CLEMENTINE|"What?  No.  I don't like the term
boyfriend.  It's so gay."|speech
75||"Mierzwiak nods.  He's attentive, pleasant, and neutral
throughout."|stage direction
76|CLEMENTINE (CONT'D)|"Maybe gay isn't the right word.  But,
anyway, it's been rough with him...
whatever the fuck he is.  Heheh.  My
significant other... heh heh.  And I
guess on a certain level, I want to break
it off, but I feel... y'know... it's like
this constant questioning and re
questioning.  Do I end it?  Should I give
it more time?  I'm not happy, but what do
I expect?  Relationships require work.
You know the drill.  The thing that I
keep coming back to is, I'm not getting
any younger, I want to have a baby... at
some point... maybe... right?  So then I
think I should settle -- which is not
necessarily the best word -- I mean, he's
a good guy.  It's not really settling.
Then I think maybe I'm just a victim of
movies, y'know?  That I have some
completely unrealistic notion of what a
relationship can be.  But then I think,
no, this is what I really want, so I
should allow myself the freedom to go out
and fucking find it.  You know?  Agreed?
But then I think he is a good guy and...
It's complicated.  Y'know?"|speech
77|MIERZWIAK|"I think I know. I think we can help.  Why
don't you start by telling me about your
relationship.  Everything you can think
of.  Everything about him.  Everything
about you.  And we'll take it from there."|speech
78||She nods, thinks.|stage direction
79|CLEMENTINE|Um, well, he's a fucking tidy one --|speech
80||EXT. COMMUTER TRAIN STATION|location
81||"SUBTITLE: TWO WEEKS LATER
The platform is crowded with business commuters.  Joel is
among them.  He is in his 30's, gaunt, and holding a
briefcase.  The platform across the tracks from him is empty.
Suddenly he turns and makes his way through the crowd.  He
climbs the stairs, crosses the overpass to the empty
platform.  Soon an almost empty train pulls up to that
platform.  Joel gets on and watches the business commuters
through the dirty window as his train pulls out of the
station."|stage direction
82||EXT. MONTAUK TRAIN STATION - LATER|location
83||"Joel talks on a phone.  The wind howls around him.  He tries
to shield the mouthpiece as he talks."|stage direction
84|JOEL|"Hi, Cindy.  Joel.  Listen, I'm not
feeling well this morning.  No.  Food
poisoning, I think.  Sorry it took me so
long to call in, but I've been vomiting."|speech
85||EXT. BEACH - DAY|location
86||"Joel wanders the windy, empty beach, with his briefcase.  He
passes an old man with a metal detector.  They nod at each
other.
Later: Joel looks out at the ocean.
Later: Joel sits on a rock and pulls out a notebook.  He
opens it and writes with a gloved hand."|stage direction
87|JOEL|"January 13th, 2006.  Today I skipped work
and took the train out to Montauk."|speech
88|(thinks)|It's cold.|speech
89|(thinks some more)|The sky is gray.|speech
