|character|text|type
0||"LARRY CROWNE
Written by
Tom Hanks
From a story by
Tom Hanks & Nia Vardalos
Nov. 2009"|unknown
1||FADE IN|stage direction
2||SUNRISE|location
3||"Big and orange and full of hope, as sure as fate. A dawn as
promising as, well, this new day...
Sun is rising over...
A flat roof that stretches to the horizon. A vast expanse.
A plain of gravel-embedded tar, studded with...
HVAC units and power lines, the kind that service a huge
commercial building. In fact this kind of building...
A UNIMART store. A flagship of savings; a mother lode of
low, low prices. 100,000-and-then-some square feet of the
Consumer Economy..."|stage direction
4||PARKING LOT|location
5||"Empty thus far. A few EMPLOYEE autos arriving in their
assigned slots far from the entrance. One of those cars is a
old, not so vintage nor classic convertible...
KARMANN GHIA -- Belonging to...
LARRY CROWNE - A man as reliable (and predictable) as that
rising sun.
Actually, he's a Team Leader of this Unimart, dressed in his
un-sexy, un-fashionable, un-flattering khaki pants and
Company Polo.
Larry has had the ragtop down. He wrestles it up, locks the
cover into place.
He doesn't just walk to work, but s t r i d e s across the
asphalt field like a Sultan of Sales; a Viscount of Discount.
He cheers co-workers at the start of the day, shouting
encouragement, flashing thumbs up, knocking on car doors and
squeezing shoulders..."|stage direction
6|unknown|"DOROTHY GENKOS (PRE-LAP)
A seven-speed Mix-o-Meter Food
Processor! $21.69!"|speech
7|AVERY (PRE-LAP)|Sweatpants! Two pair! $6.69!|speech
8||2.|stage direction
9||INT. UNIMART - DAY|location
10||"The morning Circle of Sales! Employees and their wares.
Larry stands, yet to speak, ready for his moment of
pronounced enthusiasm..."|stage direction
11|TEAM LEADER #1|"Fifteen foot jumper cables - 69
cents a foot!"|speech
12|TEAM LEADER #2|"Chocolate turtles! 69 cents a
pound bag!"|speech
13||Go, Larry! Wave that merchandise!|stage direction
14|LARRY CROWNE|"Three-pack of men's elastic waist
mid-thigh boxer shorts! $2.69!"|speech
15||"FREEZE!
Words fill the screen."|stage direction
16|LARRY CROWNE|THIS IS LARRY CROWNE|speech
17||Hold. Hold. Hold. AND...CONTINUE.|stage direction
18|LARRY CROWNE|"ALVAREZ (TEAM LEADER)
Four Toby Jug beer steins - $2.69!"|speech
19|TEAM LEADER #3|"MP3 Player the size of a bottle
cap! Something and 69 cents!"|speech
20|TEAM LEADER #4|"Duck Blind print sheets for a queen
size bed. $7.69."|speech
21|ALL|"Shop UniMart! Where United, you
save!"|speech
22||"Larry Crowne leads the High Fives.
MENSWEAR DEPT - LATER
Larry controlling the aisles like an Admiral at a Battle
Map... stacking a mountain of tube socks... stocking those
briefs ... hanging ""Metallica"" Speedos on little hangers...
helping CUBBY - a very skinny and disinterested Janitor -
clean up some baby up-chuck as the baby up-chucks again."|stage direction
23|ALL|3.|speech
24|MOMMY|"Too much mac & cheese for this
little pickle bug!"|speech
25|LARRY CROWNE|"They do love the comfort food.
Don't you, Li'l Pickle Bug..."|speech
26||Imagine any duty and see how Larry gets it done...|stage direction
27||EXT. UNIMART PARKING LOT - LATER|location
28||"Larry is collecting loose shopping carts, steering them into
pairs, triplets, sextuplets, then riding them into the cart
pen like a Trail Boss..."|stage direction
29||LATER|location
30||"That same up-chucking baby was riding on the coin-pony and up-
chucked again. Larry is cleaning it all up.
A beat-up CAR with a BIG STORK PIZZA sign stuck on its roof
pulls right up to the front of the store, parking in the
Handicapped Space."|stage direction
