|character|text|type
0||"LOST IN TRANSLATION
Written by
Sofia Coppola
Shooting Draft"|unknown
1||"Lost in Translation, Inc.
September 2, 2002
FADE IN:"|stage direction
2||EXT. NARITA AIRPORT - NIGHT|location
3||We hear the sound of a plane landing over black.|stage direction
4||"CUT TO:
INT. CHARLOTTE'S ROOM - NIGHT"|location
5||"The back of a GIRL in pink underwear, she leans at a big
window, looking out over Tokyo."|stage direction
6||CUT TO:|location
7||"Melodramatic music swells over the Girl's butt in pink sheer
underwear as she lies on the bed.
TITLE CARDS OVER IMAGE.
LOST IN TRANSLATION"|stage direction
8||INT. CAR - NIGHT|location
9||"POV from a car window - the colors and lights of Tokyo neon
at night blur by."|stage direction
10||CUT TO:|location
11||"In the backseat of a Presidential limousine, BOB (late-
forties), tired and depressed, leans against a little doily,
staring out the window.
P.O.V. from car window- We see buildings covered in bright
signs, a billboard of Brad Pitt selling jeans, another of
Bob in black & white,looking distinguished with a bottle of
whiskey in a Suntory ad... more signs, a huge TV with perky
Japanese pop stars singing."|stage direction
12||"CUT TO:
EXT. PARK HYATT - NIGHT"|location
13||"Bob's black Presidential (looks like a 60's diplomat's car)
pulls up at the entrance of the Park Hyatt, a modern sky
rise.
The automatic doors open on the car, as Bob gets out.   Eager
BELLHOPS with white gloves approach at the sight of the car,
welcoming Bob and helping him with his bags."|stage direction
14||"CUT TO:
INT. PARK HYATT - NIGHT"|location
15||"Bob stands in the back of a crowded elevator surrounded by
Japanese businessmen below his shoulders.
The elevator stops at the 50th floor and the doors open onto
the massive, streamline lobby of the Park Hyatt.
Bob follows the JAPANESE BUSINESSMEN out into the marble and
glass lobby that frames the view of Tokyo.
The CONCIERGE and several eager HOTEL MANAGERS greet Bob. He
just wants to sleep, but more STAFF continue to greet him,
ask him about his fright. They lead him to reception."|stage direction
16||INT. HOTEL RECEPTION - NIGHT|location
17||"At the reception area four JAPANESE BUSINESSMEN and two WOMEN
quickly sit up from their seats on sight of Bob, and extend
handshakes and gifts. They bow and introduce themselves from
the commercial company, extend name cards and welcome him
enthusiastically.
More staff welcomes him and offer their service during his
stay.
One of them presents a fax that has come for him.
INSERT -
""TO: BOB HARRIS
FROM: LYDIA HARRIS
YOU FORGOT ADAM'S BIRTHDAY.
I'M SURE HE'LL UNDERSTAND.
HAVE A GOOD TRIP, L""
He doesn't know what to do with it, and stuffs it in his
pocket.
The commercial people tell him when they'll be picking him
up, and ask if he needs anything else.
Some JAPANESE ROCK STARS with shag haircuts and skinny leather
pants pass by. Each commercial person has to shake Bob's
hand before leaving."|stage direction
18||"CUT TO:
INT. BOB'S HOTEL ROOM - NIGHT"|location
19||Bob sits on the end of the bed in a too small hotel kimono.|stage direction
20||INT. PARK HYATT BAR - NIGHT|location
21||"Bob sits at the bar. A few minutes pass as he sits in silence
looking around, drinking a scotch.  Chet Baker sings ""The
Thrill is Gone"" over the stereo.
We see Bob's POV of tables of people talking. JAPANESE WOMEN
SMOKING, AMERICAN BUSINESSMEN tying one on, talking about
software sales. A WAITER carefully setting down a coaster,
and pouring a beer very, very slowly. It's all very foreign."|stage direction
22||"CUT TO:
INT. BOB'S HOTEL ROOM - MORNING"|location
23||"The automatic hotel curtains open, pouring light into the
room."|stage direction
24||"CUT TO:
INT.HOTEL BATHROOM - DAY"|location
25||"Bob gets in the shower overlooking the view of Tokyo. The
shower head is at his elbows, he raises it as high as it
goes, and leans down to have a shower. This hotel was not
designed with him in mind."|stage direction
26||"CUT TO:
INT. STUDIO - DAY"|location
27||"Whiskey commercial shoot.
The set is full of activity as the JAPANESE CREW work. Bob,
in a shawl collared tuxedo sits at a European style bar set
with a cut crystal glass of whiskey. A JAPANESE GIRL quickly
powders his face as they adjust lights and the DIRECTOR and
crew speak in hurried Japanese.
The Director (with blue contact lenses) says a few long
sentences in Japanese.
TRANSLATOR, a middle-aged woman in a coordinated outfit,
translates but it is only a short sentence now."|stage direction
28|TRANSLATOR|"He wants you to turn, look in camera
and say the lines."|speech
29||"Bob wonders what she's leaving out, or if that's the way it
works from Japanese to English."|stage direction
30|BOB|That's all he said?|speech
31|TRANSLATOR|Yes, turn to camera.|speech
32||Bob thinks let's just get it over with.|stage direction
33|BOB|Turn left or right?|speech
34||"The Translator blots her face with a tissue, and asks the
director in a Japanese sentence 5 times as long. The Director
answers her in a long excited phrase."|stage direction
35|TRANSLATOR|Right side. And with intensity.|speech
36|BOB|"Is that everything? It seemed like
he was saying a lot more."|speech
37||"The excited Director says more in Japanese. Translator nods
in understanding. Bob doesn't really know what's going on."|stage direction
38|TRANSLATOR|"Like an old friend, and into the
camera."|speech
39||(to Bob))|unknown
40|DIRECTOR|Suntory Time!|speech
41||"They get ready, and roll camera:
Bob turns and looks suavely to the camera:"|stage direction
42|BOB|"For relaxing times, make it Suntory
Time."|speech
43||"The Director yells something about ten sentences long. The
translator nods."|stage direction
44|TRANSLATOR|"Could you do it slower, and with
more intensity?"|speech
45|BOB|Okay.|speech
46||"The Translator answers for him in four sentences.
ON THE MONITOR - we see the next take: the moody lighting
shines on Bob, the camera gets closer as he stares into camera
and gives them the line."|stage direction
47|BOB|"For relaxing times, make it Suntory
Time."|speech
48||"CUT TO:
EXT. TOKYO - NIGHT"|location
49||Shinjuku High rises sparkle.|stage direction
50||INT. PARK HYATT BAR - NIGHT|location
51||"Tall glass walls show the neon and high-rises of the city.
A sad and romantic Bill Evans song plays. Bob sits alone
with a scotch at the bar.
Some drunk AMERICAN BUSINESSMEN, with their ties thrown over
their shoulders recognize him."|stage direction
52|BUSINESS GUY|"Hey- you're Bob Harris- you're
awesome, man."|speech
53|ANOTHER BUSINESS GUY|"Yeah, I love Sunset  Odds! BOB Oh,
Ok, thanks."|speech
54|BUSINESS GUY|Man, that car chase-|speech
55||Bob  nods.|stage direction
56||INT. BOB'S HOTEL ROOM - NIGHT|location
57||"Bob comes back to his room. The maids have left everything
perfect, his beige bed is turned down, and the TV has been
left on to a channel playing a montage of flower close-ups
in nature while sad violin music plays. It's supposed to be
relaxing, but it's just sad."|stage direction
58||CUT TO:|location
