|character|text|type
0||magnolia|location
1||"a P.T. Anderson picture                             11/10/98
a Joanne Sellar/Ghoulardi Film Company production
OVER BLACK;"|stage direction
2|NARRATOR|"In the New York Herald, November 26,
year 1911, there is an account of the
hanging of three men --"|speech
3||CUT TO:|unknown
4||Black and White Lumiere Footage|location
5||Three men hung....bang...bang...bang.|stage direction
6||CUT TO:|unknown
7||Newspaper Headline|location
8||"comes into focus; ""Three Men Hung."""|stage direction
9||QUICK DISSOLVE:|unknown
10||Sub Head|location
11||"comes into focus; ""...for murder of..."""|stage direction
12||CUT TO:|unknown
13||INT. APARTMENT/FOYER - EVENING|location
14||(Lumiere Footage Contd.)|unknown
15||"A man in period dress (1911) walks in the door. CAMERA DOLLIES IN QUICK
as he takes his hat off, shakes snow, looks off --"|stage direction
16|NARRATOR|"...they died for the murder of
Sir Edmund William Godfrey --"|speech
17||Sir Edmund is greeted by his WIFE and two CHILDREN.|stage direction
18|NARRATOR|"-- Husband, Father, Pharmacist and all
around gentle-man resident of --"|speech
19||CUT TO:|unknown
20||EXT. STREET - NIGHT|location
21||CAMERA pushes in on the town sign, reads:|stage direction
22|NARRATOR|"""Greenberry Hill, London. Population 1276"""|speech
23|NARRATOR|Greenberry Hill, London. Population as listed.|speech
24||CUT TO:|unknown
25||EXT. PHARMACY - NIGHT|location
26||"HIGH ANGLE, looking down as Sir Edmond comes out the door,
locks up for the evening.  CAMERA BOOMS DOWN and PUSHES IN
TOWARDS HIM, WHIPS RT TOWARDS:"|stage direction
27|NARRATOR|"He was murdered by three vagrants whose
motive was simple robbery.  They were
identified as:"|speech
28||A COATED MAN standing in the shadows of the alley way nearby.|stage direction
29|NARRATOR|...Joseph Green.....|speech
30||CAMERA WHIPS RT. again, nearby ANOTHER MAN steps closer --|stage direction
31|NARRATOR|...Stanley Berry....|speech
32||CAMERA WHIPS RT. one more time and PUSH IN towards THE LAST MAN --|stage direction
33|NARRATOR|...and Nigel Hill...|speech
34||"WIDE ANGLE, ABOVE SCENE.
The three men move in on Sir Edmond and start to knife him
to death, stealing his money and jewelry. CAMERA PULLS BACK
and up to include the sign of the pharmacy now:
""Greenberry Hill Pharmacy."""|stage direction
35||CUT TO:|unknown
36||LUMIERE FOOTAGE REPLAYED|location
37||Three men hug. Bang...bang...bang...|stage direction
38|NARRATOR|Green, Berry and Hill.|speech
39||FREEZE FRAME On the last hanging image.|stage direction
40|NARRATOR|"...And I Would Like To Think This
Was Only A Matter Of Chance."|speech
41||OPTICAL WIPE OF FLAMES FILL THE SCREEN, CAMERA PULLS BACK:|stage direction
42||EXT. FORREST/NEAR LAKE TAHOE - NIGHT|location
43||(35mm/color/anamorphic now)|unknown
44||"CAMERA is in the midst of a large FORREST FIRE. CAMERA
WHIPS RT TO SEE:
THREE FIREMEN battling the flames.  CAMERA PUSHES IN On
them as they scream and shout directions at each other:"|stage direction
45|NARRATOR|"As reported in the Reno Gazzette, June
of 1983 there is the story of a fire ---"|speech
46||"HIGH ANGLE, THE TREE TOPS.
The trees are on fire....moments later...."|stage direction
47|NARRATOR|"--- the water that it took to
contain the fire --"|speech
48||"WATER FALLS DOWN...
dropped from a FIRE DEPARTMENT AIR TANKER."|stage direction
49||CUT TO:|unknown
50||EXT. FORREST/NEAR LAKE TAHOE - MORNING|location
51||"CAMERA pushes in towards FOUR FIREFIGHTERS as they survey the
area.  The fire is out and they are walking through. The MAIN
FIREFIGHTER steps into a close up and looks:"|stage direction
52|NARRATOR|-- and a scuba diver named Delmer Darion.|speech
53||"FIREFIGHTER'S POV, THAT MOMENT
CAMERA dollies in and TILTS up towards the top of the tree to reveal:
There is a MAN IN SCUBA GEAR hanging high in the tree.
He is wearing his goggles and his tanks and his wet suit."|stage direction
54|FIRE FIGHTER (OC)|What the fuck is that?|speech
55||"ANGLE, CU. DELMER DARION.
He still has his mask and mouthpiece."|stage direction
56||CUT TO:|unknown
57||INT. PEPPERMILL CASINO - NIGHT - FLASHBACK|location
58||"CAMERA looks down on a blackjack game, BOOM DOWN and TILT UP
to reveal: DELMER DARION (40s)"|stage direction
59|NARRATOR|"Employee of the Peppermill Hotel and
Casino, Reno, Nevada. Engaged as
a blackjack dealer --"|speech
60||CUT TO:|unknown
61||INT. CASINO/LOBBY - EARLY MORNING - FLASHBACK|location
62||"CAMERA pushes in towards Delmer as he leaves for the nght,
his uniform draped on a hanger over his shoulder, he nods and
motions two fingers to his fellow WORKERS who say ""so longer.""
(Note: He has a bandage over his forehead.)"|stage direction
63|NARRATOR|"-- well liked and well regarded as a
physical, recreational and sporting sort --
Delmer's true passion was for the lake --"|speech
64||CUT TO:|unknown
65||INT. LAKE TAHOE/UNDERWATER - DAY|location
66||"Delmer SPLASHES in and comes down towards the CAMERA. SOUND drops out,
becomes very quiet..."|stage direction
67||CUT TO:|unknown
68||EXT. LAKE TAHOE - THAT MOMENT|location
69||"The FIRE DEPARTMENT AIR TANKER comes flying in, heading towards
the lake, coming directly at CAMERA..."|stage direction
70||CUT TO:|unknown
71||INT. LAKE TAHOE/UNDERWATER - THAT MOMENT|location
72||Delmer dives. Silent and peaceful.|stage direction
73||CUT TO:|unknown
74||EXT. LAKE TAHOE - THAT MOMENT|location
75||"OVERHEAD ANGLE Looks down on the calm lake....beat, then:
THE MASSIVE AIR TANKER FILLS THE FRAME, TOUCHING DOWN ON THE WATER,
FULLING IT'S BODY FULL OF WATER FROM THE LAKE.  It enters CAMERA RT.
and exits CAMERA LFT.
ANGLE, THE AIR TANKER. It heads off full of water towards the raging
forrest fire in the distance."|stage direction
76|NARRATOR|"-- as reported by the coroner, Delmer
died of a heart attack somewhere between
the lake and the tree.  But most curious
side note is the suicide the next day
of Craig Hansen --"|speech
77||CUT TO:|unknown
78||EXT. RENO MOTEL - DAY - FLASHBACK|location
79||Establishing shot. (x3)|stage direction
80||CUT TO:|unknown
81||INT. MOTEL - THAT MOMENT|location
82||"CAMERA PUSHES IN SUPER QUICK towards a MAN named CRAIG HANSEN (30s)
He shoves a RIFLE under his chin and pulls the trigger, blood and brains
splatter the ceiling."|stage direction
83||CUT TO:|unknown
84||INT. AIR TANKER COCKPIT - FLASHBACK - DAY|location
85||HANSEN flying the plane. HOLD CU. as he moves towards the lake.|stage direction
86|NARRATOR|"...volunteer firefighter, estranged
father of four and a poor tendency
to drink -- Mr. Hansen was the pilot
of the plane that quite accidentally
lifted Delmer Darion out of the water --"|speech
87||CUT TO:|unknown
88||EXT. LAKE TAHOE - SHOT REPLAYED|location
89||"Quick flashback to the footage of the PLANE lifting the water
from the lake, SOUND CARRIES OVER...."|stage direction
90||CUT TO:|unknown
91||INT. CASINO - NIGHT - FLASHBACK|location
92||"The Blackjack table where DELMER Is dealing.  DOLLY AROUND to reveal
a drunk and obnoxious CRAIG HANSEN, screaming about the cards he's
been dealt and taunting Delmer"|stage direction
93|NARRATOR|"-- added to this, Mr. Hansen's
tortured life met before with
Delmer Darion just two nights previous --"|speech
94||"Hansen SPITS and PUNCHES at Delmer Darion's FACE for dealing the
cards he's been dealt. SECURITY GUARDS attack and pull him to the ground."|stage direction
95||CUT TO:|unknown
96||INT. MOTEL ROOM - DAY - BACK TO SCENE|location
97||"CRAIG HANSEN reading the paper, looking at the cover story,
that has a photo of DELMER DARION.  He's crying and
mumbling to himself:"|stage direction
98|CRAIG HANSEN|...oh God...fuck...I'm sorry...I'm sorry...|speech
99|NARRATOR|"The weight of the guilt and the
measure of coincidence so large,
Craig Hansen took his life."|speech
100||"Replay of Craig Hansen's suicide, except this time, right before he
blows his head off we hear him say, through tears:"|stage direction
101|CRAIG HANSEN|...forgive me...|speech
102||CUT TO:|unknown
103||INT. CASINO - NIGHT - BACK TO SCENE|location
104||"Back to the fight DELMER and CRAIG HANSEN are having: CAMERA DOLLIES
IN QUICK TOWARDS Delmer on the ground with blood coming from his nose.
FREEZE FRAME."|stage direction
105|NARRATOR|"And I Am Trying To Think This Was All
Only A Matter Of Chance."|speech
106||QUICK DISSOLVE TO:|unknown
107||INSERT, CLOSE UP - HOTEL EVENTS BOARD|location
108||It reads:        Welcome! AAFS Awards Dinner and Reception|stage direction
109||"Walnut Room
8pm"|unknown
110||INT. HOTEL BANQUET ROOM - NIGHT (1961)|location
111||"CAMERA pushes in following two GUESTS through some double
doors and reveals the DINNER RECEPTION.
ANGLE, MAN BEHIND PODIUM.
CAMERA pushes in quick then blends to 60fps on a man in glasses:
DONALD HARPER, forensic scientist as he speaks into the microphone."|stage direction
112|NARRATOR|"The tale told at a 1961 awards dinner
for the American Association Of Forensic
Science by Dr. Donald Harper, president
of the association, began with a simple
suicide attempt --"|speech
113||CUT TO:|unknown
114||EXT. ROOFTOP - MORNING - FLASHBACK (1958)|location
115||"A seventeen year old kid SYDNEY BARRINGER steps up on to the
roof of a nine story building and looks down."|stage direction
116|NARRATOR|"Seventeen year old Sydney Barringer.
In the city of Los Angeles on March 23, 1958."|speech
