|character|text|type
0||"""Out of Sight""
Screenplay by
Scott Frank
from the novel by
Elmore Leonard
White Final:        08/05/97
Blue Revised:       09/17/97
Pink Revised:       11/11/97
Green Revised:      12/15/97
Goldenrod Revised:  12/16/97
Buff Revised:       03/17/98
Salmon Revised:     03/23/98"|unknown
1||"BLACK
We hear TRAFFIC, some STREET NOISES, then...
FADE IN: A MIAMI STREET - DAY
The financial district.  Lots of people in suits.  A shaky,
spasmodic ZOOM IN finds...
JACK FOLEY -- forty, big, focused expression -- as he rips a
tie from around his neck and throws it down in the gutter.  He
starts across the street, now peeling off his suitcoat and
dropping that, too, right there on the asphalt as we then...
WHIP PAN OVER TO REVEAL: A BANK ACROSS THE STREET
As Foley goes inside, we then...
CUT TO: A PRINTED BROCHURE THAT READS..."|stage direction
2||"LOOKING FOR MONEY?
YOU'VE COME TO THE RIGHT PLACE."|unknown
3||"We then PULL BACK TO REVEAL that we're now...
INSIDE THE BANK
as Foley stands at a counter holding the above CREDIT APPLICATION
while he studies the bank layout.
Foley watches a MAN IN A SUIT, carrying an attache-case, enter
the bank and move through the gate into the fenced-off business
area at the front.  An EXECUTIVE rises from his desk, shakes
hands with the man and they both sit down.
Foley rosses the brochure in the trash, then crosses to a teller
window where a nameplate on the counter tells us the young woman
with the pile of dark hair smiling at him is LORETTA."|stage direction
4|TELLER/LORETTA|How can I help you, sir?|speech
5|FOLEY|"Loretta, you see that guy talking to
your manager, has his case open?"|speech
6||"Foley takes out a ZIPPO LIGHTER and casually, yet expertly,
begins to fiddle with it as the teller looks across the bank."|stage direction
7|LORETTA|"That's Mr. Guindon, one of our assistant
managers.  Our manager is Mr. Schoen,
but he's not in today."|speech
8|FOLEY|"But you see the guy with the attache
case?"|speech
9||(looks again)|location
10|LORETTA|Yes.|speech
11|FOLEY|"That's my partner.  He has a gun in
there.  And if you don't do exactly
what I tell you, or you give me any
kind of a problem, I'll look over at
my partner and he'll shoot your Mr.
Guindon between the eyes."|speech
12||Loretta goes stiff, swallows, stares back at Foley.|stage direction
13|FOLEY (CONT'D)|"Now take one of those big envelopes
and put as many hundreds, fifties and
twenties as you can pack into it.
Nothing with bank straps or rubber
bands.  I don't want any dye packs.  I
don't want any bait money.  Start with
the second drawer and then the one
over there, under the computer.  Come
on, Loretta, the key's right there
next to you.  No bills off the bottom
of the drawer."|speech
14||(as she works)|location
15|FOLEY (CONT'D)|First time being robbed?|speech
16||(she nods)|location
17|FOLEY (CONT'D)|"You're doing great.  Just smile,
Loretta, so you won't look like you're
being held up."|speech
18||(she smiles awkwardly)|location
19|FOLEY (CONT'D)|That's the way, you're doing fine.|speech
20||"We hear a bit of thunder and Foley cuts a fast look out the
front door.  When he turns back, he sees that Loretta's having
some trouble fitting all the bills into the envelope."|stage direction
21|FOLEY (CONT'D)|"Here, give me the twenties.  I'll put
'em in my pocket.  Okay, I haven't had
to give my partner a sign; that's good.
Now, he's gonna wait thirty seconds
till after I'm out the door, make sure
you haven't set off the alarm.  If you
have, he's gonna shoot Mr. Guindon
between the eyes.  Okay?  I think
that'll do it.  Thank you, Loretta,
and have a nice day."|speech
22|LORETTA|You, too.|speech
23||"Foley heads for the door.  He pauses by Mr. Guindon's desk,
looks back at Loretta.  Foley smiles at her, then turns to the
Man sitting with Mr. Guindon, indicates Loretta..."|stage direction
24|FOLEY|She's cute, isn't she?|speech
25||The man looks across the bank at Loretta.|stage direction
26|MAN|Uh, yeah, I guess so.|speech
27||Foley winks at Loretta and walks out.|stage direction
28||(to Mr. Guindon)|location
29|MAN (CONT'D)|Who was that?|speech
30||EXT. BANK - SAME|location
31||As Foley comes out, he calmly walks to a Honda Civic and gets in.|stage direction
32||INT. CAR - SAME|location
33||As Foley tries to start the car.  No go.  He tries again.|stage direction
34|FOLEY|Come on...|speech
35||But the car won't start.  Foley bangs on the wheel...|stage direction
36|FOLEY (CONT'D)|Fuck!|speech
37||"Foley then stiffens as a cop sticks his gun through the open
window into Foley's ear..."|stage direction
38|COP|I think you flooded it.|speech
39||"Foley looks to the passenger window, where ANOTER COP, smiling,
now has his gun pointing at him."|stage direction
40|SECOND COP|Get out've the car, sir.|speech
41|FOLEY|Wanna hear a funny story?|speech
42|SECOND COP|Shut up and get out've the car.|speech
43||"And as Foley obliges, we then...
FADE TO WHITE.
We hear a MAN GRUNT.  Then see Foley in SLOW MOTION as he jumps
through frame, now we see a basketball come up in his hand as
we realize he's on his way to the rim when...
...ANOTHER GUY rams into him in mid-air, knocks him down."|stage direction
44||EXT. PRISON YARD - DAY|location
45||"A BASKETBALL GAME in progress.  All of the men, Foley included,
are dressed in blue coveralls and white T-shirts.  The game is
rough.  Hair is pulled.  Eyes are poked.  Faces punched.
A title reads:"|stage direction
46||"""GLADES CORRECTIONAL INSTITUTION.  BELLE GLADE,"|unknown
47||"FLORIDA.""
Foley is the oldest player here.  He's getting tired, starts to
lose his breath.  He finally walks off the court, breathing so
hard he can't even talk.  He simply motions to SOME YOUNG CONVICT
to come in and take his place.
Foley sits down on a bench, tries to catch his breath.  He looks
across the yard to where...
A GROUP OF ELDERLY INMATES
sitting around a wooden picnic table are playing cards.  All of
them are over sixty.  One of them, a one-legged guy on crutches
hops away from the table, spits out some tobacco as we...
INTERCUT THE OLD TIMERS WITH FOLEY WATCHING THEM:
As we see one old guy is making a picture frame out of old Pal
Mal and Lucky Strike packs.  Another tends to a tomato bush in
a tiny patch of garden near the wall.  Another one sits nearby
painting a picture of a man and a boy fishing from a rowboat.
Foley is about to get up off the bench when something catches
his eye.  He watches as...
TWO LATINO MEN
both little guys, jog past the game, slow to a walk, then stop
and begin stretching out.  One of them nods to Foley.  Foley
nods back, waits for the Latin guys to walk off, then walks
over to a guard, PUPKO (""PUP""), heavy-set, dumb as dirt."|stage direction
48|PUP|You want something, Foley?|speech
49||Foley keeps his eyes fixed on the basketball game.|stage direction
50|FOLEY|"Some people are going out of here.
What if I told you where and when?"|speech
51|PUP|How many?|speech
52|FOLEY|"I expect you to look out for me, Pup,
let me run off work details."|speech
53|PUP|Okay.  How many going out?|speech
54|FOLEY|I hear six.|speech
55|PUP|When?|speech
56|FOLEY|Looks like tonight.|speech
57|PUP|You know who they are?|speech
58|FOLEY|"I do, but I won't tell you just yet.
Meet me in the chapel at eight-thirty,
right before lock-down."|speech
59||INT. MESS HALL - LUNCH|location
60||"As Foley takes his tray up the centre aisle, he scans the sea
of white T-shirts until he sees the two little Latins sitting
at a table full of other little Latins.  CHINO -- fifties, in
shape -- shovels macaroni in his mouth.
Chino's ""wife"", LULU, nineteen, looks up from his own neat tray
of macaroni and jello and watches Foley walk past and sit down
with a bunch of bikers.
Foley watches as the guy across from Chino scrapes some macaroni
off his plate and on to Chino's and Chino wolfs that down, too."|stage direction
61||EXT. MESS - DAY|location
62||"Chino steps outside and lights a cigarette.  He puts an arm
around Lulu, starts to walk off..."|stage direction
63|FOLEY (OS)|Today's the day, huh?|speech
64||"Chino looks over, watches Foley approach, lets his arm slip
down so he can hook his thumb into Lulu's belt... the next
thing to having him on a leash."|stage direction
65|FOLEY|You excited?|speech
66|CHINO|I told you, man, Super Bowl Sunday.|speech
67|FOLEY|Yeah, but I see you moved it up.|speech
68||(beat)|location
69|CHINO|Why you think is today?|speech
70|FOLEY|"You were out running this morning,
sticking to your routine, anybody
happened to notice.  But you only did
a couple of miles instead of your usual
five.  Saving yourself for the main
event.  Then I see you inside eating
ten pounds of macaroni. Carbohydrates
for endurance."|speech
71||Chino and Lulu exchange looks.|stage direction
72|CHINO|"You want, I tole you you can come.
You all right, Foley.  I like you."|speech
73|FOLEY|"You told me I can come 'cause I caught
you digging the fuckin' tunnel, saw you
and Lulu coming out of the bushes,
thought maybe you two were making out."|speech
74||Foley smiles at Lulu, who glares back at him.|stage direction
75|FOLEY (CONT'D)|So what, you finish ahead of schedule?|speech
76||Chino looks towards the fence along the front of the yard.|stage direction
77|CHINO|"You see what they doing, those posts
out there?  Putting up another fence,
five metres on the other side of the
one that's there.  We wait until Super
Bowl Sunday, they could have the second
fence built and we have to dig another
nine, ten days.  So we going soon as
it's dark.  You want -- I mean it --
you can still come."|speech
78|FOLEY|"I appreciate the offer.  And it's
tempting."|speech
