|character|text|type
0||"FRACTURE
Written by
Dan Pyne
Current Revisions by
Glenn Gers
January 6, 2005"|unknown
1||"CREDITS SEQUENCE: EXTREME CLOSE-UPS
An unfinished mechanical device: a scaffold of thin metal
pipes, levers, pulleys, wiring, serve-motors.
THOMAS CRAWFORD works on it: in his 40s, well-dressed but in
disarray, graying stubble, hair and clothes unkempt.
Magnifying glasses distort his eyes, making them huge and
strange.
He sets aside a tool, takes a marble-sized ball-bearing and
drops it into a slot at the top of the device.
His enlarged eyes follow the metal ball -
- as it rolls and flips and spirals through a Rube-Goldberg-
style maze, setting off bells, clicking past turnstiles -
- then missing a leap and clattering across the work-table.
Eyes on the device, Crawford's hand traps the ball.
He stays still, analyzing.
He selects a tiny screwdriver from a neat array of metal-
working and electronics tools. Makes a miniscule adjustment
to a single joint. Drops in another ball.
It rolls and flips and spirals all the way down.
Crawford doesn't react.   Just studies the machine.
Behind him, on a desk: a framed photograph of a beautiful
woman in her mid-30s.
His wife."|stage direction
2||INT. LUXURY BEACH-HOTEL ROOM - THE SAME TIME|location
3||"JENNIFER CRAWFORD is just reaching orgasm -
- with ROB NUNALLY: mid-30s, good-looking, aging-boyish.
They clutch each other, shuddering, lost in passion. And
then, breathing heavily, caressing each other - Nunally rolls
off her - slowly coming back to earth.
Jennifer studies her lover, a quiet play of relief and
gratitude and satisfaction on her face -
- darkened by a troubled distance, maybe even fear.
She is, after all, having an affair."|stage direction
4||2|unknown
5||INT. CRAWFORD'S OFFICE - DAY|location
6||"Crawford stares through the grotesque lenses, motionless,
expressionless.
He takes a deep breath and checks his watch.   Then he stands,
removing the glasses.
We now see his office: large, austere. Decor and equipment
related to aircraft engineering. Outside big windows, jets
take off from an industrial airstrip.
Crawford gets a brand-new bottle of Jack Daniels from a desk
drawer, uncaps it and swigs as he opens the door to a private
bathroom.
He gargles, spits into the sink. He pours out more, then
puts the half-empty bottle back on his desk.
He collects a home-made device from the workbench: it looks
like a PDA connected by wires to a blank credit card.
He puts it in the pocket of his suit jacket, which he sets on
the desk. Adjusts the placement of the open bottle, nearby.
Crawford goes to a light-box, studying a set of large X-rays:
dark strips of welding in a grayish fuzz of metal.
TINA, his assistant, appears in the doorway."|stage direction
7|TINA|The N.T.S.B. guys are here.|speech
8||(Doesn't look up)|unknown
9|CRAWFORD|Yep.|speech
10||"She hesitates a second, glancing at the bottle.
Crawford ignores her, pulling an x-ray off the light-box and
grabbing his jacket -
- which knocks over the bottle.   It skitters across the desk,
liquor spilling.
Crawford just walks out past Tina."|stage direction
11||INT. AIRPLANE HANGER - SOON AFTER|location
12||"The twisted, torn and burned wreckage of a large private jet
is being reassembled on the big empty concrete floor."|stage direction
13||3|unknown
14||"N.T.S.B. INVESTIGATORS in shirtsleeves and AIRCRAFT COMPANY
EXECUTIVES in suits cluster around work-boards covered with
photographs and diagrams of a crash site.
They look up, falling silent, as Crawford comes in carrying
the X-ray. A few exchange surprised, concerned glances; this
is not a man who skips a shave.
But when he gets to them, Crawford is laser-like - holding
the X-ray and pointing to a spot three inches above it:"|stage direction
15||CRAWFORD|unknown
16||It's here.|location
17||"He hands a startled Investigator the film and strides off
toward the giant open doors out to the airfield.
His foot knocks a piece of the carefully-laid-out wreckage in
passing; it clatters across the concrete, but Crawford
doesn't slow or look back."|stage direction
18||INT. LUXURY BEACH-HOTEL ROOM - SOON AFTER|location
19||"Rob is still in the bed, naked under the sheet - watching
Jennifer adjust the straps of her bathing suit."|stage direction
20||ROB|unknown
21||What about dinner tonight?|location
22||"She looks at him, surprised.    Smiles, comes to sit beside
him. Gently:"|stage direction
23||JENNIFER|unknown
24||"We go out to dinner - we might never
come back."|location
25||Beat.   Rob nods.|stage direction
26||ROB|unknown
27||Okay.|location
28||(Beat)|unknown
29||"I want to wake up with you.    I want
to..."|location
30||"He gropes for words, but it's too big and he relents - scales
back, sighing:"|stage direction
31||ROB|unknown
32||...at least see where you live.|location
33||"She regards him tenderly, feeling the same reckless yearning.
But also fear. She rubs his hair."|stage direction
34||4|unknown
35|JENNIFER|I live...here.|speech
36||She leans over to kiss him delicately on the lips.|stage direction
37||EXT. SANTA MONICA STREET - DAY|location
38||"A black Porsche speeds down a quiet street near the beach,
pulls into a parking space.
Crawford gets out, goes to a pay phone. He puts his cell
phone on top of it, drops in some change and dials."|stage direction
39|OPERATOR (ON PHONE)|L.A.P.D.|speech
40|CRAWFORD|Lieutenant Nunally, please.|speech
41||He listens to hold music and checks the time.|stage direction
42|OPERATOR (ON PHONE)|"He doesn't come on til six. You want
his voice mail?"|speech
43||CRAWFORD|unknown
44|OPERATOR (ON PHONE)|No.  Thank you.|speech
45||(beat)|unknown
46|OPERATOR (ON PHONE)|I'll see him later.|speech
47||He hangs up, grabs his cell, and takes off down the sidewalk.|stage direction
48||INT. HOTEL LOBBY - DAY|location
49||"Crawford enters. He knows where he's going - past the front
desk and outside to the -"|stage direction
50||EXT. HOTEL POOL - DAY|location
51||"Jennifer swims laps with strong, even strokes.   Rob is
enjoying the sun in a lounge chair.
Crawford eyes them as he passes on the other side of a low
fence. Unnoticed, he heads upstairs."|stage direction
52||5|unknown
53||INT. HOTEL CORRIDOR - DAY|location
54||"Crawford stops at a room with a DO NOT DISTURB sign on the
knob. He takes out his PDA-device and slides its card into
the key-card slot of the lock.
The lock clicks to green."|stage direction
55||INT. HOTEL ROOM - DAY|location
56||"Crawford enters, quietly closing the door behind him.
He just stands there, taking it all in. The unmade bed, the
ripped-open condom packet, the clothes on the floor.
He is silent.   Very still."|stage direction
57||EXT. CRAWFORD'S STREET - LATER|location
58||"Jennifer drives her Mercedes convertible past expensive
houses in the late-afternoon light.
She goes up the driveway of the Crawfords' stark mordern home.
Across the street, MR. GIFFORD is playing catch with his
GRANDSON. He waves to Jennifer.
She waves back, friendly but distracted, on her way to the
front door."|stage direction
59||INT. CRAWFORD HOUSE - LIVING ROOM - CONTINUOUS|location
60||"Cold. Elegant. Metal planters with bamboo trees. Glass
doors out to a back garden. A fire in the fireplace.
In a corner is another of Crawford's Rube Goldbergs - this
one the size of a refrigerator. On a coffee table in the
center of the room, a big wooden bowl of ball-bearings.
Jennifer hurries in, dropping her keys on a table and -
- freezes, startled.
Crawford waits in the center of the room; despite the outer
""disarray"", he is calm and focused."|stage direction
61|JENNIFER|You're - home early.|speech
62||6|unknown
63|CRAWFORD|I just felt a sudden urge.|speech
64|JENNIFER|Are you...okay?|speech
65||Crawford shrugs, smiling strangely.   He looks pained.|stage direction
66|CRAWFORD|I could use a hug.|speech
67||"Jennifer submits guiltily.   Crawford embraces her, tight.
She waits it out, until:"|stage direction
68|JENNIFER|Have you been drinking?|speech
69||He lets go and she steps back.   Studying him.   Scared.|stage direction
70|CRAWFORD|"I've been watching you sleep.   At
night."|speech
71||(Gently)|unknown
72|JENNIFER|That's creepy.|speech
73|CRAWFORD|"Sometimes when I'm at work, I'll start
thinking about you and I'll just get -
just - overwhelmed."|speech
74|JENNIFER|Tommy -|speech
75||CRAWFORD|unknown
76|JENNIFER|"It's a dense, crushing -
geophysical force. Like I'm
pinned. At the core - where things
change."|speech
77||(beat)|unknown
78|JENNIFER|"You ever get that way about me,
Jen?"|speech
79|JENNIFER|What are you talking about?|speech
80|CRAWFORD|I'm trying to describe my feelings.|speech
81|JENNIFER|Those don't sound like feelings.|speech
82||"7
CRAWFORD"|unknown
83|JENNIFER|No?|speech
84||(Beat)|unknown
85|JENNIFER|"What's the sound of one feeling...in a
forest?"|speech
86|JENNIFER|"You think you're so much smarter
than I am. That must make you feel
very powerful."|speech
87|CRAWFORD|Helpless, actually.|speech
88||Silence.|stage direction
89||JENNIFER|unknown
90|CRAWFORD|Okay.     Maybe it's time to really talk.|speech
91||CRAWFORD|unknown
92|CRAWFORD|No.|speech
93||JENNIFER|unknown
94|CRAWFORD|No?|speech
95||He shakes his head.     Frayed and worn, she sighs.|stage direction
96||JENNIFER|unknown
97|CRAWFORD|"Fine. Whatever. I'll make you some
dinner."|speech
98||He watches her turn and head for the kitchen.          To her back:|stage direction
99||CRAWFORD|unknown
100|CRAWFORD|I know.     Everything.|speech
101||"She stops, exhales.    Looking down.   Afraid.    Grateful it's
happening at last."|stage direction
102||JENNIFER|unknown
103|CRAWFORD|I'm so sorry.|speech
104||CRAWFORD|unknown
105|CRAWFORD|"Don't be. Knowledge is pain.         I'm
used to that."|speech
106||"Jennifer winces, feeling some sympathy.     Preparing herself to
turn and end it, to grow, to move on."|stage direction
107|CRAWFORD|"It's not like I don't let little
pleasures, in return for the pain."|speech
108||8|unknown
109||"She frowns and turns - and her eyes go big with fear.
Crawford is holding a semi-automatic pistol, aimed at her
face. Very still.
The gunshot explodes out of the muzzle - bright, harsh, loud."|stage direction
110||EXT. GIFFORD HOUSE - FRONT YARD - CONTINUOUS|location
111||Gifford and his Grandson turn to look at the Crawford house.|stage direction
112||INT. CRAWFORD HOUSE - LIVING ROOM - CONTINUOUS|location
113||"Crawford stands, tilting his head to watch the slow hypnotic
curl of smoke leaking from the gun in his extended hand. The
hand, we might notice now, wears a surgical glove.
He lowers the gun, bends to pick up the ejected shell-casing
from the floor. He wipes it and tosses it aside, on his way
to Jennifer.
He stands looking down at her: face-up on the floor, head in
a small pool of blood, eyes and mouth open.
The doorbell rings."|stage direction
114||EXT. CRAWFORD HOUSE - CONTINUOUS|location
115||"Gifford leans on the frosted-glass panel next to the door -
hands cupped around his eyes, trying to see in."|stage direction
116||GIFFORD|unknown
117|CRAWFORD|Tom?   Jen?   Everything okay in there?|speech
118||INT. CRAWFORD FOYER - CONTINUOUS|location
119||Crawford steps in from the living room.|stage direction
120|CRAWFORD|Everybody just LEAVE US ALONE!|speech
121||"He calmly aims up at the frosted-glass transom and fires
three times - watching Gifford fling himself away.
Crawford collects the shell casings, wipes them, drops them
back on the floor.
Peeling off the rubber gloves, he crosses to the fireplace
and throws them into the flames. They curl and blacken."|stage direction
122||9|unknown
123||"Crawford watches, expressionless - then looks around,
satisfied. Waiting."|stage direction
124||EXT. CRAWFORD'S STREET - DUSK|location
125||"Helicopters overhead, SWAT teams setting up. Nearby houses
have been emptied, gawking NEIGHBORS and media vans moved
back to a block away.
UNIFORM COPS pull aside the barriers as a plain-wrap sedan
rolls through. It pulls up by the SWAT Command Truck.
ROB NUNALLY gets out, surveying the scene. The guy who spent
his afternoon with Jennifer Crawford in the hotel is an
L.A.P.D. Detective."|stage direction
126|SWAT COMMANDER|You the Negotiator?|speech
127||NUNALLY|unknown
128|SWAT COMMANDER|Yeah.    What do we know?|speech
129||INT. CRAWFORD HOUSE - SOON AFTER|location
130||Crawford waits, with the gun.    The phone rings.   He picks up:|stage direction
131||CRAWFORD|unknown
132|SWAT COMMANDER|Yes?|speech
133||INTERCUT WITH:|unknown
134||EXT. CRAWFORD'S STREET - CONTINUOUS|location
135||"Nunally is standing by the open trunk of his sedan, wearing a
Kevlar vest now - putting on his shoulder-holster over it.
Into his cell-phone:"|stage direction
136||NUNALLY|unknown
