|character|text|type
0||"VALKYRIE
Written by
Christopher McQuarrie & Nathan Alexander
January 8, 2007
I swear by God this sacred oath:
That I shall render unconditional obedience to
Adolf Hitler, the Führer of the German Reich, and
that I shall at all times be prepared, as a brave
soldier, to give my life for this oath.
1   BLACK                                                   1
And from out of the blackness a voice. A man speaking
in German - faint at first, crackling over the radio.
Subtitles translate the voice of Adolf Hitler.
HITLER (V.O.)
My comrades. Once again - I don't
know how many times it has been now
- an attempt has been made on my
life. I speak to you tonight for
two reasons. First, so that you can
hear my voice and know that I am
unhurt. And second, so that you may
know the details of a crime without
parallel in German history...
2   EXT. AIRFIELD - DAY                                     2
TITLES: SMOLENSK, RUSSIA - THE GERMAN EASTERN FRONT.
13 MARCH 1943.
A lonely airfield. A NAZI OFFICER and his AIDE stand
rigid by a gleaming limousine. The officer's uniform
denotes a man of high rank - a man of weight.
TITLES: MAJOR-GENERAL HENNING VON TRESCKOW - CHIEF OF
STAFF FOR ARMY GROUP CENTER.
Tresckow smokes a cigarette, his arm the only
movement in the frame.
PULL BACK TO REVEAL the airstrip is surrounded by
Army Group vehicles and personnel - SD and SS
escorts, photographers, aides, Nazi party
dignitaries, etc. - all frozen like statues. Eerie.
Whatever is going on, it's big. The faint sound of
distant airplanes brings tension, subtle but sharp.
Approaching the field are three Focke-Wulf 200
Condors escorted by a formation of Messerschmitt-109
fighters. Silence gives way to an escalating roar
that seems to have no maximum. One by one, the
massive four-engine Condors land while the fighters
roar overhead and circle the airfield. The Condors
come to rest and, needing no introduction:
ADOLF HITLER alights from the lead plane, obscured by
the surrounding platoon of heavily armed SS GUARDS.
(Note: Hitler is obscured throughout the entire
sequence proving how inaccessible he truly was.)
2.
Tresckow and his Aide step forward to greet Hitler,
but they are pushed back by SS guards. The Führer
marches past without so much a glance at his hosts or
their waiting limo.
To Tresckow's surprise, a second limousine roars onto
the airfield from out of nowhere. It is dirty, the
windscreen spotted with bugs from a long drive.
Hitler gets in the dirty car and speeds off.
VOICE (O.S.)
It's not so much your car he
doesn't trust... It's your driver.
Tresckow and his Aide turn. Standing behind them is:
TITLES: COLONEL HEINZ BRANDT - SENIOR STAFF OFFICER
OF THE ARMY OPERATIONS SECTION.
The consummate Nazi, he is always scribbling notes in
a small datebook. Without looking up, Brandt hops
into the limo they brought for Hitler.
Tresckow and his Aide share a glance and get in. A
beat later they are speeding after Hitler's car.
3   EXT. ARMY GROUP CENTER - DAY                              3
Est. Hitler's headquarters for the Eastern Front is
bustling. Security is tight, everyone is on edge.
4   INT. ARMY GROUP CENTER - MESS HALL - DAY                  4
Long tables packed with SOLDIERS straining their
necks to get a glimpse of their leader at the head
table, but he is obscured by his detail of SS guards.
ONE MAN dares to approach. The room falls silent.
HITLER'S PERSONAL CHEF places a tray before the
Führer, producing a knife and fork, cutting a bite.
We think he is going to hand feed Hitler until he
places the food in his own mouth, chewing slowly,
deliberately. He swallows. We wait for him to die.
When he doesn't, Hitler begins to eat. The rest of
the room relaxes slightly and digs in.
ANGLE ON: Seated further down the table are Tresckow
and his Aide. Between them, once again, is Brandt,
eating like a pig, still making notes in his book.
Tresckow stares.
3.
TRESCKOW
Managing the Führer's security must
be quite an undertaking.
BRANDT"|unknown
1||"Irregularity is the Führer's
precaution of choice.
TRESCKOW
I can assure you he's safe here.
Relax, Brandt. Enjoy your meal.
Brandt's look says, ""Don't be ridiculous."" He cleans
his plate in seconds. Then he gently dabs his mouth,
takes out his datebook and starts writing - once
again the precise man we saw on the airfield.
TRESCKOW (CONT'D)
I understand you're returning to
Berlin this afternoon...
Brandt nods.
TRESCKOW (CONT'D)
Could I trouble you to deliver a
package to Colonel Stieff?
Brandt nods again, too busy writing to notice the
knowing glance Tresckow shares with his Aide...
5   INT. ARMY GROUP CENTER - PRIVATE OFFICE - LATER          5
Tense silence. Tresckow and his Aide are hunched over
two bottles of Cointreau on a large desk next to:
TWO PAIRS OF BRITISH `CLAMS' - a small black plastic
casing held together by magnets and adhesive tape.
Tresckow inserts a short, pencil-shaped fuse through
the narrow opening. All that remains exposed is a
small glass capsule. The trigger. Tresckow turns his
attention to the bottles of Cointreau...
6   EXT. AIRFIELD - DAY                                      6
The Condors' engines roar, ready for take off.
Soldiers stand at attention as Hitler boards. Brandt
is with him, scribbling in his ever-present datebook.
4.
Tresckow and his Aide approach. Tresckow gently
handles a carefully wrapped package.
CLOSE ON: Tresckow presses a key against the side of
the package, crushing the glass capsule inside. The
explosive armed now, he hands it to Brandt.
TRESCKOW
With my regards to Colonel Stieff.
Brandt accepts the gift, looking up from his book. He
studies the familiar shape.
BRANDT
Cointreau? You better hope I don't
get thirsty on the flight.
Tresckow politely smiles, hiding his nerves, having
just handed a bomb to Hitler's Head of Security.
Brandt unknowingly carries it onto the plane with
Hitler. The door to the Condor is sealed behind him
along with, we hope, the Führer's fate.
Tresckow looks at his watch and we DISSOLVE TO:
7   INT. ARMY GROUP CENTER - PRIVATE OFFICE - LATER             7
A clock shows us that thirty minutes have passed.
Tresckow and his Aide are seated on either side of a
desk staring at the telephone. Smoking. Waiting...
DISSOLVE TO:
8   INT. ARMY GROUP CENTER - PRIVATE OFFICE - LATER             8
Three hours later. The ashtray is overflowing but
Tresckow and his Aide have not moved. Finally...
The phone barely rings before Tresckow answers. He
doesn't say a word, he only nods and hangs up.
TRESCKOW
He's... landed.
It takes a moment for the gravity of this to set in.
AIDE
What about the...
Tresckow is already dialing the telephone.
5.
TRESCKOW
Get me Colonel Brandt...
(staying cool)
Colonel? Tresckow... I trust you
landed safely... I hate to trouble
you but there's been a bit of a mix
up. It seems you have the wrong
bottles for Colonel Stieff. You...
do still have the package?"|unknown
2||Long pause. Torture. Then:|stage direction
3||"TRESCKOW (CONT'D)
I can be at your office first thing
tomorrow morning to pick it up.
Terribly sorry for the
inconvenience... Thank you."|unknown
4||Tresckow slowly hangs up the phone.|stage direction
5||"AIDE
Do you think he knows?"|unknown
6||"Tresckow shrugs, opening a bottle of Cointreau and
pouring two glasses with a shaking hand."|stage direction
7||"TRESCKOW
There's only one way to be sure...
9    EXT. OKH HEADQUARTERS - DAY                               9"|unknown
8||"Est. An early morning fog blankets the ground,
obscuring our view. Eerie."|stage direction
9||10   INT. OKH HEADQUARTERS - HALLWAY - DAY                     10|unknown
