|character|text|type
0||"IT'S COMPLICATED
Written by
Nancy Meyers
FADE IN:"|unknown
1||1   EXT. BEACH HOUSE - MONTECITO, CALIFORNIA - DAY                1|location
2||"A late afternoon sky, a red tile roof and the Santa Barbara
coast line frame this party of old friends. A trio plays
Brazilian music as guests carry drinks and nibble on dessert."|unknown
3||2   CLOSE - ON A FOURSOME OF FRIENDS                              2|location
4||"The Couple who live in this house, SALLY AND TED, drink
champagne as they chat with their closest friends, JANE AND
JAKE.
JANE is mid-fifties and has embraced that fact. She knows 50
is not the new 40 and because of that, she is still described
by all who know her as beautiful. Everything about this
woman's appearance screams ""solid.""
The years have been good to JAKE. He's never lost his looks,
his killer smile, or his ability to charm. He lifts his
glass of champagne.
JAKE"|unknown
5||Happy happy happy...|stage direction
6||"JANE
(reminding him)"|unknown
7||-- Anniversary.|stage direction
8||"Jake pauses, wryly turns to Jane, making her smile.
JAKE"|unknown
9||Some things never change.|stage direction
10||SALLY|unknown
11||Thank God.|stage direction
12||JANE|unknown
13||I thought maybe you were drifting.|stage direction
14||TED|unknown
15||He was pausing.|stage direction
16||JAKE|unknown
17||Exactly....|stage direction
18||(sighs, raising his glass)|unknown
19||"Happy... Anniversary. You two have
led an extraordinarily blessed
life."|stage direction
20||"(MORE)
2."|unknown
21|JAKE(cont'd)|"As long as I've known you both,
you've always managed to somehow do
everything entirely right."|speech
22|JANE|-- That's so true.|speech
23|JAKE|"But, honestly, how can it be thirty
years!?!   When did we do that trip
to Spain?"|speech
24||(looks to Jane)|unknown
25|JAKE|It was for both of our what..?|speech
26|JANE|-- Fifteenth anniversaries.|speech
27|JAKE|God, that was a great trip...|speech
28||"The Two Women exchange a quick look when a tall, ADORABLE 21
YEAR OLD BOY joins the group, holding a bottle of beer. This
is OLIVER, Sally and Ted's son. All four light up as Oliver
puts his arm around his Mom."|location
29|JANE|Ollie, how was graduation?|speech
30|OLIVER|"It was fantastic. I can't believe
I'm not in school anymore. When's
Luke's graduation?"|speech
31||JAKE|unknown
32|OLIVER|Next week.|speech
33||(correcting him)|unknown
34|JANE|It's in three days!|speech
35||JAKE|unknown
36|JANE|Sorry!   I mean this week.|speech
37|TED|Are the girls going?|speech
38|JANE|They can't wait.|speech
39||"Jane glances across the party and sees AGNESS, A FREE
SPIRITED PRETTY WOMAN in her thirties, wearing a sarong over
a bathing suit and walking directly toward them. She carries
a slice of cake. Jane becomes instantly distracted and
uncomfortable."|location
40||3.|unknown
41|OLIVER|"How long is Luke home before he has
to go back for work?"|speech
42|JANE|-- Only a week...|speech
43|SALLY|Aw, that's it?|speech
44|JANE|I know, I hate it. Well...|speech
45||(Agness joins the group,|unknown
46||standing next to Jake)|stage direction
47|JANE|Congrats again...|speech
48||(puts down her champagne)|unknown
49|JANE|Great party...|speech
50|OLIVER|You're leaving?|speech
51|JANE|Yeah, I have some|speech
52||(Agness hands Jake a piece|unknown
53||"of cake. Jane works hard
at not appearing
flustered)"|stage direction
54|JANE|"-- stuff I have to get done tonight
for work..."|speech
55||(to Jake & Agness)|unknown
56|JANE|I'll see you two in New York.|speech
57|AGNESS|Absolutely. Lookin' forward to it.|speech
58||JANE|unknown
59|AGNESS|Good.    Well....|speech
60|AGNESS|"-- Jane, what are you wearing to
the graduation?"|speech
61|JANE|"Oh, a suit or dress, probably a
suit."|speech
62||AGNESS|unknown
63|JANE|Fancy.    Okay.|speech
64||Jane smiles tightly, raises her eyebrows to Sally.|location
65||4.|unknown
66|JAKE|"See you there, Janey.    Where are
you staying again?"|speech
67|JANE|"We're at The Park Regent. You said
you were at The Four Seasons,
right?"|speech
68|JAKE|I don't know.|speech
69||(to Agness)|unknown
70|JAKE|Where are we?|speech
71|AGNESS|We're at The Park Regent too.|speech
72||"JANE
(hates    this)"|unknown
73|AGNESS|"Oh. Good.     That'll be convenient,
actually.     Okay, so, see you soon.."|speech
74||(waves    awkwardly)|unknown
75|SALLY|-- I'll walk you out.|speech
76||As they WALK AWAY, they HEAR:|location
77|AGNESS|"So, Ted, do you think you can help
us get Pedro into El Montecito for
kindergarten?"|speech
78||ANGLE - JANE AND SALLY - WALKING INTO HOUSE|location
79||(laughs)|unknown
80|SALLY|"I thought it was sweet how well you
and Jake were getting along. Felt
like old times."|speech
81|JANE|"Yeah, well, we know how to do this
by now. It has been ten years."|speech
82|SALLY|That's crazy.|speech
83||"Jane hugs Sally good bye, her eyes landing on Agness
affectionately rubbing Jake's back."|location
84||"5.
ANGLE - THE FRONT DOOR
as it closes after Jane.
ON JAKE - AS HE TURNS BACK
and sees Jane is gone.
CUT TO:"|unknown
85||3   TWENTY-THREE YEAR OLD GABBY                                   3|location
86||"in jeans and a tank top CARRYING A CARTON OF BOOKS, A YOGA
MAT AND A SMALL LAMP. Gabby is Jane and Jake's middle child.
But unlike most middle children, this one has never suffered
from being ignored. Not a possibility with Jane as your
mother. We are:"|unknown
87||EXT. JANE'S HOUSE - LATE DAY|location
88||"The house is modest and charming and sits on a few acres in
the lush green hills of Santa Barbara. Neat rows of
vegetables dot the landscape.
Gabby arrives at her already packed Prius, where her OLDER
SISTER, LAUREN, 26, is trying to fit everything into the
trunk. Lauren is more conservatively dressed than Gabby and
has an air of maturity about her.
LAUREN
Gabby, stop...you're never going to
fit all this in... you can come
back for the rest tomorrow.
GABBY
I can't come back t---
Gabby looks up to see HARLEY, LAUREN'S FIANCE, in a T-shirt
and over-the-knee gym shorts, lugging a huge suitcase down
the front path, a duffel strapped across his chest.
GABBY
Oh, God...that's all my clothes.
HARLEY
(sets the suitcase down as
he sees an SUV heading to
the house)
(MORE)
6."|unknown
89|HARLEY(cont'd)|"Okay, your Mom is home. She'll
figure this out."|speech
90||"The SUV pulls to a stop, Jane gets out. Gabby starts pulling
cartons out of her trunk to make room for her clothes."|location
91|JANE|"Gabby, you're leaving now? I
thought you were going in the
morning?"|speech
92|GABBY|"I know but my friends are all there
and they wanted me to come tonight."|speech
93|JANE|"But honey, it's gonna get dark
soon. You can't see out the back
window. It's Saturday night.
People will be on the road
drinking..."|speech
94|LAUREN|"Mom, she'll be there in a couple of
hours, she'll be fine."|speech
95|GABBY|"Okay, I'm leaving this stuff here.
I'll be back for it in a few days."|speech
96|JANE|"Want me to drive it down in the
morning?"|speech
97||(Gabby's BLACKBERRY|unknown
98||"BUZZES, she laughs,
thumbs flying)"|stage direction
99|JANE|"I could be there by lunch. We could
go to that big Bed, Bath, and
Beyond, buy kitchen stuff... Gabby,
can you look up from that thing??"|speech
100||(looking up)|unknown
101|GABBY|I got it covered, Ma.|speech
102||(to Harley)|unknown
103|GABBY|Hey gangsta, help me carry these...|speech
104||(exhausted)|unknown
105|HARLEY|Yep....|speech
106||"Gabby and Harley CARRY THE BOXES back into the house.   Jane
seems worried as she watches them."|location
107||7.|unknown
108|LAUREN|"Mom, are you afraid to sleep in the
house alone?"|speech
109|JANE|What are you....? No!|speech
110||(Lauren looks doubtful)|unknown
111|JANE|"-- I'm not! One of you is always
moving out..."|speech
112||(Gabby re-joins)|unknown
113|JANE|"But I am wondering who I'm gonna
watch The Hills with?"|speech
114||(huge hug)|unknown
115|GABBY|Mamacita... I'm gonna miss you.|speech
116||"Jane hugs her back, but is aware of not hugging too hard.
Harley joins the group."|location
117|GABBY|"Omigod. L.A.! Okay. I'm doing
this."|speech
118||(walks to her car)|unknown
119|GABBY|"Mom, you don't happen to know where
Dad is, do you? I tried calling
him to say goodbye..."|speech
120|JANE|He was at Sally and Ted's.|speech
121|HARLEY|"He was? How was that? You and
them at the same --"|speech
122||(Jane turns to him)|unknown
123|HARLEY|"-- not that it's in any way, any of
my... was just..."|speech
124|JANE|-- It was....|speech
125||(notices both girls wait|unknown
126||for her answer)|stage direction
127|JANE|-- whatever. It was fine.|speech
128|GABBY|Was her lunatic child there?|speech
129||(laughs)|unknown
130|JANE|"Not this time. Gabby, call me when
you get there. Do NOT forget."|speech
131||"8.
JANE(cont'd)
(Gabby texts, deep in
convo )
Gabby!
GABBY
I will. I'll call you!
LAUREN
Knock `em dead, little one.
HARLEY
And call us when you get there,
too. And no texting and driving.
Jane loves that Harley said that. Gabby gets in her car and
starts off.
HARLEY
(puts his arm around
Jane's shoulder)
They grow up so friggin' fast. I
hate it.
Gabby pulls out of the driveway and out of sight.
LAUREN
Maybe you should get a dog.
JANE
Oh my God.     Goodbye you two.   Love
you.
HARLEY
(heading for their car and
getting into the
passenger seat)
Love you boss!
As Lauren and Harley drive off,    Jane turns and looks at her
suddenly very empty nest."|unknown
132||4   INT. JANE'S HOUSE - CONTINUOUS                                    4|location
133||"A Woman's house. Books and art collected over years.
Interesting, unexpected pieces of furniture. Jane kicks off
her heels, now feeling short and alone. Deep breath!"|unknown
134||5   INT. KITCHEN                                                      5|location
135||"Cramped, but clearly a cook's kitchen.      The Kids have left a
few glasses and plates on the island.
9.
Jane gathers them and as she rinses them at the sink, she
suddenly and surprisingly feels very alone. She pauses,
allows herself the moment, then forces herself to snap out of
it."|unknown
136||7   INT. THE BAKERY - MONTECITO - DAY                             7|location
137||"This is Jane's other home. A large, bright, bustling
BAKERY/RESTAURANT. The bakery counter could rival any in
Paris. Last year, The New York Times rated Jane's pain au
chocolat the best in the United States. A line waits to get
in.
A very relaxed Jane is behind the busy counter, easily moving
between her young staff. The atmosphere is efficient and
friendly.
Jane adjusts a few signs on the counter, then reaches inside
the display case, pulling out a tray of muffins topped with
powdered sugar. She carries the tray to the open pass-
through to the BUSY KITCHEN and calls to the head Baker.
JANE
Reynaldo...
(nods to the muffins)
REYNALDO
Too much sugar.
JANE
Little bit.
Reynaldo nods as Jane hands him the tray.
Jane notices a line waiting to get up to the bakery counter.
Knowing what to do, Jane's staff has already set out cups of
coffee with lids.
JANE
Who wants coffee while they're
waiting?
Jane and the staff hand out the free coffee.
JANE WALKS THE COUNTER - MOMENTS LATER
refills a glass of water, checking on her customers.
JANE
(quietly to a Young
Employee)
Check on table five, will you?
10.
The Young Employee nods as Jane looks up and sees a MAN on
the other side of the counter. They exchange polite hellos
when Jane notices PETER, tan and confident, approaching her.
JANE
(all smiles)
Peter!
PETER joins ADAM, the man who stands across from Jane. Adam
is handsome in a way that sneaks up on you. There's
something reserved and refreshing about his demeanor. He
holds rolled blueprints.
PETER
Jane, I can't remember, have you
ever met Adam Schaeffer?
JANE                             ADAM
No.                             Yes.
ADAM
Well....
(shrugs awkwardly )
PETER
Look what we've got.
ADAM
(raises the blueprints)
Your plans.
JANE
(to Peter)
So excited!"|unknown
138||8   INT. JANE'S SMALL OFFICE - UPSTAIRS AT THE BAKERY             8|location
139||"A farmhouse table almost fills the room. On the walls,
posters for Jane's two cookbooks, framed food photos and a
few reviews.
Jane, Peter, and Adam sit around the table as Adam rolls out
the blueprints in front of Jane.
JANE
(before she looks)
I've been thinking about this
addition for ten years.
Peter and Adam watch as Jane's eagle eye examines the plan.
11."|unknown
140|JANE|"Uh-huh, uh-huh. Oh, niiice....I
like this wall of windows, Peter."|speech
141|PETER|That was Adam actually.|speech
142||JANE|unknown
143|PETER|Oh.|speech
144||(still perusing, then to|unknown
145||Peter)|stage direction
146|PETER|"Love where you put the stairs.
That's so good!"|speech
147|PETER|Adam's idea...|speech
148||Did she hear that?|location
149|JANE|"Oh my God, the kitchen! Finally -
I have a real kitchen with four
walls... It's...oh, wow...you
actually understood what I wanted!"|speech
150||"Jane looks to Peter with enormous appreciation.   Peter looks
to Adam."|location
151||PETER|unknown
152|JANE|All Adam.|speech
153||Jane turns to Adam.|location
154|ADAM|I'm happy you like it.|speech
155||(finally noticing him)|unknown
156|JANE|Okay. Hi.|speech
157||(shakes his hand)|unknown
158||(laughs)|unknown
159|ADAM|Hello.|speech
160|JANE|You read all my e-mails.|speech
161|ADAM|All 47 of them.|speech
162||12.|unknown
163||"Jane smiles as her Office Manager sticks her head in the
door."|location
164|OFFICE MANAGER|Jane, it's 10:15.|speech
165||JANE|unknown
166|OFFICE MANAGER|It is?|speech
167||(rises)|unknown
168|OFFICE MANAGER|"Oh, sorry, I have a 10:30...
dentist. Can you leave these and
I'll make a few notes? Well,
actually, I have one tiny note now."|speech
169||(to Adam, re: plan)|unknown
170|OFFICE MANAGER|"In my bathroom...um...no his and
her sinks."|speech
171|ADAM|Okay, sure. No his?|speech
172||JANE|unknown
173|ADAM|Just hers.|speech
174|ADAM|"And you don't think in the future
you might want a his?"|speech
175|JANE|"Oh, God, we're talking code about
my life, right?"|speech
176||(laughs)|unknown
177|ADAM|No, no, didn't mean to be.|speech
178|JANE|"The truth is, in my current
bathroom, I have two sinks and
sometimes the other sink makes me
feel bad."|speech
179|ADAM|"One sink. Not a problem. Can we
schedule a meeting for next week?
Does Tuesday work for you?"|speech
180|JANE|"Tuesday's great. Eight-thirty too
early? At the house?"|speech
181|ADAM|I'll be there.|speech
182||13.|unknown
183||9   INT. DOCTOR'S OFFICE - FOLLOWING                              9|location
184||"Way too chic for a dentist's office. Jane sits nervously in
a chair in a well styled, well upholstered examination room.
The door opens quickly and a handsome, crisp looking DOCTOR
ENTERS.
JANE
Hi.
DOCTOR
Hi. I'm Dr. Moss.
JANE
(shaking his hand)
Hi. Jane Adler. So, I just wanted
to start with... and please don't
take this the wrong way but I'm the
type of person who kind of makes
fun of people who get plastic
surgery.
DR. MOSS
I understand.
JANE
You do? Good, because, you know,
some women can look a little fake
and plasticky. And in my opinion --
worse.
DR. MOSS
I agree.
JANE
Oh, that's good, so, well, as
against the whole thing as I am, I
do have a problem that's been
bugging me. My left eyelid is
really saggy. I find I'm sometimes
holding it up when I'm watching TV
or reading and I was wondering if
that's something you could fix.
DR. MOSS
(looking at her closely)
It's resting on your eye lashes.
JANE
Is it?
14.
DR. MOSS
(measures her lids with a"|unknown
185||"Actually you have the same amount
of excess skin on both sides."|stage direction
186||JANE|unknown
187||"I do? Well, I'm only interested in
fixing one eye."|stage direction
188||DR. MOSS|unknown
189||"Jane, what you need to fix this is
a brow lift."|stage direction
190||JANE|unknown
191||"A brow lift? Wh-what is that
exactly?"|stage direction
192||DR. MOSS|unknown
193||"We surgically cut at your hair
line. Incision goes right across
here."|stage direction
194||"(demonstrates on himself
by indicating a line
drawn like a headband)"|unknown
195||"Then we just lift the skin up a
little tighter across the skull."|stage direction
196||"(Jane nods, already hating
this)"|unknown
197||"We staple it back in place right
above your ears. Recovery isn't
all that bad but you could be
fairly numb and you'll probably
have a headache that lasts anywhere
from say 3 to 6 months."|stage direction
198||10   INT. ELEVATOR DOORS OPENING                               10|location
199||"Jane flies into the elevator, out of breath and a little
nauseous. She taps on the Lobby button.   The elevator moves
down. PING. The DOORS OPEN and Jane looks into an empty
hallway, facing a SIGN that reads, Santa Barbara Fertility
Center. Helping Couples Become Parents.
Jane hears someone is about to get on the elevator, steps
back toward the corner. A messy looking 5 YEAR OLD BOY
dashes in. Jane recognizes him. She looks up and Jake and
his wife, Agness, in oversized dark shades and a long black
dress (very Angelina Jolie) get on the elevator, obviously
mid-argument.
15."|unknown
200||"Agness' mood seems very dark today. They instantly shut up
when they realize Jane is in the elevator."|location
201||AGNESS|unknown
202|very tiny ruler)|Jane!|speech
203||JANE|unknown
204|very tiny ruler)|-- Hey..|speech
205||JAKE|unknown
206|very tiny ruler)|Hiii.|speech
207||JANE|unknown
208|very tiny ruler)|Hello.|speech
209||(pushing the Lobby button,|unknown
210||mumbles)|stage direction
211|AGNESS|-- Perfect.|speech
212|PEDRO|Jake, Jake, Jake, Jake. Jake.|speech
213|JAKE|"Hold on Pedro, I'm talking to
someone."|speech
214||"Pedro sits on the floor, crashing into the back wall of the
elevator."|location
215|AGNESS|Pedro, up! Now!!|speech
216||(she snaps)|unknown
217||Jane unconsciously holds up her left eyebrow.|location
218|JAKE|"What are you doing in this
building?"|speech
219||JANE|unknown
220|JAKE|Dentist.|speech
221|JAKE|You don't go to Sharon anymore?|speech
222|JANE|Uh, no... changed.|speech
223||"Jane looks at the fertility literature in Jake's hand just as
Jake slips it behind his back. An awful two seconds of
silence, then Jane notices a tattoo of a tiger on Agness'
back. It creeps her out."|location
224||"16.
Jake catches Jane's reaction, then thank God the doors open.
Jake leans down and picks up Pedro who instantly climbs up
his back.
JAKE"|unknown
225||Honey, don't do that..|stage direction
226||11   As they all EXIT THE ELEVATOR, Pedro has now made his way up|location
227||"11
to Jake's shoulders. Think chimpanzee. Agness' cell RINGS
and as she answers it --
JANE"|unknown
228||-- See you in the Big Apple.|stage direction
229||"Pedro is now resting on Jake's head.
JAKE
(trying to be nonchalant"|unknown
230||See you there.|stage direction
231||12   INT. JANE'S KITCHEN/DINING AREA - THAT NIGHT              12|location
232||"Jane and THREE OF HER GIRLFRIENDS are mid-meal. The wine is
flowing and the women are laughing. TRISHA has happily never
been married. JOANNE is widowed and DIANE is divorced. They
are all Jane's age and have been friends forever.
TRISHA"|unknown
233||That is beyond....|stage direction
234||"JANE
(laughing)"|unknown
235||"-- When the three of them got in
the elevator... between that and
the staples and the headache for
six months... it was the most
insane hour of my life."|stage direction
236||DIANE|unknown
237||-- Jake has lost his mind.|stage direction
238||JANE|unknown
239||Oh, I don't know...|stage direction
240||DIANE|unknown
241||"I know. First of all, he was a
complete prick for cheating on you."|stage direction
242||JANE|unknown
243||Well, can't disagree with that.|stage direction
244||17.|unknown
245|"with a kid on his head,
smiles)"|DIANE|speech
246||"And then he marries her... a known
lunatic."|location
247|"with a kid on his head,
smiles)"|JANE|speech
248||She has a big job.|location
249|"with a kid on his head,
smiles)"|TRISHA|speech
250||Why do you always say that?|location
251|"with a kid on his head,
smiles)"|JANE|speech
252||"Because she does. She runs the
whole marketing department at KY,
whatever that station's called so
she's not that big of a lunatic."|location
253|"with a kid on his head,
smiles)"|DIANE|speech
254||"Janey, come on, he cheats on you
with her, your 20 year marriage
ends then six months later she
leaves Jake for some random guy,
has a baby, leaves that guy,
marries Jake and she's not nuts?"|location
255|"with a kid on his head,
smiles)"|JANE|speech
256||(groans)|unknown
257||Jo, you're so lucky Jerry's dead.|location
258|"with a kid on his head,
smiles)"|JOANNE|speech
259||Oh, thanks.|location
260|"with a kid on his head,
smiles)"|JANE|speech
261||"No, I mean, you never have to bump
into him."|location
262|"with a kid on his head,
smiles)"|JOANNE|speech
263||That's true.|location
264|"with a kid on his head,
smiles)"|TRISHA|speech
265||(rises to get more wine)|unknown
266||"Janey, you want to meet a guy I met
on Match.com that I didn't like?"|location
267|"with a kid on his head,
smiles)"|JANE|speech
268||"Gee, what a great offer.   I don't
think so."|location
269|"with a kid on his head,
smiles)"|TRISHA|speech
270||He wasn't that awful.|location
271|"with a kid on his head,
smiles)"|JANE|speech
272||Oooo. Sounding better every minute.|location
273||18.|unknown
274||Trisha stops at Jane's seat, refilling Jane's wine glass.|location
275|TRISHA|"You know it's not healthy not to
have sex for...however long it's
been..."|speech
276|JANE|"Trust me... I'm not not doing it on
purpose."|speech
277|DIANE|"Okay. I don't know if this is true,
but I read on line about this woman
who hadn't done it in so long her
vagina closed up."|speech
278||JANE|unknown
279|DIANE|What!!!    Get out of here.|speech
280||All the Women SCREAM.|location
281|DIANE|"I swear to God. It grew back
together."|speech
282|JOANNE|Wait. Was it ever one piece?|speech
283|DIANE|"All I know is, she had to have a
vaginaplasty."|speech
284||TRISHA|unknown
285|DIANE|Ouch!!!!|speech
286|JANE|Oh my Goddddddd.|speech
287||Jane flops over on the table, laughing, resting her head.|unknown
288||(lifts her head, then|unknown
289||"talks as if she's in the
doctor's office)"|stage direction
290|JANE|"""Dr. Moss, Hi. I have a little
situation that needs fixing...."""|speech
291|TRISHA|"Bubbee, you want to fix your
situation? Just date someone.
Seriously. Anyone."|speech
292||"19.
As Jane takes that in, we:
CUT TO:"|unknown
293||16    EXT. THE PARK REGENT HOTEL - NYC - DAY                        16|location
294||"CAMERA BOOMS DOWN ON Park Avenue to find Jane, the Girls and
Harley, just out of a Cab. The Bellman is taking their
luggage as the Girls spot their brother, LUKE, heading toward
them.
Lauren and Gabby run to Luke, hug him, commenting on his
hair, his shoes, his jeans, his tan. Jane lights up when she
sees her son, hugs him incredibly hard, kisses his cheek,
then another tight squeeze.
JANE
Love when we're all in the same
time zone."|unknown
295||A17   INT. THE PARK REGENT LOBBY - MOMENTS LATER                A17|location
296||"They all cross THROUGH THE LOBBY toward the RECEPTION DESK.
HARLEY
So, what's up Luke?      Did you decide
to have the party?
LUKE
Oh, yeah.    Big time.
JANE
What party?
LUKE
Are you guys gonna sleep over?
LAUREN
If you give us your bed and change
the sheets.
They arrive at THE RECEPTION DESK.
JANE
You're having a party? When?"|unknown
297||"Hi. Adler. Two rooms...hopefully
next to each other.
20."|unknown
298|RECEPTION CLERK|"I have an Adler, J. in a Superior
Suite, Park Avenue view. Oh, I'm
sorry, here it is. Adler J -- two
Standard Doubles. Sorry about
that."|speech
299||JANE|unknown
300|RECEPTION CLERK|"Yeah, we're not the ones in the
Superior Suite. Have the other
Adlers checked in yet? Just
wondering."|speech
301|RECEPTION CLERK|"No, they haven't, ma'am. Not yet.
Now I just need a credit card and
your signature."|speech
302||As Jane takes out her credit card...|location
303|LUKE|"-- Mom, is it okay if the girls
come with me now and help me set
up?"|speech
304|HARLEY|"And by girls he means the three of
us."|speech
305|JANE|"Wait. Hold on. Set up what? I have
reservations for all of us for
dinner. That's not happening now?"|speech
306|LUKE|"I don't know. Me and my friends
are having this huge thing at our
apartment and the girls said they'd
help us set up.."|speech
307||(sees her disappointment)|unknown
308|LUKE|"We're going to be together all day
tomorrow."|speech
309|GABBY|"-- Mom, it's his last night before
graduation."|speech
310||JANE|unknown
311|GABBY|"Okay, okay.    Do you want me to
help or..."|speech
312||"21.
LUKE
(super sweetly)"|unknown
313||-- Love your credit card....|stage direction
314||17   INT. HOTEL ELEVATOR - MOMENTS LATER                      17|location
