|character|text|type
0||"""GOOD WILL HUNTING""
by
Matt Damon & Ben Affleck"|unknown
1||FADE IN:|stage direction
2||EXT. SOUTH BOSTON ST. PATRICK'S DAY PARADE -- DAY|location
3||CUT TO:|unknown
4||INT. L STREET BAR & GRILLE, SOUTH BOSTON -- EVENING|location
5||"The bar is dirty, more than a little run down. If there is
ever a cook on duty, he's not here now. As we pan across
several empty tables, we can almost smell the odor of last
nights beer and crushed pretzels on the floor."|stage direction
6|CHUCKIE|"Oh my God, I got the most fucked up
thing I been meanin' to tell you."|speech
7||"As the camera rises, we find FOUR YOUNG MEN seated around a
table near the back of the bar."|stage direction
8|ALL|Oh Jesus. Here we go.|speech
9||"The guy holding court is CHUCKIE SULLIVAN, 20, and the largest
of the bunch. He is loud, boisterous, a born entertainer.
Next to him is WILL HUNTING, 20, handsome and confident, a
softspoken leader. On Will's right sits BILLY MCBRIDE, 22,
heavy, quiet, someone you definitely wouldn't want to tangle
with.
Finally there is MORGAN O'MALLY, 19, smaller than the other
guys. Wiry and anxious, Morgan listens to Chuckie's horror
stories with eager disgust.
All four boys speak with thick Boston accents. This is a
rough, working class Irish neighborhood and these boys are
its product."|stage direction
10|CHUCKIE|"You guys know my cousin Mikey
Sullivan?"|speech
11|ALL|Yeah.|speech
12|CHUCKIE|"Well you know how he loves animals
right?  Anyway, last week he's drivin'
home..."|speech
13||(laughs)|location
14|ALL|What? Come on!|speech
15||(trying not to laugh)|location
16|CHUCKIE|"I'm sorry, 'cause you know Mikey,
the fuckin guy loves animals, and
this is the last person you'd want
this to happen to."|speech
17|WILL|Chuckie, what the fuck happened?|speech
18|CHUCKIE|"Okay. He's driving along and this
fuckin' cat jumps in front of his
car, and so he hits this cat--"|speech
19||Chuckie is really laughing now.|stage direction
20|MORGAN|--That isn't funny--|speech
21|CHUCKIE|"--and he's like ""shit! Motherfucker!""
And he looks in his rearview and
sees this cat -- I'm sorry--"|speech
22|BILLY|Fuckin' Chuckie!|speech
23|CHUCKIE|"So he sees this cat tryin to make it
across the street and it's not lookin'
so good."|speech
24|WILL|"It's walkin' pretty slow at this
point."|speech
25|MORGAN|You guys are fuckin' sick.|speech
26|CHUCKIE|"So Mikey's like ""Fuck, I gotta put
this thing out of its misery""--So he
gets a hammer--"|speech
27|WILL/MORGAN/BILLY|OH!|speech
28|CHUCKIE|"out of his tool box, and starts
chasin' the cat and starts whackin'
it with the hammer. You know, tryin'
to put the thing out of its misery."|speech
29|MORGAN|Jesus.|speech
