|character|text|type|character_clean|gender|principal_character
0||"""KATE AND LEOPOLD""
Screenplay by
James Mangold and Steven Rogers
Based on a story by
Steven Rogers"|unknown|||
1||FADE IN:|stage direction|||
2||INT. VICTORIAN ESTATE - 1895 - DAY|location|||
3||"CLOSE UP: Ornate antique GRANDFATHER CLOCK strikes 2:15.
The credits begin to roll.
Calligraphy place cards are painstakingly hand-written in
preparation for a formal reception.
Servants meticulously clean an elaborate crystal chandelier.
Hands rapidly shine silver cutlery.
Fresh flowers arranged in several enormous vases."|stage direction|||
4||INT. KITCHEN - DAY|location|||
5||"Kitchen clock strikes 2:15.
Poultry plucked. Feathers everywhere.
Steaming copper pots boiling over. Platters prepared with
decorative garnish.
Extravagant tiered cake is lavishly iced. A glob of frosting
enters a pair of puckered lips. The perpetrator, a fey,
pompous, HEAD VALET, seriously considers the texture and
flavor of the icing, then gives the PASTRY CHEF a withering,
sour look.
The valet, oblivious to the chef's fury, gathers a prepared
silver breakfast tray and checks his pocket watch. 2:15."|stage direction|||
6||INT. BEDROOM - DAY|location|||
7||"Antique bedside table clock -- just past 2:15. The valet
throws open velvet drapes, sunlight FLOODS the room revealing
a figure sleeping soundly in a massive oak framed bed. The
valet puts down the tray, pulls back the quilt.
The dozing figure gives the valet a deliberate, angry KICK.
Flinching infinitesimally, the valet crosses to the closet,
selects three suits and holds them up for inspection. From
beneath the puffiest of pillows, AN EYE reluctantly opens. A
weary arm points decisively to the riding outfit."|stage direction|||
8||EXT. ESTATE - DAY|location|||
9||"The riding outfit is adorned by LEOPOLD, Duke of Albany, a
dashing, virile man in his 30's. GALLOPING with great abandon,
he expertly leads his horse up hills and over hedges. He
sends gardeners shaping the grounds fleeing from his path.
In the background, lanterns are being strung throughout the
estate. Rugs are beaten out of open windows."|stage direction|||
10||INT. HALLWAY - EVENING|location|||
11||"Large hallway clock -- 6:15. A pair of boots track a freshly
scrubbed floor as Leopold heads carelessly up the stairway.
Three steps behind, the valet snaps his fingers signaling
the staff to clean up the mess.
SERIES OF CLOSE UPS
Gaudily framed portraits of somber relations.
A bird sits listless in a gilded cage.
Hot water is poured into a bath.
Carriages begin to arrive.
Orchestra leader signals the musicians to play.
Guests fill the ballroom in formal attire."|stage direction|||
12||INT. BEDROOM - NIGHT|location|||
