|character|text|type|character_clean|gender|principal_character
0||FADE IN:|stage direction|||
1||EXT. SUBURBIA - NIGHT|location|||
2||"A beautiful late summer night.  Crickets chirping, sprinklers
sprinkling.
We PAN across one particular lawn, up one particular tree,
where we see THE PEEPER (Jon Lovitz) sitting on a limb.  He
has a bottle of wine, some sandwiches, a Walkman.  Suddenly
the lights turn on."|stage direction|||
3||(whispering)|location|||
4|PEEPER|Showtime!|speech|PEEPER|M|True
5||"We see a young mother walk into the room outside the Peeper's
window.  She is wearing business attire."|stage direction|||
6|PEEPER (CONT'D)|Rough day at the office Mrs. Dunleavy?|speech|PEEPER|M|True
7||(takes bite of sandwich)|location|||
8|PEEPER (CONT'D)|"Well you'll feel better once you slip
off those work clothes and get into some
sweats."|speech|PEEPER|M|True
9||"The mother sits on the bed and pulls off her shoes, rubbing
her feet."|stage direction|||
10|PEEPER (CONT'D)|"Oh my G-D, yes!  I wish you would let me
rub those feet.  Of course I wouldn't
use my hands.  Heh heh heh heh..."|speech|PEEPER|M|True
11||"He sips some wine.
The mother starts to unbutton her blouse.  She takes it off,
revealing a nice bra."|stage direction|||
12|PEEPER (CONT'D)|"Looks like Victoria just told me her
secret."|speech|PEEPER|M|True
13||"The peeper frantically writes in a dirty notebook.  Mouthing
the words as he goes."|stage direction|||
14|PEEPER (CONT'D)|"Thursday the ninth, eight-thirty p.m.,
first brassiere sighting..."|speech|PEEPER|M|True
15||(stops writing)|location|||
16|PEEPER (CONT'D)|"I will pleasure myself to this image for
months.  MONTHS I TELL YOU!"|speech|PEEPER|M|True
17||"The mother starts to unbutton her pants.  Her young son walks
in wearing a scouts uniform."|stage direction|||
18|PEEPER (CONT'D)|"Young Scottie Dunleavy.  What
unfortunate timing.  You mother was just
getting comfy."|speech|PEEPER|M|True
19||The son talks to his mother excitedly.|stage direction|||
20|PEEPER (CONT'D)|"Yes, yes, I'm sure you tied many great
knots today or whatever.  Now get out."|speech|PEEPER|M|True
21||The son, not going anywhere, sits in a chair.|stage direction|||
22|PEEPER (CONT'D)|Now what.  This simply won't do.|speech|PEEPER|M|True
23||"The peeper takes out a cell phone and dials.  The son
answers."|stage direction|||
24|SCOTTIE|Hello?|speech|SCOTTIE|M|
25|PEEPER|"Hello, Scottie.  Why don't you go
downstairs like a good boy and let your
mother freshen up."|speech|PEEPER|M|True
26|SCOTTIE|Who is this?|speech|SCOTTIE|M|
27|PEEPER|"Just a little birdie.  A birdie who
wants to see if your mother's panties
match her bra."|speech|PEEPER|M|True
28|MOTHER|"Oh my G-D Scottie.  Is there a man up
our tree?"|speech|MOTHER|F|
29||The peeper gets nervous.|stage direction|||
30|PEEPER|"Tell her no.  Tell her it's just a big
bird."|speech|PEEPER|M|True
31||"The peeper starts flapping his arms and making bird noises.
We SEE Scottie with his sling shot.  The mother nods yes.  He
shoots it.  It hits the peeper square in the head.  He falls
to the ground with a thud."|stage direction|||
32|PEEPER (CONT'D)|"Mrs. Dunleavy, please come help me.  And
wear your bikini."|speech|PEEPER|M|True
33||"The peeper looks up.  He sees Scottie pushing a television
out the window.  It lands on top of the peeper.  He's dead."|stage direction|||
34||HARD CUT:|unknown|||
35||INT. HOLE - DAY|location|||
36||"The peeper is zooming down a hole, walls of dirt racing by on
all sides.
The peeper is falling down, down, down.  The whole way
screaming like a five-year old girl.
PEEPER'S POV
We see the tunnel turn into more of a slide now and the
peeper races towards the opening which is lit by fire.  He
SCREAMS."|stage direction|||
37||EXT. FIRE GATES OF HELL|location|||
38||"We see the GATE/WALL OF FLAMES.  We hear screaming.  Wham!
We see the peeper come flying through the flames and land in
a heap in a shallow pit of coals.
Dazed, he stands and we see other people shooting through the
fire wall at different levels.  (NOTE: All the arrivals
clothes are now burned & shredded)."|stage direction|||
39|GATEKEEPER (O.S.)|Welcome!|speech|GATEKEEPER|M|True
40||"The peeper looks left to see the GATEKEEPER standing at his
station greeting the new SOULS with mock cheer."|stage direction|||
41|PEEPER|Am I in hell?|speech|PEEPER|M|True
42|GATEKEEPER|What do you think?|speech|GATEKEEPER|M|True
43||"A GIANT BIRD appears and bites the peeper's crotch area.  We
leave the peeper in the pit and tilt up to...
MATTE PAINTING HELL
MUSIC UP: ""RUNNING WITH THE DEVIL"" BY VAN HALEN
The VAST and insane kingdom of Hell.  A road leads toward it
like the yellow brick road only with fire and coals.  We see
the black castle in the distance.  The camera zooms into the
castle, to one particular window."|stage direction|||
44||INT. NICKY'S ROOM - DAY|location|||
45||"Looks like an American teenager's room - models, a dresser,
heavy metal posters (tons of OZZY stuff) everywhere (but no
bed - Devils don't sleep).  Nicky is air guitaring to the
song.  Over at the stereo, we see the cassette playing titled
""NICKY'S MONSTER METAL MIX.""
The head demon, JIMMY THE DEMON, opens the door, scaring
NICKY who falls backward into the table, breaking it."|stage direction|||
46||(embarrassed)|location|||
47|NICKY|Hey...|speech|NICKY|M|True
48|JIMMY THE DEMON|"Your father wants to see you and your
brothers in the throne room."|speech|JIMMY THE DEMON|M|True
49|NICKY|"Okay, but Jimmy, when the house is
rockin', don't forget the knockin'!"|speech|NICKY|M|True
50||INT. BLACK PALACE THRONE ROOM - DAY|location|||
51||"ADRIAN and CASSIUS are playing darts.  They're aiming for
people's faces that are coming through the wall."|stage direction|||
52|CASSIUS|I knew it.  He's finally retiring.|speech|CASSIUS|M|True
53|ADRIAN|"I've been waiting on this day for ten
thousand years."|speech|ADRIAN|M|True
54||He throws a dart that hits one of the heads in the forehead.|stage direction|||
55|HUMAN DARTBOARD|Aaaah!|speech|HUMAN DARTBOARD|?|
56|CASSIUS|"If the old man picks me to take over
Hell, I'll keep the torture going twenty
four seven.  No breaks."|speech|CASSIUS|M|True
57|ADRIAN|"Well Dad says it's the breaks that make
the torture.  You have to let people
feel a sense of relief."|speech|ADRIAN|M|True
58||"Cassius whips a dart which hits one of the HUMAN DARTBOARDS
in the eye."|stage direction|||
59|HUMAN DARTBOARD|Aaaaaaaaaaaah!|speech|HUMAN DARTBOARD|?|
60|ADRIAN|"Then again, the beauty of Dad retiring
is what he says doesn't matter anymore."|speech|ADRIAN|M|True
61||Cassius pulls out the dart.  The eye comes with it.|stage direction|||
62|CASSIUS|I'll take that.|speech|CASSIUS|M|True
63||"Cassius throws the eye on the ground and stomps it.  THWACK!
It splatters like a grape."|stage direction|||
64|HUMAN DARTBOARD|Was that really necessary?|speech|HUMAN DARTBOARD|?|
65||Nicky enters sheepishly.|stage direction|||
66|CASSIUS|"Hey, how's Daddy's little girl doing
today?"|speech|CASSIUS|M|True
67|NICKY|Good, thanks.|speech|NICKY|M|True
68||Cassius snaps his fingers in Nicky's face.|stage direction|||
69|CASSIUS|Hey. Hey. Hey.  Wanna mind wrestle?|speech|CASSIUS|M|True
70||Cassius' eyes start glowing red.|stage direction|||
71|NICKY|Actually, I'll take a rain check on0|speech|NICKY|M|True
72||"Nicky is slammed into a nearby desk as if by an invisible
force."|stage direction|||
73|CASSIUS|Got ya!|speech|CASSIUS|M|True
74||(picking up his head)|location|||
75|NICKY|Yes, you got me...|speech|NICKY|M|True
76||Nicky's head slams back down again.|stage direction|||
77|CASSIUS|Got ya, again!|speech|CASSIUS|M|True
78||(picking head up)|location|||
79|NICKY|Got me for sure, yes...|speech|NICKY|M|True
80||"He grabs a lamp off the desk and cracks himself over the
head."|stage direction|||
81|CASSIUS|Got ya!  Now here's the big finish...|speech|CASSIUS|M|True
82||"Nicky frowns as he finds his own right hand heading for his
own crotch."|stage direction|||
83|NICKY|Oh no.  Please Cassius...|speech|NICKY|M|True
84||"Nicky's hand is being possessed.  It gets closer and closer
until it latches on to Nicky's crotch."|stage direction|||
85|NICKY (CONT'D)|Aaaaah.|speech|NICKY|M|True
86||"Cassius concentrates even harder, making Nicky twist his own
hand.  Nicky screams even louder.  Adrian smiles.  They don't
notice that DAD, wearing a sweatsuit (and with very small
devil horns), enters behind them."|stage direction|||
87|DAD|What are you boys doing?|speech|DAD|M|True
88||Cassius releases Nicky's hand.|stage direction|||
89|NICKY|"Nothing, Dad.  Just re-arranging the
furniture."|speech|NICKY|M|True
90|DAD|"Cassius, didn't I tell you to stay out
of your brother's mind?"|speech|DAD|M|True
91|CASSIUS|I forgot.|speech|CASSIUS|M|True
92|DAD|Maybe this will help you remember.|speech|DAD|M|True
93||"Dad's eyes flash red and Cassius punches himself hard in the
nose, sending him back against the wall and down to the
floor.
Dad gives Nicky a wink.  Nicky smiles.  Dad has an air of
confidence and power."|stage direction|||
94|DAD (CONT'D)|Now everybody sit down.|speech|DAD|M|True
95|NICKY|"Hey, Dad, I'm almost finished laying
down my monsters of metal compilation
tape.  I really think it's a
masterpiece."|speech|NICKY|M|True
96|DAD|Okay, kid, we'll listen to it later.|speech|DAD|M|True
97||"He leads the boys to the throne area.  We see outside the
window the peeper staring in sexily.  Dad looks, shakes his
head.  Just then, THE BIRD appears and attacks him.  Dad
closes the curtains.
Nicky, Adrian and Cassius sit on little stools at the foot of
his throne.  Dad lights a cigarette with his finger, the tip
of which glows red like a cigarette lighter and looks down at
his three sons."|stage direction|||
98|DAD (CONT'D)|"My dad, your granddad, Lucifer, was
thrown out of Heaven by G-d and rules
here in hell for ten thousand years.
And after this ten thousand years had
passed, he decided to abdicate his
throne..."|speech|DAD|M|True
99||Confused, Nicky sheepishly raises his hand.|stage direction|||
100|DAD (CONT'D)|...to step aside.|speech|DAD|M|True
101||(Nicky lowers his hand)|location|||
102|DAD (CONT'D)|"...and let me become the ruler of hell.
This, as some of you might know, is my
ten thousandth year as Prince of
Darkness.  So I think the time has come
to discuss who will succeed me."|speech|DAD|M|True
103||Jimmy the Demon walks in.|stage direction|||
104|JIMMY THE DEMON|Knock, knock.|speech|JIMMY THE DEMON|M|True
