|character|text|type
0||"GHOST RIDER
Written by
David S. Goyer
Based on the Marvel Comics character
First draft
April 11th, 2001"|unknown
1||EXT. HIGH PLAINS - HILLSIDE - DAY|location
2|unknown|"A COYOTE lopes through shimmering heat waves. The sky above
is a cloudless blue.
WOMAN (V.O.)
My Father used to say that the only way
Evil came into your life was if you
invited it. I'm not sure about that, at
least not anymore. What I cLQ know is
this: we are born alone, and we die
alone, and what happens in between is all
that matters. The choices we make, the
people whose paths we cross -- these are
the things that determine our fate.
The coyote ducks through a hole in a chain-link fence, weaves
through the rusted ruins of a --
DERELICT AMUSEMENT PARK
Broken-down rides, weed-clogged machinery, sideshow trailers
bleached bone-white.
WOMAN (V.0.) (CONT'D)
Most stories start with a beginning. His
began with an ending. I never knew where
he really came from. I guess it's not
important anymore. All I know is that
he'd been running his entire life.
Running for so long that he no longer
knew whether he was running away from"|speech
3|SOMETHING --|"The coyote reaches a steep ridge, looks out over a patchy
Southwestern town.
WOMAN (V.0.) (CONT'D)
-- or towards it.
SMASH CUT TO:"|speech
4||INT. BAD IRON BIKE REPAIR - DAY|location
5|SOMETHING --|"Sparks, noise, metal and grime. JOHN BLAZE (30s, ruggedly
handsome) is running late. He sprints across the workshop
floor, shedding his welder's kit as he heads for the time clock.
CLUNK! He punches out -- but LITTLE MIKE (50s, trailer trash
fast) has caught him in the act."|speech
6|LITTLE MIKE|where do you chink you're going, Blaze?|speech
7|(CONTINUED)|2.|speech
8|"CONTINUED:
BLAZE"|Sick, cutting out early.|speech
9|LITTLE MIKE|"The hell you are!
Blaze jumps on his bike - a muscular, battered BSA.
LITTLE MIKE (CONT'D)
Get back to work or your ass is fired!"|speech
10|BLAZE|"Aaa n? You say that every time.
Blaze kicks-starts the bike. It ROARS thunderously."|speech
11|LITTLE MIKE|"(over the noise)
Well I mean it this time!"|speech
12|BLAZE|"(gunning the throttle)
See you tomorrow, Little Mike!
The bike HOWLS, hauls up on its back wheel. Screams out the
shop leaving Little Mike holding his ears. The other workers
WHOOP and HOLLER, especially when Blaze snags a pair of BOLT-
CUTTERS from a passing tool rack on the fly."|speech
13||EXT. BAD IRON SHOP YARD/DIRT ROAD - DAY|location
14|BLAZE|"Blaze skids out of the yard, matching speed with a pickup
which is just passing by. COOP is driving. JED and MURPHY
are LAUGHING in back. Clearly, they're friends with Blaze."|speech
15|"JED
(SHOUTING)"|Skin of your teeth, man!|speech
16|MURPHY|"(tapping his watch)
Yeah, we're on a tight schedule!"|speech
17|BLAZE|"So what are you waiting for?
Blaze burns away, leaving the pickup for dust."|speech
18|CUT TO:|3.|speech
19||EXT. HIGH PLAINS - DAY|location
20|CUT TO:|"A FREIGHT TRAIN thunders across the landscape. To the East
Blaze and the pickup are coming on an intercept course.
Blaze reaches the train first, climbs the gravel incline to
the tracks. Matches its speed, pulls up alongside a bolted
container car. He reaches back, pulls the cutters from his
saddles bags --
-- and skillfully chops the lock with one hand. The heavy
iron door slides open, pulled back by it's own inertia.
Blaze throws the cutters inside, peels away --
-- and comes back with a vengeance, throttled to the max. He
jams the front brake on at the last possible moment --"|speech
21||The bike cartwheels. Tail over head. Pulls a complete three-|stage direction
22|CUT TO:|"sixty up into the car --
INSIDE THE CAR
-- and lands perfectly, screeching to a halt. Blaze WHOOPS
his exhilaration. And if you don't believe this, watch
extreme motocross as we CUT TO:
THE OPPOSITE DOOR
being wrenched aside, revealing Coop's pickup holding steady
alongside the train. Jed and Murphy ride the cargo bed like
surfers."|speech
23||Blaze starts tossing boxes out of the car and into the truck.|stage direction
24|CUT TO:|Jed and Murphy stack `em and rack `em. We get glimpses of|speech
25||the loot: CD Players, VCRs, personal packages, luggage --|stage direction
26|JED|Christ, Mickey was right on the money!|speech
27|BLAZE|Car twenty-two!|speech
28|"MURPHY
(LAUGHING)"|"Candy from a baby!
The boxes keep coming, like baggage at the airport. Some
boxes miss the mark, fall short, get mangled. A box bursts
against Murphy's chest, engulfs him in an explosion of paper
and polystyrene beads. The others howl with LAUGHTER, riding
high on this Great Train Robbery as -
- ( C O N T I NUED)
4."|speech
29|CONTINUED:|"-- Blaze hears something, looks over his shoulder. He SEES a
POLICE CRUISER, far in the distance, burning towards them."|speech
30|BLAZE|"Thank you gentlemen, that's it for today!
Jed bangs on the cab roof. Coop waves. Jed and Murphy
salute. The pickup peels away. Blaze retrieves his bike.
Stands it back up, kicks it alive, guns the throttle and --
-- cold jumps straight out of the car. Seconds later he's
powering away, ripping up a storm, chasing the pickup towards
the horizon."|speech
31||Far, far behind, the police are still coming.|stage direction
32||"CUT TO:
INT. SIMPSON HOME - DINING ROOM - NIGHT"|location
33|BLAZE|"CHUCK AND RITA SIMPSON (50s) are eating Chinese food with
their daughter, ROXANNE (20s) and Blaze. Roxanne is
beautiful, easygoing. She's also seven months pregnant.
The Simpsons are simple, working-class folk. Judging by the
strained atmosphere, it's evident that they don't care too
much for Blaze."|speech
34|"RITA
(TO CHUCK)"|"Hon, would you pass me the vegetables.
Chuck obliges, takes a drink of his beer, nods to Blaze."|speech
35|CHUCK|So how're things going at the shop, John?|speech
36|BLAZE|"(scarfing down his food)
Good, good."|speech
37|CHUCK|"(not buying it)
Yeah? Cause Mike says you've been
slacking off, horsing around."|speech
38|ROXANNE|(annoyed, protective)|speech
39|"DALD __
BLAZE
(ALL SMILES)"|It's okay, Rox.|speech
40|(CONTINUED)|S.|speech
41|CONTINUED:|"Blaze sets his fork down, wipes his mouth with his napkin.
Conjures up his best earnest look."|speech
42|BLAZE (CONT'D)|"Truth is, Mr. Simpson, I've been thinking
about clearing out of there. Maybe
opening up a shop of my own --
Roxanne raises an eyebrow at this. News to her.
BLAZE (CONT' D)
See, I've been saving up. You know, for
the baby and all. And I--
DOORBELL. Roxanne rises to get it."|speech
43|CHUCK|You were saying?|speech
44|BLAZE|(distracted, looking to the|speech
45||"Right, so anyway --
ROXANNE (O. S . )"|stage direction
46|JOHN --|"Blaze looks over. Two Sheriff's Deputies, LUCAS COLE and
RICK GEORGE, are standing in the doorway. Roxanne looks
pissed -- like this isn't the first time this has happened.
Blaze stands, approaches. Clearly, he knows them both."|speech
47|BLAZE|"(cocky, wary)
Lucas. Rick."|speech
48|COLE|"Johnny. We'd like you to come down the
station.
Their demeanor is hard. Won't take ""no"" for an answer."|speech
49|"BLAZE
(INSOLENT)"|"Can I finish eating?
Nope. Blaze squirms, feels Roxanne's eyes on him. He turns
to her, tries to explain."|speech
50|(CONTINUED)|6.|speech
51|"CONTINUED: (2)
BLAZE (CONT'D)"|Don't worry, hon. It's just routine --|speech
52|"ROXANNE
(TERSE)"|"It is by now. Just let me know if you're
staying overnight.
She goes back to her dinner."|speech
