|character|text|type|character_clean|gender|principal_character
0||FADE IN:|stage direction|||
1||1    EXT.  ROAD - DAY|unknown|||
2||"The TRACK is SILENT.
The CAMERA looks at a sign.  It reads:"|stage direction|||
3||"CAMP CRYSTAL LAKE
Established 1935"|unknown|||
4||"Gradually we can begin to hear, in the BG, the SOUNDS of
CHILDREN playing."|stage direction|||
5||CUT TO:|location|||
6||2    EXT. SOFTBALL FIELD - DAY|unknown|||
7||"In the BG a few dozen CHILDREN, in camp uniforms, are enjoying
a game of softball.
In the FG CLAUDETTE is looking for someone.  CLAUDETTE is 17
years old.  She is pretty.  She wears a t-shirt with ""Assistant
Counsellor"" written on it.  She fills out the shirt very well.
Failing to find whomever she is looking for, CLAUDETTE walks
quickly in the opposite direction.
The CAMERA holds on the game for a few seconds and we
SUPERIMPOSE:"|stage direction|||
8||JULY 4, 1958|unknown|||
9||The CHILDREN'S VOICES FADE slowly.|stage direction|||
10||CUT TO:|location|||
11||3    EXT. RIFLE RANGE - DAY|unknown|||
12||"ECU as a COUNSELLOR squeezes off a shot.
The paper target is ripped in the black.
The COUNSELLOR hands the weapon to a CAMPER who snaps in at the
line.
CLAUDETTE shouts up to the COUNSELLOR from the BG."|stage direction|||
13|CLAUDETTE|Have you seen Barry?|speech|CLAUDETTE|F|True
14||The COUNSELLOR smiles.  Shrugs.|stage direction|||
15|COUNSELLOR|"He and Chloe were at the Lodge last time
I saw him."|speech|COUNSELLOR|F|
16||CLAUDETTE leaves.  The COUNSELLOR smiles.|stage direction|||
17||CUT TO:|location|||
18||4    EXT. MAIN LODGE - DAY|unknown|||
19||"Two CHILDREN run by carrying Indian headdresses.  CLAUDETTE
passes them impatiently as she sees BARRY and CHLOE.
BARRY is leaning against the front rail of the porch, his arms
behind his head--the better to show off his physique to CHLOE,
and Assistant Counsellor, who is currently looking at him with
cow eyes.  In the BG we can hear a portable radio blaring out
an Everly Brothers hit.
BARRY is 17, handsome and out for all he can get.  He is not
ashamed for being caught with this other good-looking girl."|stage direction|||
20|CLAUDETTE|We've got to talk.|speech|CLAUDETTE|F|True
21||BARRY looks at CHLOE, then eases off the rail.  Nods.|stage direction|||
22|BARRY|Okay.|speech|BARRY|F|True
23||5    BARRY puts an arms around CLAUDETTE, looks over his|unknown|||
24||"shoulder at CHLOE, and saunters off with the former.
The Everly Brothers continue as we:"|stage direction|||
25||CUT TO:|location|||
26||6    EXT. LAKE - DAY|unknown|||
27||"From over the tops of a rack of canoes we see BARRY and
CLAUDETTE walking along the shore."|stage direction|||
28|CLAUDETTE|You said we were special.|speech|CLAUDETTE|F|True
29|BARRY|I meant everything.|speech|BARRY|F|True
30||In the BG, CHILDREN leap into the water.|stage direction|||
31||(continuing)|unknown|||
32|BARRY|You know what I said, though.|speech|BARRY|F|True
33|CLAUDETTE|I can't, Barry...|speech|CLAUDETTE|F|True
34||CUT TO:|location|||
35||7    EXT. FOREST - DAY|unknown|||
36||"The TRACK goes SILENT.
BARRY & CLAUDETTE walk along a path.  This is not an aimless
walk, for BARRY knows exactly where he wants to go.  He leaves
the path and goes to sit on a log in a small clearing.
CLAUDETTE hesitates, then goes to sit next to him."|stage direction|||
37|BARRY|I care very much.|speech|BARRY|F|True
