|character|text|type
0||"Gothika
by
Sebastian Gutierrez
REVISED SECOND DRAFT
December 8, 2002"|unknown
1||"The Woodward Forensic Institute (WFI) is a 175-bed Intermediate
Security treatment facility for male and female psychiatric
patients. Its primary clientele are those who have histories
of committing criminal offenses and are either committed to the
Department of Mental Health by the Circuit Courts of the State
or who are admitted under authority of an appointed guardian.
FADE IN:
OPENING CREDITS OVER QUICK CUTS:"|stage direction
2||INT. MIRANDA AND DOUG'S BEDROOM - DAWN|location
3||"PUSH in on a sleeping couple in the dark. The ALARM
CLOCK reads 5:59 AM. The woman's eyes open a second
before the alarm beeps and turns it off. She grabs a
glass of water on her bedside table and drinks it.
Climbs out of bed past typical bedside photographs
(wedding, vacation, etc.). This is MIRANDA GREY: 30,
sharp and prettier than she knows."|stage direction
4||INT. GYM SWIMMING POOL - MORNING|location
5||"Miranda slides through the water. Swimming cap on,
goggles. Her STEADY BREATHING takes us in and out of the
water. Something unsettling about this sound. Something
slightly unsettling too about her detached manner. A
person on autopilot, recognizing only the water and the
perfectly aligned lap stripes leading her path. Like
graphic metaphors for her own conscience: flat. She
emerges from the pool and self-consciously wraps herself
in a towel."|stage direction
6||INT. COFFEEHOUSE - MORNING|location
7||Miranda pays for a pair of coffees and a newspaper.|stage direction
8||INT. KITCHEN - MORNING|location
9||"Miranda's husband DOUGLAS GREY (older, a superficial
analysis would suggest a father figure) serves breakfast.
Miranda smiles thank you and goes back to studying a case
file. He sips from his takeout coffee and reads the
newspaper. A pleasant domestic scene. It's 8:00 AM."|stage direction
10||EXT. ST. ANNE'S HIGH SCHOOL PARKING LOT - MORNING|location
11||"Miranda's Volvo pulls in as students amble up the steps.
Doug kisses his wife and hops out. Exemplary carpoolers.
Students are already chatting him up as Miranda drives
off."|stage direction
12||EXT. WOODWARD INSTITUTE - ON A SURVEILLANCE MONITOR|location
13||"Miranda's car at some sort of guard gate. A BUZZER lets
her in. As the car drives past we read the plate on the
wall:"|stage direction
14||"(CONTINUED)
2."|unknown
15||"CONTINUED:
""WOODWARD FORENSIC INSTITUTE""
The gate shuts behind her with a certain finality as
we..."|stage direction
16||INT. WOODWARD INSTITUTE - MIRANDA'S OFFICE - EVENING|location
17||"Stark walls. Simple decor. Bookshelves packed with the
according psychiatric tomes and diplomas. Miranda faces
a troubled young mess of a woman, CHLOE: charismatic,
deranged and forever trying to provoke. Mid-session:"|stage direction
18|MIRANDA|"This is your stepfather who came
to visit you?"|speech
19|CHLOE|My stepfather?  No.   He's dead.|speech
20||(beat)|unknown
21|CHLOE|I killed him.|speech
22||"Miranda tries not to act surprised at this breakthrough.
Responds with the even keel of a trained psychiatrist."|stage direction
23|MIRANDA|"That's the first time you admit
it."|speech
24||CHLOE|unknown
25|MIRANDA|"So? There's a first time for
everything."|speech
26||(jotting this down)|unknown
27|MIRANDA|"It means you're finally past the
denial stage. This is good,
Chloe."|speech
28|CHLOE|"I never killed anyone who didn't
deserve it."|speech
29||MIRANDA|unknown
30|CHLOE|"You only killed your stepfather as
far as I know."|speech
31|CHLOE|"I should've taken care of my
mother. She knew all along.    You
remind me of her."|speech
32||"(CONTINUED)
3."|unknown
33||CONTINUED:|stage direction
34|MIRANDA|I remind you of your mother?|speech
35|CHLOE|"Always so put together. Like you
iron your underwear. Like your
pussy is the apricot of the
Promised Land and the bread of
the --"|speech
36||"(getting her back
on track)"|unknown
37|MIRANDA|"Let's get back to your visitor
last night."|speech
38|CHLOE|The Devil.|speech
39|MIRANDA|"Alright, the Devil. Why would the
Devil visit you? It's already
hell in here, what would he have
to gain?"|speech
40|CHLOE|He came to fuck an angel.|speech
41||(giggles at that)|unknown
42|CHLOE|I'm his dirty angel.|speech
43||"Before Miranda can analyze that one, the room LIGHTS FLICKER
AND DIE. Darkness. Miranda's breathing speeds up."|stage direction
