|character|text|type
0||"PROM NIGHT
Written by
William Gray
From a story by
Bob Guza
FINAL DRAFT"|unknown
1||EXT. ELEMENTARY SCHOOL - DAY|location
2|FADE IN:|"SUPER: April 27, 1973
All is quiet outside this suburban school on a sunny
Friday afternoon. Cars idle in the driveway awaiting
the three o'clock onslaught of liberated children.
Two faded yellow buses stand ready.
The lull is shattered by the CLANGING of the final BELL.
A swarm of children pours out the door and down the
broad front steps, scattering across the lawn toward
the cars and the buses.
Moving slowly through the crowd, ROBIN and ALEX HAMMOND,
nine-year-old identical twins, appear at the doorway..
Attractive, dark-haired children, they seem more sub-
dued than the others. As they walk quietly down the
stairs, Robin lags behind, staring at a boy teasing a
girl nearby. He is NICK MCBRIDE, eleven years old,
two grades ahead of Robin and the most popular boy in
school. The pretty girl laughing at his antics is KIM
HAMMOND, also eleven, Robin's older sister."|speech
3|ALEX|C'mon, Robin.|speech
4|"ROBIN
(STUTTERING BADLY)"|W-w-where's D-d-daddy?|speech
5|ALEX|"He's got a meeting at the high
school. We're supposed to walk
home with Kim...
(sees Robin watching
the young couple)
She's too busy. Let's go
by ourselves."|speech
6|ROBIN|N-n-n-no, Alex. Let's w-w-wait.|speech
7|ALEX|"Why?
Robin is staring at Nick. Alex looks, understands.
He's angry."|speech
8|"ALEX
(CONTINUING)"|You're crazy, I'm not waiting.|speech
9|"(CONTINUED)
CONTINUED :"|"He strides away. Robin's eyes remain on Nick and Kim.
Nick says something to Kurt. She shakes her head and
pains toward Robin. Robin quickly turns away as they
look at her.. When she glances back, Ki_m is walking
towards her and Nick is bicycling away."|speech
10|KIM|"Okay, let's go.
The sisters start to walk across the lawn."|speech
11|ROBIN|Y-you 1-1-like him?|speech
12|KIM|Who?|speech
13|"ROBIN
(SMILES SHYLY)"|Y-you know.|speech
14|KIM|"Nick? Oh, he's all right, I guess.
They walk on in silence with Robin stealing glances at
her big sister."|speech
15|"ROBIN
(FINALLY)"|Are y-y-you g-gonna m-in-marry him?|speech
16|KIM|"Robin?
Robin smiles and takes Kim's hand. They walk along the
road, kicking rocks and swinging their bookbags. Sud-
denly Kim halts."|speech
17|"KIM
(CONTINUING)"|"Oh, damn!
Robin looks up in surprise."|speech
18|"KIM
(CONTINUING)"|"Debbie was gonna lend me her new
record. Look, you go on home
by yourself. Tell Mom I'll be
a little late.
Before Robin can reply, Kim is hurrying away."|speech
19|(CONTINUED)|"3.
CONTINUED! (2)
Robin watches her go, then moves off alone, breaking
into a skip and playing imaginary hopscotch.
As she turns off the main road into a side street,
Robin passes a construction site. The empty skeleton
of a half-finished apartment building looms up above
the dark shade trees. Hearing VOICES, Robin stops to
investigate."|speech
20|"ROBIN
(CALLS OUT)"|"Alex?
The VOICES continue. Robin moves closer, peering
through the tall bushes surrounding the lot. She
sees Nick playing in.the framework with three of his
classmates. Robin recognizes JUDE CUNNINGHAM, and
KELLY LYNCH as Kim's two best friends. The fourth
child, WENDY RICHARDS, is a dark-haired girl, domin-
eering and loud. As Robin watches, Wendy jumps
up onto the floor of the building."|speech
21|WENDY|"I want to play 'Murder.' Who's
the killer?"|speech
22|NICK|You, Wendy!|speech
23|"JUDE
(GIGGLING)"|you, Nick.|speech
24|KELLY|Yes, Nick!|speech
25|"WENDY
(LAUGHING)"|"You'll never catch me. Hide your
eyes, killer!
As Nick turns his back, hiding his eyes against an ex-
posed beam, the children scatter through the structure.
Robin watches with mounting excitement as Nick finishes
counting, and whirls around."|speech
26|NICK|"The killer is coming for you!
He moves into the building, chanting ""Kill, kill.,"" in a
low monotone. As he disappears from view, Robin cau-
tiously edges out of the bushes and moves up to the
building.
NICK (O.S.
The killer strikes!"|speech
27||(CONTINUED)|location
28|NICK|4.|speech
29|1 CONTINUED; (3) I|"Robin hears Jude's SQUEAL of LAUGHTER. Nick has caught
her. Immediately Jude's VOICE TAKES UP the ""kill""
chant in unison with Nick."|speech
30||INT. APARTMENT BUILDING UNDER CONSTRUCTION - DAY 2|location
31|1 CONTINUED; (3) I|"Robin climbs up onto the floor and peers into the dark,
gloomy structure. Suddenly, she hears a SHRIEK. Ter-
rified, she backs against a wall. LAUGHTER FOLLOWS im-
mediately and Robin hears Kelly's VOICE TAKING UP the
chant. As the three ""killers"" move through the vast
structure searching for Wendy, ""KILL, KILT"" ECHOES off
the walls and hardwood floors.
Robin cautiously steps out of the doorway into the im-
mense unfinished lobby. Ominous shadows slash across
the floor as the excited girl listens to the relentless
CHANTING of the children.
Robin pushes on a makeshift wooden door. It slips off
its temporary hinges, crashing down to the floor. The
NOISE is like a rifle shot; suddenly, there is ABSOLUTE
SILENCE in the structure.
Petrified, Robin crouches behind a wall, waiting. The
CHANTING quickly RESUMES and she breathes a long sigh
of relief.
Robin moves through a dark corridor, hugging the walls.
Flushed with excitement, she imagines herself a ""killer""
searching for Wendy. As she moves past an empty room,
she hears a SOFT GIGGLE. Robin stops and listens care-
fully. Once again she hears the GIGGLE, LOUDER this
time, coming from nearby.
Stepping to a doorway, she leans around the corner and
peers inside. In the darkness she can see nothing.
Gathering her courage, she quietly slips into the room.
The room appears empty but a closet door is slightly
ajar. As Robin approaches, she hears a FAINT GASP from
behind her. Whirling around, she sees Wendy crouched
behind a cardboard box in the corner."|speech
32|"WENDY
(HISSING)"|"You better not tell!
Before Robin can react, she hears a THUD from above.
Looking up, she sees Nick's head appear through an
opening in the ceiling. Seeing Robin, then Wendy
standing in the corner, he howls in triumph."|speech
33|(CONTINUED)|5.|speech
34|"CONTINUED:
NICK
(CALLING OUT)"|"Here, killers, here!
Nick's head disappears from the opening and Robin hears
the POUNDING of RUNNING FEET."|speech
35|"WENDY
(MALICIOUSLY)"|"Now you've done it, you idiot!
The CHANTING GROWS LOUDER as the ""killers"" rush towards
the room. Trapped, Wendy looks frantically for an es-
cape but finds nothing. Turning around suddenly, she
grins at Robin, a cruel, hard expression on her face."|speech
36|"WENDY
(CONTINUING; SLOWLY)"|"Kill, kill, kill...
Picking up the chant, Wendy begins to advance on Robin.
Terrified, Robin turns and rushes out of the room,
bowling over Nick in the doorway. Delighted that the
game is continuing with a new victim, he follows Wendy
in pursuit of Robin.
Robin flees down the long, dark corridor, ""KILL, KILL
ECHOING in her wake. As she rounds a corner, Jude ap-
pears, looming up in front of her. Robin screams and
sprints in the opposite direction. Kelly leaps out of
a doorway and grabs for her, but Robin, swinging out
blindly, escapes the ""killer."""|speech
37||INT. STORAGE ROOM - DAY 3|location
38|"WENDY
(CONTINUING; SLOWLY)"|"Darting into the large room, Robin collapses against a
wall, gasping for breath. As her eyes adjusts to the
darkness, she spies a rickety ladder extending through
a hole in the floor to the basement below. Stacked up-
right near the opening are several sheets of window
glass. Before Robin can make a move towards the lad-
der, she hears a horrible SCREECH and Wendy appears in
the doorway, a vicious look on her face."|speech
39|WENDY|"Killers, here!
Wendy advances. Terrified, Robin begins to back away."|speech
40|ROBIN|N-n-n-no!|speech
41|(CONTINUED)|6.|speech
42|CONTINUED:|"Nick, Jude and Kelly appear in the doorway, chanting
""Kill, kill."" Moving quickly, Robin grabs the ladder
and starts down into the basement, careful not to knock
over the sheets of glass stacked near the opening.
Peering into the pitch-black basement, Robin hesitates.
But as Wendy and her fellow ""killers"" close in on her,
Robin continues down the ladder. Wendy rushes up and
grabs the ladder."|speech
43|"ROBIN
(CONTINUING)"|"P-p-please!
Wendy grins and shakes the ladder. The chanting is
deafening. Robin hugs the wooden slats. Wendy shakes
even harder. Robin screams. Nick moves around Wendy
to get a better look. He accidentally bumps the glass
stacked next to the opening. The sudden movement is
just enough to dislodge a razor-sharp pane of glass and
send it hurtling down directly at Robin.
The girl's last scream catches in her throat as the
glass slices through her neck. She is instantly
decapitated.
Horrified, Wendy watches the glass and the body crash
to the concrete basement floor. Kelly screams. Jude
sobs loudly. Nick can only stare in shock. Finally,
he manages to speak."|speech
44|"NICK
(WHISPERING HOARSELY)"|"We gotta get somebody quick!
Nick starts to go. Wendy instantly whirls, grabs his
arm."|speech
45|WENDY|"Are you crazy? They'll put us in
jail!
Confused, Nick cannot reply. The other girls grow
silent."|speech
46|"WENDY
(CONTINUING)"|"If we tell anyone, they'll say
it's our fault. Who'd believe it
was an accident?
Nick starts to protest."|speech
47|"WENDY
(CONTINUING;
INTERRUPTING)"|Listen to me!|speech
48|"(MORE)
(CONTINUED)"|7.|speech
49||WENDY (C ONT D )|stage direction
50|CONTINUED: (2)|"We'll go home now and never ever
tell anyone. They'll think it was
an accident. 1,10 one but us will
ever know.
She looks at each of them. They are still too numb to
respond."|speech
51|"WENDY
(CONTINUING)"|"Everybody swear never to tell!
Wendy glares at Jude."|speech
52|"WENDY
(CONTINUING)"|Jude?|speech
53|"JUDE
(SOFTLY)"|I swear.|speech
54|WENDY|"Kelly?
Kelly looks from Wendy to the mangled body and begins
to whimper."|speech
55|"WENDY
(CONTINUING; STERNLY)"|"Kelly!
The frightened girl looks up at Wendy."|speech
56|"KELLY
(WHISPERS)"|I don't wanta go to jail...|speech
57|WENDY|Swear!|speech
58|KELLY|"I swear.
Wendy turns to Nick. At first he appears defiant, ready
to object, but he wilts under her withering gaze."|speech
59|"NICK
(FINALLY)"|I won't tell.|speech
60|"WENDY
SLOWLY NODS)"|Good.|speech
61|"(CONTINUED)
CONTINUED: (3)"|"With a final glance down at Robin's mutiliated body,
Wendy quickly ushers her shocked friends out of the
room.
As their FOOTSTEPS ECHO away across the hardwood floor,
there is a terrible silence. Then, starting very
quietly, more FOOTSTEPS are HEARD, this time a single
person approaching the ladder from above. The FOOT-
STEPS STOP and a deep, black shadow falls across the
ladder; HEAVY BREATHING punctuates the oppressive
quiet, growing louder and more anguished."|speech
62||INT. STORAGE ROOM - DUSK|location
63|CUT TO:|"We slowly TILT UP TO the tortured features of RAYMOND
HAMMOND, Robin's father. A handsome, dark-haired man
in his late thirties, he teaches history at George
Winston High School.
Wracked with grief, he stands near the opening in the
floor and watches as two Paramedics bring up the body
of his daughter from the dark basement.
A young Policeman standing nearby raises the white
sheet covering Robin's remains. Hammond steps up
and gazes at his daughter's decapitated body. A
look of absolute horror and revulsion freezes
on his face; what he sees he will never forget.
Paralyzed, Hammond barely hears the CAR PULLING UP
in front of the construction site. He turns and
looks out the window."|speech
64||EXT. APARTMENT BUILDING UNDER CONSTRUCTION - DUSK 5|location
