|character|text|type
0|unknown|NIGHTMARE 13 -- FREDDY MEETS JASON|speech
1||FADE IN:|stage direction
2||EXT. ELM STREET - DAY|location
3||"MEAGAN is coming down the sidewalk in slow motion.
Her dress and long hair blow slightly in the breeze.
The SOUND of CHILDREN CHANTING increases."|stage direction
4||(in chorus)|location
5|DREAM CHILDREN|"One... two... Freddy's coming for
you."|speech
6||"On ""you"" there is a RUMBLE and a flash -- like quick
lightning only evil.  (Choice flashes from Nightmare on
Elm Street 1 & 2).
Meagan turns at 1665.  A beautiful white, two-story
house, thick with lush green foliage.  Several beautiful
children, all dressed in bright white, play hopscotch
and jumprope on the front walk."|stage direction
7||(continuing; chanting)|location
8|DREAM CHILDREN|"Three... four... better lock your
door."|speech
9||"Close on a little girl's foot coming down on the number
""4"" drawn on concrete.
Another RUMBLE and flash -- longer, LOUDER.  (Flashes
from Nightmare 3 & 4).
Meagan continues up the walk, the wind is blowing a
little harder now.  The trees are brown, the leaves
peeling away.
Moving up the walk, closer to the house... only now
it's a little darker, needs some paint.  On the front
porch, a LITTLE GIRL rides a tricycle."|stage direction
10||(continuing; chanting)|location
11|DREAM CHILDREN|Five... six...|speech
12||RUMBLE.  Flash.  (Nightmare 5 and Freddy's Dead).|stage direction
13||(continuing; chanting)|location
14|DREAM CHILDREN|...grab your crucifix.. ix.. ix..|speech
15||"The ""ix"" echoes away, becoming the faint ""Ka ka ka""
we all recognize as Jason's theme.  Meagan turns to
find that the children in the yard have vanished. It's
nighttime.
The trees are dead, the grass is gone, and the horizon
stretches off into utter nothingness.  Meagan turns
back to the little girl.
But the little girl has gone.  Only the tricycle
remains.  It circles once, the front door CREAKS open,
and the empty tricycle peddles inside.  Meagan follows
it into the..."|stage direction
16||INT. HOUSE ON ELM STREET - CONTINUOUS ACTION|location
17||"Meagan enters the house slowly, watching as the tri-
cycle rides off down a creepy hallway and disappears.
Then the front door blows shut behind Meagan.  She
tries to open it -- locked.
Then faint VOICES cause Meagan to pause.  She listens,
trying to make out the low murmur.  Then a little girl's
GIGGLE.  Meagan recognizes it as her sister's."|stage direction
18|MEAGAN|Lizzy?|speech
19||"Meagan moves up the stairs, going down the hall...
following the voices (we recognize the other voice as
belonging to Freddy).  Meagan enters a door at the
end of the hallway, moving into..."|stage direction
20||INT. LIZZY'S ROOM (NIGHTMARE) - CONTINOUS ACTION|location
21||"On the floor, near her bed, is Meagan's thirteen year
old sister -- LIZZY.  Slow for her age, Lizzy sits and
draws with crayons."|stage direction
22|MEAGAN|Lizzy. What are you doing here?|speech
23|LIZZY|Playing with my friend.|speech
24||"Meagan looks at the drawings -- childlike renderings
of Freddy."|stage direction
25|MEAGAN|Your friend?|speech
26|LIZZY|He lives under the bed.|speech
27||"Meagan slowly gets to her knees and takes a peek under
Lizzy's bed.
Suddenly, a doll-sized Freddy scurries out from under
the bed, flashing past Meagan's face and running out
the door.  Meagan yelps and touches her face -- five
tiny slash marks on her cheek.  Lizzy clucks."|stage direction
28||(continuing)|location
29|LIZZY|You scared him...|speech
30||Meagan looks out the door, incredulous.|stage direction
31|MEAGAN|I scared him?|speech
32||But when Meagan looks back, Lizzy is gone.|stage direction
33||(continuing)|location
34|MEAGAN|Lizzy?|speech
35||"Lizzy echoes away as Meagan finds herself standing
in the..."|stage direction
36||INT. NIGHTMARE CHAPEL - CONTINUOUS ACTION|location
37||"The tiny Freddy dashes from the pews and jumps into
a casket at the altar, slamming the lid shut.  Meagan
goes to the casket and carefully opens the lid.  Inside
-- a rotting corpse with worms and maggots crawling
all over it.  Meagan screams and slams the lid back
down.
The casket starts to move -- THUMP! THUMP! THUMP!
Then it stops.  Tentatively, Meagan opens the lid again.
Inside -- FREDDY KRUEGER.  He grabs her arm."|stage direction
38|FREDDY|Where ya been all my death, baby?|speech
39||"Meagan screams.  Freddy leaps out of the casket in a
tuxedo, crooning:"|stage direction
40||(continuing)|location
41|FREDDY|"I've been waitin' at the altar for
a long, long time!"|speech
42||"Meagan looks down -- she's wearing a wedding dress,
spattered with blood.  Behind her, the chapel has
filled with dozens of DEAD PEOPLE in various stages
of decay.  A SATANIC PRIEST appears in the pulpit and
asks:"|stage direction
43|SATANIC PRIEST|Are the bridesmaids in attendance?|speech
44||"Meagan looks to her left -- four girls hold bouquets,
dressed in body bags."|stage direction
45||(continuing)|location
46|SATANIC PRIEST|And the groomsmen...?|speech
47||"Freddy opens his tuxedo jacket to reveal several
trapped souls struggling to get out of his chest."|stage direction
48||(continuing)|location
49|SATANIC PRIEST|"If anyone here believes that these
two should not be joined in unholy
matrimony, let him speak now or
forever rot in hell..."|speech
50||>From the back of the chapel, a voice:|stage direction
51|JESSE|Meagan!|speech
52||"Meagan turns.  It's her boyfriend -- JESSE.  He stands
in the chapel doorway, backlit by bright light, arms
outstretched."|stage direction
53|MEAGAN|Jesse!|speech
