|character|text|type
0||"WALKING TALL
Written by
Mort Briskin & David Klass"|unknown
1||IMSDb|location
2||"INTRO
Inspired by a true story.
We home in on a boat coming in to shore. Off walks a man, he
is carrying a backpack and wearing shades."|stage direction
3||EXT. TOWN|location
4||"He walks through a town, passing various stores and the general
bustle of the people there. He notices a baby in a pram left
out on the sidewalk, then sees the mother is in an alleyway doing
what looks like a drug deal."|stage direction
5||EXT. LUMBER YARD|location
6||"Chris reads a closure notice on the door. A police car rolls
up."|stage direction
7|SHERIFF WATKINS|How ya doin'?|speech
8|CHRIS|Ok. When'd the mill close?|speech
9|SHERIFF WATKINS|"Ahh 3 years this August. If ya lookin
for work you might wanna try Aberdeen,
that's the closest mill work you're
gonna find around here."|speech
10|CHRIS|That's too bad.|speech
11|SHERIFF WATKINS|"Nah just simple economics. Y'know we
have a really nice casino here, the
wild cherry. You wanna make some money
maybe you wanna go on down there and
try your luck at the blackjack tables."|speech
12|CHRIS|Nah I don't think so. Thanks.|speech
13||Chris turns around and the sheriff notices his name on a bag.|stage direction
14|SHERIFF WATKINS|You're Chris Vaughn?|speech
15||The sheriff chuckles and steps out of the car.|stage direction
16|SHERIFF WATKINS|"Well hell, I know all about you Chris.
I know your folks, I'm sheriff Stan
Watkins."|speech
17||They shake hands.|stage direction
18|CHRIS|How ya doin.|speech
19|SHERIFF WATKINS|"Ralston get outta the car, you're lookin
at a real soldier here pay some respect."|speech
20|RALSTON|Welcome home soldier.|speech
21|CHRIS|Thanks.|speech
22|SHERIFF WATKINS|"Here Chris, (opens the back door) We'll
give ya a ride up to your folks."|speech
23|CHRIS|Nah I'm fine thank you.|speech
24|SHERIFF WATKINS|I insist.|speech
25|CHRIS|I'll walk.|speech
26|SHERIFF WATKINS|Hey it's my pleasure.|speech
27|CHRIS|It's ok.|speech
28|SHERIFF WATKINS|"I won't take no for an answer (jokingly
reaches for his gun). HEY! Get in the
car."|speech
29||Chris raises his hands and the sheriff chuckles.|stage direction
30|SHERIFF WATKINS|Did I scare ya with that one?|speech
31|CHRIS|Lil bit.|speech
32|SHERIFF WATKINS|Ya. Let's go.|speech
33||INT. POLICE CAR|location
34|SHERIFF WATKINS|You were gone a while huh?|speech
35|CHRIS|8 years. Harstad was sheriff back then.|speech
36|SHERIFF WATKINS|"Harstad, yeah. Sad story. About 5 months
back he fell asleep at the wheel and
uhhh... hit a tree. Good man, good man
and a good sheriff."|speech
37||EXT. THE FAMILY HOME|location
38|CHRIS|Thanks for the ride.|speech
39|SHERIFF WATKINS|"No problem, and uh Chris (hands him
a piece of paper). It's election month...
I'm your man."|speech
40||"Chris takes the paper and smiles. He walks up the lane toward
the house, a simple white building clad in wood. A lady dressed
in a police uniform comes out."|stage direction
41|MICHELLE|Can I help you?|speech
42||Chris laughs.|stage direction
43|MICHELLE|"Lil' brother.. You come over here and
gimme a hug."|speech
44||They laugh together.|stage direction
45|MICHELLE|You look great.|speech
46|CHRIS|What is this?|speech
47|MICHELLE|"Hey, I couldn't let you be the only
one looking good in uniform. Hey ma!
Chris is here!"|speech
48|CHRIS|"What's with the tent? (points to a tent
set up on the lawn)."|speech
49|MICHELLE|Oh, that's for Pete.|speech
50|CONNIE|Look at you!|speech
51|CHRIS|How ya doin!|speech
52||"Chris hugs his mother, Connie. A man slowly emerges from the
front door."|stage direction
53|CONNIE|How long do we have ya for?|speech
54|CHRIS|For good. I'm home.|speech
55|CONNIE|Really? You're not kiddin.|speech
56|CHRIS|No.|speech
57||They hug again.|stage direction
58|CHRIS|Hey dad.|speech
59|DAD|Welcome back.|speech
60||INT. KITCHEN|location
61||The family are eating takeaway.|stage direction
62|CONNIE|"I wish you would have told me you were
coming I would've cooked."|speech
63|CHRIS|This is great.|speech
64|MICHELLE|"So what are you gonna do now that you're
home?"|speech
65|CHRIS|"Well I was planning on working at the
mill, your letters never mentioned that
it was closed."|speech
66|CONNIE|"We didn't wanna bother you with our
problems when your father got laid off."|speech
67|DAD|"I got my business, you saw the furniture
outside."|speech
68|CONNIE|"I substitute at the elementary school,
Michelle pitches in. We try to keep
things simple."|speech
69||A kid walks in.|stage direction
70|MICHELLE|Pete! This is your Uncle Chris.|speech
71|CHRIS|Hey Pete.|speech
72|MICHELLE|"Sit down, say hello. Last time he saw
you you were barely walking."|speech
73|PETE|And now I'm camping.|speech
74|MICHELLE|"I said you could sleep on the couch.
It was Chris' room first."|speech
75|CHRIS|"Your tent's gonna take on water. I could
show ya how to rig it."|speech
76|PETE|"Doesn't look like it's gonna rain to
me Colonel."|speech
77|MICHELLE|"Pete, cmon sit down, have somethin to
eat."|speech
78|CHRIS|"First of all I was a sergeant. I worked
for a living."|speech
79|PETE|Did you ever smoke anybody?|speech
80|CONNIE|Pete!|speech
81|MICHELLE|Pete!|speech
82|PETE|"Y'know, Papa's still got your gun locked
up in the garage. Think you could teach
me how to shoot?"|speech
83|CHRIS|"I figured that'd be scrap metal by now
dad."|speech
84|DAD|"No, I'm still hoping that you'll melt
that thing down on your own."|speech
85|CHRIS|Sorry Pete.|speech
86|PETE|Whatever. I'm outta here Mom.|speech
87|MICHELLE|Okay, be back by ten.|speech
88|PETE|Ten thirty (as he walks out)|speech
89|MICHELLE|Ten!|speech
90|DAD|Remind you of anyone?|speech
91||INT. BEDROOM|location
92||"We can see from the window that it's raining heavily outside.
Chris sets about unpacking his things. Pete comes in looking
wet."|stage direction
93|PETE|Ok it rained. Happy?|speech
94|CHRIS|No. Why dontcha crash on the floor?|speech
95||Pete looks at him.|stage direction
96|CHRIS|"Ok, I'll crash on the floor, you crash
on the bed."|speech
97|PETE|uh uh. (starts walking out)|speech
98|CHRIS|Pete. (hands him a towel). Keep ya dry.|speech
99|PETE|Did you really kill people?|speech
100||Chris looks at him.|stage direction
101||EXT. OUTSIDE THE HOUSE|location
102||A crappy camper van rolls up. A man steps out.|stage direction
103|CHRIS|Ray Ray! Ahaaa.|speech
104|RAY|Hello puddin'.|speech
105||They hug.|stage direction
106|CHRIS|How ya doin?|speech
107|RAY|I'm alright.|speech
108|CHRIS|What is that? (points to the van)|speech
109|RAY|That's the lovemachine.|speech
110|CHRIS|Girls actually get in there?|speech
111||Ray shrugs.|stage direction
112|CHRIS|How ya been?|speech
113|RAY|Good. Clean livin.|speech
114|CHRIS|Wanna beer?|speech
115|RAY|"No. Believe it or not I quit drinkin.
I'll take a soda though."|speech
116|CHRIS|Here.|speech
117|RAY|Thanks man.|speech
118|CHRIS|"Whoah. (spots a tattoo of a guitar on
Ray's arm)."|speech
119|RAY|"Ya like that? When you left town it
gave me the idea that I should do something
with my life too so uhh I went down
to Seattle, got a guitar and became
all about music. And then pretty soon
I was about music and drugs, n pretty
soon I was basically just about drugs.
Ended up doin 2 years for B+E."|speech
120|CHRIS|I'm sorry.|speech
121|RAY|"Nahh, look at me now though right? I
been clean and sober for 14 months,
doing construction and renewing those
supportive and healthy friendships from
my past. Matter of fact I talked to
the bastards, told em you were back
and they asked me to politely remind
you that kick off's in twenty minutes."|speech
122||EXT. FOOTBALL FIELD|location
123||"A group of guys are there waiting, one of them holding a ball.
They salute as Chris walks up. They all laugh."|stage direction
124|CHRIS|Playin ball?|speech
125|ALL|Let's play ball!|speech
126|JIMMY|"Ray go deep go deep! (as Ray runs off
he throws the ball into Ray's back)."|speech
127|CHRIS|"(Spotting a sign that reads 'HAMILTON
FIELD') When did that happen?"|speech
128|JIMMY|"His parents hadn't left him the mill
more than 2 minutes before he shut it
down."|speech
129|CHRIS|Why?|speech
130||"a voice shouts 'HEADS UP' Chris catches a fast ball thrown from
behind. Jay steps out of his vehicle."|stage direction
131|JAY|Cause I opened my Casino.|speech
132|CHRIS|Still got a gut huh Jay?|speech
133|JAY|"Still got your reflexes. What, you get
tired of being all that you can be?"|speech
134|CHRIS|I'm still all I can be.|speech
135|JAY|"Really? I'll just have to see about
that. What brings you home?"|speech
136|CHRIS|I just wanna relax, catch my breath.|speech
137|JAY|You? Relax?|speech
138||Another truck with a few guys on it pulls up|stage direction
139|JAY|Not today.|speech
140||"A football game ensues, there are two teams. Jay's guys vs Chris'
guys. On the sidelines Pete pulls up on a small motorcycle. Chris
notices Pete hanging around with kids smoking. It comes down
to the last play, the teams are huddled into two groups talking."|stage direction
141|RAY|If we score here we win right?|speech
142|CHRIS|"Alright boys, last play. We need to
put this to rest."|speech
143|RAY|Just give me the ball.|speech
144|CHRIS|You got it. On the first hut!|speech
145|JAY|Ok Vaughn, last chance.|speech
146||"Chris gets the ball and throws it. An opponent comes in hard
and tackles him low. He collapses. Ray runs for the ball but
gets clotheslined by Jay."|stage direction
147|JAY|That's game!|speech
148|OPPONENT|(to Chris) Sorry about that.|speech
149|CHRIS|That's cool man.|speech
150||Chris Helps Ray onto his feet.|stage direction
151|JAY|Welcome home.|speech
152|CHRIS|Good to be back.|speech
153|JAY|"See ya round. Hey, if you're not doing
anythin later on you could come by the
casino. I'll introduce ya to some nice
girls, drinks are on me. Whaddya say?"|speech
154|CHRIS|See ya tonight.|speech
155|JAY|Cool.|speech
156||Jay speeds off in his car. Pete rolls up on his bike.|stage direction
157|PETE|Hey Sarge, good game. Maybe next time.|speech
158|CHRIS|"Hold up. Maybe next time I won't see
you with the bleachers smoking weed."|speech
159|RAY|Welcome home buddy.|speech
160||EXT. OUTSIDE THE WILD CHERRY CASINO|location
161|CHRIS|"Don't you have to be native american
to own a casino?"|speech
162|JIMMY|"Oh Hamilton's one sixteenth black man
now."|speech
163|FRIEND 2|"Just so you guys know, I'm gonna triple
my money tonight."|speech
164|FRIEND 3|"Yea, like last time. Wound up selling
your body for bus fare."|speech
165|FRIEND 4|He had to walk!|speech
166||They all laugh.|stage direction
167|CHRIS|"Nobody's gonna have any problems finding
this place."|speech
168|RAY|"It's the subtle attention to aesthetics
that I find most impressive, blends
in with the mountains SO nicely."|speech
169||INT. WILD CHERRY CASINO|location
170||The place is packed with gambling tables and attractive women.|stage direction
171|FRIEND|Not bad huh?|speech
172|CHRIS|Not bad.|speech
173|RAY|"Isn't it wonderful? All your gambling
needs under one great big roof. You
got your ATM machine, tellers to cash
your paycheck, and when you're here
you don't gotta worry about those lil
things like child support, rent, the
laws of mathematical probability."|speech
174|WORKER|"Gentlemen, Mr Hamilton would like to
invite you to the VIP lounge."|speech
175|RAY|Oh, 'Mister' Hamilton.|speech
176||INT. VIP LOUNGE|location
177|JAY|Heyyy, the dream team!|speech
178|CHRIS|Nice place.|speech
179|JAY|"Yeah well. Welcome to my world. Look
tonight, all the drinks are on the house.
If you need a line of credit, say how
much. And if you need a lil female companionship...
done. Alright? Have a good time."|speech
180|CHRIS|Where you goin?|speech
181|JAY|"Don't you worry about me, I've got a
few things to do. Enjoy."|speech
182|RAY|"Just remember, nothin in here's free.
C'mon, this place is nothin but fake
boobs and real assholes if ya ask me.
Just water for me."|speech
183|FRIENDS|Here's to you Chris.|speech
184||They all down some drinks. They lead Chris down a corridor.|stage direction
185|FRIEND|Don't say we never did nothin' for ya!|speech
186|FRIEND 2|"Don't worry, everybody's a lil scared
the first time. Get in there, sit back
and enjoy."|speech
187||"Chris' friends have led him to a stripping booth, his friend
inserts the money."|stage direction
188|FRIEND 2|"If you're not back by morning we'll
send a search party for you."|speech
189|CHRIS|Bye! No drinking.|speech
190||"His friends leave, closing the door behind them.
A screen goes up and a striptease begins. The lady is dressed
in the style of a firewoman and has a pole in the center of the
stage. She dances around the pole and removes clothes."|stage direction
191|STRIPPER|So you from here or just visiting.|speech
192|CHRIS|Lil of both, I grew up here.|speech
193|STRIPPER|So you've seen all the old faces.|speech
194|CHRIS|Could say that.|speech
195|STRIPPER|Your voice sounds very familiar.|speech
196||The lights come on.|stage direction
197|STRIPPER|Chris...|speech
198|CHRIS|Deni..|speech
199||The screen goes down again, Chris leaves the booth.|stage direction
200||INT. CASINO|location
201|FRIEND 1|Look who's back.|speech
202|FRIEND 2|So, good surprise?|speech
203|FRIEND 1|"Told you it was better than gambling.
You met Candy? (A girl is dancing on
their table)"|speech
204|CHRIS|Hey Candy. (to the guys) Let's go.|speech
205||INT. CRAPS TABLE|location
206|CROUPIER|6! Easy 6 for a win!|speech
207|JIMMY|(To some girls) We can do a 6.|speech
208|JIMMY|"(To Chris) We're gettin killed out here.
I need you to put 200 down for the bet."|speech
209|CHRIS|No, hell no.|speech
210|FRIEND 3|Look at them (Nods to girls).|speech
211|CHRIS|Ok.|speech
212|CROUPIER|Five hundred on 6?|speech
213|JIMMY|Yes, I'm in. Boom! Gimme some dice.|speech
214||Chris notices something odd, he looks concerned.|stage direction
215|CROUPIER|Lookin' for a 6.|speech
216|CHRIS|Jimmy. Don't roll. Gimme the dice.|speech
217|CROUPIER|Lookin' for a 6. Ohhhhh.|speech
218||The dice have landed and it's a 7. Jimmy hangs his head.|stage direction
219|CHRIS|"(To the croupier) You're good, but I
saw it."|speech
220|CROUPIER|Saw what?|speech
221|CHRIS|I saw the switch.|speech
222|CROUPIER|Hey this is a clean game asshole.|speech
223|CHRIS|Yea?|speech
224|CROUPIER|Yea.|speech
225|CHRIS|Let's see about that.|speech
226||Chris puts a load of money on the table.|stage direction
227|CHRIS|Bet you I'll roll a seven.|speech
