|character|text|type
0||W I L D  A T  H E A R T|stage direction
1||"a love story
written by
David Lynch
based on the book by
Barry Gifford"|unknown
2||"And now the story of Sailor and Lula.....
1. EXT. CITY STREET - DAY
A MAN rides a screaming massive Japanese motorcycle - wound out to
maximum R.P.M. up the street."|stage direction
3||CUT TO:|location
4||"2. SIGN BY ROADSIDE
The sign reads “KIDS PLAYING - SPEED BUMPS”."|stage direction
5||CUT TO:|location
6||"3. EXT. CITY STREET - DAY
With a whine from hell, the front tire of the motorcycle hits a speed
bump.
The motorcycle becomes airborne and on the way up slices itself in half
as it scrapes along the full length of a Datsun Kingcab.
In the air, the rider and motorcycle twist violently as they fly by.
The motorcycle bounces off a black ’66 Chevrolet and makes a sound like
the end of the world.
The rider hits the same Chevy a moment later.  Like a broken ragdoll
shot from a canon, the man punches through the back window blowing glass
for a block.  He stops somewhere under the front seat and a bubble of
blood forms out his nose.
The motorcycle continues on sliding and spinning with an ear-piercing
howl for one entire city block."|stage direction
7||CUT TO:|location
8||"4. EXT. NEIGHBORHOOD STREETS - VACANT LOT - DAY
Two rabid dogs fight ferociously in a vacant lot - ripping each other’s
flesh.  An OLD COUPLE, both with walkers, inch painfully along nearby."|stage direction
9|OLD WOMAN|Oh my God! ... Why they doin’ that?|speech
10|OLD MAN|"Who the hell knows.  What you have
in your mouth?"|speech
11||The old woman begins to turn away, covering her mouth with her hand.|stage direction
12|OLD MAN|"Spit it out!!! ... Pull your teeth
out ... doctor said.  What you
tryin’ to do?  SPIT IT OUT!!!"|speech
13||"The Old Man grabs the Old Woman by the neck and squeezes.  Out comes a
tangled and sticky ball of hard fruit candies."|stage direction
14||CUT TO:|location
15||"5. WASP NEST
A thousand wasps hover threateningly in the air around the nest.  A
SMALL GROUP OF HARDENED CRIMINAL NINE-YEAR OLDS sporting hideous grins,
bat the nest violently to and fro with sticks.  One kid busies himself
shooting a large can of Black Flag garden spray into a crack in the
nest.  Another stomps half-dead wasps up and down the sidewalk.  All the
kids are making animal noises of one sort or the other."|stage direction
16||CUT TO:|location
17||"6. INT. FORTUNE HOUSE - DAY
The telephone rings.  MARIETTA PACE FORTUNE, a rich Southern woman
around fifty, carries her Martini and Rossi sweet vermouth drink across
the livingroom and answers the phone."|stage direction
18|MARIETTA|Hello...  Who is this?...|speech
19||CUT TO:|location
20||"7. INT. PEE DEE COUNTY WORK FARM - DAY
A GUARD stands by as SAILOR RIPLEY, twenty-three years old - lost
somewhere between the cool long-gone generation and a used-car salesman
- speaks on a prisoner phone in a green cement cubicle with one bench."|stage direction
21||(into phone)|unknown
22|SAILOR|"...Sailor Ripley...  Can I talk
to Lula?"|speech
23||CUT TO:|location
24||6A. INT. FORTUNE HOUSE - DAY|stage direction
25|MARIETTA|"There’s no way in hell you can speak
to her and..."|speech
26||CUT TO:|location
27||7A. INT. PEE DEE COUNTY WORK FARM - DAY|stage direction
28||(feeling a smile coming on)|unknown
29|SAILOR|What?...|speech
30||CUT TO:|location
31||6B. INT. FORTUNE HOUSE - DAY|stage direction
32|MARIETTA|"...Yes you heard me...  Don’t ever
call back here again."|speech
33||"Marietta hangs up the phone as LULA PACE FORTUNE, Marietta’s twenty-year
old daughter, comes quickly down the stairs."|stage direction
34|LULA|Mama???|speech
35|MARIETTA|"You know who it was and you know
you aren’t, and I mean ARE NOT
gonna see him EVER...  End of story."|speech
36||(quietly)|unknown
37|LULA|Like hell.|speech
38||"Marietta, her hand still on the telephone, grips the receiver so hard
her knuckles turn white."|stage direction
39||CUT TO:|location
40||"8. INT. FORTUNE HOUSE - LULA’S ROOM UPSTAIRS - DAY
Lula enters her room and cranks up her stereo.  Speed metal music jumps
up to around one hundred twenty decibels."|stage direction
41||CUT TO:|location
42||"9. INT. PEE DEE COUNTY WORK FARM - DAY
The guard escorts Sailor away from the telephone and back to his cell.
The iron bars of the door slide across Sailor’s face and close with a
bang."|stage direction
43||CUT TO:|location
44||"10. EXT. THE MUSIC BAR - NIGHT
A beat-up, red ’64 Ford Falcon station wagon filled with insane
TEENAGERS on speed and PCP race out of control down the street past the
club - leaning out the car in every direction.  They scream out to the
desolate-looking passerby."|stage direction
45|TEENAGERS|EAT SHIT MOTHERFUCKERS!!!!!!|speech
46||"The camera cranes up to the neon club sign and gets lost among the hot
pink neon, the frantic moths and the intense electric buzz."|stage direction
47||CUT TO:|location
48||"11. INT. THE MUSIC BAR - NIGHT
Lula and her friend, BEANY THORN, sit at a table drinking rum Coca-Colas
while watching and listening to a white blues band called THE BLEACH
BOYS.  The group segues smoothly from Elmore James’s “Dust my Broom”
into Robert Johnson’s “Me and the Devil” and Beany lets out a snort."|stage direction
49|BEANY|"I can dig this music...  But not
that singer."|speech
50|LULA|Why?...  He’s right in the groove.|speech
51|BEANY|"He’s so ugly.  Guys with beards and
beer guts ain’t quite my type."|speech
52||(giggles)|unknown
53|LULA|"Seein’s how you’re about as thick as
a used string of unwaxed dental floss,
don’t know how you can criticize."|speech
54|BEANY|"Yeah, well, if he says that all that
flab turns into dick at midnight,
he’s a liar."|speech
55||Lula and Beany laugh and swallow some of their drinks.|stage direction
56|BEANY|"So, Sailor’s gettin’ out soon, and
you’re gonna see him?"|speech
57||Lula nods and crushes an ice cube with her back teeth and chews it.|stage direction
58|LULA|"Meetin’ him at the gate.  That phone
call this afternoon was the signal.
My deranged mama’s hid the keys to
my car.  But of course, I know
exactly where they are."|speech
59|BEANY|"I didn’t hate me so much, I’d feel
better wishin’ you luck."|speech
60|LULA|"Can’t all husbands be perfect, and
your Elmo prob’ly wouldn’ta ever
got that second one pregnant, you
hadn’t kicked his ass out."|speech
61|BEANY|"So you’re gonna be needin’ the
“blue-bird” pretty soon?"|speech
62|LULA|"Real soon ... I’ll be makin’ the swap
tomorrow, and thanks again, Beany."|speech
63||The Bleach Boys kick into some kind of Professor Longhair swamp mambo.|stage direction
64||CUT TO:|location
65||"12. EXT. BAY ST. CLEMENT - DAY
Plumes of smoke from fires rise in the distance.
DISSOLVE TO:
13. INT. FORTUNE HOUSE - DAY
An empty livingroom.  The smoke from the city fire appears during the
course of the DISSOLVE to be in the livingroom - then it disappears.
An empty hallway.
An empty stairway.
13A. INT. FORTUNE HOUSE - MARIETTA’S BEDROOM - DAY
Feet (Lula’s) was across carpet.
A closet door opens.
A hand (Lula’s) reaches into the pocket of a coat in her mother’s
closet.  The hand comes out clutching car keys.
13B. INT. FORTUNE HOUSE - STAIRWAY - DAY
Lula races down the stairs and through a door into the garage."|stage direction
66||CUT TO:|location
67||"14. EXT. FORTUNE HOUSE - DAY
The electronic garage door opens and Lula drives her ’80 Black Camaro
out and away.  The garage door closes automatically."|stage direction
68||CUT TO:|location
69||"15. EXT. CITY STREETS - DAY
Lula drives fast up a neighborhood street.  She turns a corner and
disappears."|stage direction
70||CUT TO:|location
71||"16. INT. BEANY THORN’S GARAGE - DAY
Lula throws her car keys under the front seat and goes around to Beany’s
’67 dark blue Thunderbird convertible - fishes around under the T-Bird’s
front seat for the keys - finds them - jumps in and takes off.
DISSOLVE TO:
17. EXT. FORTUNE HOUSE - DAY
Marietta leaves her Cadillac Seville in her driveway and enters the
house.  We can hear her calling out for Lula in the distance.  The
calling changes - it becomes angry.  The garage door opens and Marietta
comes storming out.  She leaps in her Caddy and peels out."|stage direction
72||CUT TO:|location
73||"18. INT. “SOUTHERN TIME” BAR - DAY
Marietta enters the bar on the run.  She calls out to the BARTENDER..."|stage direction
74|MARIETTA|Where’s Johnnie?  He’s not in his office.|speech
75|BARTENDER|Haven’t seen ’im yet today, Marietta.|speech
76||(slightly hysterical)|unknown
77|MARIETTA|"Well I gotta find him - right this
minute!"|speech
78||CUT TO:|location
79||"19. EXT. PEE DEE COUNTY WORK FARM - DAY
Sailor is waiting out front as Lula pulls up in her T-Bird - throwing
out a cloud of dust.  They’re both smiling."|stage direction
80|LULA|Hey baby...|speech
81|SAILOR|Peanut...|speech
82||"They kiss tenderly and then Sailor walks around the car to get in while
Lula opens up a suitcase and gets out his snakeskin jacket."|stage direction
83|SAILOR|"Hey, my snakeskin jacket...  Thanks,
baby...  Did I ever tell you that
this here jacket for me is a symbol
of my individuality and my belief
in personal freedom?"|speech
84|LULA|"’Bout fifty thousand times.  I got
us a room at the Cape Fear, and
guess what?...  I hear Powermad’s
at “The Hurricane.”"|speech
85||(smiling)|unknown
86|SAILOR|Stab it and steer.|speech
87||Lula tromps it and throws out an even larger cloud of dust.|stage direction
88||CUT TO:|location
89||"20. INT. CAPE FEAR HOTEL - DAY
Sailor and Lula lay on the bed in the Cape Fear Hotel listening to the
fan creak."|stage direction
90|LULA|"Did you ever think somethin’ like
about the wicked witch of the east
comin’ flyin’ in?...  Did you ever
think somethin’ and then later think
you’ve said it out loud to someone?"|speech
91|SAILOR|"I really did miss your mind while I
was out at Pee Dee, honey.  The
rest of you, too, of course.  But
the way your head works is God’s own
private mystery.  What was it you
was thinkin’?"|speech
92|LULA|"Well, I was thinkin’ about smokin’
actually...  My mama smokes Marlboros
now, used to be she smoked Kools?
I stole ’em from her beginnin’ in
about sixth grade.  When I got old
enough to buy my own, I bought those.
Now I’ve just about settled on Mores,
as you probably noticed?  They’re longer."|speech
93|SAILOR|"I guess I started smokin’ when I was
about six...  My mama was already
dead from lung cancer..."|speech
94|LULA|What brand’d she smoke?|speech
95|SAILOR|"Camels, same as me...  Guess both
my mama and my daddy died of smoke
or alcohol related illness."|speech
96|LULA|"Gee, Sailor.  I’m sorry, honey.  I
never would have guessed it."|speech
97|SAILOR|"It’s okay.  I hardly used to see
them anyway.  I didn’t have much
parental guiding.  The public defender
kept sayin’ that at my parole hearin’.
He was a good ol’ boy, stood by me...
Even brought me some cartons of
cigarettes from time to time."|speech
98|LULA|"I’d stand by you, Sailor ... through
anything."|speech
99|SAILOR|"Hell, peanut, you stuck with me after
I planted Bob Ray Lemon.  A man can’t
ask for more than that."|speech
100||Lula pulls Sailor over to her and kisses him soft on the mouth.|stage direction
101|LULA|"You move me, Sailor, you really do.
You mark me the deepest."|speech
102||Sailor pulls down the sheet, exposing Lula’s breasts.|stage direction
103|SAILOR|You’re perfect for me, too.|speech
104|LULA|"You remind me of my daddy, you know?
Mama told me he liked skinny women
whose breasts were just a bit too
big for their bodies.  He had a long
nose, too, like theirs.  Did I ever
tell you how he died?"|speech
105|SAILOR|In a fire, as I recall.|speech
106|LULA|"Started he couldn’t remember things?
Got real violent?  Mama kept tellin’
me it was on account of lead poisoning
from cleanin’ the old paint off our
house without usin’ a mask...  But
I don’t know.  Seems like his brain
just fell apart in pieces."|speech
107||CUT TO:|location
108||"21. INT. FORTUNE HOUSE - KITCHEN - NIGHT
CLYDE FORTUNE tears a door off the kitchen cabinets and strews the
cabinet contents all across the counter and floor.  He puts his fist
through the kitchen window.  He leaps on the counter and bats the
kitchen ceiling light - smashing it.  He kicks over the refrigerator."|stage direction
109|CLYDE|FUCKIN’ BITCH!!!!|speech
110||CUT TO:|location
111||"22. INT. CAPE FEAR HOTEL - DAY
Lula’s eyes look off, remembering."|stage direction
112|LULA|"Finally in the middle of the one
night, with me and mama asleep
upstairs ... he poured kerosene over
himself and lit a match."|speech
113||CUT TO:|location
114||"23. INT. FORTUNE HOUSE - LIVINGROOM - NIGHT
Clyde Fortune, completely engulfed in fire, races across and back the
livingroom until he collapses in a fifties modern armchair.  The drapes
behind him burst in flames."|stage direction
115||(voice-over)|unknown
116|LULA|"Near burned down the house.  We
got out just in time."|speech
117||The whole livingroom goes up in flames.|stage direction
118||CUT TO:|location
119||"24. INT. CAPE FEAR HOTEL - DAY
CU the red hot ash of Lula’s cigarette as she inhales deeply.  As she
exhales a cloud of smoke she turns to Sailor."|stage direction
120|LULA|It was a year before I met you.|speech
121||"Sailor takes the cigarette out of Lula’s hand and puts it into the
ashtray by her bed.  He pulls her to him and kisses her throat."|stage direction
